 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  2
 No. of channels =   174
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.7552e-06
1.0000e-04     1.0790e-05     5.5361e-06
1.0000e-04     1.1630e-05     6.4317e-06
1.0000e-04     1.2550e-05     7.4895e-06
1.0000e-04     1.3540e-05     8.7177e-06
1.0000e-04     1.4600e-05     1.0136e-05
1.0000e-04     1.5750e-05     1.1796e-05
1.0000e-04     1.6990e-05     1.3726e-05
1.0000e-04     1.8330e-05     1.5977e-05
1.0000e-04     1.9770e-05     1.8586e-05
1.0000e-04     2.1320e-05     2.1614e-05
1.0000e-04     2.3000e-05     2.5155e-05
1.0000e-04     2.4810e-05     2.9270e-05
1.0000e-04     2.6760e-05     3.4052e-05
1.0000e-04     2.8860e-05     3.9606e-05
1.0000e-04     3.1130e-05     4.6081e-05
1.0000e-04     3.3580e-05     5.3620e-05
1.0000e-04     3.6220e-05     6.2383e-05
1.0000e-04     3.9070e-05     7.2587e-05
1.0000e-04     4.2150e-05     8.4482e-05
1.0000e-04     4.5460e-05     9.8272e-05
1.0000e-04     4.9040e-05     1.1436e-04
1.0000e-04     5.2890e-05     1.3302e-04
1.0000e-04     5.7050e-05     1.5477e-04
1.0000e-04     6.1540e-05     1.8009e-04
1.0000e-04     6.6380e-05     2.0953e-04
1.0000e-04     7.1600e-05     2.4378e-04
1.0000e-04     7.7230e-05     2.8363e-04
1.0000e-04     8.3310e-05     3.3005e-04
1.0000e-04     8.9860e-05     3.8399e-04
1.0000e-04     9.6930e-05     4.4680e-04
1.0000e-04     1.0460e-04     5.2031e-04
1.0000e-04     1.1280e-04     6.0510e-04
1.0000e-04     1.2160e-04     7.0320e-04
1.0000e-04     1.3120e-04     8.1863e-04
1.0000e-04     1.4150e-04     9.5223e-04
1.0000e-04     1.5270e-04     1.1090e-03
1.0000e-04     1.6470e-04     1.2901e-03
1.0000e-04     1.7760e-04     1.5002e-03
1.0000e-04     1.9160e-04     1.7461e-03
1.0000e-04     2.0670e-04     2.0323e-03
1.0000e-04     2.2290e-04     2.3634e-03
1.0000e-04     2.4040e-04     2.7493e-03
1.0000e-04     2.5940e-04     3.2012e-03
1.0000e-04     2.7980e-04     3.7248e-03
1.0000e-04     3.0180e-04     4.3340e-03
1.0000e-04     3.2550e-04     5.0420e-03
1.0000e-04     3.5110e-04     5.8669e-03
1.0000e-04     3.7870e-04     6.8266e-03
1.0000e-04     4.0850e-04     7.9445e-03
