 Element: F
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  2
 No. of channels =    30
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     4.7552e-02
1.1310e-04     1.0000e-03     4.7527e-02
1.2800e-04     1.0000e-03     4.7499e-02
1.4480e-04     1.0000e-03     4.7468e-02
1.6380e-04     1.0000e-03     4.7432e-02
1.8520e-04     1.0000e-03     4.7392e-02
2.0950e-04     1.0000e-03     4.7346e-02
2.3700e-04     1.0000e-03     4.7294e-02
2.6810e-04     1.0000e-03     4.7234e-02
3.0330e-04     1.0000e-03     4.7167e-02
3.4310e-04     1.0000e-03     4.7090e-02
3.8820e-04     1.0000e-03     4.7003e-02
4.3910e-04     1.0000e-03     4.6904e-02
4.9670e-04     1.0000e-03     4.6791e-02
5.6190e-04     1.0000e-03     4.6663e-02
6.3560e-04     1.0000e-03     4.6518e-02
7.1900e-04     1.0000e-03     4.6353e-02
8.1340e-04     1.0000e-03     4.6166e-02
9.2010e-04     1.0000e-03     4.5954e-02
1.0410e-03     1.0000e-03     4.5715e-02
1.1770e-03     1.0000e-03     4.5447e-02
1.3320e-03     1.0000e-03     4.5143e-02
1.5070e-03     1.0000e-03     4.4804e-02
1.7040e-03     1.0000e-03     4.4428e-02
1.9280e-03     1.0000e-03     4.4009e-02
2.1810e-03     1.0000e-03     4.3547e-02
2.4670e-03     1.0000e-03     4.3041e-02
2.7910e-03     1.0000e-03     4.2488e-02
3.1570e-03     1.0000e-03     4.1891e-02
3.5710e-03     1.0000e-03     4.1248e-02
4.0400e-03     1.0000e-03     4.0561e-02
4.5700e-03     1.0000e-03     3.9831e-02
5.1700e-03     1.0000e-03     3.9060e-02
5.8480e-03     1.0000e-03     3.8249e-02
6.6150e-03     1.0000e-03     3.7399e-02
7.4830e-03     1.0000e-03     3.6506e-02
8.4650e-03     1.0000e-03     3.5570e-02
9.5760e-03     1.0000e-03     3.4585e-02
1.0830e-02     1.0000e-03     3.3547e-02
1.2250e-02     1.0000e-03     3.2446e-02
1.3860e-02     1.0000e-03     3.1267e-02
1.5680e-02     1.0000e-03     3.0007e-02
1.7740e-02     1.0000e-03     2.8658e-02
2.0070e-02     1.0000e-03     2.7212e-02
2.2700e-02     1.0000e-03     2.5671e-02
2.5680e-02     1.0000e-03     2.4033e-02
2.9050e-02     1.0000e-03     2.2309e-02
3.2860e-02     1.0000e-03     2.0516e-02
3.7170e-02     1.0000e-03     1.8672e-02
4.2050e-02     1.0000e-03     1.6805e-02
4.7570e-02     1.0000e-03     1.4946e-02
5.3810e-02     1.0000e-03     1.3128e-02
6.0870e-02     1.0000e-03     1.1381e-02
6.8850e-02     1.0000e-03     9.7366e-03
7.7890e-02     1.0000e-03     8.2143e-03
8.8110e-02     1.0000e-03     6.8344e-03
9.9670e-02     1.0000e-03     5.6082e-03
1.1270e-01     1.0000e-03     4.5414e-03
1.2750e-01     1.0000e-03     3.6236e-03
1.4430e-01     1.0000e-03     2.8500e-03
1.6320e-01     1.0000e-03     2.2149e-03
1.8460e-01     1.0000e-03     1.6987e-03
2.0890e-01     1.0000e-03     1.2851e-03
2.3630e-01     1.0000e-03     9.6107e-04
2.6730e-01     1.0000e-03     7.1044e-04
3.0230e-01     1.0000e-03     5.1950e-04
3.4200e-01     1.0000e-03     3.7537e-04
3.8690e-01     1.0000e-03     2.6840e-04
4.3760e-01     1.0000e-03     1.9004e-04
4.9510e-01     1.0000e-03     1.3325e-04
5.6000e-01     1.0000e-03     9.2604e-05
6.3350e-01     1.0000e-03     6.3768e-05
7.1660e-01     1.0000e-03     4.3530e-05
8.1070e-01     1.0000e-03     2.9486e-05
9.1700e-01     1.0000e-03     1.9817e-05
1.0370e+00     1.0000e-03     1.3238e-05
1.1730e+00     1.0000e-03     8.7595e-06
1.3270e+00     1.0000e-03     5.7597e-06
1.5020e+00     1.0000e-03     3.7569e-06
1.6990e+00     1.0000e-03     2.4372e-06
1.9220e+00     1.0000e-03     1.5713e-06
2.1740e+00     1.0000e-03     1.0093e-06
2.4590e+00     1.0000e-03     6.4328e-07
2.7820e+00     1.0000e-03     4.0689e-07
3.1470e+00     1.0000e-03     2.5661e-07
3.5600e+00     1.0000e-03     1.6035e-07
4.0270e+00     1.0000e-03     1.0025e-07
4.5550e+00     1.0000e-03     6.2189e-08
5.1530e+00     1.0000e-03     3.8219e-08
5.8290e+00     1.0000e-03     2.3582e-08
6.5940e+00     1.0000e-03     1.4350e-08
7.4590e+00     1.0000e-03     8.7189e-09
8.4370e+00     1.0000e-03     5.2839e-09
9.5450e+00     1.0000e-03     3.1885e-09
1.0800e+01     1.0000e-03     1.9207e-09
1.2210e+01     1.0000e-03     1.1587e-09
1.3820e+01     1.0000e-03     6.8521e-10
1.5630e+01     1.0000e-03     4.1268e-10
1.7680e+01     1.0000e-03     2.4465e-10
2.0000e+01     1.0000e-03     1.4264e-10
