 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 8
 No. of channels = 652
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.0795e-04
1.0000e-04     1.9170e-04     3.9577e-02
1.0000e-04     3.7340e-04     1.4918e-01
1.0000e-04     5.5520e-04     3.2627e-01
1.0000e-04     7.3690e-04     5.6627e-01
1.0000e-04     9.1860e-04     8.6335e-01
1.0000e-04     1.1000e-03     1.2097e+00
1.0000e-04     1.2820e-03     1.5991e+00
1.0000e-04     1.4640e-03     2.0212e+00
1.0000e-04     1.6450e-03     2.4644e+00
1.0000e-04     1.8270e-03     2.9238e+00
1.0000e-04     2.0090e-03     3.3877e+00
1.0000e-04     2.1910e-03     3.8471e+00
1.0000e-04     2.3720e-03     4.2911e+00
1.0000e-04     2.5540e-03     4.7170e+00
1.0000e-04     2.7360e-03     5.1159e+00
1.0000e-04     2.9170e-03     5.4803e+00
1.0000e-04     3.0990e-03     5.8098e+00
1.0000e-04     3.2810e-03     6.0991e+00
1.0000e-04     3.4630e-03     6.3460e+00
1.0000e-04     3.6440e-03     6.5483e+00
1.0000e-04     3.8260e-03     6.7080e+00
1.0000e-04     4.0080e-03     6.8245e+00
1.0000e-04     4.1890e-03     6.8988e+00
1.0000e-04     4.3710e-03     6.9336e+00
1.0000e-04     4.5530e-03     6.9306e+00
1.0000e-04     4.7350e-03     6.8925e+00
1.0000e-04     4.9160e-03     6.8226e+00
1.0000e-04     5.0980e-03     6.7230e+00
1.0000e-04     5.2800e-03     6.5972e+00
1.0000e-04     5.4620e-03     6.4480e+00
1.0000e-04     5.6430e-03     6.2795e+00
1.0000e-04     5.8250e-03     6.0927e+00
1.0000e-04     6.0070e-03     5.8910e+00
1.0000e-04     6.1880e-03     5.6785e+00
1.0000e-04     6.3700e-03     5.4551e+00
1.0000e-04     6.5520e-03     5.2242e+00
1.0000e-04     6.7340e-03     4.9881e+00
1.0000e-04     6.9150e-03     4.7499e+00
1.0000e-04     7.0970e-03     4.5089e+00
1.0000e-04     7.2790e-03     4.2681e+00
1.0000e-04     7.4600e-03     4.0302e+00
1.0000e-04     7.6420e-03     3.7940e+00
1.0000e-04     7.8240e-03     3.5621e+00
1.0000e-04     8.0060e-03     3.3355e+00
1.0000e-04     8.1870e-03     3.1164e+00
1.0000e-04     8.3690e-03     2.9031e+00
1.0000e-04     8.5510e-03     2.6977e+00
1.0000e-04     8.7320e-03     2.5015e+00
1.0000e-04     8.9140e-03     2.3131e+00
1.0000e-04     9.0960e-03     2.1336e+00
1.0000e-04     9.2780e-03     1.9635e+00
1.0000e-04     9.4590e-03     1.8036e+00
1.0000e-04     9.6410e-03     1.6522e+00
1.0000e-04     9.8230e-03     1.5101e+00
1.0000e-04     1.0000e-02     1.3808e+00
1.0000e-04     1.0190e-02     1.2514e+00
1.0000e-04     1.0370e-02     1.1377e+00
1.0000e-04     1.0550e-02     1.0323e+00
1.0000e-04     1.0730e-02     9.3479e-01
1.0000e-04     1.0910e-02     8.4490e-01
1.0000e-04     1.1090e-02     7.6225e-01
1.0000e-04     1.1280e-02     6.8243e-01
1.0000e-04     1.1460e-02     6.1342e-01
1.0000e-04     1.1640e-02     5.5046e-01
1.0000e-04     1.1820e-02     4.9313e-01
1.0000e-04     1.2000e-02     4.4106e-01
1.0000e-04     1.2190e-02     3.9138e-01
1.0000e-04     1.2370e-02     3.4894e-01
1.0000e-04     1.2550e-02     3.1064e-01
1.0000e-04     1.2730e-02     2.7614e-01
1.0000e-04     1.2910e-02     2.4513e-01
1.0000e-04     1.3090e-02     2.1730e-01
1.0000e-04     1.3280e-02     1.9107e-01
1.0000e-04     1.3460e-02     1.6893e-01
1.0000e-04     1.3640e-02     1.4916e-01
1.0000e-04     1.3820e-02     1.3154e-01
1.0000e-04     1.4000e-02     1.1586e-01
1.0000e-04     1.4180e-02     1.0194e-01
1.0000e-04     1.4370e-02     8.8940e-02
1.0000e-04     1.4550e-02     7.8070e-02
1.0000e-04     1.4730e-02     6.8456e-02
1.0000e-04     1.4910e-02     5.9962e-02
1.0000e-04     1.5090e-02     5.2469e-02
1.0000e-04     1.5270e-02     4.5866e-02
1.0000e-04     1.5460e-02     3.9754e-02
1.0000e-04     1.5640e-02     3.4683e-02
1.0000e-04     1.5820e-02     3.0231e-02
1.0000e-04     1.6000e-02     2.6327e-02
1.0000e-04     1.6180e-02     2.2907e-02
1.0000e-04     1.6360e-02     1.9914e-02
1.0000e-04     1.6550e-02     1.7162e-02
1.0000e-04     1.6730e-02     1.4894e-02
1.0000e-04     1.6910e-02     1.2916e-02
1.0000e-04     1.7090e-02     1.1192e-02
1.0000e-04     1.7270e-02     9.6900e-03
1.0000e-04     1.7450e-02     8.3837e-03
1.0000e-04     1.7640e-02     7.1897e-03
1.0000e-04     1.7820e-02     6.2112e-03
1.0000e-04     1.8000e-02     5.3622e-03
1.1310e-04     1.0000e-05     1.0809e-04
1.1310e-04     1.9170e-04     3.9628e-02
1.1310e-04     3.7340e-04     1.4937e-01
1.1310e-04     5.5520e-04     3.2670e-01
1.1310e-04     7.3690e-04     5.6702e-01
1.1310e-04     9.1860e-04     8.6450e-01
1.1310e-04     1.1000e-03     1.2114e+00
1.1310e-04     1.2820e-03     1.6012e+00
1.1310e-04     1.4640e-03     2.0240e+00
1.1310e-04     1.6450e-03     2.4678e+00
1.1310e-04     1.8270e-03     2.9279e+00
1.1310e-04     2.0090e-03     3.3925e+00
1.1310e-04     2.1910e-03     3.8525e+00
1.1310e-04     2.3720e-03     4.2972e+00
1.1310e-04     2.5540e-03     4.7239e+00
1.1310e-04     2.7360e-03     5.1234e+00
1.1310e-04     2.9170e-03     5.4884e+00
1.1310e-04     3.0990e-03     5.8184e+00
1.1310e-04     3.2810e-03     6.1081e+00
1.1310e-04     3.4630e-03     6.3553e+00
1.1310e-04     3.6440e-03     6.5579e+00
1.1310e-04     3.8260e-03     6.7178e+00
1.1310e-04     4.0080e-03     6.8344e+00
1.1310e-04     4.1890e-03     6.9088e+00
1.1310e-04     4.3710e-03     6.9435e+00
1.1310e-04     4.5530e-03     6.9404e+00
1.1310e-04     4.7350e-03     6.9020e+00
1.1310e-04     4.9160e-03     6.8318e+00
1.1310e-04     5.0980e-03     6.7319e+00
1.1310e-04     5.2800e-03     6.6057e+00
1.1310e-04     5.4620e-03     6.4561e+00
1.1310e-04     5.6430e-03     6.2872e+00
1.1310e-04     5.8250e-03     6.0999e+00
1.1310e-04     6.0070e-03     5.8978e+00
1.1310e-04     6.1880e-03     5.6848e+00
1.1310e-04     6.3700e-03     5.4609e+00
1.1310e-04     6.5520e-03     5.2296e+00
1.1310e-04     6.7340e-03     4.9930e+00
1.1310e-04     6.9150e-03     4.7544e+00
1.1310e-04     7.0970e-03     4.5130e+00
1.1310e-04     7.2790e-03     4.2717e+00
1.1310e-04     7.4600e-03     4.0335e+00
1.1310e-04     7.6420e-03     3.7970e+00
1.1310e-04     7.8240e-03     3.5648e+00
1.1310e-04     8.0060e-03     3.3379e+00
1.1310e-04     8.1870e-03     3.1185e+00
1.1310e-04     8.3690e-03     2.9050e+00
1.1310e-04     8.5510e-03     2.6993e+00
1.1310e-04     8.7320e-03     2.5030e+00
1.1310e-04     8.9140e-03     2.3143e+00
1.1310e-04     9.0960e-03     2.1347e+00
1.1310e-04     9.2780e-03     1.9644e+00
1.1310e-04     9.4590e-03     1.8044e+00
1.1310e-04     9.6410e-03     1.6529e+00
1.1310e-04     9.8230e-03     1.5107e+00
1.1310e-04     1.0000e-02     1.3813e+00
1.1310e-04     1.0190e-02     1.2519e+00
1.1310e-04     1.0370e-02     1.1381e+00
1.1310e-04     1.0550e-02     1.0326e+00
1.1310e-04     1.0730e-02     9.3505e-01
1.1310e-04     1.0910e-02     8.4512e-01
1.1310e-04     1.1090e-02     7.6243e-01
1.1310e-04     1.1280e-02     6.8257e-01
1.1310e-04     1.1460e-02     6.1354e-01
1.1310e-04     1.1640e-02     5.5055e-01
1.1310e-04     1.1820e-02     4.9320e-01
1.1310e-04     1.2000e-02     4.4112e-01
1.1310e-04     1.2190e-02     3.9142e-01
1.1310e-04     1.2370e-02     3.4897e-01
1.1310e-04     1.2550e-02     3.1066e-01
1.1310e-04     1.2730e-02     2.7616e-01
