 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 8
 No. of channels = 652
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.0795e-04
1.0000e-04     1.0790e-05     1.2568e-04
1.0000e-04     1.1630e-05     1.4601e-04
1.0000e-04     1.2550e-05     1.7002e-04
1.0000e-04     1.3540e-05     1.9790e-04
1.0000e-04     1.4600e-05     2.3010e-04
1.0000e-04     1.5750e-05     2.6777e-04
1.0000e-04     1.6990e-05     3.1160e-04
1.0000e-04     1.8330e-05     3.6269e-04
1.0000e-04     1.9770e-05     4.2191e-04
1.0000e-04     2.1320e-05     4.9065e-04
1.0000e-04     2.3000e-05     5.7103e-04
1.0000e-04     2.4810e-05     6.6443e-04
1.0000e-04     2.6760e-05     7.7298e-04
1.0000e-04     2.8860e-05     8.9905e-04
1.0000e-04     3.1130e-05     1.0460e-03
1.0000e-04     3.3580e-05     1.2172e-03
1.0000e-04     3.6220e-05     1.4160e-03
1.0000e-04     3.9070e-05     1.6476e-03
1.0000e-04     4.2150e-05     1.9176e-03
1.0000e-04     4.5460e-05     2.2306e-03
1.0000e-04     4.9040e-05     2.5957e-03
1.0000e-04     5.2890e-05     3.0191e-03
1.0000e-04     5.7050e-05     3.5127e-03
1.0000e-04     6.1540e-05     4.0872e-03
1.0000e-04     6.6380e-05     4.7552e-03
1.0000e-04     7.1600e-05     5.5322e-03
1.0000e-04     7.7230e-05     6.4361e-03
1.0000e-04     8.3310e-05     7.4889e-03
1.0000e-04     8.9860e-05     8.7121e-03
1.0000e-04     9.6930e-05     1.0136e-02
1.0000e-04     1.0460e-04     1.1803e-02
1.0000e-04     1.1280e-04     1.3724e-02
1.0000e-04     1.2160e-04     1.5947e-02
1.0000e-04     1.3120e-04     1.8561e-02
1.0000e-04     1.4150e-04     2.1586e-02
1.0000e-04     1.5270e-04     2.5133e-02
1.0000e-04     1.6470e-04     2.9231e-02
1.0000e-04     1.7760e-04     3.3980e-02
1.0000e-04     1.9160e-04     3.9536e-02
1.0000e-04     2.0670e-04     4.5995e-02
1.0000e-04     2.2290e-04     5.3463e-02
1.0000e-04     2.4040e-04     6.2156e-02
1.0000e-04     2.5940e-04     7.2325e-02
1.0000e-04     2.7980e-04     8.4089e-02
1.0000e-04     3.0180e-04     9.7753e-02
1.0000e-04     3.2550e-04     1.1360e-01
1.0000e-04     3.5110e-04     1.3203e-01
1.0000e-04     3.7870e-04     1.5340e-01
1.0000e-04     4.0850e-04     1.7823e-01
1.0000e-04     4.4060e-04     2.0698e-01
1.0000e-04     4.7530e-04     2.4038e-01
1.0000e-04     5.1270e-04     2.7904e-01
1.0000e-04     5.5300e-04     3.2374e-01
1.0000e-04     5.9650e-04     3.7548e-01
1.0000e-04     6.4340e-04     4.3524e-01
1.0000e-04     6.9400e-04     5.0422e-01
1.0000e-04     7.4860e-04     5.8375e-01
1.0000e-04     8.0750e-04     6.7529e-01
1.0000e-04     8.7100e-04     7.8039e-01
1.0000e-04     9.3950e-04     9.0087e-01
1.0000e-04     1.0130e-03     1.0379e+00
1.0000e-04     1.0930e-03     1.1955e+00
1.0000e-04     1.1790e-03     1.3741e+00
1.0000e-04     1.2720e-03     1.5767e+00
1.0000e-04     1.3720e-03     1.8043e+00
1.0000e-04     1.4800e-03     2.0596e+00
1.0000e-04     1.5960e-03     2.3427e+00
1.0000e-04     1.7220e-03     2.6576e+00
1.0000e-04     1.8570e-03     3.0002e+00
1.0000e-04     2.0030e-03     3.3725e+00
1.0000e-04     2.1610e-03     3.7720e+00
1.0000e-04     2.3310e-03     4.1920e+00
1.0000e-04     2.5140e-03     4.6255e+00
1.0000e-04     2.7120e-03     5.0651e+00
1.0000e-04     2.9250e-03     5.4956e+00
1.0000e-04     3.1550e-03     5.9033e+00
1.0000e-04     3.4030e-03     6.2694e+00
1.0000e-04     3.6710e-03     6.5747e+00
1.0000e-04     3.9600e-03     6.7979e+00
1.0000e-04     4.2710e-03     6.9193e+00
1.0000e-04     4.6070e-03     6.9229e+00
1.0000e-04     4.9690e-03     6.7965e+00
1.0000e-04     5.3600e-03     6.5343e+00
1.0000e-04     5.7820e-03     6.1382e+00
1.0000e-04     6.2360e-03     5.6204e+00
1.0000e-04     6.7270e-03     4.9972e+00
1.0000e-04     7.2560e-03     4.2984e+00
1.0000e-04     7.8270e-03     3.5583e+00
1.0000e-04     8.4420e-03     2.8198e+00
1.0000e-04     9.1060e-03     2.1240e+00
1.0000e-04     9.8220e-03     1.5109e+00
1.0000e-04     1.0600e-02     1.0044e+00
1.0000e-04     1.1430e-02     6.2449e-01
1.0000e-04     1.2330e-02     3.5801e-01
1.0000e-04     1.3300e-02     1.8849e-01
1.0000e-04     1.4340e-02     9.0884e-02
1.0000e-04     1.5470e-02     3.9455e-02
1.0000e-04     1.6690e-02     1.5372e-02
1.0000e-04     1.8000e-02     5.3622e-03
1.1310e-04     1.0000e-05     1.0809e-04
1.1310e-04     1.0790e-05     1.2584e-04
1.1310e-04     1.1630e-05     1.4619e-04
1.1310e-04     1.2550e-05     1.7024e-04
1.1310e-04     1.3540e-05     1.9816e-04
1.1310e-04     1.4600e-05     2.3040e-04
1.1310e-04     1.5750e-05     2.6812e-04
1.1310e-04     1.6990e-05     3.1200e-04
1.1310e-04     1.8330e-05     3.6316e-04
1.1310e-04     1.9770e-05     4.2245e-04
1.1310e-04     2.1320e-05     4.9129e-04
1.1310e-04     2.3000e-05     5.7177e-04
1.1310e-04     2.4810e-05     6.6529e-04
1.1310e-04     2.6760e-05     7.7398e-04
1.1310e-04     2.8860e-05     9.0022e-04
1.1310e-04     3.1130e-05     1.0474e-03
1.1310e-04     3.3580e-05     1.2187e-03
1.1310e-04     3.6220e-05     1.4179e-03
1.1310e-04     3.9070e-05     1.6498e-03
1.1310e-04     4.2150e-05     1.9201e-03
1.1310e-04     4.5460e-05     2.2335e-03
1.1310e-04     4.9040e-05     2.5990e-03
1.1310e-04     5.2890e-05     3.0231e-03
1.1310e-04     5.7050e-05     3.5172e-03
1.1310e-04     6.1540e-05     4.0925e-03
1.1310e-04     6.6380e-05     4.7613e-03
1.1310e-04     7.1600e-05     5.5394e-03
1.1310e-04     7.7230e-05     6.4444e-03
1.1310e-04     8.3310e-05     7.4986e-03
1.1310e-04     8.9860e-05     8.7234e-03
1.1310e-04     9.6930e-05     1.0149e-02
1.1310e-04     1.0460e-04     1.1818e-02
1.1310e-04     1.1280e-04     1.3742e-02
1.1310e-04     1.2160e-04     1.5967e-02
1.1310e-04     1.3120e-04     1.8585e-02
1.1310e-04     1.4150e-04     2.1614e-02
1.1310e-04     1.5270e-04     2.5166e-02
1.1310e-04     1.6470e-04     2.9269e-02
1.1310e-04     1.7760e-04     3.4024e-02
1.1310e-04     1.9160e-04     3.9587e-02
1.1310e-04     2.0670e-04     4.6055e-02
1.1310e-04     2.2290e-04     5.3533e-02
1.1310e-04     2.4040e-04     6.2236e-02
1.1310e-04     2.5940e-04     7.2419e-02
1.1310e-04     2.7980e-04     8.4198e-02
1.1310e-04     3.0180e-04     9.7880e-02
1.1310e-04     3.2550e-04     1.1375e-01
1.1310e-04     3.5110e-04     1.3220e-01
1.1310e-04     3.7870e-04     1.5360e-01
1.1310e-04     4.0850e-04     1.7846e-01
1.1310e-04     4.4060e-04     2.0725e-01
1.1310e-04     4.7530e-04     2.4069e-01
1.1310e-04     5.1270e-04     2.7940e-01
1.1310e-04     5.5300e-04     3.2417e-01
1.1310e-04     5.9650e-04     3.7598e-01
1.1310e-04     6.4340e-04     4.3581e-01
1.1310e-04     6.9400e-04     5.0488e-01
1.1310e-04     7.4860e-04     5.8452e-01
1.1310e-04     8.0750e-04     6.7618e-01
1.1310e-04     8.7100e-04     7.8142e-01
1.1310e-04     9.3950e-04     9.0207e-01
1.1310e-04     1.0130e-03     1.0393e+00
1.1310e-04     1.0930e-03     1.1971e+00
1.1310e-04     1.1790e-03     1.3759e+00
1.1310e-04     1.2720e-03     1.5788e+00
1.1310e-04     1.3720e-03     1.8067e+00
1.1310e-04     1.4800e-03     2.0624e+00
1.1310e-04     1.5960e-03     2.3459e+00
1.1310e-04     1.7220e-03     2.6613e+00
1.1310e-04     1.8570e-03     3.0044e+00
1.1310e-04     2.0030e-03     3.3772e+00
1.1310e-04     2.1610e-03     3.7774e+00
1.1310e-04     2.3310e-03     4.1980e+00
1.1310e-04     2.5140e-03     4.6322e+00
