 Element: F
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions = 8
 No. of channels = 112
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.0795e+00
1.1310e-04     1.0000e-03     1.0809e+00
1.2800e-04     1.0000e-03     1.0825e+00
1.4480e-04     1.0000e-03     1.0842e+00
1.6380e-04     1.0000e-03     1.0862e+00
1.8520e-04     1.0000e-03     1.0884e+00
2.0950e-04     1.0000e-03     1.0909e+00
2.3700e-04     1.0000e-03     1.0937e+00
2.6810e-04     1.0000e-03     1.0969e+00
3.0330e-04     1.0000e-03     1.1004e+00
3.4310e-04     1.0000e-03     1.1042e+00
3.8820e-04     1.0000e-03     1.1086e+00
4.3910e-04     1.0000e-03     1.1133e+00
4.9670e-04     1.0000e-03     1.1186e+00
5.6190e-04     1.0000e-03     1.1244e+00
6.3560e-04     1.0000e-03     1.1308e+00
7.1900e-04     1.0000e-03     1.1377e+00
8.1340e-04     1.0000e-03     1.1453e+00
9.2010e-04     1.0000e-03     1.1534e+00
1.0410e-03     1.0000e-03     1.1621e+00
1.1770e-03     1.0000e-03     1.1713e+00
1.3320e-03     1.0000e-03     1.1810e+00
1.5070e-03     1.0000e-03     1.1910e+00
1.7040e-03     1.0000e-03     1.2011e+00
1.9280e-03     1.0000e-03     1.2112e+00
2.1810e-03     1.0000e-03     1.2210e+00
2.4670e-03     1.0000e-03     1.2299e+00
2.7910e-03     1.0000e-03     1.2376e+00
3.1570e-03     1.0000e-03     1.2435e+00
3.5710e-03     1.0000e-03     1.2468e+00
4.0400e-03     1.0000e-03     1.2468e+00
4.5700e-03     1.0000e-03     1.2426e+00
5.1700e-03     1.0000e-03     1.2331e+00
5.8480e-03     1.0000e-03     1.2175e+00
6.6150e-03     1.0000e-03     1.1947e+00
7.4830e-03     1.0000e-03     1.1639e+00
8.4650e-03     1.0000e-03     1.1245e+00
9.5760e-03     1.0000e-03     1.0761e+00
1.0830e-02     1.0000e-03     1.0189e+00
1.2250e-02     1.0000e-03     9.5323e-01
1.3860e-02     1.0000e-03     8.7999e-01
1.5680e-02     1.0000e-03     8.0094e-01
1.7740e-02     1.0000e-03     7.1796e-01
2.0070e-02     1.0000e-03     6.3334e-01
2.2700e-02     1.0000e-03     5.4963e-01
2.5680e-02     1.0000e-03     4.6880e-01
2.9050e-02     1.0000e-03     3.9302e-01
3.2860e-02     1.0000e-03     3.2389e-01
3.7170e-02     1.0000e-03     2.6241e-01
4.2050e-02     1.0000e-03     2.0906e-01
4.7570e-02     1.0000e-03     1.6393e-01
5.3810e-02     1.0000e-03     1.2663e-01
6.0870e-02     1.0000e-03     9.6431e-02
6.8850e-02     1.0000e-03     7.2502e-02
7.7890e-02     1.0000e-03     5.3841e-02
8.8110e-02     1.0000e-03     3.9567e-02
9.9670e-02     1.0000e-03     2.8812e-02
1.1270e-01     1.0000e-03     2.0844e-02
1.2750e-01     1.0000e-03     1.4966e-02
1.4430e-01     1.0000e-03     1.0689e-02
1.6320e-01     1.0000e-03     7.6306e-03
1.8460e-01     1.0000e-03     5.4439e-03
2.0890e-01     1.0000e-03     3.8853e-03
2.3630e-01     1.0000e-03     2.7864e-03
2.6730e-01     1.0000e-03     2.0094e-03
3.0230e-01     1.0000e-03     1.4600e-03
3.4200e-01     1.0000e-03     1.0679e-03
3.8690e-01     1.0000e-03     7.8713e-04
4.3760e-01     1.0000e-03     5.8448e-04
4.9510e-01     1.0000e-03     4.3633e-04
5.6000e-01     1.0000e-03     3.2703e-04
6.3350e-01     1.0000e-03     2.4535e-04
7.1660e-01     1.0000e-03     1.8381e-04
8.1070e-01     1.0000e-03     1.3729e-04
9.1700e-01     1.0000e-03     1.0195e-04
1.0370e+00     1.0000e-03     7.5233e-05
1.1730e+00     1.0000e-03     5.4915e-05
1.3270e+00     1.0000e-03     3.9708e-05
1.5020e+00     1.0000e-03     2.8375e-05
1.6990e+00     1.0000e-03     2.0058e-05
1.9220e+00     1.0000e-03     1.4016e-05
2.1740e+00     1.0000e-03     9.7028e-06
2.4590e+00     1.0000e-03     6.6269e-06
2.7820e+00     1.0000e-03     4.4674e-06
3.1470e+00     1.0000e-03     2.9861e-06
3.5600e+00     1.0000e-03     1.9677e-06
4.0270e+00     1.0000e-03     1.2908e-06
4.5550e+00     1.0000e-03     8.3639e-07
5.1530e+00     1.0000e-03     5.3471e-07
5.8290e+00     1.0000e-03     3.4186e-07
6.5940e+00     1.0000e-03     2.1482e-07
7.4590e+00     1.0000e-03     1.3434e-07
8.4370e+00     1.0000e-03     8.3554e-08
9.5450e+00     1.0000e-03     5.1609e-08
1.0800e+01     1.0000e-03     3.1747e-08
1.2210e+01     1.0000e-03     1.9513e-08
1.3820e+01     1.0000e-03     1.1735e-08
1.5630e+01     1.0000e-03     7.1746e-09
1.7680e+01     1.0000e-03     4.3109e-09
2.0000e+01     1.0000e-03     2.5439e-09
