 Element: Ge
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-03   0.9981631E+00
   0.1495000E-03   0.9958992E+00
   0.1990000E-03   0.9927460E+00
   0.2485000E-03   0.9887123E+00
   0.2980000E-03   0.9838092E+00
   0.3475000E-03   0.9780503E+00
   0.3970000E-03   0.9714517E+00
   0.4465000E-03   0.9640314E+00
   0.4960000E-03   0.9558097E+00
   0.5455000E-03   0.9468089E+00
   0.5949000E-03   0.9370738E+00
   0.6444000E-03   0.9265911E+00
   0.6939000E-03   0.9154075E+00
   0.7434000E-03   0.9035524E+00
   0.7929000E-03   0.8910567E+00
   0.8424000E-03   0.8779526E+00
   0.8919000E-03   0.8642734E+00
   0.9414000E-03   0.8500535E+00
   0.9909000E-03   0.8353282E+00
   0.1040000E-02   0.8202580E+00
   0.1090000E-02   0.8044738E+00
   0.1139000E-02   0.7886132E+00
   0.1189000E-02   0.7720668E+00
   0.1238000E-02   0.7555331E+00
   0.1288000E-02   0.7383755E+00
   0.1337000E-02   0.7213169E+00
   0.1387000E-02   0.7036986E+00
   0.1436000E-02   0.6862614E+00
   0.1486000E-02   0.6683302E+00
   0.1535000E-02   0.6506572E+00
   0.1585000E-02   0.6325562E+00
   0.1634000E-02   0.6147846E+00
   0.1684000E-02   0.5966503E+00
   0.1733000E-02   0.5789100E+00
   0.1783000E-02   0.5608707E+00
   0.1832000E-02   0.5432830E+00
   0.1882000E-02   0.5254578E+00
   0.1931000E-02   0.5081344E+00
   0.1981000E-02   0.4906316E+00
   0.2030000E-02   0.4736733E+00
   0.2080000E-02   0.4565903E+00
   0.2129000E-02   0.4400867E+00
   0.2179000E-02   0.4235089E+00
   0.2228000E-02   0.4075379E+00
   0.2278000E-02   0.3915388E+00
   0.2327000E-02   0.3761664E+00
   0.2377000E-02   0.3608072E+00
   0.2426000E-02   0.3460878E+00
   0.2476000E-02   0.3314182E+00
   0.2525000E-02   0.3173944E+00
   0.2575000E-02   0.3034524E+00
   0.2624000E-02   0.2901562E+00
   0.2674000E-02   0.2769688E+00
   0.2723000E-02   0.2644216E+00
   0.2773000E-02   0.2520056E+00
   0.2822000E-02   0.2402192E+00
   0.2872000E-02   0.2285821E+00
   0.2921000E-02   0.2175593E+00
   0.2971000E-02   0.2066998E+00
   0.3020000E-02   0.1964358E+00
   0.3070000E-02   0.1863451E+00
   0.3119000E-02   0.1768276E+00
   0.3169000E-02   0.1674902E+00
   0.3218000E-02   0.1587012E+00
   0.3268000E-02   0.1500958E+00
   0.3317000E-02   0.1420120E+00
   0.3367000E-02   0.1341126E+00
   0.3416000E-02   0.1267064E+00
   0.3466000E-02   0.1194832E+00
   0.3515000E-02   0.1127237E+00
   0.3565000E-02   0.1061436E+00
   0.3614000E-02   0.9999753E-01
   0.3664000E-02   0.9402552E-01
   0.3713000E-02   0.8845754E-01
   0.3763000E-02   0.8305702E-01
   0.3812000E-02   0.7803084E-01
   0.3862000E-02   0.7316442E-01
   0.3911000E-02   0.6864324E-01
   0.3961000E-02   0.6427333E-01
   0.4010000E-02   0.6022037E-01
   0.4060000E-02   0.5630966E-01
   0.4109000E-02   0.5268869E-01
   0.4159000E-02   0.4920060E-01
   0.4208000E-02   0.4597625E-01
   0.4258000E-02   0.4287530E-01
   0.4307000E-02   0.4001344E-01
   0.4357000E-02   0.3726549E-01
   0.4406000E-02   0.3473344E-01
   0.4456000E-02   0.3230600E-01
   0.4505000E-02   0.3007275E-01
   0.4555000E-02   0.2793505E-01
   0.4604000E-02   0.2597137E-01
   0.4654000E-02   0.2409455E-01
   0.4703000E-02   0.2237310E-01
   0.4753000E-02   0.2073025E-01
   0.4802000E-02   0.1922561E-01
   0.4852000E-02   0.1779176E-01
   0.4901000E-02   0.1648044E-01
   0.4951000E-02   0.1523262E-01
   0.5000000E-02   0.1409305E-01
