 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     1.4304e-06
5.6000e-01     1.4950e-04     3.1971e-06
5.6000e-01     1.9900e-04     5.6647e-06
5.6000e-01     2.4850e-04     8.8334e-06
5.6000e-01     2.9800e-04     1.2703e-05
5.6000e-01     3.4750e-04     1.7274e-05
5.6000e-01     3.9700e-04     2.2545e-05
5.6000e-01     4.4650e-04     2.8518e-05
5.6000e-01     4.9600e-04     3.5192e-05
5.6000e-01     5.4550e-04     4.2567e-05
5.6000e-01     5.9490e-04     5.0626e-05
5.6000e-01     6.4440e-04     5.9402e-05
5.6000e-01     6.9390e-04     6.8879e-05
5.6000e-01     7.4340e-04     7.9058e-05
5.6000e-01     7.9290e-04     8.9937e-05
5.6000e-01     8.4240e-04     1.0152e-04
5.6000e-01     8.9190e-04     1.1380e-04
5.6000e-01     9.4140e-04     1.2678e-04
5.6000e-01     9.9090e-04     1.4047e-04
5.6000e-01     1.0400e-03     1.5474e-04
5.6000e-01     1.0900e-03     1.6997e-04
5.6000e-01     1.1390e-03     1.8560e-04
5.6000e-01     1.1890e-03     2.0226e-04
5.6000e-01     1.2380e-03     2.1928e-04
5.6000e-01     1.2880e-03     2.3735e-04
5.6000e-01     1.3370e-03     2.5576e-04
5.6000e-01     1.3870e-03     2.7525e-04
5.6000e-01     1.4360e-03     2.9504e-04
5.6000e-01     1.4860e-03     3.1595e-04
5.6000e-01     1.5350e-03     3.3714e-04
5.6000e-01     1.5850e-03     3.5947e-04
5.6000e-01     1.6340e-03     3.8204e-04
5.6000e-01     1.6840e-03     4.0579e-04
5.6000e-01     1.7330e-03     4.2976e-04
5.6000e-01     1.7830e-03     4.5492e-04
5.6000e-01     1.8320e-03     4.8028e-04
5.6000e-01     1.8820e-03     5.0687e-04
5.6000e-01     1.9310e-03     5.3361e-04
5.6000e-01     1.9810e-03     5.6162e-04
5.6000e-01     2.0300e-03     5.8976e-04
5.6000e-01     2.0800e-03     6.1919e-04
5.6000e-01     2.1290e-03     6.4872e-04
5.6000e-01     2.1790e-03     6.7956e-04
5.6000e-01     2.2280e-03     7.1049e-04
5.6000e-01     2.2780e-03     7.4276e-04
5.6000e-01     2.3270e-03     7.7507e-04
5.6000e-01     2.3770e-03     8.0876e-04
5.6000e-01     2.4260e-03     8.4247e-04
5.6000e-01     2.4760e-03     8.7758e-04
5.6000e-01     2.5250e-03     9.1269e-04
5.6000e-01     2.5750e-03     9.4922e-04
5.6000e-01     2.6240e-03     9.8572e-04
5.6000e-01     2.6740e-03     1.0237e-03
5.6000e-01     2.7230e-03     1.0616e-03
5.6000e-01     2.7730e-03     1.1009e-03
5.6000e-01     2.8220e-03     1.1402e-03
5.6000e-01     2.8720e-03     1.1810e-03
5.6000e-01     2.9210e-03     1.2217e-03
5.6000e-01     2.9710e-03     1.2640e-03
5.6000e-01     3.0200e-03     1.3060e-03
5.6000e-01     3.0700e-03     1.3497e-03
5.6000e-01     3.1190e-03     1.3932e-03
5.6000e-01     3.1690e-03     1.4382e-03
5.6000e-01     3.2180e-03     1.4831e-03
5.6000e-01     3.2680e-03     1.5296e-03
5.6000e-01     3.3170e-03     1.5759e-03
5.6000e-01     3.3670e-03     1.6238e-03
5.6000e-01     3.4160e-03     1.6715e-03
5.6000e-01     3.4660e-03     1.7209e-03
5.6000e-01     3.5150e-03     1.7699e-03
5.6000e-01     3.5650e-03     1.8207e-03
5.6000e-01     3.6140e-03     1.8712e-03
5.6000e-01     3.6640e-03     1.9234e-03
5.6000e-01     3.7130e-03     1.9753e-03
5.6000e-01     3.7630e-03     2.0289e-03
5.6000e-01     3.8120e-03     2.0822e-03
5.6000e-01     3.8620e-03     2.1373e-03
5.6000e-01     3.9110e-03     2.1919e-03
5.6000e-01     3.9610e-03     2.2485e-03
5.6000e-01     4.0100e-03     2.3045e-03
5.6000e-01     4.0600e-03     2.3625e-03
5.6000e-01     4.1090e-03     2.4200e-03
5.6000e-01     4.1590e-03     2.4793e-03
5.6000e-01     4.2080e-03     2.5382e-03
5.6000e-01     4.2580e-03     2.5990e-03
5.6000e-01     4.3070e-03     2.6593e-03
5.6000e-01     4.3570e-03     2.7215e-03
5.6000e-01     4.4060e-03     2.7832e-03
5.6000e-01     4.4560e-03     2.8469e-03
5.6000e-01     4.5050e-03     2.9100e-03
5.6000e-01     4.5550e-03     2.9751e-03
5.6000e-01     4.6040e-03     3.0396e-03
5.6000e-01     4.6540e-03     3.1062e-03
5.6000e-01     4.7030e-03     3.1721e-03
5.6000e-01     4.7530e-03     3.2401e-03
5.6000e-01     4.8020e-03     3.3074e-03
5.6000e-01     4.8520e-03     3.3768e-03
5.6000e-01     4.9010e-03     3.4456e-03
5.6000e-01     4.9510e-03     3.5164e-03
5.6000e-01     5.0000e-03     3.5866e-03
6.3350e-01     1.0000e-04     1.2417e-06
6.3350e-01     1.4950e-04     2.7753e-06
6.3350e-01     1.9900e-04     4.9174e-06
6.3350e-01     2.4850e-04     7.6680e-06
6.3350e-01     2.9800e-04     1.1027e-05
6.3350e-01     3.4750e-04     1.4995e-05
6.3350e-01     3.9700e-04     1.9571e-05
6.3350e-01     4.4650e-04     2.4756e-05
6.3350e-01     4.9600e-04     3.0549e-05
6.3350e-01     5.4550e-04     3.6952e-05
6.3350e-01     5.9490e-04     4.3948e-05
6.3350e-01     6.4440e-04     5.1566e-05
6.3350e-01     6.9390e-04     5.9793e-05
6.3350e-01     7.4340e-04     6.8629e-05
6.3350e-01     7.9290e-04     7.8074e-05
6.3350e-01     8.4240e-04     8.8127e-05
6.3350e-01     8.9190e-04     9.8790e-05
6.3350e-01     9.4140e-04     1.1006e-04
6.3350e-01     9.9090e-04     1.2194e-04
6.3350e-01     1.0400e-03     1.3433e-04
6.3350e-01     1.0900e-03     1.4756e-04
6.3350e-01     1.1390e-03     1.6112e-04
6.3350e-01     1.1890e-03     1.7558e-04
6.3350e-01     1.2380e-03     1.9036e-04
6.3350e-01     1.2880e-03     2.0605e-04
6.3350e-01     1.3370e-03     2.2203e-04
6.3350e-01     1.3870e-03     2.3895e-04
6.3350e-01     1.4360e-03     2.5614e-04
6.3350e-01     1.4860e-03     2.7429e-04
6.3350e-01     1.5350e-03     2.9269e-04
6.3350e-01     1.5850e-03     3.1207e-04
6.3350e-01     1.6340e-03     3.3168e-04
6.3350e-01     1.6840e-03     3.5229e-04
6.3350e-01     1.7330e-03     3.7310e-04
6.3350e-01     1.7830e-03     3.9496e-04
6.3350e-01     1.8320e-03     4.1697e-04
6.3350e-01     1.8820e-03     4.4006e-04
6.3350e-01     1.9310e-03     4.6329e-04
6.3350e-01     1.9810e-03     4.8760e-04
6.3350e-01     2.0300e-03     5.1204e-04
6.3350e-01     2.0800e-03     5.3759e-04
6.3350e-01     2.1290e-03     5.6324e-04
6.3350e-01     2.1790e-03     5.9002e-04
6.3350e-01     2.2280e-03     6.1688e-04
6.3350e-01     2.2780e-03     6.4490e-04
6.3350e-01     2.3270e-03     6.7297e-04
6.3350e-01     2.3770e-03     7.0223e-04
6.3350e-01     2.4260e-03     7.3150e-04
6.3350e-01     2.4760e-03     7.6200e-04
6.3350e-01     2.5250e-03     7.9249e-04
6.3350e-01     2.5750e-03     8.2422e-04
6.3350e-01     2.6240e-03     8.5592e-04
6.3350e-01     2.6740e-03     8.8888e-04
6.3350e-01     2.7230e-03     9.2180e-04
6.3350e-01     2.7730e-03     9.5600e-04
6.3350e-01     2.8220e-03     9.9013e-04
6.3350e-01     2.8720e-03     1.0256e-03
6.3350e-01     2.9210e-03     1.0609e-03
6.3350e-01     2.9710e-03     1.0976e-03
6.3350e-01     3.0200e-03     1.1342e-03
6.3350e-01     3.0700e-03     1.1721e-03
6.3350e-01     3.1190e-03     1.2099e-03
6.3350e-01     3.1690e-03     1.2490e-03
6.3350e-01     3.2180e-03     1.2880e-03
6.3350e-01     3.2680e-03     1.3284e-03
6.3350e-01     3.3170e-03     1.3686e-03
6.3350e-01     3.3670e-03     1.4103e-03
6.3350e-01     3.4160e-03     1.4517e-03
6.3350e-01     3.4660e-03     1.4946e-03
6.3350e-01     3.5150e-03     1.5372e-03
6.3350e-01     3.5650e-03     1.5813e-03
6.3350e-01     3.6140e-03     1.6252e-03
6.3350e-01     3.6640e-03     1.6706e-03
6.3350e-01     3.7130e-03     1.7157e-03
6.3350e-01     3.7630e-03     1.7623e-03
6.3350e-01     3.8120e-03     1.8086e-03
6.3350e-01     3.8620e-03     1.8564e-03
6.3350e-01     3.9110e-03     1.9040e-03
6.3350e-01     3.9610e-03     1.9531e-03
6.3350e-01     4.0100e-03     2.0018e-03
6.3350e-01     4.0600e-03     2.0522e-03
6.3350e-01     4.1090e-03     2.1022e-03
6.3350e-01     4.1590e-03     2.1538e-03
6.3350e-01     4.2080e-03     2.2050e-03
6.3350e-01     4.2580e-03     2.2578e-03
6.3350e-01     4.3070e-03     2.3102e-03
6.3350e-01     4.3570e-03     2.3644e-03
6.3350e-01     4.4060e-03     2.4180e-03
6.3350e-01     4.4560e-03     2.4734e-03
6.3350e-01     4.5050e-03     2.5282e-03
6.3350e-01     4.5550e-03     2.5848e-03
6.3350e-01     4.6040e-03     2.6409e-03
6.3350e-01     4.6540e-03     2.6988e-03
6.3350e-01     4.7030e-03     2.7561e-03
6.3350e-01     4.7530e-03     2.8153e-03
6.3350e-01     4.8020e-03     2.8738e-03
