 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     2.9379e-06
5.6000e-01     1.4950e-04     6.5663e-06
5.6000e-01     1.9900e-04     1.1634e-05
5.6000e-01     2.4850e-04     1.8142e-05
5.6000e-01     2.9800e-04     2.6090e-05
5.6000e-01     3.4750e-04     3.5478e-05
5.6000e-01     3.9700e-04     4.6305e-05
5.6000e-01     4.4650e-04     5.8572e-05
5.6000e-01     4.9600e-04     7.2280e-05
5.6000e-01     5.4550e-04     8.7427e-05
5.6000e-01     5.9490e-04     1.0398e-04
5.6000e-01     6.4440e-04     1.2200e-04
5.6000e-01     6.9390e-04     1.4147e-04
5.6000e-01     7.4340e-04     1.6237e-04
5.6000e-01     7.9290e-04     1.8472e-04
5.6000e-01     8.4240e-04     2.0851e-04
5.6000e-01     8.9190e-04     2.3373e-04
5.6000e-01     9.4140e-04     2.6040e-04
5.6000e-01     9.9090e-04     2.8851e-04
5.6000e-01     1.0400e-03     3.1781e-04
5.6000e-01     1.0900e-03     3.4911e-04
5.6000e-01     1.1390e-03     3.8121e-04
5.6000e-01     1.1890e-03     4.1542e-04
5.6000e-01     1.2380e-03     4.5037e-04
5.6000e-01     1.2880e-03     4.8749e-04
5.6000e-01     1.3370e-03     5.2530e-04
5.6000e-01     1.3870e-03     5.6533e-04
5.6000e-01     1.4360e-03     6.0600e-04
5.6000e-01     1.4860e-03     6.4894e-04
5.6000e-01     1.5350e-03     6.9246e-04
5.6000e-01     1.5850e-03     7.3832e-04
5.6000e-01     1.6340e-03     7.8469e-04
5.6000e-01     1.6840e-03     8.3347e-04
5.6000e-01     1.7330e-03     8.8270e-04
5.6000e-01     1.7830e-03     9.3439e-04
5.6000e-01     1.8320e-03     9.8648e-04
5.6000e-01     1.8820e-03     1.0411e-03
5.6000e-01     1.9310e-03     1.0960e-03
5.6000e-01     1.9810e-03     1.1536e-03
5.6000e-01     2.0300e-03     1.2114e-03
5.6000e-01     2.0800e-03     1.2718e-03
5.6000e-01     2.1290e-03     1.3325e-03
5.6000e-01     2.1790e-03     1.3958e-03
5.6000e-01     2.2280e-03     1.4594e-03
5.6000e-01     2.2780e-03     1.5256e-03
5.6000e-01     2.3270e-03     1.5920e-03
5.6000e-01     2.3770e-03     1.6612e-03
5.6000e-01     2.4260e-03     1.7305e-03
5.6000e-01     2.4760e-03     1.8026e-03
5.6000e-01     2.5250e-03     1.8747e-03
5.6000e-01     2.5750e-03     1.9498e-03
5.6000e-01     2.6240e-03     2.0248e-03
5.6000e-01     2.6740e-03     2.1027e-03
5.6000e-01     2.7230e-03     2.1806e-03
5.6000e-01     2.7730e-03     2.2615e-03
5.6000e-01     2.8220e-03     2.3422e-03
5.6000e-01     2.8720e-03     2.4260e-03
5.6000e-01     2.9210e-03     2.5096e-03
5.6000e-01     2.9710e-03     2.5964e-03
5.6000e-01     3.0200e-03     2.6828e-03
5.6000e-01     3.0700e-03     2.7725e-03
5.6000e-01     3.1190e-03     2.8618e-03
5.6000e-01     3.1690e-03     2.9545e-03
5.6000e-01     3.2180e-03     3.0467e-03
5.6000e-01     3.2680e-03     3.1422e-03
5.6000e-01     3.3170e-03     3.2373e-03
5.6000e-01     3.3670e-03     3.3358e-03
5.6000e-01     3.4160e-03     3.4337e-03
5.6000e-01     3.4660e-03     3.5351e-03
5.6000e-01     3.5150e-03     3.6360e-03
5.6000e-01     3.5650e-03     3.7403e-03
5.6000e-01     3.6140e-03     3.8440e-03
5.6000e-01     3.6640e-03     3.9513e-03
5.6000e-01     3.7130e-03     4.0579e-03
5.6000e-01     3.7630e-03     4.1681e-03
5.6000e-01     3.8120e-03     4.2776e-03
5.6000e-01     3.8620e-03     4.3908e-03
5.6000e-01     3.9110e-03     4.5031e-03
5.6000e-01     3.9610e-03     4.6193e-03
5.6000e-01     4.0100e-03     4.7345e-03
5.6000e-01     4.0600e-03     4.8536e-03
5.6000e-01     4.1090e-03     4.9717e-03
5.6000e-01     4.1590e-03     5.0937e-03
5.6000e-01     4.2080e-03     5.2147e-03
5.6000e-01     4.2580e-03     5.3397e-03
5.6000e-01     4.3070e-03     5.4636e-03
5.6000e-01     4.3570e-03     5.5915e-03
5.6000e-01     4.4060e-03     5.7183e-03
5.6000e-01     4.4560e-03     5.8492e-03
5.6000e-01     4.5050e-03     5.9789e-03
5.6000e-01     4.5550e-03     6.1127e-03
5.6000e-01     4.6040e-03     6.2453e-03
5.6000e-01     4.6540e-03     6.3821e-03
5.6000e-01     4.7030e-03     6.5175e-03
5.6000e-01     4.7530e-03     6.6573e-03
5.6000e-01     4.8020e-03     6.7957e-03
5.6000e-01     4.8520e-03     6.9384e-03
5.6000e-01     4.9010e-03     7.0797e-03
5.6000e-01     4.9510e-03     7.2253e-03
5.6000e-01     5.0000e-03     7.3695e-03
6.3350e-01     1.0000e-04     2.5409e-06
6.3350e-01     1.4950e-04     5.6790e-06
6.3350e-01     1.9900e-04     1.0062e-05
6.3350e-01     2.4850e-04     1.5691e-05
6.3350e-01     2.9800e-04     2.2565e-05
6.3350e-01     3.4750e-04     3.0684e-05
6.3350e-01     3.9700e-04     4.0048e-05
6.3350e-01     4.4650e-04     5.0658e-05
6.3350e-01     4.9600e-04     6.2514e-05
6.3350e-01     5.4550e-04     7.5614e-05
6.3350e-01     5.9490e-04     8.9931e-05
6.3350e-01     6.4440e-04     1.0552e-04
6.3350e-01     6.9390e-04     1.2236e-04
6.3350e-01     7.4340e-04     1.4044e-04
6.3350e-01     7.9290e-04     1.5976e-04
6.3350e-01     8.4240e-04     1.8034e-04
6.3350e-01     8.9190e-04     2.0216e-04
6.3350e-01     9.4140e-04     2.2522e-04
6.3350e-01     9.9090e-04     2.4953e-04
6.3350e-01     1.0400e-03     2.7488e-04
6.3350e-01     1.0900e-03     3.0195e-04
