 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     6.7224e-07
5.6000e-01     1.4950e-04     1.5025e-06
5.6000e-01     1.9900e-04     2.6621e-06
5.6000e-01     2.4850e-04     4.1512e-06
5.6000e-01     2.9800e-04     5.9698e-06
5.6000e-01     3.4750e-04     8.1177e-06
5.6000e-01     3.9700e-04     1.0595e-05
5.6000e-01     4.4650e-04     1.3402e-05
5.6000e-01     4.9600e-04     1.6538e-05
5.6000e-01     5.4550e-04     2.0004e-05
5.6000e-01     5.9490e-04     2.3791e-05
5.6000e-01     6.4440e-04     2.7915e-05
5.6000e-01     6.9390e-04     3.2368e-05
5.6000e-01     7.4340e-04     3.7151e-05
5.6000e-01     7.9290e-04     4.2264e-05
5.6000e-01     8.4240e-04     4.7705e-05
5.6000e-01     8.9190e-04     5.3477e-05
5.6000e-01     9.4140e-04     5.9577e-05
5.6000e-01     9.9090e-04     6.6007e-05
5.6000e-01     1.0400e-03     7.2711e-05
5.6000e-01     1.0900e-03     7.9871e-05
5.6000e-01     1.1390e-03     8.7213e-05
5.6000e-01     1.1890e-03     9.5039e-05
5.6000e-01     1.2380e-03     1.0303e-04
5.6000e-01     1.2880e-03     1.1152e-04
5.6000e-01     1.3370e-03     1.2017e-04
5.6000e-01     1.3870e-03     1.2933e-04
5.6000e-01     1.4360e-03     1.3863e-04
5.6000e-01     1.4860e-03     1.4845e-04
5.6000e-01     1.5350e-03     1.5840e-04
5.6000e-01     1.5850e-03     1.6889e-04
5.6000e-01     1.6340e-03     1.7949e-04
5.6000e-01     1.6840e-03     1.9065e-04
5.6000e-01     1.7330e-03     2.0190e-04
5.6000e-01     1.7830e-03     2.1372e-04
5.6000e-01     1.8320e-03     2.2563e-04
5.6000e-01     1.8820e-03     2.3812e-04
5.6000e-01     1.9310e-03     2.5068e-04
5.6000e-01     1.9810e-03     2.6383e-04
5.6000e-01     2.0300e-03     2.7705e-04
5.6000e-01     2.0800e-03     2.9086e-04
5.6000e-01     2.1290e-03     3.0473e-04
5.6000e-01     2.1790e-03     3.1921e-04
5.6000e-01     2.2280e-03     3.3373e-04
5.6000e-01     2.2780e-03     3.4888e-04
5.6000e-01     2.3270e-03     3.6405e-04
5.6000e-01     2.3770e-03     3.7987e-04
5.6000e-01     2.4260e-03     3.9569e-04
5.6000e-01     2.4760e-03     4.1217e-04
5.6000e-01     2.5250e-03     4.2865e-04
5.6000e-01     2.5750e-03     4.4579e-04
5.6000e-01     2.6240e-03     4.6292e-04
5.6000e-01     2.6740e-03     4.8074e-04
5.6000e-01     2.7230e-03     4.9852e-04
5.6000e-01     2.7730e-03     5.1700e-04
5.6000e-01     2.8220e-03     5.3543e-04
5.6000e-01     2.8720e-03     5.5458e-04
5.6000e-01     2.9210e-03     5.7367e-04
5.6000e-01     2.9710e-03     5.9348e-04
5.6000e-01     3.0200e-03     6.1322e-04
5.6000e-01     3.0700e-03     6.3370e-04
5.6000e-01     3.1190e-03     6.5409e-04
5.6000e-01     3.1690e-03     6.7523e-04
5.6000e-01     3.2180e-03     6.9628e-04
5.6000e-01     3.2680e-03     7.1809e-04
5.6000e-01     3.3170e-03     7.3979e-04
5.6000e-01     3.3670e-03     7.6227e-04
5.6000e-01     3.4160e-03     7.8462e-04
5.6000e-01     3.4660e-03     8.0776e-04
