 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     5.8619e-06
5.6000e-01     1.4950e-04     1.3102e-05
5.6000e-01     1.9900e-04     2.3216e-05
5.6000e-01     2.4850e-04     3.6204e-05
5.6000e-01     2.9800e-04     5.2068e-05
5.6000e-01     3.4750e-04     7.0809e-05
5.6000e-01     3.9700e-04     9.2428e-05
5.6000e-01     4.4650e-04     1.1693e-04
5.6000e-01     4.9600e-04     1.4431e-04
5.6000e-01     5.4550e-04     1.7458e-04
5.6000e-01     5.9490e-04     2.0766e-04
5.6000e-01     6.4440e-04     2.4370e-04
5.6000e-01     6.9390e-04     2.8263e-04
5.6000e-01     7.4340e-04     3.2446e-04
5.6000e-01     7.9290e-04     3.6919e-04
5.6000e-01     8.4240e-04     4.1682e-04
5.6000e-01     8.9190e-04     4.6736e-04
5.6000e-01     9.4140e-04     5.2081e-04
5.6000e-01     9.9090e-04     5.7718e-04
5.6000e-01     1.0400e-03     6.3598e-04
5.6000e-01     1.0900e-03     6.9882e-04
5.6000e-01     1.1390e-03     7.6330e-04
5.6000e-01     1.1890e-03     8.3207e-04
5.6000e-01     1.2380e-03     9.0237e-04
5.6000e-01     1.2880e-03     9.7708e-04
5.6000e-01     1.3370e-03     1.0532e-03
5.6000e-01     1.3870e-03     1.1339e-03
5.6000e-01     1.4360e-03     1.2159e-03
5.6000e-01     1.4860e-03     1.3026e-03
5.6000e-01     1.5350e-03     1.3906e-03
5.6000e-01     1.5850e-03     1.4833e-03
5.6000e-01     1.6340e-03     1.5771e-03
5.6000e-01     1.6840e-03     1.6759e-03
5.6000e-01     1.7330e-03     1.7757e-03
5.6000e-01     1.7830e-03     1.8806e-03
5.6000e-01     1.8320e-03     1.9864e-03
5.6000e-01     1.8820e-03     2.0974e-03
5.6000e-01     1.9310e-03     2.2093e-03
5.6000e-01     1.9810e-03     2.3264e-03
5.6000e-01     2.0300e-03     2.4443e-03
5.6000e-01     2.0800e-03     2.5677e-03
5.6000e-01     2.1290e-03     2.6917e-03
5.6000e-01     2.1790e-03     2.8214e-03
5.6000e-01     2.2280e-03     2.9515e-03
5.6000e-01     2.2780e-03     3.0875e-03
5.6000e-01     2.3270e-03     3.2238e-03
5.6000e-01     2.3770e-03     3.3661e-03
5.6000e-01     2.4260e-03     3.5087e-03
5.6000e-01     2.4760e-03     3.6573e-03
5.6000e-01     2.5250e-03     3.8062e-03
5.6000e-01     2.5750e-03     3.9613e-03
5.6000e-01     2.6240e-03     4.1165e-03
5.6000e-01     2.6740e-03     4.2781e-03
5.6000e-01     2.7230e-03     4.4396e-03
5.6000e-01     2.7730e-03     4.6078e-03
5.6000e-01     2.8220e-03     4.7758e-03
5.6000e-01     2.8720e-03     4.9505e-03
5.6000e-01     2.9210e-03     5.1250e-03
5.6000e-01     2.9710e-03     5.3064e-03
5.6000e-01     3.0200e-03     5.4875e-03
5.6000e-01     3.0700e-03     5.6756e-03
5.6000e-01     3.1190e-03     5.8632e-03
5.6000e-01     3.1690e-03     6.0581e-03
5.6000e-01     3.2180e-03     6.2525e-03
5.6000e-01     3.2680e-03     6.4542e-03
5.6000e-01     3.3170e-03     6.6553e-03
5.6000e-01     3.3670e-03     6.8639e-03
5.6000e-01     3.4160e-03     7.0718e-03
5.6000e-01     3.4660e-03     7.2874e-03
5.6000e-01     3.5150e-03     7.5021e-03
5.6000e-01     3.5650e-03     7.7248e-03
5.6000e-01     3.6140e-03     7.9465e-03
5.6000e-01     3.6640e-03     8.1763e-03
5.6000e-01     3.7130e-03     8.4050e-03
5.6000e-01     3.7630e-03     8.6419e-03
5.6000e-01     3.8120e-03     8.8777e-03
