 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     8.6565e-06
5.6000e-01     1.4950e-04     1.9348e-05
5.6000e-01     1.9900e-04     3.4283e-05
5.6000e-01     2.4850e-04     5.3464e-05
5.6000e-01     2.9800e-04     7.6891e-05
5.6000e-01     3.4750e-04     1.0457e-04
5.6000e-01     3.9700e-04     1.3649e-04
5.6000e-01     4.4650e-04     1.7267e-04
5.6000e-01     4.9600e-04     2.1311e-04
5.6000e-01     5.4550e-04     2.5781e-04
5.6000e-01     5.9490e-04     3.0666e-04
5.6000e-01     6.4440e-04     3.5989e-04
5.6000e-01     6.9390e-04     4.1738e-04
5.6000e-01     7.4340e-04     4.7915e-04
5.6000e-01     7.9290e-04     5.4520e-04
5.6000e-01     8.4240e-04     6.1555e-04
5.6000e-01     8.9190e-04     6.9018e-04
5.6000e-01     9.4140e-04     7.6912e-04
5.6000e-01     9.9090e-04     8.5237e-04
5.6000e-01     1.0400e-03     9.3920e-04
5.6000e-01     1.0900e-03     1.0320e-03
5.6000e-01     1.1390e-03     1.1272e-03
5.6000e-01     1.1890e-03     1.2288e-03
5.6000e-01     1.2380e-03     1.3326e-03
5.6000e-01     1.2880e-03     1.4430e-03
5.6000e-01     1.3370e-03     1.5554e-03
5.6000e-01     1.3870e-03     1.6746e-03
5.6000e-01     1.4360e-03     1.7957e-03
5.6000e-01     1.4860e-03     1.9238e-03
5.6000e-01     1.5350e-03     2.0536e-03
5.6000e-01     1.5850e-03     2.1905e-03
5.6000e-01     1.6340e-03     2.3291e-03
5.6000e-01     1.6840e-03     2.4751e-03
5.6000e-01     1.7330e-03     2.6225e-03
5.6000e-01     1.7830e-03     2.7774e-03
5.6000e-01     1.8320e-03     2.9336e-03
5.6000e-01     1.8820e-03     3.0976e-03
5.6000e-01     1.9310e-03     3.2628e-03
5.6000e-01     1.9810e-03     3.4359e-03
5.6000e-01     2.0300e-03     3.6100e-03
5.6000e-01     2.0800e-03     3.7923e-03
5.6000e-01     2.1290e-03     3.9754e-03
5.6000e-01     2.1790e-03     4.1669e-03
5.6000e-01     2.2280e-03     4.3591e-03
5.6000e-01     2.2780e-03     4.5599e-03
5.6000e-01     2.3270e-03     4.7613e-03
5.6000e-01     2.3770e-03     4.9715e-03
5.6000e-01     2.4260e-03     5.1821e-03
5.6000e-01     2.4760e-03     5.4017e-03
5.6000e-01     2.5250e-03     5.6216e-03
5.6000e-01     2.5750e-03     5.8507e-03
5.6000e-01     2.6240e-03     6.0799e-03
5.6000e-01     2.6740e-03     6.3186e-03
5.6000e-01     2.7230e-03     6.5573e-03
5.6000e-01     2.7730e-03     6.8057e-03
5.6000e-01     2.8220e-03     7.0539e-03
5.6000e-01     2.8720e-03     7.3120e-03
5.6000e-01     2.9210e-03     7.5698e-03
5.6000e-01     2.9710e-03     7.8378e-03
5.6000e-01     3.0200e-03     8.1053e-03
5.6000e-01     3.0700e-03     8.3832e-03
5.6000e-01     3.1190e-03     8.6604e-03
5.6000e-01     3.1690e-03     8.9483e-03
5.6000e-01     3.2180e-03     9.2354e-03
5.6000e-01     3.2680e-03     9.5335e-03
5.6000e-01     3.3170e-03     9.8306e-03
5.6000e-01     3.3670e-03     1.0139e-02
5.6000e-01     3.4160e-03     1.0446e-02
5.6000e-01     3.4660e-03     1.0765e-02
5.6000e-01     3.5150e-03     1.1082e-02
5.6000e-01     3.5650e-03     1.1411e-02
5.6000e-01     3.6140e-03     1.1738e-02
5.6000e-01     3.6640e-03     1.2078e-02
5.6000e-01     3.7130e-03     1.2416e-02
5.6000e-01     3.7630e-03     1.2766e-02
5.6000e-01     3.8120e-03     1.3114e-02
5.6000e-01     3.8620e-03     1.3475e-02
5.6000e-01     3.9110e-03     1.3834e-02
5.6000e-01     3.9610e-03     1.4206e-02
5.6000e-01     4.0100e-03     1.4576e-02
5.6000e-01     4.0600e-03     1.4959e-02
5.6000e-01     4.1090e-03     1.5339e-02
