 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     3.0833e-05
5.6000e-01     1.4950e-04     6.8913e-05
5.6000e-01     1.9900e-04     1.2211e-04
5.6000e-01     2.4850e-04     1.9041e-04
5.6000e-01     2.9800e-04     2.7384e-04
5.6000e-01     3.4750e-04     3.7238e-04
5.6000e-01     3.9700e-04     4.8605e-04
5.6000e-01     4.4650e-04     6.1486e-04
5.6000e-01     4.9600e-04     7.5879e-04
5.6000e-01     5.4550e-04     9.1787e-04
5.6000e-01     5.9490e-04     1.0917e-03
5.6000e-01     6.4440e-04     1.2811e-03
5.6000e-01     6.9390e-04     1.4856e-03
5.6000e-01     7.4340e-04     1.7053e-03
5.6000e-01     7.9290e-04     1.9402e-03
5.6000e-01     8.4240e-04     2.1902e-03
5.6000e-01     8.9190e-04     2.4555e-03
5.6000e-01     9.4140e-04     2.7360e-03
5.6000e-01     9.9090e-04     3.0317e-03
5.6000e-01     1.0400e-03     3.3401e-03
5.6000e-01     1.0900e-03     3.6695e-03
5.6000e-01     1.1390e-03     4.0075e-03
5.6000e-01     1.1890e-03     4.3678e-03
5.6000e-01     1.2380e-03     4.7360e-03
5.6000e-01     1.2880e-03     5.1272e-03
5.6000e-01     1.3370e-03     5.5258e-03
5.6000e-01     1.3870e-03     5.9480e-03
5.6000e-01     1.4360e-03     6.3770e-03
5.6000e-01     1.4860e-03     6.8302e-03
5.6000e-01     1.5350e-03     7.2897e-03
5.6000e-01     1.5850e-03     7.7741e-03
5.6000e-01     1.6340e-03     8.2641e-03
5.6000e-01     1.6840e-03     8.7797e-03
5.6000e-01     1.7330e-03     9.3003e-03
5.6000e-01     1.7830e-03     9.8472e-03
5.6000e-01     1.8320e-03     1.0399e-02
5.6000e-01     1.8820e-03     1.0977e-02
5.6000e-01     1.9310e-03     1.1559e-02
5.6000e-01     1.9810e-03     1.2169e-02
5.6000e-01     2.0300e-03     1.2782e-02
5.6000e-01     2.0800e-03     1.3423e-02
5.6000e-01     2.1290e-03     1.4068e-02
5.6000e-01     2.1790e-03     1.4741e-02
5.6000e-01     2.2280e-03     1.5416e-02
5.6000e-01     2.2780e-03     1.6121e-02
5.6000e-01     2.3270e-03     1.6827e-02
5.6000e-01     2.3770e-03     1.7564e-02
5.6000e-01     2.4260e-03     1.8302e-02
5.6000e-01     2.4760e-03     1.9071e-02
5.6000e-01     2.5250e-03     1.9840e-02
5.6000e-01     2.5750e-03     2.0642e-02
5.6000e-01     2.6240e-03     2.1443e-02
5.6000e-01     2.6740e-03     2.2276e-02
5.6000e-01     2.7230e-03     2.3109e-02
