 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     2
 No. of channels =   100
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     4.3417e-08
1.0000e-04     1.0400e-04     4.6952e-08
1.0000e-04     1.0820e-04     5.0812e-08
1.0000e-04     1.1260e-04     5.5018e-08
1.0000e-04     1.1710e-04     5.9492e-08
1.0000e-04     1.2180e-04     6.4349e-08
1.0000e-04     1.2680e-04     6.9724e-08
1.0000e-04     1.3190e-04     7.5426e-08
1.0000e-04     1.3720e-04     8.1586e-08
1.0000e-04     1.4270e-04     8.8232e-08
1.0000e-04     1.4850e-04     9.5518e-08
1.0000e-04     1.5440e-04     1.0322e-07
1.0000e-04     1.6070e-04     1.1177e-07
1.0000e-04     1.6710e-04     1.2081e-07
1.0000e-04     1.7390e-04     1.3078e-07
1.0000e-04     1.8090e-04     1.4145e-07
1.0000e-04     1.8820e-04     1.5301e-07
1.0000e-04     1.9580e-04     1.6553e-07
1.0000e-04     2.0370e-04     1.7904e-07
1.0000e-04     2.1190e-04     1.9362e-07
1.0000e-04     2.2040e-04     2.0931e-07
1.0000e-04     2.2930e-04     2.2638e-07
1.0000e-04     2.3850e-04     2.4470e-07
1.0000e-04     2.4810e-04     2.6456e-07
1.0000e-04     2.5810e-04     2.8603e-07
1.0000e-04     2.6860e-04     3.0944e-07
1.0000e-04     2.7940e-04     3.3444e-07
1.0000e-04     2.9060e-04     3.6133e-07
1.0000e-04     3.0240e-04     3.9074e-07
1.0000e-04     3.1450e-04     4.2201e-07
1.0000e-04     3.2720e-04     4.5606e-07
1.0000e-04     3.4040e-04     4.9274e-07
1.0000e-04     3.5410e-04     5.3221e-07
1.0000e-04     3.6840e-04     5.7490e-07
1.0000e-04     3.8330e-04     6.2098e-07
1.0000e-04     3.9870e-04     6.7030e-07
1.0000e-04     4.1480e-04     7.2367e-07
1.0000e-04     4.3150e-04     7.8094e-07
1.0000e-04     4.4890e-04     8.4266e-07
1.0000e-04     4.6700e-04     9.0903e-07
1.0000e-04     4.8580e-04     9.8025e-07
1.0000e-04     5.0540e-04     1.0569e-06
1.0000e-04     5.2570e-04     1.1389e-06
1.0000e-04     5.4690e-04     1.2271e-06
1.0000e-04     5.6900e-04     1.3219e-06
1.0000e-04     5.9190e-04     1.4230e-06
1.0000e-04     6.1580e-04     1.5316e-06
1.0000e-04     6.4060e-04     1.6474e-06
1.0000e-04     6.6640e-04     1.7711e-06
1.0000e-04     6.9330e-04     1.9033e-06
1.0000e-04     7.2120e-04     2.0438e-06
1.0000e-04     7.5030e-04     2.1937e-06
1.0000e-04     7.8050e-04     2.3526e-06
1.0000e-04     8.1200e-04     2.5216e-06
1.0000e-04     8.4470e-04     2.7001e-06
1.0000e-04     8.7880e-04     2.8894e-06
1.0000e-04     9.1420e-04     3.0886e-06
1.0000e-04     9.5100e-04     3.2980e-06
1.0000e-04     9.8940e-04     3.5186e-06
1.0000e-04     1.0290e-03     3.7475e-06
1.0000e-04     1.0710e-03     3.9910e-06
1.0000e-04     1.1140e-03     4.2403e-06
1.0000e-04     1.1590e-03     4.5002e-06
1.0000e-04     1.2050e-03     4.7637e-06
1.0000e-04     1.2540e-03     5.0409e-06
1.0000e-04     1.3050e-03     5.3243e-06
1.0000e-04     1.3570e-03     5.6065e-06
1.0000e-04     1.4120e-03     5.8960e-06
1.0000e-04     1.4690e-03     6.1849e-06
1.0000e-04     1.5280e-03     6.4704e-06
1.0000e-04     1.5900e-03     6.7538e-06
1.0000e-04     1.6540e-03     7.0269e-06
1.0000e-04     1.7200e-03     7.2862e-06
1.0000e-04     1.7900e-03     7.5350e-06
1.0000e-04     1.8620e-03     7.7613e-06
1.0000e-04     1.9370e-03     7.9640e-06
1.0000e-04     2.0150e-03     8.1382e-06
1.0000e-04     2.0960e-03     8.2791e-06
1.0000e-04     2.1810e-03     8.3833e-06
1.0000e-04     2.2690e-03     8.4448e-06
1.0000e-04     2.3600e-03     8.4602e-06
1.0000e-04     2.4550e-03     8.4264e-06
1.0000e-04     2.5540e-03     8.3402e-06
1.0000e-04     2.6570e-03     8.1998e-06
1.0000e-04     2.7640e-03     8.0046e-06
1.0000e-04     2.8750e-03     7.7557e-06
1.0000e-04     2.9910e-03     7.4528e-06
1.0000e-04     3.1120e-03     7.0992e-06
1.0000e-04     3.2370e-03     6.7034e-06
1.0000e-04     3.3680e-03     6.2656e-06
1.0000e-04     3.5040e-03     5.7971e-06
1.0000e-04     3.6450e-03     5.3073e-06
1.0000e-04     3.7920e-03     4.8026e-06
1.0000e-04     3.9450e-03     4.2934e-06
1.0000e-04     4.1040e-03     3.7902e-06
1.0000e-04     4.2690e-03     3.3026e-06
1.0000e-04     4.4410e-03     2.8369e-06
1.0000e-04     4.6200e-03     2.4010e-06
1.0000e-04     4.8060e-03     2.0013e-06
1.0000e-04     5.0000e-03     1.6404e-06
1.1310e-04     1.0000e-04     4.3371e-08
1.1310e-04     1.0400e-04     4.6903e-08
