 Element: Ge
 Maximum L =  1
 Maximum kappa =  4
 No. of transitions =     2
 No. of channels =    28
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     2.5919e-04
1.1310e-04     1.0000e-03     2.5913e-04
1.2800e-04     1.0000e-03     2.5907e-04
1.4480e-04     1.0000e-03     2.5900e-04
1.6380e-04     1.0000e-03     2.5892e-04
1.8520e-04     1.0000e-03     2.5883e-04
2.0950e-04     1.0000e-03     2.5873e-04
2.3700e-04     1.0000e-03     2.5863e-04
2.6810e-04     1.0000e-03     2.5852e-04
3.0330e-04     1.0000e-03     2.5840e-04
3.4310e-04     1.0000e-03     2.5827e-04
3.8820e-04     1.0000e-03     2.5813e-04
4.3910e-04     1.0000e-03     2.5800e-04
4.9670e-04     1.0000e-03     2.5785e-04
5.6190e-04     1.0000e-03     2.5771e-04
6.3560e-04     1.0000e-03     2.5758e-04
7.1900e-04     1.0000e-03     2.5745e-04
8.1340e-04     1.0000e-03     2.5735e-04
9.2010e-04     1.0000e-03     2.5726e-04
1.0410e-03     1.0000e-03     2.5722e-04
1.1770e-03     1.0000e-03     2.5723e-04
1.3320e-03     1.0000e-03     2.5730e-04
1.5070e-03     1.0000e-03     2.5746e-04
1.7040e-03     1.0000e-03     2.5772e-04
1.9280e-03     1.0000e-03     2.5811e-04
2.1810e-03     1.0000e-03     2.5865e-04
2.4670e-03     1.0000e-03     2.5938e-04
2.7910e-03     1.0000e-03     2.6032e-04
3.1570e-03     1.0000e-03     2.6150e-04
3.5710e-03     1.0000e-03     2.6296e-04
4.0400e-03     1.0000e-03     2.6473e-04
4.5700e-03     1.0000e-03     2.6683e-04
5.1700e-03     1.0000e-03     2.6930e-04
5.8480e-03     1.0000e-03     2.7215e-04
6.6150e-03     1.0000e-03     2.7540e-04
7.4830e-03     1.0000e-03     2.7907e-04
8.4650e-03     1.0000e-03     2.8315e-04
9.5760e-03     1.0000e-03     2.8763e-04
1.0830e-02     1.0000e-03     2.9249e-04
1.2250e-02     1.0000e-03     2.9771e-04
1.3860e-02     1.0000e-03     3.0324e-04
1.5680e-02     1.0000e-03     3.0902e-04
1.7740e-02     1.0000e-03     3.1498e-04
2.0070e-02     1.0000e-03     3.2101e-04
2.2700e-02     1.0000e-03     3.2703e-04
2.5680e-02     1.0000e-03     3.3292e-04
2.9050e-02     1.0000e-03     3.3855e-04
3.2860e-02     1.0000e-03     3.4382e-04
3.7170e-02     1.0000e-03     3.4854e-04
4.2050e-02     1.0000e-03     3.5263e-04
4.7570e-02     1.0000e-03     3.5592e-04
5.3810e-02     1.0000e-03     3.5826e-04
6.0870e-02     1.0000e-03     3.5953e-04
6.8850e-02     1.0000e-03     3.5958e-04
7.7890e-02     1.0000e-03     3.5835e-04
8.8110e-02     1.0000e-03     3.5567e-04
9.9670e-02     1.0000e-03     3.5150e-04
1.1270e-01     1.0000e-03     3.4574e-04
1.2750e-01     1.0000e-03     3.3830e-04
1.4430e-01     1.0000e-03     3.2912e-04
1.6320e-01     1.0000e-03     3.1832e-04
1.8460e-01     1.0000e-03     3.0581e-04
2.0890e-01     1.0000e-03     2.9167e-04
2.3630e-01     1.0000e-03     2.7608e-04
2.6730e-01     1.0000e-03     2.5919e-04
3.0230e-01     1.0000e-03     2.4112e-04
3.4200e-01     1.0000e-03     2.2212e-04
3.8690e-01     1.0000e-03     2.0246e-04
4.3760e-01     1.0000e-03     1.8259e-04
4.9510e-01     1.0000e-03     1.6265e-04
5.6000e-01     1.0000e-03     1.4304e-04
6.3350e-01     1.0000e-03     1.2417e-04
7.1660e-01     1.0000e-03     1.0635e-04
8.1070e-01     1.0000e-03     8.9678e-05
9.1700e-01     1.0000e-03     7.4570e-05
1.0370e+00     1.0000e-03     6.0996e-05
1.1730e+00     1.0000e-03     4.9095e-05
1.3270e+00     1.0000e-03     3.8844e-05
1.5020e+00     1.0000e-03     3.0195e-05
1.6990e+00     1.0000e-03     2.3078e-05
1.9220e+00     1.0000e-03     1.7335e-05
2.1740e+00     1.0000e-03     1.2819e-05
2.4590e+00     1.0000e-03     9.3071e-06
2.7820e+00     1.0000e-03     6.6331e-06
3.1470e+00     1.0000e-03     4.6632e-06
3.5600e+00     1.0000e-03     3.2157e-06
4.0270e+00     1.0000e-03     2.1892e-06
4.5550e+00     1.0000e-03     1.4614e-06
5.1530e+00     1.0000e-03     9.6408e-07
5.8290e+00     1.0000e-03     6.2633e-07
6.5940e+00     1.0000e-03     4.0391e-07
7.4590e+00     1.0000e-03     2.5596e-07
8.4370e+00     1.0000e-03     1.5917e-07
9.5450e+00     1.0000e-03     9.8845e-08
1.0800e+01     1.0000e-03     6.0511e-08
1.2210e+01     1.0000e-03     3.6489e-08
1.3820e+01     1.0000e-03     2.1870e-08
1.5630e+01     1.0000e-03     1.3032e-08
1.7680e+01     1.0000e-03     7.7057e-09
2.0000e+01     1.0000e-03     4.5095e-09
