 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     3
 No. of channels =   288
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     4.5141e-06
1.0000e-04     1.4950e-04     1.0066e-05
1.0000e-04     1.9900e-04     1.7780e-05
1.0000e-04     2.4850e-04     2.7612e-05
1.0000e-04     2.9800e-04     3.9511e-05
1.0000e-04     3.4750e-04     5.3414e-05
1.0000e-04     3.9700e-04     6.9245e-05
1.0000e-04     4.4650e-04     8.6920e-05
1.0000e-04     4.9600e-04     1.0635e-04
1.0000e-04     5.4550e-04     1.2742e-04
1.0000e-04     5.9490e-04     1.4999e-04
1.0000e-04     6.4440e-04     1.7402e-04
1.0000e-04     6.9390e-04     1.9935e-04
1.0000e-04     7.4340e-04     2.2585e-04
1.0000e-04     7.9290e-04     2.5338e-04
1.0000e-04     8.4240e-04     2.8181e-04
1.0000e-04     8.9190e-04     3.1099e-04
1.0000e-04     9.4140e-04     3.4078e-04
1.0000e-04     9.9090e-04     3.7104e-04
1.0000e-04     1.0400e-03     4.0136e-04
1.0000e-04     1.0900e-03     4.3243e-04
1.0000e-04     1.1390e-03     4.6290e-04
1.0000e-04     1.1890e-03     4.9389e-04
1.0000e-04     1.2380e-03     5.2401e-04
1.0000e-04     1.2880e-03     5.5437e-04
1.0000e-04     1.3370e-03     5.8361e-04
1.0000e-04     1.3870e-03     6.1282e-04
1.0000e-04     1.4360e-03     6.4069e-04
1.0000e-04     1.4860e-03     6.6826e-04
1.0000e-04     1.5350e-03     6.9431e-04
1.0000e-04     1.5850e-03     7.1982e-04
1.0000e-04     1.6340e-03     7.4367e-04
1.0000e-04     1.6840e-03     7.6675e-04
1.0000e-04     1.7330e-03     7.8806e-04
1.0000e-04     1.7830e-03     8.0841e-04
1.0000e-04     1.8320e-03     8.2693e-04
1.0000e-04     1.8820e-03     8.4432e-04
1.0000e-04     1.9310e-03     8.5984e-04
1.0000e-04     1.9810e-03     8.7409e-04
1.0000e-04     2.0300e-03     8.8649e-04
1.0000e-04     2.0800e-03     8.9751e-04
1.0000e-04     2.1290e-03     9.0672e-04
1.0000e-04     2.1790e-03     9.1447e-04
