 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     3
 No. of channels =   288
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     4.5141e-06
1.0000e-04     1.0400e-04     4.8818e-06
1.0000e-04     1.0820e-04     5.2832e-06
1.0000e-04     1.1260e-04     5.7206e-06
1.0000e-04     1.1710e-04     6.1858e-06
1.0000e-04     1.2180e-04     6.6909e-06
1.0000e-04     1.2680e-04     7.2499e-06
1.0000e-04     1.3190e-04     7.8429e-06
1.0000e-04     1.3720e-04     8.4836e-06
1.0000e-04     1.4270e-04     9.1748e-06
1.0000e-04     1.4850e-04     9.9327e-06
1.0000e-04     1.5440e-04     1.0734e-05
1.0000e-04     1.6070e-04     1.1624e-05
1.0000e-04     1.6710e-04     1.2563e-05
1.0000e-04     1.7390e-04     1.3601e-05
1.0000e-04     1.8090e-04     1.4711e-05
1.0000e-04     1.8820e-04     1.5914e-05
1.0000e-04     1.9580e-04     1.7216e-05
1.0000e-04     2.0370e-04     1.8623e-05
1.0000e-04     2.1190e-04     2.0140e-05
1.0000e-04     2.2040e-04     2.1773e-05
1.0000e-04     2.2930e-04     2.3550e-05
1.0000e-04     2.3850e-04     2.5457e-05
1.0000e-04     2.4810e-04     2.7524e-05
1.0000e-04     2.5810e-04     2.9760e-05
1.0000e-04     2.6860e-04     3.2198e-05
1.0000e-04     2.7940e-04     3.4802e-05
1.0000e-04     2.9060e-04     3.7603e-05
1.0000e-04     3.0240e-04     4.0667e-05
1.0000e-04     3.1450e-04     4.3926e-05
1.0000e-04     3.2720e-04     4.7474e-05
1.0000e-04     3.4040e-04     5.1299e-05
1.0000e-04     3.5410e-04     5.5415e-05
1.0000e-04     3.6840e-04     5.9867e-05
1.0000e-04     3.8330e-04     6.4675e-05
1.0000e-04     3.9870e-04     6.9821e-05
1.0000e-04     4.1480e-04     7.5393e-05
1.0000e-04     4.3150e-04     8.1375e-05
1.0000e-04     4.4890e-04     8.7822e-05
1.0000e-04     4.6700e-04     9.4759e-05
1.0000e-04     4.8580e-04     1.0221e-04
1.0000e-04     5.0540e-04     1.1023e-04
1.0000e-04     5.2570e-04     1.1880e-04
1.0000e-04     5.4690e-04     1.2804e-04
1.0000e-04     5.6900e-04     1.3797e-04
1.0000e-04     5.9190e-04     1.4858e-04
1.0000e-04     6.1580e-04     1.5997e-04
1.0000e-04     6.4060e-04     1.7213e-04
1.0000e-04     6.6640e-04     1.8513e-04
1.0000e-04     6.9330e-04     1.9904e-04
1.0000e-04     7.2120e-04     2.1383e-04
1.0000e-04     7.5030e-04     2.2963e-04
1.0000e-04     7.8050e-04     2.4640e-04
1.0000e-04     8.1200e-04     2.6425e-04
1.0000e-04     8.4470e-04     2.8315e-04
1.0000e-04     8.7880e-04     3.0320e-04
1.0000e-04     9.1420e-04     3.2434e-04
1.0000e-04     9.5100e-04     3.4662e-04
1.0000e-04     9.8940e-04     3.7011e-04
1.0000e-04     1.0290e-03     3.9455e-04
1.0000e-04     1.0710e-03     4.2061e-04
1.0000e-04     1.1140e-03     4.4736e-04
1.0000e-04     1.1590e-03     4.7532e-04
1.0000e-04     1.2050e-03     5.0376e-04
1.0000e-04     1.2540e-03     5.3378e-04
1.0000e-04     1.3050e-03     5.6458e-04
1.0000e-04     1.3570e-03     5.9538e-04
1.0000e-04     1.4120e-03     6.2714e-04
1.0000e-04     1.4690e-03     6.5899e-04
1.0000e-04     1.5280e-03     6.9065e-04
1.0000e-04     1.5900e-03     7.2231e-04
1.0000e-04     1.6540e-03     7.5306e-04
1.0000e-04     1.7200e-03     7.8254e-04
1.0000e-04     1.7900e-03     8.1115e-04
1.0000e-04     1.8620e-03     8.3755e-04
1.0000e-04     1.9370e-03     8.6163e-04
1.0000e-04     2.0150e-03     8.8286e-04
1.0000e-04     2.0960e-03     9.0069e-04
1.0000e-04     2.1810e-03     9.1475e-04
1.0000e-04     2.2690e-03     9.2430e-04
1.0000e-04     2.3600e-03     9.2893e-04
1.0000e-04     2.4550e-03     9.2824e-04
1.0000e-04     2.5540e-03     9.2182e-04
1.0000e-04     2.6570e-03     9.0936e-04
1.0000e-04     2.7640e-03     8.9068e-04
1.0000e-04     2.8750e-03     8.6580e-04
1.0000e-04     2.9910e-03     8.3459e-04
1.0000e-04     3.1120e-03     7.9729e-04
1.0000e-04     3.2370e-03     7.5470e-04
1.0000e-04     3.3680e-03     7.0679e-04
1.0000e-04     3.5040e-03     6.5474e-04
1.0000e-04     3.6450e-03     5.9957e-04
1.0000e-04     3.7920e-03     5.4201e-04
1.0000e-04     3.9450e-03     4.8328e-04
1.0000e-04     4.1040e-03     4.2467e-04
1.0000e-04     4.2690e-03     3.6745e-04
1.0000e-04     4.4410e-03     3.1249e-04
1.0000e-04     4.6200e-03     2.6092e-04
1.0000e-04     4.8060e-03     2.1367e-04
1.0000e-04     5.0000e-03     1.7123e-04
1.1310e-04     1.0000e-04     4.5205e-06
1.1310e-04     1.0400e-04     4.8887e-06
1.1310e-04     1.0820e-04     5.2906e-06
1.1310e-04     1.1260e-04     5.7286e-06
1.1310e-04     1.1710e-04     6.1945e-06
1.1310e-04     1.2180e-04     6.7003e-06
1.1310e-04     1.2680e-04     7.2601e-06
1.1310e-04     1.3190e-04     7.8539e-06
1.1310e-04     1.3720e-04     8.4956e-06
1.1310e-04     1.4270e-04     9.1877e-06
1.1310e-04     1.4850e-04     9.9467e-06
1.1310e-04     1.5440e-04     1.0749e-05
1.1310e-04     1.6070e-04     1.1640e-05
1.1310e-04     1.6710e-04     1.2581e-05
1.1310e-04     1.7390e-04     1.3620e-05
1.1310e-04     1.8090e-04     1.4732e-05
1.1310e-04     1.8820e-04     1.5937e-05
1.1310e-04     1.9580e-04     1.7241e-05
1.1310e-04     2.0370e-04     1.8649e-05
1.1310e-04     2.1190e-04     2.0168e-05
1.1310e-04     2.2040e-04     2.1804e-05
1.1310e-04     2.2930e-04     2.3583e-05
1.1310e-04     2.3850e-04     2.5493e-05
1.1310e-04     2.4810e-04     2.7563e-05
1.1310e-04     2.5810e-04     2.9802e-05
1.1310e-04     2.6860e-04     3.2243e-05
1.1310e-04     2.7940e-04     3.4851e-05
1.1310e-04     2.9060e-04     3.7656e-05
1.1310e-04     3.0240e-04     4.0724e-05
1.1310e-04     3.1450e-04     4.3988e-05
1.1310e-04     3.2720e-04     4.7541e-05
1.1310e-04     3.4040e-04     5.1371e-05
1.1310e-04     3.5410e-04     5.5493e-05
1.1310e-04     3.6840e-04     5.9951e-05
1.1310e-04     3.8330e-04     6.4765e-05
1.1310e-04     3.9870e-04     6.9919e-05
1.1310e-04     4.1480e-04     7.5499e-05
1.1310e-04     4.3150e-04     8.1489e-05
1.1310e-04     4.4890e-04     8.7945e-05
1.1310e-04     4.6700e-04     9.4891e-05
1.1310e-04     4.8580e-04     1.0235e-04
1.1310e-04     5.0540e-04     1.1038e-04
1.1310e-04     5.2570e-04     1.1897e-04
1.1310e-04     5.4690e-04     1.2822e-04
1.1310e-04     5.6900e-04     1.3817e-04
1.1310e-04     5.9190e-04     1.4878e-04
1.1310e-04     6.1580e-04     1.6019e-04
1.1310e-04     6.4060e-04     1.7237e-04
1.1310e-04     6.6640e-04     1.8538e-04
1.1310e-04     6.9330e-04     1.9931e-04
1.1310e-04     7.2120e-04     2.1413e-04
1.1310e-04     7.5030e-04     2.2995e-04
1.1310e-04     7.8050e-04     2.4674e-04
1.1310e-04     8.1200e-04     2.6462e-04
1.1310e-04     8.4470e-04     2.8354e-04
1.1310e-04     8.7880e-04     3.0362e-04
1.1310e-04     9.1420e-04     3.2479e-04
1.1310e-04     9.5100e-04     3.4709e-04
1.1310e-04     9.8940e-04     3.7062e-04
1.1310e-04     1.0290e-03     3.9508e-04
1.1310e-04     1.0710e-03     4.2118e-04
1.1310e-04     1.1140e-03     4.4796e-04
1.1310e-04     1.1590e-03     4.7595e-04
1.1310e-04     1.2050e-03     5.0443e-04
1.1310e-04     1.2540e-03     5.3448e-04
1.1310e-04     1.3050e-03     5.6532e-04
1.1310e-04     1.3570e-03     5.9616e-04
1.1310e-04     1.4120e-03     6.2795e-04
1.1310e-04     1.4690e-03     6.5984e-04
1.1310e-04     1.5280e-03     6.9153e-04
1.1310e-04     1.5900e-03     7.2322e-04
1.1310e-04     1.6540e-03     7.5400e-04
1.1310e-04     1.7200e-03     7.8351e-04
1.1310e-04     1.7900e-03     8.1214e-04
1.1310e-04     1.8620e-03     8.3857e-04
1.1310e-04     1.9370e-03     8.6267e-04
1.1310e-04     2.0150e-03     8.8391e-04
1.1310e-04     2.0960e-03     9.0175e-04
1.1310e-04     2.1810e-03     9.1580e-04
1.1310e-04     2.2690e-03     9.2535e-04
1.1310e-04     2.3600e-03     9.2997e-04
1.1310e-04     2.4550e-03     9.2926e-04
1.1310e-04     2.5540e-03     9.2281e-04
1.1310e-04     2.6570e-03     9.1031e-04
1.1310e-04     2.7640e-03     8.9161e-04
1.1310e-04     2.8750e-03     8.6668e-04
1.1310e-04     2.9910e-03     8.3542e-04
1.1310e-04     3.1120e-03     7.9807e-04
1.1310e-04     3.2370e-03     7.5542e-04
1.1310e-04     3.3680e-03     7.0746e-04
1.1310e-04     3.5040e-03     6.5536e-04
1.1310e-04     3.6450e-03     6.0013e-04
1.1310e-04     3.7920e-03     5.4251e-04
1.1310e-04     3.9450e-03     4.8373e-04
1.1310e-04     4.1040e-03     4.2507e-04
1.1310e-04     4.2690e-03     3.6780e-04
1.1310e-04     4.4410e-03     3.1279e-04
1.1310e-04     4.6200e-03     2.6118e-04
1.1310e-04     4.8060e-03     2.1389e-04
1.1310e-04     5.0000e-03     1.7141e-04
1.2800e-04     1.0000e-04     4.5277e-06
1.2800e-04     1.0400e-04     4.8965e-06
1.2800e-04     1.0820e-04     5.2991e-06
1.2800e-04     1.1260e-04     5.7378e-06
1.2800e-04     1.1710e-04     6.2044e-06
1.2800e-04     1.2180e-04     6.7110e-06
1.2800e-04     1.2680e-04     7.2717e-06
1.2800e-04     1.3190e-04     7.8665e-06
1.2800e-04     1.3720e-04     8.5091e-06
1.2800e-04     1.4270e-04     9.2024e-06
1.2800e-04     1.4850e-04     9.9626e-06
1.2800e-04     1.5440e-04     1.0766e-05
1.2800e-04     1.6070e-04     1.1659e-05
1.2800e-04     1.6710e-04     1.2601e-05
1.2800e-04     1.7390e-04     1.3642e-05
1.2800e-04     1.8090e-04     1.4755e-05
1.2800e-04     1.8820e-04     1.5962e-05
1.2800e-04     1.9580e-04     1.7268e-05
1.2800e-04     2.0370e-04     1.8679e-05
1.2800e-04     2.1190e-04     2.0200e-05
1.2800e-04     2.2040e-04     2.1839e-05
1.2800e-04     2.2930e-04     2.3621e-05
1.2800e-04     2.3850e-04     2.5534e-05
1.2800e-04     2.4810e-04     2.7607e-05
1.2800e-04     2.5810e-04     2.9849e-05
1.2800e-04     2.6860e-04     3.2295e-05
1.2800e-04     2.7940e-04     3.4906e-05
1.2800e-04     2.9060e-04     3.7716e-05
1.2800e-04     3.0240e-04     4.0789e-05
1.2800e-04     3.1450e-04     4.4058e-05
1.2800e-04     3.2720e-04     4.7617e-05
1.2800e-04     3.4040e-04     5.1453e-05
1.2800e-04     3.5410e-04     5.5581e-05
1.2800e-04     3.6840e-04     6.0046e-05
1.2800e-04     3.8330e-04     6.4868e-05
1.2800e-04     3.9870e-04     7.0030e-05
1.2800e-04     4.1480e-04     7.5618e-05
1.2800e-04     4.3150e-04     8.1618e-05
1.2800e-04     4.4890e-04     8.8085e-05
1.2800e-04     4.6700e-04     9.5041e-05
1.2800e-04     4.8580e-04     1.0251e-04
1.2800e-04     5.0540e-04     1.1055e-04
1.2800e-04     5.2570e-04     1.1915e-04
1.2800e-04     5.4690e-04     1.2842e-04
1.2800e-04     5.6900e-04     1.3838e-04
1.2800e-04     5.9190e-04     1.4902e-04
1.2800e-04     6.1580e-04     1.6044e-04
1.2800e-04     6.4060e-04     1.7264e-04
1.2800e-04     6.6640e-04     1.8568e-04
1.2800e-04     6.9330e-04     1.9963e-04
1.2800e-04     7.2120e-04     2.1446e-04
1.2800e-04     7.5030e-04     2.3031e-04
1.2800e-04     7.8050e-04     2.4712e-04
1.2800e-04     8.1200e-04     2.6503e-04
1.2800e-04     8.4470e-04     2.8398e-04
1.2800e-04     8.7880e-04     3.0409e-04
1.2800e-04     9.1420e-04     3.2529e-04
1.2800e-04     9.5100e-04     3.4762e-04
1.2800e-04     9.8940e-04     3.7118e-04
1.2800e-04     1.0290e-03     3.9569e-04
1.2800e-04     1.0710e-03     4.2182e-04
1.2800e-04     1.1140e-03     4.4864e-04
1.2800e-04     1.1590e-03     4.7667e-04
1.2800e-04     1.2050e-03     5.0518e-04
1.2800e-04     1.2540e-03     5.3528e-04
1.2800e-04     1.3050e-03     5.6616e-04
1.2800e-04     1.3570e-03     5.9703e-04
1.2800e-04     1.4120e-03     6.2887e-04
1.2800e-04     1.4690e-03     6.6080e-04
1.2800e-04     1.5280e-03     6.9253e-04
1.2800e-04     1.5900e-03     7.2426e-04
1.2800e-04     1.6540e-03     7.5507e-04
1.2800e-04     1.7200e-03     7.8461e-04
1.2800e-04     1.7900e-03     8.1327e-04
1.2800e-04     1.8620e-03     8.3972e-04
1.2800e-04     1.9370e-03     8.6384e-04
1.2800e-04     2.0150e-03     8.8509e-04
1.2800e-04     2.0960e-03     9.0294e-04
1.2800e-04     2.1810e-03     9.1699e-04
1.2800e-04     2.2690e-03     9.2654e-04
1.2800e-04     2.3600e-03     9.3114e-04
1.2800e-04     2.4550e-03     9.3041e-04
1.2800e-04     2.5540e-03     9.2393e-04
1.2800e-04     2.6570e-03     9.1140e-04
1.2800e-04     2.7640e-03     8.9265e-04
1.2800e-04     2.8750e-03     8.6768e-04
1.2800e-04     2.9910e-03     8.3636e-04
1.2800e-04     3.1120e-03     7.9895e-04
1.2800e-04     3.2370e-03     7.5624e-04
1.2800e-04     3.3680e-03     7.0822e-04
1.2800e-04     3.5040e-03     6.5605e-04
