 Element: Ge
 Maximum L =  1
 Maximum kappa =  4
 No. of transitions =     3
 No. of channels =    72
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     4.5225e-04
1.1310e-04     1.0000e-03     4.5288e-04
1.2800e-04     1.0000e-03     4.5361e-04
1.4480e-04     1.0000e-03     4.5442e-04
1.6380e-04     1.0000e-03     4.5533e-04
1.8520e-04     1.0000e-03     4.5635e-04
2.0950e-04     1.0000e-03     4.5751e-04
2.3700e-04     1.0000e-03     4.5880e-04
2.6810e-04     1.0000e-03     4.6025e-04
3.0330e-04     1.0000e-03     4.6188e-04
3.4310e-04     1.0000e-03     4.6370e-04
3.8820e-04     1.0000e-03     4.6574e-04
4.3910e-04     1.0000e-03     4.6801e-04
4.9670e-04     1.0000e-03     4.7053e-04
5.6190e-04     1.0000e-03     4.7334e-04
6.3560e-04     1.0000e-03     4.7645e-04
7.1900e-04     1.0000e-03     4.7990e-04
8.1340e-04     1.0000e-03     4.8371e-04
9.2010e-04     1.0000e-03     4.8790e-04
1.0410e-03     1.0000e-03     4.9250e-04
1.1770e-03     1.0000e-03     4.9750e-04
1.3320e-03     1.0000e-03     5.0298e-04
1.5070e-03     1.0000e-03     5.0892e-04
1.7040e-03     1.0000e-03     5.1530e-04
1.9280e-03     1.0000e-03     5.2220e-04
2.1810e-03     1.0000e-03     5.2956e-04
2.4670e-03     1.0000e-03     5.3739e-04
2.7910e-03     1.0000e-03     5.4569e-04
3.1570e-03     1.0000e-03     5.5442e-04
3.5710e-03     1.0000e-03     5.6356e-04
4.0400e-03     1.0000e-03     5.7310e-04
4.5700e-03     1.0000e-03     5.8299e-04
5.1700e-03     1.0000e-03     5.9321e-04
5.8480e-03     1.0000e-03     6.0371e-04
6.6150e-03     1.0000e-03     6.1447e-04
7.4830e-03     1.0000e-03     6.2546e-04
8.4650e-03     1.0000e-03     6.3665e-04
9.5760e-03     1.0000e-03     6.4801e-04
1.0830e-02     1.0000e-03     6.5948e-04
1.2250e-02     1.0000e-03     6.7104e-04
1.3860e-02     1.0000e-03     6.8265e-04
1.5680e-02     1.0000e-03     6.9421e-04
1.7740e-02     1.0000e-03     7.0563e-04
2.0070e-02     1.0000e-03     7.1678e-04
2.2700e-02     1.0000e-03     7.2753e-04
2.5680e-02     1.0000e-03     7.3771e-04
2.9050e-02     1.0000e-03     7.4714e-04
3.2860e-02     1.0000e-03     7.5562e-04
3.7170e-02     1.0000e-03     7.6288e-04
4.2050e-02     1.0000e-03     7.6876e-04
4.7570e-02     1.0000e-03     7.7295e-04
5.3810e-02     1.0000e-03     7.7521e-04
6.0870e-02     1.0000e-03     7.7529e-04
6.8850e-02     1.0000e-03     7.7292e-04
7.7890e-02     1.0000e-03     7.6795e-04
8.8110e-02     1.0000e-03     7.6007e-04
9.9670e-02     1.0000e-03     7.4919e-04
1.1270e-01     1.0000e-03     7.3508e-04
1.2750e-01     1.0000e-03     7.1756e-04
1.4430e-01     1.0000e-03     6.9647e-04
1.6320e-01     1.0000e-03     6.7208e-04
1.8460e-01     1.0000e-03     6.4422e-04
2.0890e-01     1.0000e-03     6.1301e-04
2.3630e-01     1.0000e-03     5.7886e-04
2.6730e-01     1.0000e-03     5.4211e-04
3.0230e-01     1.0000e-03     5.0299e-04
3.4200e-01     1.0000e-03     4.6208e-04
3.8690e-01     1.0000e-03     4.1995e-04
4.3760e-01     1.0000e-03     3.7757e-04
4.9510e-01     1.0000e-03     3.3522e-04
5.6000e-01     1.0000e-03     2.9379e-04
6.3350e-01     1.0000e-03     2.5409e-04
7.1660e-01     1.0000e-03     2.1679e-04
8.1070e-01     1.0000e-03     1.8206e-04
9.1700e-01     1.0000e-03     1.5075e-04
1.0370e+00     1.0000e-03     1.2277e-04
1.1730e+00     1.0000e-03     9.8370e-05
1.3270e+00     1.0000e-03     7.7470e-05
1.5020e+00     1.0000e-03     5.9932e-05
1.6990e+00     1.0000e-03     4.5587e-05
1.9220e+00     1.0000e-03     3.4076e-05
2.1740e+00     1.0000e-03     2.5075e-05
2.4590e+00     1.0000e-03     1.8114e-05
2.7820e+00     1.0000e-03     1.2846e-05
3.1470e+00     1.0000e-03     8.9857e-06
3.5600e+00     1.0000e-03     6.1663e-06
4.0270e+00     1.0000e-03     4.1768e-06
4.5550e+00     1.0000e-03     2.7746e-06
5.1530e+00     1.0000e-03     1.8215e-06
5.8290e+00     1.0000e-03     1.1776e-06
6.5940e+00     1.0000e-03     7.5566e-07
7.4590e+00     1.0000e-03     4.7654e-07
8.4370e+00     1.0000e-03     2.9494e-07
9.5450e+00     1.0000e-03     1.8224e-07
1.0800e+01     1.0000e-03     1.1102e-07
1.2210e+01     1.0000e-03     6.6636e-08
1.3820e+01     1.0000e-03     3.9738e-08
1.5630e+01     1.0000e-03     2.3559e-08
1.7680e+01     1.0000e-03     1.3863e-08
2.0000e+01     1.0000e-03     8.0702e-09
