 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     2
 No. of channels =   100
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.4794e-06
1.0000e-04     1.4950e-04     3.2987e-06
1.0000e-04     1.9900e-04     5.8259e-06
1.0000e-04     2.4850e-04     9.0468e-06
1.0000e-04     2.9800e-04     1.2944e-05
1.0000e-04     3.4750e-04     1.7495e-05
1.0000e-04     3.9700e-04     2.2677e-05
1.0000e-04     4.4650e-04     2.8460e-05
1.0000e-04     4.9600e-04     3.4814e-05
1.0000e-04     5.4550e-04     4.1704e-05
1.0000e-04     5.9490e-04     4.9078e-05
1.0000e-04     6.4440e-04     5.6926e-05
1.0000e-04     6.9390e-04     6.5194e-05
1.0000e-04     7.4340e-04     7.3838e-05
1.0000e-04     7.9290e-04     8.2814e-05
1.0000e-04     8.4240e-04     9.2075e-05
1.0000e-04     8.9190e-04     1.0158e-04
1.0000e-04     9.4140e-04     1.1127e-04
1.0000e-04     9.9090e-04     1.2110e-04
1.0000e-04     1.0400e-03     1.3096e-04
1.0000e-04     1.0900e-03     1.4104e-04
1.0000e-04     1.1390e-03     1.5093e-04
1.0000e-04     1.1890e-03     1.6097e-04
1.0000e-04     1.2380e-03     1.7073e-04
1.0000e-04     1.2880e-03     1.8055e-04
1.0000e-04     1.3370e-03     1.9001e-04
1.0000e-04     1.3870e-03     1.9945e-04
1.0000e-04     1.4360e-03     2.0844e-04
1.0000e-04     1.4860e-03     2.1734e-04
1.0000e-04     1.5350e-03     2.2574e-04
1.0000e-04     1.5850e-03     2.3396e-04
1.0000e-04     1.6340e-03     2.4163e-04
1.0000e-04     1.6840e-03     2.4906e-04
1.0000e-04     1.7330e-03     2.5591e-04
1.0000e-04     1.7830e-03     2.6245e-04
1.0000e-04     1.8320e-03     2.6840e-04
1.0000e-04     1.8820e-03     2.7398e-04
1.0000e-04     1.9310e-03     2.7896e-04
1.0000e-04     1.9810e-03     2.8353e-04
1.0000e-04     2.0300e-03     2.8751e-04
1.0000e-04     2.0800e-03     2.9105e-04
1.0000e-04     2.1290e-03     2.9401e-04
1.0000e-04     2.1790e-03     2.9651e-04
1.0000e-04     2.2280e-03     2.9845e-04
1.0000e-04     2.2780e-03     2.9991e-04
1.0000e-04     2.3270e-03     3.0085e-04
1.0000e-04     2.3770e-03     3.0132e-04
1.0000e-04     2.4260e-03     3.0130e-04
1.0000e-04     2.4760e-03     3.0080e-04
1.0000e-04     2.5250e-03     2.9987e-04
1.0000e-04     2.5750e-03     2.9848e-04
1.0000e-04     2.6240e-03     2.9669e-04
1.0000e-04     2.6740e-03     2.9446e-04
1.0000e-04     2.7230e-03     2.9190e-04
1.0000e-04     2.7730e-03     2.8891e-04
1.0000e-04     2.8220e-03     2.8564e-04
1.0000e-04     2.8720e-03     2.8198e-04
1.0000e-04     2.9210e-03     2.7809e-04
1.0000e-04     2.9710e-03     2.7384e-04
1.0000e-04     3.0200e-03     2.6941e-04
1.0000e-04     3.0700e-03     2.6466e-04
1.0000e-04     3.1190e-03     2.5978e-04
1.0000e-04     3.1690e-03     2.5460e-04
1.0000e-04     3.2180e-03     2.4936e-04
1.0000e-04     3.2680e-03     2.4385e-04
1.0000e-04     3.3170e-03     2.3832e-04
1.0000e-04     3.3670e-03     2.3255e-04
1.0000e-04     3.4160e-03     2.2681e-04
1.0000e-04     3.4660e-03     2.2088e-04
1.0000e-04     3.5150e-03     2.1500e-04
1.0000e-04     3.5650e-03     2.0896e-04
1.0000e-04     3.6140e-03     2.0302e-04
1.0000e-04     3.6640e-03     1.9694e-04
1.0000e-04     3.7130e-03     1.9099e-04
1.0000e-04     3.7630e-03     1.8494e-04
1.0000e-04     3.8120e-03     1.7903e-04
1.0000e-04     3.8620e-03     1.7305e-04
1.0000e-04     3.9110e-03     1.6724e-04
1.0000e-04     3.9610e-03     1.6138e-04
1.0000e-04     4.0100e-03     1.5571e-04
1.0000e-04     4.0600e-03     1.5001e-04
1.0000e-04     4.1090e-03     1.4451e-04
1.0000e-04     4.1590e-03     1.3899e-04
1.0000e-04     4.2080e-03     1.3369e-04
1.0000e-04     4.2580e-03     1.2840e-04
1.0000e-04     4.3070e-03     1.2332e-04
1.0000e-04     4.3570e-03     1.1826e-04
1.0000e-04     4.4060e-03     1.1342e-04
1.0000e-04     4.4560e-03     1.0861e-04
1.0000e-04     4.5050e-03     1.0403e-04
1.0000e-04     4.5550e-03     9.9482e-05
1.0000e-04     4.6040e-03     9.5156e-05
1.0000e-04     4.6540e-03     9.0876e-05
1.0000e-04     4.7030e-03     8.6813e-05
1.0000e-04     4.7530e-03     8.2802e-05
