 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     3
 No. of channels =   288
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     4.4271e-04
1.0000e-04     1.4950e-04     9.8735e-04
1.0000e-04     1.9900e-04     1.7442e-03
1.0000e-04     2.4850e-04     2.7095e-03
1.0000e-04     2.9800e-04     3.8784e-03
1.0000e-04     3.4750e-04     5.2449e-03
1.0000e-04     3.9700e-04     6.8024e-03
1.0000e-04     4.4650e-04     8.5430e-03
1.0000e-04     4.9600e-04     1.0458e-02
1.0000e-04     5.4550e-04     1.2539e-02
1.0000e-04     5.9490e-04     1.4770e-02
1.0000e-04     6.4440e-04     1.7149e-02
1.0000e-04     6.9390e-04     1.9662e-02
1.0000e-04     7.4340e-04     2.2296e-02
1.0000e-04     7.9290e-04     2.5040e-02
1.0000e-04     8.4240e-04     2.7879e-02
1.0000e-04     8.9190e-04     3.0802e-02
1.0000e-04     9.4140e-04     3.3796e-02
1.0000e-04     9.9090e-04     3.6846e-02
1.0000e-04     1.0400e-03     3.9916e-02
1.0000e-04     1.0900e-03     4.3073e-02
1.0000e-04     1.1390e-03     4.6184e-02
1.0000e-04     1.1890e-03     4.9364e-02
1.0000e-04     1.2380e-03     5.2472e-02
1.0000e-04     1.2880e-03     5.5623e-02
1.0000e-04     1.3370e-03     5.8679e-02
1.0000e-04     1.3870e-03     6.1752e-02
1.0000e-04     1.4360e-03     6.4709e-02
1.0000e-04     1.4860e-03     6.7660e-02
1.0000e-04     1.5350e-03     7.0475e-02
1.0000e-04     1.5850e-03     7.3261e-02
1.0000e-04     1.6340e-03     7.5896e-02
1.0000e-04     1.6840e-03     7.8480e-02
1.0000e-04     1.7330e-03     8.0902e-02
1.0000e-04     1.7830e-03     8.3252e-02
1.0000e-04     1.8320e-03     8.5431e-02
1.0000e-04     1.8820e-03     8.7520e-02
1.0000e-04     1.9310e-03     8.9432e-02
1.0000e-04     1.9810e-03     9.1239e-02
1.0000e-04     2.0300e-03     9.2865e-02
1.0000e-04     2.0800e-03     9.4373e-02
1.0000e-04     2.1290e-03     9.5700e-02
1.0000e-04     2.1790e-03     9.6898e-02
1.0000e-04     2.2280e-03     9.7918e-02
1.0000e-04     2.2780e-03     9.8799e-02
1.0000e-04     2.3270e-03     9.9507e-02
1.0000e-04     2.3770e-03     1.0007e-01
1.0000e-04     2.4260e-03     1.0047e-01
1.0000e-04     2.4760e-03     1.0072e-01
1.0000e-04     2.5250e-03     1.0081e-01
1.0000e-04     2.5750e-03     1.0075e-01
1.0000e-04     2.6240e-03     1.0055e-01
1.0000e-04     2.6740e-03     1.0020e-01
1.0000e-04     2.7230e-03     9.9716e-02
1.0000e-04     2.7730e-03     9.9084e-02
1.0000e-04     2.8220e-03     9.8334e-02
1.0000e-04     2.8720e-03     9.7441e-02
1.0000e-04     2.9210e-03     9.6444e-02
1.0000e-04     2.9710e-03     9.5311e-02
1.0000e-04     3.0200e-03     9.4090e-02
1.0000e-04     3.0700e-03     9.2739e-02
1.0000e-04     3.1190e-03     9.1317e-02
1.0000e-04     3.1690e-03     8.9774e-02
1.0000e-04     3.2180e-03     8.8177e-02
1.0000e-04     3.2680e-03     8.6467e-02
1.0000e-04     3.3170e-03     8.4720e-02
1.0000e-04     3.3670e-03     8.2872e-02
1.0000e-04     3.4160e-03     8.1002e-02
1.0000e-04     3.4660e-03     7.9041e-02
1.0000e-04     3.5150e-03     7.7074e-02
1.0000e-04     3.5650e-03     7.5027e-02
1.0000e-04     3.6140e-03     7.2989e-02
1.0000e-04     3.6640e-03     7.0883e-02
1.0000e-04     3.7130e-03     6.8799e-02
1.0000e-04     3.7630e-03     6.6659e-02
1.0000e-04     3.8120e-03     6.4553e-02
1.0000e-04     3.8620e-03     6.2401e-02
1.0000e-04     3.9110e-03     6.0294e-02
1.0000e-04     3.9610e-03     5.8153e-02
1.0000e-04     4.0100e-03     5.6067e-02
1.0000e-04     4.0600e-03     5.3955e-02
1.0000e-04     4.1090e-03     5.1907e-02
1.0000e-04     4.1590e-03     4.9843e-02
1.0000e-04     4.2080e-03     4.7849e-02
1.0000e-04     4.2580e-03     4.5847e-02
1.0000e-04     4.3070e-03     4.3921e-02
1.0000e-04     4.3570e-03     4.1994e-02
1.0000e-04     4.4060e-03     4.0147e-02
1.0000e-04     4.4560e-03     3.8306e-02
1.0000e-04     4.5050e-03     3.6547e-02
1.0000e-04     4.5550e-03     3.4800e-02
1.0000e-04     4.6040e-03     3.3136e-02
1.0000e-04     4.6540e-03     3.1489e-02
1.0000e-04     4.7030e-03     2.9925e-02
1.0000e-04     4.7530e-03     2.8381e-02
1.0000e-04     4.8020e-03     2.6920e-02
1.0000e-04     4.8520e-03     2.5482e-02
1.0000e-04     4.9010e-03     2.4124e-02
1.0000e-04     4.9510e-03     2.2792e-02
1.0000e-04     5.0000e-03     2.1539e-02
1.1310e-04     1.0000e-04     4.4247e-04
1.1310e-04     1.4950e-04     9.8683e-04
1.1310e-04     1.9900e-04     1.7433e-03
1.1310e-04     2.4850e-04     2.7081e-03
1.1310e-04     2.9800e-04     3.8763e-03
1.1310e-04     3.4750e-04     5.2421e-03
1.1310e-04     3.9700e-04     6.7987e-03
1.1310e-04     4.4650e-04     8.5383e-03
1.1310e-04     4.9600e-04     1.0452e-02
1.1310e-04     5.4550e-04     1.2532e-02
1.1310e-04     5.9490e-04     1.4761e-02
1.1310e-04     6.4440e-04     1.7139e-02
1.1310e-04     6.9390e-04     1.9651e-02
1.1310e-04     7.4340e-04     2.2283e-02
1.1310e-04     7.9290e-04     2.5024e-02
1.1310e-04     8.4240e-04     2.7862e-02
1.1310e-04     8.9190e-04     3.0782e-02
1.1310e-04     9.4140e-04     3.3774e-02
1.1310e-04     9.9090e-04     3.6822e-02
1.1310e-04     1.0400e-03     3.9889e-02
1.1310e-04     1.0900e-03     4.3043e-02
1.1310e-04     1.1390e-03     4.6152e-02
1.1310e-04     1.1890e-03     4.9328e-02
1.1310e-04     1.2380e-03     5.2434e-02
1.1310e-04     1.2880e-03     5.5581e-02
1.1310e-04     1.3370e-03     5.8634e-02
1.1310e-04     1.3870e-03     6.1704e-02
1.1310e-04     1.4360e-03     6.4657e-02
1.1310e-04     1.4860e-03     6.7604e-02
1.1310e-04     1.5350e-03     7.0416e-02
1.1310e-04     1.5850e-03     7.3199e-02
1.1310e-04     1.6340e-03     7.5831e-02
1.1310e-04     1.6840e-03     7.8411e-02
1.1310e-04     1.7330e-03     8.0829e-02
1.1310e-04     1.7830e-03     8.3176e-02
1.1310e-04     1.8320e-03     8.5352e-02
1.1310e-04     1.8820e-03     8.7438e-02
1.1310e-04     1.9310e-03     8.9347e-02
1.1310e-04     1.9810e-03     9.1151e-02
1.1310e-04     2.0300e-03     9.2774e-02
1.1310e-04     2.0800e-03     9.4280e-02
1.1310e-04     2.1290e-03     9.5605e-02
1.1310e-04     2.1790e-03     9.6801e-02
1.1310e-04     2.2280e-03     9.7818e-02
1.1310e-04     2.2780e-03     9.8698e-02
1.1310e-04     2.3270e-03     9.9405e-02
1.1310e-04     2.3770e-03     9.9968e-02
1.1310e-04     2.4260e-03     1.0036e-01
1.1310e-04     2.4760e-03     1.0061e-01
1.1310e-04     2.5250e-03     1.0071e-01
1.1310e-04     2.5750e-03     1.0065e-01
1.1310e-04     2.6240e-03     1.0045e-01
1.1310e-04     2.6740e-03     1.0010e-01
1.1310e-04     2.7230e-03     9.9613e-02
1.1310e-04     2.7730e-03     9.8982e-02
1.1310e-04     2.8220e-03     9.8234e-02
1.1310e-04     2.8720e-03     9.7342e-02
1.1310e-04     2.9210e-03     9.6348e-02
1.1310e-04     2.9710e-03     9.5217e-02
1.1310e-04     3.0200e-03     9.3998e-02
1.1310e-04     3.0700e-03     9.2650e-02
1.1310e-04     3.1190e-03     9.1231e-02
1.1310e-04     3.1690e-03     8.9691e-02
1.1310e-04     3.2180e-03     8.8097e-02
1.1310e-04     3.2680e-03     8.6390e-02
1.1310e-04     3.3170e-03     8.4647e-02
1.1310e-04     3.3670e-03     8.2801e-02
1.1310e-04     3.4160e-03     8.0935e-02
1.1310e-04     3.4660e-03     7.8977e-02
1.1310e-04     3.5150e-03     7.7014e-02
1.1310e-04     3.5650e-03     7.4971e-02
1.1310e-04     3.6140e-03     7.2936e-02
1.1310e-04     3.6640e-03     7.0834e-02
1.1310e-04     3.7130e-03     6.8753e-02
1.1310e-04     3.7630e-03     6.6616e-02
1.1310e-04     3.8120e-03     6.4513e-02
1.1310e-04     3.8620e-03     6.2364e-02
1.1310e-04     3.9110e-03     6.0261e-02
1.1310e-04     3.9610e-03     5.8122e-02
1.1310e-04     4.0100e-03     5.6039e-02
1.1310e-04     4.0600e-03     5.3930e-02
1.1310e-04     4.1090e-03     5.1885e-02
1.1310e-04     4.1590e-03     4.9823e-02
1.1310e-04     4.2080e-03     4.7831e-02
1.1310e-04     4.2580e-03     4.5832e-02
1.1310e-04     4.3070e-03     4.3907e-02
1.1310e-04     4.3570e-03     4.1983e-02
1.1310e-04     4.4060e-03     4.0138e-02
1.1310e-04     4.4560e-03     3.8298e-02
1.1310e-04     4.5050e-03     3.6541e-02
1.1310e-04     4.5550e-03     3.4795e-02
1.1310e-04     4.6040e-03     3.3132e-02
1.1310e-04     4.6540e-03     3.1486e-02
1.1310e-04     4.7030e-03     2.9923e-02
1.1310e-04     4.7530e-03     2.8380e-02
1.1310e-04     4.8020e-03     2.6920e-02
1.1310e-04     4.8520e-03     2.5483e-02
1.1310e-04     4.9010e-03     2.4126e-02
1.1310e-04     4.9510e-03     2.2795e-02
1.1310e-04     5.0000e-03     2.1542e-02
1.2800e-04     1.0000e-04     4.4221e-04
1.2800e-04     1.4950e-04     9.8624e-04
1.2800e-04     1.9900e-04     1.7422e-03
1.2800e-04     2.4850e-04     2.7064e-03
1.2800e-04     2.9800e-04     3.8739e-03
1.2800e-04     3.4750e-04     5.2388e-03
1.2800e-04     3.9700e-04     6.7944e-03
1.2800e-04     4.4650e-04     8.5329e-03
1.2800e-04     4.9600e-04     1.0446e-02
1.2800e-04     5.4550e-04     1.2523e-02
1.2800e-04     5.9490e-04     1.4751e-02
1.2800e-04     6.4440e-04     1.7128e-02
1.2800e-04     6.9390e-04     1.9637e-02
1.2800e-04     7.4340e-04     2.2267e-02
1.2800e-04     7.9290e-04     2.5007e-02
1.2800e-04     8.4240e-04     2.7842e-02
1.2800e-04     8.9190e-04     3.0760e-02
1.2800e-04     9.4140e-04     3.3749e-02
1.2800e-04     9.9090e-04     3.6794e-02
1.2800e-04     1.0400e-03     3.9858e-02
1.2800e-04     1.0900e-03     4.3009e-02
1.2800e-04     1.1390e-03     4.6115e-02
1.2800e-04     1.1890e-03     4.9288e-02
1.2800e-04     1.2380e-03     5.2390e-02
1.2800e-04     1.2880e-03     5.5534e-02
1.2800e-04     1.3370e-03     5.8583e-02
1.2800e-04     1.3870e-03     6.1649e-02
1.2800e-04     1.4360e-03     6.4599e-02
1.2800e-04     1.4860e-03     6.7542e-02
1.2800e-04     1.5350e-03     7.0350e-02
1.2800e-04     1.5850e-03     7.3128e-02
1.2800e-04     1.6340e-03     7.5756e-02
1.2800e-04     1.6840e-03     7.8333e-02
1.2800e-04     1.7330e-03     8.0747e-02
1.2800e-04     1.7830e-03     8.3090e-02
1.2800e-04     1.8320e-03     8.5262e-02
1.2800e-04     1.8820e-03     8.7345e-02
1.2800e-04     1.9310e-03     8.9250e-02
1.2800e-04     1.9810e-03     9.1051e-02
1.2800e-04     2.0300e-03     9.2672e-02
1.2800e-04     2.0800e-03     9.4175e-02
1.2800e-04     2.1290e-03     9.5497e-02
1.2800e-04     2.1790e-03     9.6690e-02
1.2800e-04     2.2280e-03     9.7706e-02
1.2800e-04     2.2780e-03     9.8584e-02
1.2800e-04     2.3270e-03     9.9289e-02
1.2800e-04     2.3770e-03     9.9851e-02
1.2800e-04     2.4260e-03     1.0025e-01
1.2800e-04     2.4760e-03     1.0050e-01
1.2800e-04     2.5250e-03     1.0059e-01
1.2800e-04     2.5750e-03     1.0053e-01
1.2800e-04     2.6240e-03     1.0033e-01
1.2800e-04     2.6740e-03     9.9980e-02
1.2800e-04     2.7230e-03     9.9497e-02
1.2800e-04     2.7730e-03     9.8868e-02
1.2800e-04     2.8220e-03     9.8121e-02
1.2800e-04     2.8720e-03     9.7232e-02
1.2800e-04     2.9210e-03     9.6240e-02
1.2800e-04     2.9710e-03     9.5111e-02
1.2800e-04     3.0200e-03     9.3895e-02
1.2800e-04     3.0700e-03     9.2550e-02
1.2800e-04     3.1190e-03     9.1134e-02
1.2800e-04     3.1690e-03     8.9597e-02
1.2800e-04     3.2180e-03     8.8006e-02
1.2800e-04     3.2680e-03     8.6304e-02
1.2800e-04     3.3170e-03     8.4564e-02
1.2800e-04     3.3670e-03     8.2722e-02
1.2800e-04     3.4160e-03     8.0859e-02
1.2800e-04     3.4660e-03     7.8906e-02
1.2800e-04     3.5150e-03     7.6946e-02
1.2800e-04     3.5650e-03     7.4907e-02
1.2800e-04     3.6140e-03     7.2877e-02
1.2800e-04     3.6640e-03     7.0778e-02
1.2800e-04     3.7130e-03     6.8701e-02
1.2800e-04     3.7630e-03     6.6568e-02
1.2800e-04     3.8120e-03     6.4468e-02
1.2800e-04     3.8620e-03     6.2323e-02
1.2800e-04     3.9110e-03     6.0223e-02
1.2800e-04     3.9610e-03     5.8088e-02
1.2800e-04     4.0100e-03     5.6008e-02
1.2800e-04     4.0600e-03     5.3902e-02
1.2800e-04     4.1090e-03     5.1860e-02
1.2800e-04     4.1590e-03     4.9801e-02
1.2800e-04     4.2080e-03     4.7812e-02
1.2800e-04     4.2580e-03     4.5815e-02
1.2800e-04     4.3070e-03     4.3893e-02
1.2800e-04     4.3570e-03     4.1970e-02
1.2800e-04     4.4060e-03     4.0127e-02
1.2800e-04     4.4560e-03     3.8290e-02
1.2800e-04     4.5050e-03     3.6534e-02
1.2800e-04     4.5550e-03     3.4790e-02
1.2800e-04     4.6040e-03     3.3129e-02
1.2800e-04     4.6540e-03     3.1484e-02
1.2800e-04     4.7030e-03     2.9922e-02
1.2800e-04     4.7530e-03     2.8380e-02
1.2800e-04     4.8020e-03     2.6921e-02
1.2800e-04     4.8520e-03     2.5484e-02
1.2800e-04     4.9010e-03     2.4128e-02
1.2800e-04     4.9510e-03     2.2798e-02
1.2800e-04     5.0000e-03     2.1545e-02
1.4480e-04     1.0000e-04     4.4190e-04
1.4480e-04     1.4950e-04     9.8556e-04
1.4480e-04     1.9900e-04     1.7411e-03
1.4480e-04     2.4850e-04     2.7046e-03
1.4480e-04     2.9800e-04     3.8712e-03
1.4480e-04     3.4750e-04     5.2352e-03
1.4480e-04     3.9700e-04     6.7896e-03
1.4480e-04     4.4650e-04     8.5267e-03
1.4480e-04     4.9600e-04     1.0438e-02
1.4480e-04     5.4550e-04     1.2514e-02
1.4480e-04     5.9490e-04     1.4740e-02
1.4480e-04     6.4440e-04     1.7115e-02
1.4480e-04     6.9390e-04     1.9622e-02
1.4480e-04     7.4340e-04     2.2250e-02
1.4480e-04     7.9290e-04     2.4987e-02
1.4480e-04     8.4240e-04     2.7819e-02
1.4480e-04     8.9190e-04     3.0735e-02
1.4480e-04     9.4140e-04     3.3720e-02
1.4480e-04     9.9090e-04     3.6763e-02
1.4480e-04     1.0400e-03     3.9823e-02
1.4480e-04     1.0900e-03     4.2971e-02
1.4480e-04     1.1390e-03     4.6073e-02
1.4480e-04     1.1890e-03     4.9242e-02
1.4480e-04     1.2380e-03     5.2340e-02
1.4480e-04     1.2880e-03     5.5480e-02
1.4480e-04     1.3370e-03     5.8525e-02
1.4480e-04     1.3870e-03     6.1587e-02
1.4480e-04     1.4360e-03     6.4533e-02
1.4480e-04     1.4860e-03     6.7471e-02
1.4480e-04     1.5350e-03     7.0275e-02
1.4480e-04     1.5850e-03     7.3049e-02
1.4480e-04     1.6340e-03     7.5673e-02
1.4480e-04     1.6840e-03     7.8245e-02
1.4480e-04     1.7330e-03     8.0655e-02
1.4480e-04     1.7830e-03     8.2994e-02
1.4480e-04     1.8320e-03     8.5162e-02
1.4480e-04     1.8820e-03     8.7241e-02
1.4480e-04     1.9310e-03     8.9143e-02
1.4480e-04     1.9810e-03     9.0940e-02
1.4480e-04     2.0300e-03     9.2557e-02
1.4480e-04     2.0800e-03     9.4057e-02
1.4480e-04     2.1290e-03     9.5376e-02
1.4480e-04     2.1790e-03     9.6567e-02
1.4480e-04     2.2280e-03     9.7580e-02
1.4480e-04     2.2780e-03     9.8456e-02
1.4480e-04     2.3270e-03     9.9160e-02
1.4480e-04     2.3770e-03     9.9720e-02
1.4480e-04     2.4260e-03     1.0012e-01
1.4480e-04     2.4760e-03     1.0036e-01
1.4480e-04     2.5250e-03     1.0046e-01
1.4480e-04     2.5750e-03     1.0040e-01
1.4480e-04     2.6240e-03     1.0020e-01
1.4480e-04     2.6740e-03     9.9849e-02
1.4480e-04     2.7230e-03     9.9368e-02
1.4480e-04     2.7730e-03     9.8740e-02
1.4480e-04     2.8220e-03     9.7995e-02
1.4480e-04     2.8720e-03     9.7108e-02
1.4480e-04     2.9210e-03     9.6119e-02
1.4480e-04     2.9710e-03     9.4992e-02
1.4480e-04     3.0200e-03     9.3780e-02
1.4480e-04     3.0700e-03     9.2438e-02
1.4480e-04     3.1190e-03     9.1026e-02
1.4480e-04     3.1690e-03     8.9492e-02
1.4480e-04     3.2180e-03     8.7906e-02
1.4480e-04     3.2680e-03     8.6207e-02
1.4480e-04     3.3170e-03     8.4471e-02
1.4480e-04     3.3670e-03     8.2634e-02
1.4480e-04     3.4160e-03     8.0776e-02
1.4480e-04     3.4660e-03     7.8826e-02
1.4480e-04     3.5150e-03     7.6871e-02
1.4480e-04     3.5650e-03     7.4837e-02
1.4480e-04     3.6140e-03     7.2810e-02
1.4480e-04     3.6640e-03     7.0716e-02
1.4480e-04     3.7130e-03     6.8643e-02
1.4480e-04     3.7630e-03     6.6514e-02
1.4480e-04     3.8120e-03     6.4419e-02
1.4480e-04     3.8620e-03     6.2278e-02
1.4480e-04     3.9110e-03     6.0182e-02
1.4480e-04     3.9610e-03     5.8050e-02
1.4480e-04     4.0100e-03     5.5974e-02
1.4480e-04     4.0600e-03     5.3871e-02
1.4480e-04     4.1090e-03     5.1832e-02
1.4480e-04     4.1590e-03     4.9776e-02
1.4480e-04     4.2080e-03     4.7790e-02
1.4480e-04     4.2580e-03     4.5796e-02
1.4480e-04     4.3070e-03     4.3877e-02
1.4480e-04     4.3570e-03     4.1957e-02
1.4480e-04     4.4060e-03     4.0116e-02
1.4480e-04     4.4560e-03     3.8280e-02
1.4480e-04     4.5050e-03     3.6526e-02
1.4480e-04     4.5550e-03     3.4784e-02
1.4480e-04     4.6040e-03     3.3125e-02
1.4480e-04     4.6540e-03     3.1481e-02
1.4480e-04     4.7030e-03     2.9921e-02
1.4480e-04     4.7530e-03     2.8380e-02
1.4480e-04     4.8020e-03     2.6922e-02
1.4480e-04     4.8520e-03     2.5486e-02
1.4480e-04     4.9010e-03     2.4131e-02
1.4480e-04     4.9510e-03     2.2801e-02
1.4480e-04     5.0000e-03     2.1549e-02
1.6380e-04     1.0000e-04     4.4156e-04
1.6380e-04     1.4950e-04     9.8479e-04
1.6380e-04     1.9900e-04     1.7397e-03
1.6380e-04     2.4850e-04     2.7024e-03
1.6380e-04     2.9800e-04     3.8681e-03
1.6380e-04     3.4750e-04     5.2310e-03
1.6380e-04     3.9700e-04     6.7841e-03
1.6380e-04     4.4650e-04     8.5198e-03
1.6380e-04     4.9600e-04     1.0429e-02
1.6380e-04     5.4550e-04     1.2504e-02
1.6380e-04     5.9490e-04     1.4728e-02
1.6380e-04     6.4440e-04     1.7100e-02
1.6380e-04     6.9390e-04     1.9605e-02
1.6380e-04     7.4340e-04     2.2230e-02
1.6380e-04     7.9290e-04     2.4964e-02
1.6380e-04     8.4240e-04     2.7794e-02
1.6380e-04     8.9190e-04     3.0706e-02
1.6380e-04     9.4140e-04     3.3688e-02
1.6380e-04     9.9090e-04     3.6727e-02
1.6380e-04     1.0400e-03     3.9784e-02
1.6380e-04     1.0900e-03     4.2928e-02
1.6380e-04     1.1390e-03     4.6026e-02
1.6380e-04     1.1890e-03     4.9191e-02
1.6380e-04     1.2380e-03     5.2284e-02
1.6380e-04     1.2880e-03     5.5420e-02
1.6380e-04     1.3370e-03     5.8460e-02
1.6380e-04     1.3870e-03     6.1517e-02
1.6380e-04     1.4360e-03     6.4458e-02
1.6380e-04     1.4860e-03     6.7392e-02
1.6380e-04     1.5350e-03     7.0191e-02
1.6380e-04     1.5850e-03     7.2960e-02
1.6380e-04     1.6340e-03     7.5579e-02
1.6380e-04     1.6840e-03     7.8147e-02
1.6380e-04     1.7330e-03     8.0552e-02
1.6380e-04     1.7830e-03     8.2886e-02
1.6380e-04     1.8320e-03     8.5050e-02
1.6380e-04     1.8820e-03     8.7124e-02
1.6380e-04     1.9310e-03     8.9022e-02
1.6380e-04     1.9810e-03     9.0815e-02
1.6380e-04     2.0300e-03     9.2428e-02
1.6380e-04     2.0800e-03     9.3925e-02
1.6380e-04     2.1290e-03     9.5241e-02
1.6380e-04     2.1790e-03     9.6429e-02
1.6380e-04     2.2280e-03     9.7439e-02
1.6380e-04     2.2780e-03     9.8313e-02
1.6380e-04     2.3270e-03     9.9015e-02
1.6380e-04     2.3770e-03     9.9574e-02
1.6380e-04     2.4260e-03     9.9969e-02
1.6380e-04     2.4760e-03     1.0022e-01
1.6380e-04     2.5250e-03     1.0031e-01
1.6380e-04     2.5750e-03     1.0025e-01
1.6380e-04     2.6240e-03     1.0005e-01
1.6380e-04     2.6740e-03     9.9703e-02
1.6380e-04     2.7230e-03     9.9223e-02
1.6380e-04     2.7730e-03     9.8597e-02
1.6380e-04     2.8220e-03     9.7855e-02
1.6380e-04     2.8720e-03     9.6970e-02
1.6380e-04     2.9210e-03     9.5983e-02
1.6380e-04     2.9710e-03     9.4860e-02
1.6380e-04     3.0200e-03     9.3651e-02
1.6380e-04     3.0700e-03     9.2313e-02
1.6380e-04     3.1190e-03     9.0905e-02
1.6380e-04     3.1690e-03     8.9376e-02
1.6380e-04     3.2180e-03     8.7793e-02
1.6380e-04     3.2680e-03     8.6099e-02
1.6380e-04     3.3170e-03     8.4368e-02
1.6380e-04     3.3670e-03     8.2536e-02
1.6380e-04     3.4160e-03     8.0682e-02
1.6380e-04     3.4660e-03     7.8738e-02
1.6380e-04     3.5150e-03     7.6787e-02
1.6380e-04     3.5650e-03     7.4758e-02
1.6380e-04     3.6140e-03     7.2736e-02
1.6380e-04     3.6640e-03     7.0647e-02
1.6380e-04     3.7130e-03     6.8579e-02
1.6380e-04     3.7630e-03     6.6455e-02
1.6380e-04     3.8120e-03     6.4364e-02
1.6380e-04     3.8620e-03     6.2227e-02
1.6380e-04     3.9110e-03     6.0136e-02
1.6380e-04     3.9610e-03     5.8008e-02
1.6380e-04     4.0100e-03     5.5936e-02
1.6380e-04     4.0600e-03     5.3837e-02
1.6380e-04     4.1090e-03     5.1802e-02
1.6380e-04     4.1590e-03     4.9749e-02
1.6380e-04     4.2080e-03     4.7766e-02
1.6380e-04     4.2580e-03     4.5775e-02
1.6380e-04     4.3070e-03     4.3859e-02
1.6380e-04     4.3570e-03     4.1942e-02
1.6380e-04     4.4060e-03     4.0103e-02
1.6380e-04     4.4560e-03     3.8270e-02
1.6380e-04     4.5050e-03     3.6519e-02
1.6380e-04     4.5550e-03     3.4778e-02
1.6380e-04     4.6040e-03     3.3120e-02
1.6380e-04     4.6540e-03     3.1479e-02
1.6380e-04     4.7030e-03     2.9920e-02
1.6380e-04     4.7530e-03     2.8380e-02
1.6380e-04     4.8020e-03     2.6923e-02
1.6380e-04     4.8520e-03     2.5489e-02
1.6380e-04     4.9010e-03     2.4134e-02
1.6380e-04     4.9510e-03     2.2805e-02
1.6380e-04     5.0000e-03     2.1554e-02
1.8520e-04     1.0000e-04     4.4117e-04
1.8520e-04     1.4950e-04     9.8392e-04
1.8520e-04     1.9900e-04     1.7381e-03
1.8520e-04     2.4850e-04     2.7000e-03
1.8520e-04     2.9800e-04     3.8647e-03
1.8520e-04     3.4750e-04     5.2262e-03
1.8520e-04     3.9700e-04     6.7779e-03
1.8520e-04     4.4650e-04     8.5119e-03
1.8520e-04     4.9600e-04     1.0420e-02
1.8520e-04     5.4550e-04     1.2492e-02
1.8520e-04     5.9490e-04     1.4714e-02
1.8520e-04     6.4440e-04     1.7084e-02
1.8520e-04     6.9390e-04     1.9586e-02
1.8520e-04     7.4340e-04     2.2208e-02
1.8520e-04     7.9290e-04     2.4939e-02
1.8520e-04     8.4240e-04     2.7765e-02
1.8520e-04     8.9190e-04     3.0674e-02
1.8520e-04     9.4140e-04     3.3652e-02
1.8520e-04     9.9090e-04     3.6687e-02
1.8520e-04     1.0400e-03     3.9740e-02
1.8520e-04     1.0900e-03     4.2879e-02
1.8520e-04     1.1390e-03     4.5973e-02
1.8520e-04     1.1890e-03     4.9133e-02
1.8520e-04     1.2380e-03     5.2222e-02
1.8520e-04     1.2880e-03     5.5353e-02
