 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     3
 No. of channels =   288
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     4.4271e-04
1.0000e-04     1.0400e-04     4.7876e-04
1.0000e-04     1.0820e-04     5.1813e-04
1.0000e-04     1.1260e-04     5.6104e-04
1.0000e-04     1.1710e-04     6.0667e-04
1.0000e-04     1.2180e-04     6.5622e-04
1.0000e-04     1.2680e-04     7.1105e-04
1.0000e-04     1.3190e-04     7.6922e-04
1.0000e-04     1.3720e-04     8.3207e-04
1.0000e-04     1.4270e-04     8.9988e-04
1.0000e-04     1.4850e-04     9.7424e-04
1.0000e-04     1.5440e-04     1.0529e-03
1.0000e-04     1.6070e-04     1.1401e-03
1.0000e-04     1.6710e-04     1.2323e-03
1.0000e-04     1.7390e-04     1.3341e-03
1.0000e-04     1.8090e-04     1.4431e-03
1.0000e-04     1.8820e-04     1.5612e-03
1.0000e-04     1.9580e-04     1.6890e-03
1.0000e-04     2.0370e-04     1.8270e-03
1.0000e-04     2.1190e-04     1.9759e-03
1.0000e-04     2.2040e-04     2.1362e-03
1.0000e-04     2.2930e-04     2.3107e-03
1.0000e-04     2.3850e-04     2.4979e-03
1.0000e-04     2.4810e-04     2.7009e-03
1.0000e-04     2.5810e-04     2.9205e-03
1.0000e-04     2.6860e-04     3.1599e-03
1.0000e-04     2.7940e-04     3.4156e-03
1.0000e-04     2.9060e-04     3.6909e-03
1.0000e-04     3.0240e-04     3.9919e-03
1.0000e-04     3.1450e-04     4.3122e-03
1.0000e-04     3.2720e-04     4.6610e-03
1.0000e-04     3.4040e-04     5.0370e-03
1.0000e-04     3.5410e-04     5.4417e-03
1.0000e-04     3.6840e-04     5.8797e-03
1.0000e-04     3.8330e-04     6.3526e-03
1.0000e-04     3.9870e-04     6.8592e-03
1.0000e-04     4.1480e-04     7.4076e-03
1.0000e-04     4.3150e-04     7.9967e-03
1.0000e-04     4.4890e-04     8.6319e-03
1.0000e-04     4.6700e-04     9.3155e-03
1.0000e-04     4.8580e-04     1.0050e-02
1.0000e-04     5.0540e-04     1.0841e-02
1.0000e-04     5.2570e-04     1.1687e-02
1.0000e-04     5.4690e-04     1.2600e-02
1.0000e-04     5.6900e-04     1.3581e-02
1.0000e-04     5.9190e-04     1.4630e-02
1.0000e-04     6.1580e-04     1.5757e-02
1.0000e-04     6.4060e-04     1.6962e-02
1.0000e-04     6.6640e-04     1.8250e-02
1.0000e-04     6.9330e-04     1.9631e-02
1.0000e-04     7.2120e-04     2.1101e-02
1.0000e-04     7.5030e-04     2.2672e-02
1.0000e-04     7.8050e-04     2.4343e-02
