 Element: Ge
 Maximum L =  1
 Maximum kappa =  4
 No. of transitions =     3
 No. of channels =    72
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     4.4248e-02
1.1310e-04     1.0000e-03     4.4225e-02
1.2800e-04     1.0000e-03     4.4199e-02
1.4480e-04     1.0000e-03     4.4170e-02
1.6380e-04     1.0000e-03     4.4136e-02
1.8520e-04     1.0000e-03     4.4098e-02
2.0950e-04     1.0000e-03     4.4054e-02
2.3700e-04     1.0000e-03     4.4004e-02
2.6810e-04     1.0000e-03     4.3948e-02
3.0330e-04     1.0000e-03     4.3883e-02
3.4310e-04     1.0000e-03     4.3810e-02
3.8820e-04     1.0000e-03     4.3727e-02
4.3910e-04     1.0000e-03     4.3634e-02
4.9670e-04     1.0000e-03     4.3530e-02
5.6190e-04     1.0000e-03     4.3412e-02
6.3560e-04     1.0000e-03     4.3282e-02
7.1900e-04     1.0000e-03     4.3137e-02
8.1340e-04     1.0000e-03     4.2979e-02
9.2010e-04     1.0000e-03     4.2809e-02
1.0410e-03     1.0000e-03     4.2626e-02
1.1770e-03     1.0000e-03     4.2436e-02
1.3320e-03     1.0000e-03     4.2241e-02
1.5070e-03     1.0000e-03     4.2047e-02
1.7040e-03     1.0000e-03     4.1864e-02
1.9280e-03     1.0000e-03     4.1700e-02
2.1810e-03     1.0000e-03     4.1570e-02
2.4670e-03     1.0000e-03     4.1489e-02
2.7910e-03     1.0000e-03     4.1478e-02
3.1570e-03     1.0000e-03     4.1557e-02
3.5710e-03     1.0000e-03     4.1752e-02
4.0400e-03     1.0000e-03     4.2090e-02
4.5700e-03     1.0000e-03     4.2601e-02
5.1700e-03     1.0000e-03     4.3315e-02
5.8480e-03     1.0000e-03     4.4264e-02
6.6150e-03     1.0000e-03     4.5476e-02
7.4830e-03     1.0000e-03     4.6980e-02
8.4650e-03     1.0000e-03     4.8795e-02
9.5760e-03     1.0000e-03     5.0933e-02
1.0830e-02     1.0000e-03     5.3390e-02
1.2250e-02     1.0000e-03     5.6158e-02
1.3860e-02     1.0000e-03     5.9204e-02
1.5680e-02     1.0000e-03     6.2461e-02
1.7740e-02     1.0000e-03     6.5846e-02
2.0070e-02     1.0000e-03     6.9243e-02
2.2700e-02     1.0000e-03     7.2502e-02
2.5680e-02     1.0000e-03     7.5467e-02
2.9050e-02     1.0000e-03     7.7951e-02
3.2860e-02     1.0000e-03     7.9757e-02
3.7170e-02     1.0000e-03     8.0705e-02
4.2050e-02     1.0000e-03     8.0622e-02
4.7570e-02     1.0000e-03     7.9387e-02
5.3810e-02     1.0000e-03     7.6933e-02
6.0870e-02     1.0000e-03     7.3261e-02
6.8850e-02     1.0000e-03     6.8453e-02
7.7890e-02     1.0000e-03     6.2649e-02
8.8110e-02     1.0000e-03     5.6108e-02
9.9670e-02     1.0000e-03     4.9094e-02
1.1270e-01     1.0000e-03     4.1951e-02
1.2750e-01     1.0000e-03     3.4935e-02
1.4430e-01     1.0000e-03     2.8332e-02
1.6320e-01     1.0000e-03     2.2406e-02
1.8460e-01     1.0000e-03     1.7264e-02
2.0890e-01     1.0000e-03     1.2950e-02
2.3630e-01     1.0000e-03     9.4827e-03
2.6730e-01     1.0000e-03     6.7809e-03
3.0230e-01     1.0000e-03     4.7410e-03
3.4200e-01     1.0000e-03     3.2413e-03
3.8690e-01     1.0000e-03     2.1711e-03
4.3760e-01     1.0000e-03     1.4286e-03
4.9510e-01     1.0000e-03     9.2228e-04
5.6000e-01     1.0000e-03     5.8617e-04
6.3350e-01     1.0000e-03     3.6679e-04
7.1660e-01     1.0000e-03     2.2655e-04
8.1070e-01     1.0000e-03     1.3796e-04
9.1700e-01     1.0000e-03     8.3132e-05
1.0370e+00     1.0000e-03     4.9613e-05
1.1730e+00     1.0000e-03     2.9270e-05
1.3270e+00     1.0000e-03     1.7126e-05
1.5020e+00     1.0000e-03     9.9333e-06
1.6990e+00     1.0000e-03     5.7254e-06
1.9220e+00     1.0000e-03     3.2822e-06
2.1740e+00     1.0000e-03     1.8713e-06
2.4590e+00     1.0000e-03     1.0628e-06
2.7820e+00     1.0000e-03     5.9723e-07
3.1470e+00     1.0000e-03     3.3476e-07
3.5600e+00     1.0000e-03     1.8568e-07
4.0270e+00     1.0000e-03     1.0265e-07
4.5550e+00     1.0000e-03     5.6210e-08
5.1530e+00     1.0000e-03     3.0445e-08
5.8290e+00     1.0000e-03     1.6411e-08
6.5940e+00     1.0000e-03     8.7021e-09
7.4590e+00     1.0000e-03     4.5920e-09
8.4370e+00     1.0000e-03     2.4167e-09
9.5450e+00     1.0000e-03     1.2492e-09
1.0800e+01     1.0000e-03     6.3970e-10
1.2210e+01     1.0000e-03     3.2847e-10
1.3820e+01     1.0000e-03     1.6547e-10
1.5630e+01     1.0000e-03     8.3047e-11
1.7680e+01     1.0000e-03     4.0951e-11
2.0000e+01     1.0000e-03     2.0261e-11
