 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     3
 No. of channels =   414
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     6.2910e-04
1.0000e-04     1.4950e-04     1.4035e-03
1.0000e-04     1.9900e-04     2.4805e-03
1.0000e-04     2.4850e-04     3.8556e-03
1.0000e-04     2.9800e-04     5.5227e-03
1.0000e-04     3.4750e-04     7.4749e-03
1.0000e-04     3.9700e-04     9.7039e-03
1.0000e-04     4.4650e-04     1.2200e-02
1.0000e-04     4.9600e-04     1.4954e-02
1.0000e-04     5.4550e-04     1.7952e-02
1.0000e-04     5.9490e-04     2.1178e-02
1.0000e-04     6.4440e-04     2.4629e-02
1.0000e-04     6.9390e-04     2.8287e-02
1.0000e-04     7.4340e-04     3.2136e-02
1.0000e-04     7.9290e-04     3.6161e-02
1.0000e-04     8.4240e-04     4.0346e-02
1.0000e-04     8.9190e-04     4.4675e-02
1.0000e-04     9.4140e-04     4.9131e-02
1.0000e-04     9.9090e-04     5.3698e-02
1.0000e-04     1.0400e-03     5.8320e-02
1.0000e-04     1.0900e-03     6.3104e-02
1.0000e-04     1.1390e-03     6.7850e-02
1.0000e-04     1.1890e-03     7.2734e-02
1.0000e-04     1.2380e-03     7.7545e-02
1.0000e-04     1.2880e-03     8.2462e-02
1.0000e-04     1.3370e-03     8.7270e-02
1.0000e-04     1.3870e-03     9.2150e-02
1.0000e-04     1.4360e-03     9.6891e-02
1.0000e-04     1.4860e-03     1.0167e-01
1.0000e-04     1.5350e-03     1.0628e-01
1.0000e-04     1.5850e-03     1.1089e-01
1.0000e-04     1.6340e-03     1.1531e-01
1.0000e-04     1.6840e-03     1.1970e-01
1.0000e-04     1.7330e-03     1.2388e-01
1.0000e-04     1.7830e-03     1.2799e-01
1.0000e-04     1.8320e-03     1.3187e-01
1.0000e-04     1.8820e-03     1.3566e-01
1.0000e-04     1.9310e-03     1.3920e-01
1.0000e-04     1.9810e-03     1.4262e-01
1.0000e-04     2.0300e-03     1.4578e-01
1.0000e-04     2.0800e-03     1.4880e-01
1.0000e-04     2.1290e-03     1.5154e-01
1.0000e-04     2.1790e-03     1.5412e-01
1.0000e-04     2.2280e-03     1.5643e-01
1.0000e-04     2.2780e-03     1.5855e-01
1.0000e-04     2.3270e-03     1.6039e-01
1.0000e-04     2.3770e-03     1.6204e-01
1.0000e-04     2.4260e-03     1.6341e-01
1.0000e-04     2.4760e-03     1.6456e-01
1.0000e-04     2.5250e-03     1.6546e-01
1.0000e-04     2.5750e-03     1.6612e-01
1.0000e-04     2.6240e-03     1.6654e-01
1.0000e-04     2.6740e-03     1.6671e-01
1.0000e-04     2.7230e-03     1.6665e-01
1.0000e-04     2.7730e-03     1.6636e-01
1.0000e-04     2.8220e-03     1.6584e-01
1.0000e-04     2.8720e-03     1.6508e-01
1.0000e-04     2.9210e-03     1.6412e-01
1.0000e-04     2.9710e-03     1.6293e-01
1.0000e-04     3.0200e-03     1.6155e-01
1.0000e-04     3.0700e-03     1.5995e-01
1.0000e-04     3.1190e-03     1.5819e-01
1.0000e-04     3.1690e-03     1.5621e-01
1.0000e-04     3.2180e-03     1.5410e-01
1.0000e-04     3.2680e-03     1.5179e-01
1.0000e-04     3.3170e-03     1.4936e-01
1.0000e-04     3.3670e-03     1.4675e-01
1.0000e-04     3.4160e-03     1.4405e-01
1.0000e-04     3.4660e-03     1.4118e-01
1.0000e-04     3.5150e-03     1.3825e-01
1.0000e-04     3.5650e-03     1.3516e-01
1.0000e-04     3.6140e-03     1.3205e-01
1.0000e-04     3.6640e-03     1.2879e-01
1.0000e-04     3.7130e-03     1.2553e-01
1.0000e-04     3.7630e-03     1.2215e-01
1.0000e-04     3.8120e-03     1.1878e-01
1.0000e-04     3.8620e-03     1.1531e-01
1.0000e-04     3.9110e-03     1.1189e-01
1.0000e-04     3.9610e-03     1.0837e-01
1.0000e-04     4.0100e-03     1.0492e-01
1.0000e-04     4.0600e-03     1.0140e-01
