 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     3
 No. of channels =   414
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     6.2910e-04
1.0000e-04     1.0400e-04     6.8036e-04
1.0000e-04     1.0820e-04     7.3632e-04
1.0000e-04     1.1260e-04     7.9731e-04
1.0000e-04     1.1710e-04     8.6218e-04
1.0000e-04     1.2180e-04     9.3263e-04
1.0000e-04     1.2680e-04     1.0106e-03
1.0000e-04     1.3190e-04     1.0933e-03
1.0000e-04     1.3720e-04     1.1827e-03
1.0000e-04     1.4270e-04     1.2791e-03
1.0000e-04     1.4850e-04     1.3849e-03
1.0000e-04     1.5440e-04     1.4967e-03
1.0000e-04     1.6070e-04     1.6209e-03
1.0000e-04     1.6710e-04     1.7520e-03
1.0000e-04     1.7390e-04     1.8969e-03
1.0000e-04     1.8090e-04     2.0519e-03
1.0000e-04     1.8820e-04     2.2200e-03
1.0000e-04     1.9580e-04     2.4019e-03
1.0000e-04     2.0370e-04     2.5984e-03
1.0000e-04     2.1190e-04     2.8104e-03
1.0000e-04     2.2040e-04     3.0387e-03
1.0000e-04     2.2930e-04     3.2872e-03
1.0000e-04     2.3850e-04     3.5540e-03
1.0000e-04     2.4810e-04     3.8433e-03
1.0000e-04     2.5810e-04     4.1563e-03
1.0000e-04     2.6860e-04     4.4977e-03
1.0000e-04     2.7940e-04     4.8624e-03
1.0000e-04     2.9060e-04     5.2552e-03
1.0000e-04     3.0240e-04     5.6848e-03
1.0000e-04     3.1450e-04     6.1422e-03
1.0000e-04     3.2720e-04     6.6403e-03
1.0000e-04     3.4040e-04     7.1777e-03
1.0000e-04     3.5410e-04     7.7563e-03
1.0000e-04     3.6840e-04     8.3828e-03
1.0000e-04     3.8330e-04     9.0598e-03
1.0000e-04     3.9870e-04     9.7852e-03
1.0000e-04     4.1480e-04     1.0571e-02
1.0000e-04     4.3150e-04     1.1416e-02
1.0000e-04     4.4890e-04     1.2328e-02
1.0000e-04     4.6700e-04     1.3310e-02
1.0000e-04     4.8580e-04     1.4366e-02
1.0000e-04     5.0540e-04     1.5505e-02
1.0000e-04     5.2570e-04     1.6724e-02
1.0000e-04     5.4690e-04     1.8041e-02
1.0000e-04     5.6900e-04     1.9459e-02
1.0000e-04     5.9190e-04     2.0976e-02
1.0000e-04     6.1580e-04     2.2609e-02
1.0000e-04     6.4060e-04     2.4357e-02
1.0000e-04     6.6640e-04     2.6230e-02
1.0000e-04     6.9330e-04     2.8241e-02
1.0000e-04     7.2120e-04     3.0387e-02
1.0000e-04     7.5030e-04     3.2687e-02
1.0000e-04     7.8050e-04     3.5137e-02
1.0000e-04     8.1200e-04     3.7758e-02
1.0000e-04     8.4470e-04     4.0544e-02
1.0000e-04     8.7880e-04     4.3516e-02
1.0000e-04     9.1420e-04     4.6668e-02
1.0000e-04     9.5100e-04     5.0009e-02
1.0000e-04     9.8940e-04     5.3558e-02
1.0000e-04     1.0290e-03     5.7277e-02
1.0000e-04     1.0710e-03     6.1278e-02
1.0000e-04     1.1140e-03     6.5422e-02
1.0000e-04     1.1590e-03     6.9799e-02
1.0000e-04     1.2050e-03     7.4303e-02
1.0000e-04     1.2540e-03     7.9119e-02
1.0000e-04     1.3050e-03     8.4132e-02
1.0000e-04     1.3570e-03     8.9226e-02
1.0000e-04     1.4120e-03     9.4575e-02
1.0000e-04     1.4690e-03     1.0005e-01
1.0000e-04     1.5280e-03     1.0563e-01
1.0000e-04     1.5900e-03     1.1135e-01
1.0000e-04     1.6540e-03     1.1708e-01
1.0000e-04     1.7200e-03     1.2278e-01
1.0000e-04     1.7900e-03     1.2856e-01
1.0000e-04     1.8620e-03     1.3417e-01
1.0000e-04     1.9370e-03     1.3962e-01
1.0000e-04     2.0150e-03     1.4483e-01
1.0000e-04     2.0960e-03     1.4972e-01
1.0000e-04     2.1810e-03     1.5422e-01
1.0000e-04     2.2690e-03     1.5818e-01
1.0000e-04     2.3600e-03     1.6151e-01
1.0000e-04     2.4550e-03     1.6411e-01
1.0000e-04     2.5540e-03     1.6587e-01
1.0000e-04     2.6570e-03     1.6668e-01
1.0000e-04     2.7640e-03     1.6643e-01
1.0000e-04     2.8750e-03     1.6503e-01
1.0000e-04     2.9910e-03     1.6239e-01
1.0000e-04     3.1120e-03     1.5845e-01
1.0000e-04     3.2370e-03     1.5324e-01
1.0000e-04     3.3680e-03     1.4669e-01
1.0000e-04     3.5040e-03     1.3892e-01
1.0000e-04     3.6450e-03     1.3004e-01
1.0000e-04     3.7920e-03     1.2016e-01
1.0000e-04     3.9450e-03     1.0950e-01
1.0000e-04     4.1040e-03     9.8305e-02
1.0000e-04     4.2690e-03     8.6866e-02
1.0000e-04     4.4410e-03     7.5418e-02
1.0000e-04     4.6200e-03     6.4264e-02
1.0000e-04     4.8060e-03     5.3689e-02
1.0000e-04     5.0000e-03     4.3887e-02
1.1310e-04     1.0000e-04     6.2890e-04
1.1310e-04     1.0400e-04     6.8013e-04
1.1310e-04     1.0820e-04     7.3608e-04
1.1310e-04     1.1260e-04     7.9705e-04
1.1310e-04     1.1710e-04     8.6190e-04
1.1310e-04     1.2180e-04     9.3232e-04
1.1310e-04     1.2680e-04     1.0103e-03
1.1310e-04     1.3190e-04     1.0929e-03
1.1310e-04     1.3720e-04     1.1823e-03
1.1310e-04     1.4270e-04     1.2787e-03
1.1310e-04     1.4850e-04     1.3844e-03
1.1310e-04     1.5440e-04     1.4962e-03
1.1310e-04     1.6070e-04     1.6203e-03
1.1310e-04     1.6710e-04     1.7514e-03
1.1310e-04     1.7390e-04     1.8962e-03
1.1310e-04     1.8090e-04     2.0512e-03
1.1310e-04     1.8820e-04     2.2192e-03
1.1310e-04     1.9580e-04     2.4011e-03
1.1310e-04     2.0370e-04     2.5975e-03
1.1310e-04     2.1190e-04     2.8095e-03
1.1310e-04     2.2040e-04     3.0377e-03
1.1310e-04     2.2930e-04     3.2861e-03
1.1310e-04     2.3850e-04     3.5528e-03
1.1310e-04     2.4810e-04     3.8420e-03
1.1310e-04     2.5810e-04     4.1549e-03
1.1310e-04     2.6860e-04     4.4962e-03
1.1310e-04     2.7940e-04     4.8608e-03
1.1310e-04     2.9060e-04     5.2534e-03
1.1310e-04     3.0240e-04     5.6829e-03
1.1310e-04     3.1450e-04     6.1401e-03
1.1310e-04     3.2720e-04     6.6380e-03
1.1310e-04     3.4040e-04     7.1752e-03
1.1310e-04     3.5410e-04     7.7536e-03
1.1310e-04     3.6840e-04     8.3799e-03
