 Element: Ge
 Maximum L =  1
 Maximum kappa =  4
 No. of transitions =     3
 No. of channels =    90
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     6.2054e-02
1.1310e-04     1.0000e-03     6.2038e-02
1.2800e-04     1.0000e-03     6.2019e-02
1.4480e-04     1.0000e-03     6.1998e-02
1.6380e-04     1.0000e-03     6.1975e-02
1.8520e-04     1.0000e-03     6.1950e-02
2.0950e-04     1.0000e-03     6.1921e-02
2.3700e-04     1.0000e-03     6.1888e-02
2.6810e-04     1.0000e-03     6.1852e-02
3.0330e-04     1.0000e-03     6.1812e-02
3.4310e-04     1.0000e-03     6.1768e-02
3.8820e-04     1.0000e-03     6.1719e-02
4.3910e-04     1.0000e-03     6.1665e-02
4.9670e-04     1.0000e-03     6.1606e-02
5.6190e-04     1.0000e-03     6.1542e-02
6.3560e-04     1.0000e-03     6.1473e-02
7.1900e-04     1.0000e-03     6.1399e-02
8.1340e-04     1.0000e-03     6.1320e-02
9.2010e-04     1.0000e-03     6.1238e-02
1.0410e-03     1.0000e-03     6.1155e-02
1.1770e-03     1.0000e-03     6.1072e-02
1.3320e-03     1.0000e-03     6.0992e-02
1.5070e-03     1.0000e-03     6.0920e-02
1.7040e-03     1.0000e-03     6.0864e-02
1.9280e-03     1.0000e-03     6.0829e-02
2.1810e-03     1.0000e-03     6.0829e-02
2.4670e-03     1.0000e-03     6.0878e-02
2.7910e-03     1.0000e-03     6.0993e-02
3.1570e-03     1.0000e-03     6.1198e-02
3.5710e-03     1.0000e-03     6.1523e-02
4.0400e-03     1.0000e-03     6.2004e-02
4.5700e-03     1.0000e-03     6.2684e-02
5.1700e-03     1.0000e-03     6.3613e-02
5.8480e-03     1.0000e-03     6.4849e-02
6.6150e-03     1.0000e-03     6.6454e-02
7.4830e-03     1.0000e-03     6.8498e-02
8.4650e-03     1.0000e-03     7.1045e-02
9.5760e-03     1.0000e-03     7.4154e-02
1.0830e-02     1.0000e-03     7.7857e-02
1.2250e-02     1.0000e-03     8.2182e-02
1.3860e-02     1.0000e-03     8.7113e-02
1.5680e-02     1.0000e-03     9.2558e-02
1.7740e-02     1.0000e-03     9.8388e-02
2.0070e-02     1.0000e-03     1.0439e-01
2.2700e-02     1.0000e-03     1.1029e-01
2.5680e-02     1.0000e-03     1.1576e-01
2.9050e-02     1.0000e-03     1.2044e-01
3.2860e-02     1.0000e-03     1.2394e-01
3.7170e-02     1.0000e-03     1.2590e-01
4.2050e-02     1.0000e-03     1.2604e-01
4.7570e-02     1.0000e-03     1.2414e-01
5.3810e-02     1.0000e-03     1.2013e-01
6.0870e-02     1.0000e-03     1.1407e-01
6.8850e-02     1.0000e-03     1.0617e-01
7.7890e-02     1.0000e-03     9.6708e-02
8.8110e-02     1.0000e-03     8.6162e-02
9.9670e-02     1.0000e-03     7.4991e-02
1.1270e-01     1.0000e-03     6.3748e-02
1.2750e-01     1.0000e-03     5.2830e-02
1.4430e-01     1.0000e-03     4.2655e-02
1.6320e-01     1.0000e-03     3.3607e-02
1.8460e-01     1.0000e-03     2.5811e-02
2.0890e-01     1.0000e-03     1.9311e-02
2.3630e-01     1.0000e-03     1.4111e-02
2.6730e-01     1.0000e-03     1.0074e-02
3.0230e-01     1.0000e-03     7.0337e-03
3.4200e-01     1.0000e-03     4.8034e-03
3.8690e-01     1.0000e-03     3.2144e-03
4.3760e-01     1.0000e-03     2.1133e-03
4.9510e-01     1.0000e-03     1.3631e-03
5.6000e-01     1.0000e-03     8.6562e-04
6.3350e-01     1.0000e-03     5.4118e-04
7.1660e-01     1.0000e-03     3.3394e-04
8.1070e-01     1.0000e-03     2.0315e-04
9.1700e-01     1.0000e-03     1.2229e-04
1.0370e+00     1.0000e-03     7.2904e-05
1.1730e+00     1.0000e-03     4.2963e-05
1.3270e+00     1.0000e-03     2.5109e-05
1.5020e+00     1.0000e-03     1.4547e-05
1.6990e+00     1.0000e-03     8.3749e-06
1.9220e+00     1.0000e-03     4.7955e-06
2.1740e+00     1.0000e-03     2.7309e-06
2.4590e+00     1.0000e-03     1.5492e-06
2.7820e+00     1.0000e-03     8.6954e-07
3.1470e+00     1.0000e-03     4.8683e-07
3.5600e+00     1.0000e-03     2.6969e-07
4.0270e+00     1.0000e-03     1.4891e-07
4.5550e+00     1.0000e-03     8.1437e-08
5.1530e+00     1.0000e-03     4.4048e-08
5.8290e+00     1.0000e-03     2.3711e-08
6.5940e+00     1.0000e-03     1.2555e-08
7.4590e+00     1.0000e-03     6.6152e-09
8.4370e+00     1.0000e-03     3.4761e-09
9.5450e+00     1.0000e-03     1.7941e-09
1.0800e+01     1.0000e-03     9.1721e-10
1.2210e+01     1.0000e-03     4.7012e-10
1.3820e+01     1.0000e-03     2.3642e-10
1.5630e+01     1.0000e-03     1.1845e-10
1.7680e+01     1.0000e-03     5.8268e-11
2.0000e+01     1.0000e-03     2.8771e-11
