 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     2
 No. of channels =   100
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     3.1796e-05
1.0000e-04     1.4950e-04     7.0891e-05
1.0000e-04     1.9900e-04     1.2518e-04
1.0000e-04     2.4850e-04     1.9434e-04
1.0000e-04     2.9800e-04     2.7797e-04
1.0000e-04     3.4750e-04     3.7559e-04
1.0000e-04     3.9700e-04     4.8665e-04
1.0000e-04     4.4650e-04     6.1050e-04
1.0000e-04     4.9600e-04     7.4644e-04
1.0000e-04     5.4550e-04     8.9372e-04
1.0000e-04     5.9490e-04     1.0512e-03
1.0000e-04     6.4440e-04     1.2186e-03
1.0000e-04     6.9390e-04     1.3948e-03
1.0000e-04     7.4340e-04     1.5787e-03
1.0000e-04     7.9290e-04     1.7695e-03
1.0000e-04     8.4240e-04     1.9661e-03
1.0000e-04     8.9190e-04     2.1676e-03
1.0000e-04     9.4140e-04     2.3729e-03
1.0000e-04     9.9090e-04     2.5810e-03
1.0000e-04     1.0400e-03     2.7892e-03
1.0000e-04     1.0900e-03     3.0021e-03
1.0000e-04     1.1390e-03     3.2106e-03
1.0000e-04     1.1890e-03     3.4223e-03
1.0000e-04     1.2380e-03     3.6278e-03
1.0000e-04     1.2880e-03     3.8347e-03
1.0000e-04     1.3370e-03     4.0338e-03
1.0000e-04     1.3870e-03     4.2326e-03
1.0000e-04     1.4360e-03     4.4223e-03
1.0000e-04     1.4860e-03     4.6100e-03
1.0000e-04     1.5350e-03     4.7877e-03
1.0000e-04     1.5850e-03     4.9619e-03
1.0000e-04     1.6340e-03     5.1252e-03
1.0000e-04     1.6840e-03     5.2838e-03
1.0000e-04     1.7330e-03     5.4311e-03
1.0000e-04     1.7830e-03     5.5726e-03
1.0000e-04     1.8320e-03     5.7024e-03
1.0000e-04     1.8820e-03     5.8257e-03
1.0000e-04     1.9310e-03     5.9374e-03
1.0000e-04     1.9810e-03     6.0417e-03
1.0000e-04     2.0300e-03     6.1347e-03
1.0000e-04     2.0800e-03     6.2199e-03
1.0000e-04     2.1290e-03     6.2940e-03
1.0000e-04     2.1790e-03     6.3601e-03
1.0000e-04     2.2280e-03     6.4157e-03
