 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     2
 No. of channels =   100
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     3.1796e-05
1.0000e-04     1.0400e-04     3.4385e-05
1.0000e-04     1.0820e-04     3.7212e-05
1.0000e-04     1.1260e-04     4.0292e-05
1.0000e-04     1.1710e-04     4.3568e-05
1.0000e-04     1.2180e-04     4.7125e-05
1.0000e-04     1.2680e-04     5.1061e-05
1.0000e-04     1.3190e-04     5.5237e-05
1.0000e-04     1.3720e-04     5.9748e-05
1.0000e-04     1.4270e-04     6.4614e-05
1.0000e-04     1.4850e-04     6.9950e-05
1.0000e-04     1.5440e-04     7.5592e-05
1.0000e-04     1.6070e-04     8.1854e-05
1.0000e-04     1.6710e-04     8.8467e-05
1.0000e-04     1.7390e-04     9.5769e-05
1.0000e-04     1.8090e-04     1.0358e-04
1.0000e-04     1.8820e-04     1.1205e-04
1.0000e-04     1.9580e-04     1.2121e-04
1.0000e-04     2.0370e-04     1.3111e-04
1.0000e-04     2.1190e-04     1.4178e-04
1.0000e-04     2.2040e-04     1.5327e-04
1.0000e-04     2.2930e-04     1.6577e-04
1.0000e-04     2.3850e-04     1.7918e-04
1.0000e-04     2.4810e-04     1.9372e-04
1.0000e-04     2.5810e-04     2.0944e-04
1.0000e-04     2.6860e-04     2.2658e-04
1.0000e-04     2.7940e-04     2.4488e-04
1.0000e-04     2.9060e-04     2.6456e-04
1.0000e-04     3.0240e-04     2.8609e-04
1.0000e-04     3.1450e-04     3.0898e-04
1.0000e-04     3.2720e-04     3.3390e-04
1.0000e-04     3.4040e-04     3.6075e-04
1.0000e-04     3.5410e-04     3.8964e-04
1.0000e-04     3.6840e-04     4.2088e-04
1.0000e-04     3.8330e-04     4.5460e-04
1.0000e-04     3.9870e-04     4.9069e-04
1.0000e-04     4.1480e-04     5.2974e-04
1.0000e-04     4.3150e-04     5.7165e-04
1.0000e-04     4.4890e-04     6.1681e-04
1.0000e-04     4.6700e-04     6.6537e-04
1.0000e-04     4.8580e-04     7.1747e-04
1.0000e-04     5.0540e-04     7.7356e-04
1.0000e-04     5.2570e-04     8.3350e-04
1.0000e-04     5.4690e-04     8.9804e-04
1.0000e-04     5.6900e-04     9.6737e-04
1.0000e-04     5.9190e-04     1.0413e-03
1.0000e-04     6.1580e-04     1.1207e-03
1.0000e-04     6.4060e-04     1.2054e-03
1.0000e-04     6.6640e-04     1.2959e-03
1.0000e-04     6.9330e-04     1.3926e-03
1.0000e-04     7.2120e-04     1.4953e-03
1.0000e-04     7.5030e-04     1.6049e-03
1.0000e-04     7.8050e-04     1.7211e-03
1.0000e-04     8.1200e-04     1.8447e-03
1.0000e-04     8.4470e-04     1.9754e-03
1.0000e-04     8.7880e-04     2.1139e-03
1.0000e-04     9.1420e-04     2.2596e-03
1.0000e-04     9.5100e-04     2.4130e-03
1.0000e-04     9.8940e-04     2.5746e-03
1.0000e-04     1.0290e-03     2.7424e-03
1.0000e-04     1.0710e-03     2.9211e-03
1.0000e-04     1.1140e-03     3.1042e-03
1.0000e-04     1.1590e-03     3.2954e-03
1.0000e-04     1.2050e-03     3.4896e-03
1.0000e-04     1.2540e-03     3.6943e-03
1.0000e-04     1.3050e-03     3.9042e-03
1.0000e-04     1.3570e-03     4.1139e-03
1.0000e-04     1.4120e-03     4.3301e-03
1.0000e-04     1.4690e-03     4.5469e-03
1.0000e-04     1.5280e-03     4.7627e-03
1.0000e-04     1.5900e-03     4.9789e-03
1.0000e-04     1.6540e-03     5.1896e-03
1.0000e-04     1.7200e-03     5.3928e-03
1.0000e-04     1.7900e-03     5.5917e-03
1.0000e-04     1.8620e-03     5.7775e-03
1.0000e-04     1.9370e-03     5.9504e-03
1.0000e-04     2.0150e-03     6.1072e-03
1.0000e-04     2.0960e-03     6.2451e-03
1.0000e-04     2.1810e-03     6.3625e-03
1.0000e-04     2.2690e-03     6.4553e-03
1.0000e-04     2.3600e-03     6.5210e-03
1.0000e-04     2.4550e-03     6.5584e-03
1.0000e-04     2.5540e-03     6.5651e-03
1.0000e-04     2.6570e-03     6.5394e-03
1.0000e-04     2.7640e-03     6.4803e-03
1.0000e-04     2.8750e-03     6.3872e-03
1.0000e-04     2.9910e-03     6.2591e-03
1.0000e-04     3.1120e-03     6.0962e-03
1.0000e-04     3.2370e-03     5.9009e-03
1.0000e-04     3.3680e-03     5.6718e-03
1.0000e-04     3.5040e-03     5.4125e-03
1.0000e-04     3.6450e-03     5.1259e-03
1.0000e-04     3.7920e-03     4.8135e-03
1.0000e-04     3.9450e-03     4.4792e-03
1.0000e-04     4.1040e-03     4.1274e-03
1.0000e-04     4.2690e-03     3.7635e-03
1.0000e-04     4.4410e-03     3.3910e-03
1.0000e-04     4.6200e-03     3.0161e-03
1.0000e-04     4.8060e-03     2.6455e-03
1.0000e-04     5.0000e-03     2.2840e-03
1.1310e-04     1.0000e-04     3.1768e-05
1.1310e-04     1.0400e-04     3.4355e-05
1.1310e-04     1.0820e-04     3.7179e-05
1.1310e-04     1.1260e-04     4.0257e-05
1.1310e-04     1.1710e-04     4.3530e-05
1.1310e-04     1.2180e-04     4.7084e-05
1.1310e-04     1.2680e-04     5.1016e-05
1.1310e-04     1.3190e-04     5.5188e-05
1.1310e-04     1.3720e-04     5.9695e-05
1.1310e-04     1.4270e-04     6.4557e-05
1.1310e-04     1.4850e-04     6.9888e-05
1.1310e-04     1.5440e-04     7.5525e-05
1.1310e-04     1.6070e-04     8.1782e-05
1.1310e-04     1.6710e-04     8.8388e-05
1.1310e-04     1.7390e-04     9.5684e-05
1.1310e-04     1.8090e-04     1.0349e-04
1.1310e-04     1.8820e-04     1.1195e-04
1.1310e-04     1.9580e-04     1.2111e-04
1.1310e-04     2.0370e-04     1.3099e-04
1.1310e-04     2.1190e-04     1.4166e-04
1.1310e-04     2.2040e-04     1.5314e-04
1.1310e-04     2.2930e-04     1.6562e-04
1.1310e-04     2.3850e-04     1.7903e-04
1.1310e-04     2.4810e-04     1.9355e-04
1.1310e-04     2.5810e-04     2.0925e-04
1.1310e-04     2.6860e-04     2.2638e-04
1.1310e-04     2.7940e-04     2.4466e-04
1.1310e-04     2.9060e-04     2.6433e-04
1.1310e-04     3.0240e-04     2.8584e-04
1.1310e-04     3.1450e-04     3.0871e-04
1.1310e-04     3.2720e-04     3.3360e-04
1.1310e-04     3.4040e-04     3.6043e-04
1.1310e-04     3.5410e-04     3.8929e-04
1.1310e-04     3.6840e-04     4.2051e-04
1.1310e-04     3.8330e-04     4.5420e-04
1.1310e-04     3.9870e-04     4.9026e-04
1.1310e-04     4.1480e-04     5.2928e-04
1.1310e-04     4.3150e-04     5.7115e-04
1.1310e-04     4.4890e-04     6.1627e-04
1.1310e-04     4.6700e-04     6.6478e-04
1.1310e-04     4.8580e-04     7.1684e-04
1.1310e-04     5.0540e-04     7.7288e-04
1.1310e-04     5.2570e-04     8.3276e-04
1.1310e-04     5.4690e-04     8.9725e-04
1.1310e-04     5.6900e-04     9.6652e-04
1.1310e-04     5.9190e-04     1.0404e-03
1.1310e-04     6.1580e-04     1.1198e-03
1.1310e-04     6.4060e-04     1.2044e-03
