 Element: Ge
 Maximum L =  1
 Maximum kappa =  4
 No. of transitions =     2
 No. of channels =    28
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     2.7700e-03
1.1310e-04     1.0000e-03     2.7678e-03
1.2800e-04     1.0000e-03     2.7653e-03
1.4480e-04     1.0000e-03     2.7625e-03
1.6380e-04     1.0000e-03     2.7593e-03
1.8520e-04     1.0000e-03     2.7557e-03
2.0950e-04     1.0000e-03     2.7517e-03
2.3700e-04     1.0000e-03     2.7471e-03
2.6810e-04     1.0000e-03     2.7420e-03
3.0330e-04     1.0000e-03     2.7363e-03
3.4310e-04     1.0000e-03     2.7298e-03
3.8820e-04     1.0000e-03     2.7226e-03
4.3910e-04     1.0000e-03     2.7146e-03
4.9670e-04     1.0000e-03     2.7056e-03
5.6190e-04     1.0000e-03     2.6957e-03
6.3560e-04     1.0000e-03     2.6847e-03
7.1900e-04     1.0000e-03     2.6726e-03
8.1340e-04     1.0000e-03     2.6592e-03
9.2010e-04     1.0000e-03     2.6447e-03
1.0410e-03     1.0000e-03     2.6289e-03
1.1770e-03     1.0000e-03     2.6120e-03
1.3320e-03     1.0000e-03     2.5939e-03
1.5070e-03     1.0000e-03     2.5746e-03
1.7040e-03     1.0000e-03     2.5545e-03
1.9280e-03     1.0000e-03     2.5335e-03
2.1810e-03     1.0000e-03     2.5119e-03
2.4670e-03     1.0000e-03     2.4899e-03
2.7910e-03     1.0000e-03     2.4677e-03
3.1570e-03     1.0000e-03     2.4457e-03
3.5710e-03     1.0000e-03     2.4241e-03
4.0400e-03     1.0000e-03     2.4029e-03
4.5700e-03     1.0000e-03     2.3827e-03
5.1700e-03     1.0000e-03     2.3634e-03
5.8480e-03     1.0000e-03     2.3452e-03
6.6150e-03     1.0000e-03     2.3281e-03
7.4830e-03     1.0000e-03     2.3122e-03
8.4650e-03     1.0000e-03     2.2973e-03
9.5760e-03     1.0000e-03     2.2833e-03
1.0830e-02     1.0000e-03     2.2700e-03
1.2250e-02     1.0000e-03     2.2571e-03
1.3860e-02     1.0000e-03     2.2441e-03
1.5680e-02     1.0000e-03     2.2307e-03
1.7740e-02     1.0000e-03     2.2162e-03
2.0070e-02     1.0000e-03     2.2002e-03
2.2700e-02     1.0000e-03     2.1818e-03
2.5680e-02     1.0000e-03     2.1603e-03
2.9050e-02     1.0000e-03     2.1351e-03
3.2860e-02     1.0000e-03     2.1051e-03
3.7170e-02     1.0000e-03     2.0697e-03
4.2050e-02     1.0000e-03     2.0278e-03
4.7570e-02     1.0000e-03     1.9787e-03
5.3810e-02     1.0000e-03     1.9220e-03
6.0870e-02     1.0000e-03     1.8569e-03
6.8850e-02     1.0000e-03     1.7833e-03
7.7890e-02     1.0000e-03     1.7009e-03
8.8110e-02     1.0000e-03     1.6100e-03
9.9670e-02     1.0000e-03     1.5114e-03
1.1270e-01     1.0000e-03     1.4064e-03
1.2750e-01     1.0000e-03     1.2953e-03
1.4430e-01     1.0000e-03     1.1800e-03
1.6320e-01     1.0000e-03     1.0637e-03
1.8460e-01     1.0000e-03     9.4725e-04
2.0890e-01     1.0000e-03     8.3281e-04
2.3630e-01     1.0000e-03     7.2326e-04
2.6730e-01     1.0000e-03     6.1984e-04
3.0230e-01     1.0000e-03     5.2440e-04
3.4200e-01     1.0000e-03     4.3748e-04
3.8690e-01     1.0000e-03     3.5999e-04
4.3760e-01     1.0000e-03     2.9261e-04
4.9510e-01     1.0000e-03     2.3455e-04
5.6000e-01     1.0000e-03     1.8567e-04
6.3350e-01     1.0000e-03     1.4519e-04
7.1660e-01     1.0000e-03     1.1229e-04
8.1070e-01     1.0000e-03     8.5782e-05
9.1700e-01     1.0000e-03     6.4936e-05
1.0370e+00     1.0000e-03     4.8640e-05
1.1730e+00     1.0000e-03     3.6110e-05
1.3270e+00     1.0000e-03     2.6552e-05
1.5020e+00     1.0000e-03     1.9332e-05
1.6990e+00     1.0000e-03     1.3998e-05
1.9220e+00     1.0000e-03     1.0054e-05
2.1740e+00     1.0000e-03     7.1801e-06
2.4590e+00     1.0000e-03     5.0810e-06
2.7820e+00     1.0000e-03     3.5821e-06
3.1470e+00     1.0000e-03     2.5027e-06
3.5600e+00     1.0000e-03     1.7446e-06
4.0270e+00     1.0000e-03     1.2024e-06
4.5550e+00     1.0000e-03     8.2729e-07
5.1530e+00     1.0000e-03     5.6561e-07
5.8290e+00     1.0000e-03     3.8291e-07
6.5940e+00     1.0000e-03     2.5810e-07
7.4590e+00     1.0000e-03     1.7272e-07
8.4370e+00     1.0000e-03     1.1501e-07
9.5450e+00     1.0000e-03     7.5662e-08
1.0800e+01     1.0000e-03     4.9634e-08
1.2210e+01     1.0000e-03     3.2638e-08
1.3820e+01     1.0000e-03     2.1070e-08
1.5630e+01     1.0000e-03     1.3569e-08
1.7680e+01     1.0000e-03     8.7716e-09
2.0000e+01     1.0000e-03     5.5749e-09
