 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     6.2054e-02
1.0000e-04     1.4950e-04     1.3854e-01
1.0000e-04     1.9900e-04     2.4509e-01
1.0000e-04     2.4850e-04     3.8142e-01
1.0000e-04     2.9800e-04     5.4716e-01
1.0000e-04     3.4750e-04     7.4187e-01
1.0000e-04     3.9700e-04     9.6500e-01
1.0000e-04     4.4650e-04     1.2159e+00
1.0000e-04     4.9600e-04     1.4940e+00
1.0000e-04     5.4550e-04     1.7983e+00
1.0000e-04     5.9490e-04     2.1273e+00
1.0000e-04     6.4440e-04     2.4814e+00
1.0000e-04     6.9390e-04     2.8588e+00
1.0000e-04     7.4340e-04     3.2585e+00
1.0000e-04     7.9290e-04     3.6790e+00
1.0000e-04     8.4240e-04     4.1190e+00
1.0000e-04     8.9190e-04     4.5772e+00
1.0000e-04     9.4140e-04     5.0520e+00
1.0000e-04     9.9090e-04     5.5417e+00
1.0000e-04     1.0400e-03     6.0405e+00
1.0000e-04     1.0900e-03     6.5600e+00
1.0000e-04     1.1390e-03     7.0787e+00
1.0000e-04     1.1890e-03     7.6158e+00
1.0000e-04     1.2380e-03     8.1478e+00
1.0000e-04     1.2880e-03     8.6943e+00
1.0000e-04     1.3370e-03     9.2316e+00
1.0000e-04     1.3870e-03     9.7793e+00
1.0000e-04     1.4360e-03     1.0314e+01
1.0000e-04     1.4860e-03     1.0854e+01
1.0000e-04     1.5350e-03     1.1377e+01
1.0000e-04     1.5850e-03     1.1901e+01
1.0000e-04     1.6340e-03     1.2404e+01
1.0000e-04     1.6840e-03     1.2904e+01
1.0000e-04     1.7330e-03     1.3379e+01
1.0000e-04     1.7830e-03     1.3847e+01
1.0000e-04     1.8320e-03     1.4286e+01
1.0000e-04     1.8820e-03     1.4714e+01
1.0000e-04     1.9310e-03     1.5111e+01
1.0000e-04     1.9810e-03     1.5492e+01
1.0000e-04     2.0300e-03     1.5841e+01
1.0000e-04     2.0800e-03     1.6169e+01
1.0000e-04     2.1290e-03     1.6464e+01
