 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     6.2054e-02
1.0000e-04     1.0400e-04     6.7113e-02
1.0000e-04     1.0820e-04     7.2638e-02
1.0000e-04     1.1260e-04     7.8658e-02
1.0000e-04     1.1710e-04     8.5063e-02
1.0000e-04     1.2180e-04     9.2019e-02
1.0000e-04     1.2680e-04     9.9718e-02
1.0000e-04     1.3190e-04     1.0789e-01
1.0000e-04     1.3720e-04     1.1672e-01
1.0000e-04     1.4270e-04     1.2625e-01
1.0000e-04     1.4850e-04     1.3670e-01
1.0000e-04     1.5440e-04     1.4775e-01
1.0000e-04     1.6070e-04     1.6003e-01
1.0000e-04     1.6710e-04     1.7299e-01
1.0000e-04     1.7390e-04     1.8732e-01
1.0000e-04     1.8090e-04     2.0266e-01
1.0000e-04     1.8820e-04     2.1929e-01
1.0000e-04     1.9580e-04     2.3730e-01
1.0000e-04     2.0370e-04     2.5676e-01
1.0000e-04     2.1190e-04     2.7776e-01
1.0000e-04     2.2040e-04     3.0039e-01
1.0000e-04     2.2930e-04     3.2503e-01
1.0000e-04     2.3850e-04     3.5149e-01
1.0000e-04     2.4810e-04     3.8020e-01
1.0000e-04     2.5810e-04     4.1128e-01
1.0000e-04     2.6860e-04     4.4520e-01
1.0000e-04     2.7940e-04     4.8146e-01
1.0000e-04     2.9060e-04     5.2053e-01
1.0000e-04     3.0240e-04     5.6330e-01
1.0000e-04     3.1450e-04     6.0887e-01
1.0000e-04     3.2720e-04     6.5855e-01
1.0000e-04     3.4040e-04     7.1218e-01
1.0000e-04     3.5410e-04     7.6999e-01
1.0000e-04     3.6840e-04     8.3264e-01
1.0000e-04     3.8330e-04     9.0043e-01
1.0000e-04     3.9870e-04     9.7316e-01
1.0000e-04     4.1480e-04     1.0521e+00
1.0000e-04     4.3150e-04     1.1370e+00
1.0000e-04     4.4890e-04     1.2288e+00
1.0000e-04     4.6700e-04     1.3278e+00
1.0000e-04     4.8580e-04     1.4345e+00
1.0000e-04     5.0540e-04     1.5498e+00
1.0000e-04     5.2570e-04     1.6735e+00
1.0000e-04     5.4690e-04     1.8073e+00
1.0000e-04     5.6900e-04     1.9517e+00
1.0000e-04     5.9190e-04     2.1066e+00
1.0000e-04     6.1580e-04     2.2739e+00
1.0000e-04     6.4060e-04     2.4534e+00
1.0000e-04     6.6640e-04     2.6463e+00
1.0000e-04     6.9330e-04     2.8541e+00
1.0000e-04     7.2120e-04     3.0766e+00
1.0000e-04     7.5030e-04     3.3158e+00
1.0000e-04     7.8050e-04     3.5717e+00
1.0000e-04     8.1200e-04     3.8465e+00
1.0000e-04     8.4470e-04     4.1399e+00
1.0000e-04     8.7880e-04     4.4543e+00
1.0000e-04     9.1420e-04     4.7891e+00
1.0000e-04     9.5100e-04     5.1458e+00
1.0000e-04     9.8940e-04     5.5266e+00
1.0000e-04     1.0290e-03     5.9277e+00
1.0000e-04     1.0710e-03     6.3613e+00
1.0000e-04     1.1140e-03     6.8130e+00
1.0000e-04     1.1590e-03     7.2927e+00
1.0000e-04     1.2050e-03     7.7890e+00
1.0000e-04     1.2540e-03     8.3224e+00
1.0000e-04     1.3050e-03     8.8807e+00
1.0000e-04     1.3570e-03     9.4509e+00
1.0000e-04     1.4120e-03     1.0052e+01
1.0000e-04     1.4690e-03     1.0671e+01
1.0000e-04     1.5280e-03     1.1303e+01
1.0000e-04     1.5900e-03     1.1953e+01
1.0000e-04     1.6540e-03     1.2606e+01
1.0000e-04     1.7200e-03     1.3255e+01
1.0000e-04     1.7900e-03     1.3911e+01
1.0000e-04     1.8620e-03     1.4546e+01
1.0000e-04     1.9370e-03     1.5158e+01
1.0000e-04     2.0150e-03     1.5737e+01
1.0000e-04     2.0960e-03     1.6269e+01
1.0000e-04     2.1810e-03     1.6746e+01
1.0000e-04     2.2690e-03     1.7147e+01
1.0000e-04     2.3600e-03     1.7460e+01
1.0000e-04     2.4550e-03     1.7672e+01
1.0000e-04     2.5540e-03     1.7769e+01
1.0000e-04     2.6570e-03     1.7737e+01
1.0000e-04     2.7640e-03     1.7565e+01
1.0000e-04     2.8750e-03     1.7247e+01
1.0000e-04     2.9910e-03     1.6774e+01
1.0000e-04     3.1120e-03     1.6145e+01
1.0000e-04     3.2370e-03     1.5373e+01
1.0000e-04     3.3680e-03     1.4457e+01
1.0000e-04     3.5040e-03     1.3419e+01
1.0000e-04     3.6450e-03     1.2286e+01
1.0000e-04     3.7920e-03     1.1076e+01
1.0000e-04     3.9450e-03     9.8227e+00
1.0000e-04     4.1040e-03     8.5606e+00
1.0000e-04     4.2690e-03     7.3244e+00
1.0000e-04     4.4410e-03     6.1400e+00
1.0000e-04     4.6200e-03     5.0373e+00
1.0000e-04     4.8060e-03     4.0401e+00
1.0000e-04     5.0000e-03     3.1604e+00
1.1310e-04     1.0000e-04     6.1567e-02
1.1310e-04     1.0400e-04     6.6586e-02
1.1310e-04     1.0820e-04     7.2067e-02
1.1310e-04     1.1260e-04     7.8041e-02
1.1310e-04     1.1710e-04     8.4396e-02
1.1310e-04     1.2180e-04     9.1297e-02
1.1310e-04     1.2680e-04     9.8936e-02
1.1310e-04     1.3190e-04     1.0704e-01
1.1310e-04     1.3720e-04     1.1580e-01
1.1310e-04     1.4270e-04     1.2526e-01
1.1310e-04     1.4850e-04     1.3562e-01
1.1310e-04     1.5440e-04     1.4659e-01
1.1310e-04     1.6070e-04     1.5877e-01
1.1310e-04     1.6710e-04     1.7164e-01
1.1310e-04     1.7390e-04     1.8585e-01
1.1310e-04     1.8090e-04     2.0107e-01
1.1310e-04     1.8820e-04     2.1757e-01
1.1310e-04     1.9580e-04     2.3544e-01
1.1310e-04     2.0370e-04     2.5475e-01
1.1310e-04     2.1190e-04     2.7559e-01
1.1310e-04     2.2040e-04     2.9804e-01
1.1310e-04     2.2930e-04     3.2248e-01
1.1310e-04     2.3850e-04     3.4875e-01
1.1310e-04     2.4810e-04     3.7723e-01
1.1310e-04     2.5810e-04     4.0806e-01
1.1310e-04     2.6860e-04     4.4172e-01
1.1310e-04     2.7940e-04     4.7770e-01
1.1310e-04     2.9060e-04     5.1647e-01
1.1310e-04     3.0240e-04     5.5891e-01
1.1310e-04     3.1450e-04     6.0413e-01
1.1310e-04     3.2720e-04     6.5342e-01
1.1310e-04     3.4040e-04     7.0664e-01
1.1310e-04     3.5410e-04     7.6401e-01
1.1310e-04     3.6840e-04     8.2618e-01
1.1310e-04     3.8330e-04     8.9345e-01
1.1310e-04     3.9870e-04     9.6562e-01
1.1310e-04     4.1480e-04     1.0439e+00
1.1310e-04     4.3150e-04     1.1282e+00
1.1310e-04     4.4890e-04     1.2193e+00
1.1310e-04     4.6700e-04     1.3176e+00
1.1310e-04     4.8580e-04     1.4235e+00
1.1310e-04     5.0540e-04     1.5379e+00
1.1310e-04     5.2570e-04     1.6606e+00
1.1310e-04     5.4690e-04     1.7935e+00
1.1310e-04     5.6900e-04     1.9368e+00
1.1310e-04     5.9190e-04     2.0906e+00
1.1310e-04     6.1580e-04     2.2567e+00
1.1310e-04     6.4060e-04     2.4348e+00
1.1310e-04     6.6640e-04     2.6264e+00
1.1310e-04     6.9330e-04     2.8327e+00
1.1310e-04     7.2120e-04     3.0535e+00
1.1310e-04     7.5030e-04     3.2911e+00
1.1310e-04     7.8050e-04     3.5452e+00
1.1310e-04     8.1200e-04     3.8181e+00
1.1310e-04     8.4470e-04     4.1095e+00
1.1310e-04     8.7880e-04     4.4217e+00
1.1310e-04     9.1420e-04     4.7543e+00
1.1310e-04     9.5100e-04     5.1086e+00
1.1310e-04     9.8940e-04     5.4869e+00
1.1310e-04     1.0290e-03     5.8854e+00
1.1310e-04     1.0710e-03     6.3163e+00
1.1310e-04     1.1140e-03     6.7652e+00
1.1310e-04     1.1590e-03     7.2420e+00
1.1310e-04     1.2050e-03     7.7353e+00
1.1310e-04     1.2540e-03     8.2657e+00
1.1310e-04     1.3050e-03     8.8208e+00
1.1310e-04     1.3570e-03     9.3880e+00
1.1310e-04     1.4120e-03     9.9864e+00
1.1310e-04     1.4690e-03     1.0602e+01
1.1310e-04     1.5280e-03     1.1230e+01
1.1310e-04     1.5900e-03     1.1878e+01
1.1310e-04     1.6540e-03     1.2528e+01
1.1310e-04     1.7200e-03     1.3175e+01
1.1310e-04     1.7900e-03     1.3829e+01
1.1310e-04     1.8620e-03     1.4462e+01
1.1310e-04     1.9370e-03     1.5073e+01
1.1310e-04     2.0150e-03     1.5650e+01
1.1310e-04     2.0960e-03     1.6182e+01
1.1310e-04     2.1810e-03     1.6659e+01
1.1310e-04     2.2690e-03     1.7061e+01
1.1310e-04     2.3600e-03     1.7375e+01
1.1310e-04     2.4550e-03     1.7590e+01
1.1310e-04     2.5540e-03     1.7690e+01
1.1310e-04     2.6570e-03     1.7661e+01
1.1310e-04     2.7640e-03     1.7494e+01
1.1310e-04     2.8750e-03     1.7180e+01
1.1310e-04     2.9910e-03     1.6713e+01
1.1310e-04     3.1120e-03     1.6090e+01
1.1310e-04     3.2370e-03     1.5324e+01
1.1310e-04     3.3680e-03     1.4414e+01
1.1310e-04     3.5040e-03     1.3383e+01
1.1310e-04     3.6450e-03     1.2255e+01
1.1310e-04     3.7920e-03     1.1050e+01
1.1310e-04     3.9450e-03     9.8023e+00
1.1310e-04     4.1040e-03     8.5446e+00
1.1310e-04     4.2690e-03     7.3124e+00
1.1310e-04     4.4410e-03     6.1312e+00
1.1310e-04     4.6200e-03     5.0311e+00
1.1310e-04     4.8060e-03     4.0359e+00
1.1310e-04     5.0000e-03     3.1577e+00
1.2800e-04     1.0000e-04     6.1019e-02
1.2800e-04     1.0400e-04     6.5993e-02
1.2800e-04     1.0820e-04     7.1426e-02
1.2800e-04     1.1260e-04     7.7346e-02
1.2800e-04     1.1710e-04     8.3644e-02
1.2800e-04     1.2180e-04     9.0485e-02
1.2800e-04     1.2680e-04     9.8055e-02
1.2800e-04     1.3190e-04     1.0609e-01
1.2800e-04     1.3720e-04     1.1477e-01
1.2800e-04     1.4270e-04     1.2414e-01
1.2800e-04     1.4850e-04     1.3442e-01
1.2800e-04     1.5440e-04     1.4529e-01
1.2800e-04     1.6070e-04     1.5736e-01
1.2800e-04     1.6710e-04     1.7011e-01
1.2800e-04     1.7390e-04     1.8420e-01
1.2800e-04     1.8090e-04     1.9928e-01
1.2800e-04     1.8820e-04     2.1564e-01
1.2800e-04     1.9580e-04     2.3335e-01
1.2800e-04     2.0370e-04     2.5249e-01
1.2800e-04     2.1190e-04     2.7314e-01
1.2800e-04     2.2040e-04     2.9540e-01
1.2800e-04     2.2930e-04     3.1962e-01
1.2800e-04     2.3850e-04     3.4565e-01
1.2800e-04     2.4810e-04     3.7388e-01
1.2800e-04     2.5810e-04     4.0445e-01
1.2800e-04     2.6860e-04     4.3781e-01
1.2800e-04     2.7940e-04     4.7348e-01
1.2800e-04     2.9060e-04     5.1190e-01
1.2800e-04     3.0240e-04     5.5397e-01
1.2800e-04     3.1450e-04     5.9879e-01
1.2800e-04     3.2720e-04     6.4766e-01
1.2800e-04     3.4040e-04     7.0041e-01
1.2800e-04     3.5410e-04     7.5727e-01
1.2800e-04     3.6840e-04     8.1891e-01
1.2800e-04     3.8330e-04     8.8559e-01
1.2800e-04     3.9870e-04     9.5714e-01
1.2800e-04     4.1480e-04     1.0348e+00
1.2800e-04     4.3150e-04     1.1183e+00
1.2800e-04     4.4890e-04     1.2086e+00
1.2800e-04     4.6700e-04     1.3061e+00
1.2800e-04     4.8580e-04     1.4110e+00
1.2800e-04     5.0540e-04     1.5245e+00
1.2800e-04     5.2570e-04     1.6462e+00
1.2800e-04     5.4690e-04     1.7779e+00
1.2800e-04     5.6900e-04     1.9201e+00
1.2800e-04     5.9190e-04     2.0726e+00
1.2800e-04     6.1580e-04     2.2372e+00
1.2800e-04     6.4060e-04     2.4139e+00
