 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     9.6661e-02
1.0000e-04     1.4950e-04     1.4254e-01
1.0000e-04     1.9900e-04     2.0638e-01
1.0000e-04     2.4850e-04     2.8797e-01
1.0000e-04     2.9800e-04     3.8700e-01
1.0000e-04     3.4750e-04     5.0312e-01
1.0000e-04     3.9700e-04     6.3589e-01
1.0000e-04     4.4650e-04     7.8483e-01
1.0000e-04     4.9600e-04     9.4938e-01
1.0000e-04     5.4550e-04     1.1289e+00
1.0000e-04     5.9490e-04     1.3224e+00
1.0000e-04     6.4440e-04     1.5298e+00
1.0000e-04     6.9390e-04     1.7500e+00
1.0000e-04     7.4340e-04     1.9821e+00
1.0000e-04     7.9290e-04     2.2252e+00
1.0000e-04     8.4240e-04     2.4783e+00
1.0000e-04     8.9190e-04     2.7405e+00
1.0000e-04     9.4140e-04     3.0106e+00
1.0000e-04     9.9090e-04     3.2875e+00
1.0000e-04     1.0400e-03     3.5679e+00
1.0000e-04     1.0900e-03     3.8579e+00
1.0000e-04     1.1390e-03     4.1455e+00
1.0000e-04     1.1890e-03     4.4410e+00
1.0000e-04     1.2380e-03     4.7314e+00
1.0000e-04     1.2880e-03     5.0274e+00
1.0000e-04     1.3370e-03     5.3157e+00
1.0000e-04     1.3870e-03     5.6070e+00
1.0000e-04     1.4360e-03     5.8882e+00
1.0000e-04     1.4860e-03     6.1698e+00
1.0000e-04     1.5350e-03     6.4391e+00
1.0000e-04     1.5850e-03     6.7059e+00
1.0000e-04     1.6340e-03     6.9586e+00
1.0000e-04     1.6840e-03     7.2063e+00
1.0000e-04     1.7330e-03     7.4380e+00
1.0000e-04     1.7830e-03     7.6622e+00
1.0000e-04     1.8320e-03     7.8691e+00
1.0000e-04     1.8820e-03     8.0662e+00
1.0000e-04     1.9310e-03     8.2448e+00
1.0000e-04     1.9810e-03     8.4117e+00
1.0000e-04     2.0300e-03     8.5594e+00
1.0000e-04     2.0800e-03     8.6936e+00
1.0000e-04     2.1290e-03     8.8084e+00
1.0000e-04     2.1790e-03     8.9081e+00
1.0000e-04     2.2280e-03     8.9886e+00
1.0000e-04     2.2780e-03     9.0530e+00
1.0000e-04     2.3270e-03     9.0986e+00
1.0000e-04     2.3770e-03     9.1274e+00
1.0000e-04     2.4260e-03     9.1383e+00
1.0000e-04     2.4760e-03     9.1321e+00
1.0000e-04     2.5250e-03     9.1091e+00
1.0000e-04     2.5750e-03     9.0690e+00
1.0000e-04     2.6240e-03     9.0138e+00
1.0000e-04     2.6740e-03     8.9417e+00
1.0000e-04     2.7230e-03     8.8562e+00
1.0000e-04     2.7730e-03     8.7545e+00
1.0000e-04     2.8220e-03     8.6414e+00
1.0000e-04     2.8720e-03     8.5130e+00
1.0000e-04     2.9210e-03     8.3752e+00
1.0000e-04     2.9710e-03     8.2232e+00
1.0000e-04     3.0200e-03     8.0641e+00
1.0000e-04     3.0700e-03     7.8920e+00
1.0000e-04     3.1190e-03     7.7149e+00
1.0000e-04     3.1690e-03     7.5264e+00
1.0000e-04     3.2180e-03     7.3349e+00
1.0000e-04     3.2680e-03     7.1335e+00
1.0000e-04     3.3170e-03     6.9312e+00
1.0000e-04     3.3670e-03     6.7205e+00
1.0000e-04     3.4160e-03     6.5108e+00
1.0000e-04     3.4660e-03     6.2943e+00
1.0000e-04     3.5150e-03     6.0804e+00
1.0000e-04     3.5650e-03     5.8612e+00
1.0000e-04     3.6140e-03     5.6462e+00
1.0000e-04     3.6640e-03     5.4274e+00
1.0000e-04     3.7130e-03     5.2141e+00
1.0000e-04     3.7630e-03     4.9982e+00
1.0000e-04     3.8120e-03     4.7889e+00
1.0000e-04     3.8620e-03     4.5782e+00
1.0000e-04     3.9110e-03     4.3751e+00
1.0000e-04     3.9610e-03     4.1717e+00
1.0000e-04     4.0100e-03     3.9765e+00
1.0000e-04     4.0600e-03     3.7818e+00
1.0000e-04     4.1090e-03     3.5959e+00
1.0000e-04     4.1590e-03     3.4113e+00
1.0000e-04     4.2080e-03     3.2357e+00
1.0000e-04     4.2580e-03     3.0621e+00
1.0000e-04     4.3070e-03     2.8976e+00
1.0000e-04     4.3570e-03     2.7356e+00
1.0000e-04     4.4060e-03     2.5826e+00
1.0000e-04     4.4560e-03     2.4325e+00
1.0000e-04     4.5050e-03     2.2913e+00
1.0000e-04     4.5550e-03     2.1533e+00
1.0000e-04     4.6040e-03     2.0238e+00
1.0000e-04     4.6540e-03     1.8976e+00
1.0000e-04     4.7030e-03     1.7797e+00
1.0000e-04     4.7530e-03     1.6652e+00
1.0000e-04     4.8020e-03     1.5584e+00
1.0000e-04     4.8520e-03     1.4550e+00
1.0000e-04     4.9010e-03     1.3590e+00
1.0000e-04     4.9510e-03     1.2662e+00
1.0000e-04     5.0000e-03     1.1803e+00
1.1310e-04     1.0000e-04     9.5929e-02
1.1310e-04     1.4950e-04     1.4150e-01
1.1310e-04     1.9900e-04     2.0492e-01
1.1310e-04     2.4850e-04     2.8597e-01
1.1310e-04     2.9800e-04     3.8435e-01
1.1310e-04     3.4750e-04     4.9971e-01
1.1310e-04     3.9700e-04     6.3161e-01
1.1310e-04     4.4650e-04     7.7959e-01
1.1310e-04     4.9600e-04     9.4309e-01
1.1310e-04     5.4550e-04     1.1215e+00
1.1310e-04     5.9490e-04     1.3137e+00
1.1310e-04     6.4440e-04     1.5199e+00
1.1310e-04     6.9390e-04     1.7387e+00
1.1310e-04     7.4340e-04     1.9694e+00
1.1310e-04     7.9290e-04     2.2111e+00
1.1310e-04     8.4240e-04     2.4627e+00
1.1310e-04     8.9190e-04     2.7234e+00
1.1310e-04     9.4140e-04     2.9920e+00
1.1310e-04     9.9090e-04     3.2674e+00
1.1310e-04     1.0400e-03     3.5463e+00
1.1310e-04     1.0900e-03     3.8348e+00
1.1310e-04     1.1390e-03     4.1209e+00
1.1310e-04     1.1890e-03     4.4150e+00
1.1310e-04     1.2380e-03     4.7041e+00
1.1310e-04     1.2880e-03     4.9987e+00
1.1310e-04     1.3370e-03     5.2858e+00
1.1310e-04     1.3870e-03     5.5758e+00
1.1310e-04     1.4360e-03     5.8560e+00
1.1310e-04     1.4860e-03     6.1365e+00
1.1310e-04     1.5350e-03     6.4048e+00
1.1310e-04     1.5850e-03     6.6709e+00
1.1310e-04     1.6340e-03     6.9228e+00
1.1310e-04     1.6840e-03     7.1698e+00
1.1310e-04     1.7330e-03     7.4010e+00
1.1310e-04     1.7830e-03     7.6248e+00
1.1310e-04     1.8320e-03     7.8314e+00
1.1310e-04     1.8820e-03     8.0283e+00
1.1310e-04     1.9310e-03     8.2069e+00
1.1310e-04     1.9810e-03     8.3738e+00
1.1310e-04     2.0300e-03     8.5217e+00
1.1310e-04     2.0800e-03     8.6561e+00
1.1310e-04     2.1290e-03     8.7712e+00
1.1310e-04     2.1790e-03     8.8714e+00
1.1310e-04     2.2280e-03     8.9525e+00
1.1310e-04     2.2780e-03     9.0175e+00
1.1310e-04     2.3270e-03     9.0638e+00
1.1310e-04     2.3770e-03     9.0934e+00
