 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =     1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     9.6661e-02
1.0000e-04     1.0400e-04     9.9696e-02
1.0000e-04     1.0820e-04     1.0301e-01
1.0000e-04     1.1260e-04     1.0662e-01
1.0000e-04     1.1710e-04     1.1047e-01
1.0000e-04     1.2180e-04     1.1464e-01
1.0000e-04     1.2680e-04     1.1926e-01
1.0000e-04     1.3190e-04     1.2416e-01
1.0000e-04     1.3720e-04     1.2945e-01
1.0000e-04     1.4270e-04     1.3517e-01
1.0000e-04     1.4850e-04     1.4143e-01
1.0000e-04     1.5440e-04     1.4806e-01
1.0000e-04     1.6070e-04     1.5542e-01
1.0000e-04     1.6710e-04     1.6319e-01
1.0000e-04     1.7390e-04     1.7178e-01
1.0000e-04     1.8090e-04     1.8097e-01
1.0000e-04     1.8820e-04     1.9093e-01
1.0000e-04     1.9580e-04     2.0172e-01
1.0000e-04     2.0370e-04     2.1337e-01
1.0000e-04     2.1190e-04     2.2595e-01
1.0000e-04     2.2040e-04     2.3949e-01
1.0000e-04     2.2930e-04     2.5424e-01
1.0000e-04     2.3850e-04     2.7007e-01
1.0000e-04     2.4810e-04     2.8724e-01
1.0000e-04     2.5810e-04     3.0582e-01
1.0000e-04     2.6860e-04     3.2610e-01
1.0000e-04     2.7940e-04     3.4777e-01
1.0000e-04     2.9060e-04     3.7110e-01
1.0000e-04     3.0240e-04     3.9664e-01
1.0000e-04     3.1450e-04     4.2383e-01
1.0000e-04     3.2720e-04     4.5346e-01
1.0000e-04     3.4040e-04     4.8543e-01
1.0000e-04     3.5410e-04     5.1987e-01
1.0000e-04     3.6840e-04     5.5717e-01
1.0000e-04     3.8330e-04     5.9750e-01
1.0000e-04     3.9870e-04     6.4074e-01
1.0000e-04     4.1480e-04     6.8761e-01
1.0000e-04     4.3150e-04     7.3802e-01
1.0000e-04     4.4890e-04     7.9245e-01
1.0000e-04     4.6700e-04     8.5112e-01
1.0000e-04     4.8580e-04     9.1423e-01
1.0000e-04     5.0540e-04     9.8234e-01
1.0000e-04     5.2570e-04     1.0554e+00
1.0000e-04     5.4690e-04     1.1342e+00
1.0000e-04     5.6900e-04     1.2192e+00
1.0000e-04     5.9190e-04     1.3102e+00
1.0000e-04     6.1580e-04     1.4083e+00
1.0000e-04     6.4060e-04     1.5134e+00
1.0000e-04     6.6640e-04     1.6261e+00
1.0000e-04     6.9330e-04     1.7472e+00
1.0000e-04     7.2120e-04     1.8766e+00
1.0000e-04     7.5030e-04     2.0153e+00
1.0000e-04     7.8050e-04     2.1633e+00
1.0000e-04     8.1200e-04     2.3217e+00
1.0000e-04     8.4470e-04     2.4903e+00
1.0000e-04     8.7880e-04     2.6703e+00
1.0000e-04     9.1420e-04     2.8612e+00
1.0000e-04     9.5100e-04     3.0638e+00
1.0000e-04     9.8940e-04     3.2790e+00
1.0000e-04     1.0290e-03     3.5046e+00
1.0000e-04     1.0710e-03     3.7472e+00
1.0000e-04     1.1140e-03     3.9984e+00
1.0000e-04     1.1590e-03     4.2635e+00
1.0000e-04     1.2050e-03     4.5358e+00
1.0000e-04     1.2540e-03     4.8262e+00
1.0000e-04     1.3050e-03     5.1277e+00
1.0000e-04     1.3570e-03     5.4327e+00
1.0000e-04     1.4120e-03     5.7511e+00
1.0000e-04     1.4690e-03     6.0747e+00
1.0000e-04     1.5280e-03     6.4010e+00
1.0000e-04     1.5900e-03     6.7321e+00
1.0000e-04     1.6540e-03     7.0590e+00
1.0000e-04     1.7200e-03     7.3776e+00
1.0000e-04     1.7900e-03     7.6926e+00
1.0000e-04     1.8620e-03     7.9891e+00
1.0000e-04     1.9370e-03     8.2657e+00
1.0000e-04     2.0150e-03     8.5159e+00
1.0000e-04     2.0960e-03     8.7329e+00
1.0000e-04     2.1810e-03     8.9117e+00
1.0000e-04     2.2690e-03     9.0427e+00
1.0000e-04     2.3600e-03     9.1196e+00
1.0000e-04     2.4550e-03     9.1368e+00
1.0000e-04     2.5540e-03     9.0879e+00
1.0000e-04     2.6570e-03     8.9680e+00
1.0000e-04     2.7640e-03     8.7739e+00
1.0000e-04     2.8750e-03     8.5049e+00
1.0000e-04     2.9910e-03     8.1594e+00
1.0000e-04     3.1120e-03     7.7407e+00
1.0000e-04     3.2370e-03     7.2590e+00
1.0000e-04     3.3680e-03     6.7163e+00
1.0000e-04     3.5040e-03     6.1285e+00
1.0000e-04     3.6450e-03     5.5104e+00
1.0000e-04     3.7920e-03     4.8740e+00
1.0000e-04     3.9450e-03     4.2363e+00
1.0000e-04     4.1040e-03     3.6146e+00
1.0000e-04     4.2690e-03     3.0247e+00
1.0000e-04     4.4410e-03     2.4769e+00
1.0000e-04     4.6200e-03     1.9828e+00
1.0000e-04     4.8060e-03     1.5499e+00
1.0000e-04     5.0000e-03     1.1803e+00
1.1310e-04     1.0000e-04     9.5929e-02
1.1310e-04     1.0400e-04     9.8945e-02
1.1310e-04     1.0820e-04     1.0224e-01
1.1310e-04     1.1260e-04     1.0583e-01
1.1310e-04     1.1710e-04     1.0964e-01
1.1310e-04     1.2180e-04     1.1379e-01
1.1310e-04     1.2680e-04     1.1837e-01
1.1310e-04     1.3190e-04     1.2324e-01
1.1310e-04     1.3720e-04     1.2850e-01
1.1310e-04     1.4270e-04     1.3418e-01
1.1310e-04     1.4850e-04     1.4040e-01
1.1310e-04     1.5440e-04     1.4699e-01
1.1310e-04     1.6070e-04     1.5429e-01
1.1310e-04     1.6710e-04     1.6202e-01
1.1310e-04     1.7390e-04     1.7054e-01
1.1310e-04     1.8090e-04     1.7967e-01
1.1310e-04     1.8820e-04     1.8957e-01
1.1310e-04     1.9580e-04     2.0029e-01
1.1310e-04     2.0370e-04     2.1187e-01
1.1310e-04     2.1190e-04     2.2436e-01
1.1310e-04     2.2040e-04     2.3781e-01
1.1310e-04     2.2930e-04     2.5246e-01
1.1310e-04     2.3850e-04     2.6819e-01
1.1310e-04     2.4810e-04     2.8525e-01
1.1310e-04     2.5810e-04     3.0371e-01
1.1310e-04     2.6860e-04     3.2385e-01
1.1310e-04     2.7940e-04     3.4537e-01
1.1310e-04     2.9060e-04     3.6855e-01
1.1310e-04     3.0240e-04     3.9392e-01
1.1310e-04     3.1450e-04     4.2094e-01
1.1310e-04     3.2720e-04     4.5037e-01
1.1310e-04     3.4040e-04     4.8213e-01
1.1310e-04     3.5410e-04     5.1635e-01
1.1310e-04     3.6840e-04     5.5341e-01
1.1310e-04     3.8330e-04     5.9348e-01
1.1310e-04     3.9870e-04     6.3643e-01
1.1310e-04     4.1480e-04     6.8300e-01
1.1310e-04     4.3150e-04     7.3309e-01
1.1310e-04     4.4890e-04     7.8717e-01
1.1310e-04     4.6700e-04     8.4545e-01
1.1310e-04     4.8580e-04     9.0816e-01
1.1310e-04     5.0540e-04     9.7584e-01
1.1310e-04     5.2570e-04     1.0484e+00
1.1310e-04     5.4690e-04     1.1268e+00
1.1310e-04     5.6900e-04     1.2112e+00
1.1310e-04     5.9190e-04     1.3017e+00
1.1310e-04     6.1580e-04     1.3992e+00
1.1310e-04     6.4060e-04     1.5036e+00
1.1310e-04     6.6640e-04     1.6156e+00
1.1310e-04     6.9330e-04     1.7360e+00
1.1310e-04     7.2120e-04     1.8645e+00
1.1310e-04     7.5030e-04     2.0025e+00
1.1310e-04     7.8050e-04     2.1496e+00
1.1310e-04     8.1200e-04     2.3070e+00
1.1310e-04     8.4470e-04     2.4747e+00
1.1310e-04     8.7880e-04     2.6536e+00
1.1310e-04     9.1420e-04     2.8435e+00
1.1310e-04     9.5100e-04     3.0449e+00
1.1310e-04     9.8940e-04     3.2590e+00
1.1310e-04     1.0290e-03     3.4834e+00
1.1310e-04     1.0710e-03     3.7247e+00
1.1310e-04     1.1140e-03     3.9746e+00
1.1310e-04     1.1590e-03     4.2384e+00
1.1310e-04     1.2050e-03     4.5094e+00
1.1310e-04     1.2540e-03     4.7985e+00
1.1310e-04     1.3050e-03     5.0985e+00
1.1310e-04     1.3570e-03     5.4022e+00
1.1310e-04     1.4120e-03     5.7193e+00
1.1310e-04     1.4690e-03     6.0418e+00
1.1310e-04     1.5280e-03     6.3669e+00
1.1310e-04     1.5900e-03     6.6970e+00
1.1310e-04     1.6540e-03     7.0229e+00
1.1310e-04     1.7200e-03     7.3408e+00
1.1310e-04     1.7900e-03     7.6552e+00
1.1310e-04     1.8620e-03     7.9513e+00
1.1310e-04     1.9370e-03     8.2278e+00
1.1310e-04     2.0150e-03     8.4781e+00
1.1310e-04     2.0960e-03     8.6955e+00
1.1310e-04     2.1810e-03     8.8751e+00
1.1310e-04     2.2690e-03     9.0071e+00
1.1310e-04     2.3600e-03     9.0854e+00
1.1310e-04     2.4550e-03     9.1043e+00
1.1310e-04     2.5540e-03     9.0573e+00
1.1310e-04     2.6570e-03     8.9396e+00
1.1310e-04     2.7640e-03     8.7481e+00
1.1310e-04     2.8750e-03     8.4817e+00
1.1310e-04     2.9910e-03     8.1391e+00
1.1310e-04     3.1120e-03     7.7231e+00
1.1310e-04     3.2370e-03     7.2443e+00
1.1310e-04     3.3680e-03     6.7042e+00
1.1310e-04     3.5040e-03     6.1190e+00
1.1310e-04     3.6450e-03     5.5032e+00
1.1310e-04     3.7920e-03     4.8687e+00
1.1310e-04     3.9450e-03     4.2327e+00
1.1310e-04     4.1040e-03     3.6124e+00
1.1310e-04     4.2690e-03     3.0235e+00
1.1310e-04     4.4410e-03     2.4765e+00
1.1310e-04     4.6200e-03     1.9828e+00
1.1310e-04     4.8060e-03     1.5503e+00
1.1310e-04     5.0000e-03     1.1808e+00
1.2800e-04     1.0000e-04     9.5105e-02
1.2800e-04     1.0400e-04     9.8097e-02
1.2800e-04     1.0820e-04     1.0136e-01
1.2800e-04     1.1260e-04     1.0493e-01
1.2800e-04     1.1710e-04     1.0871e-01
1.2800e-04     1.2180e-04     1.1283e-01
1.2800e-04     1.2680e-04     1.1738e-01
