 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions = 26
 No. of channels = 2024
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.6012e-01
1.0000e-04     1.4950e-04     2.8422e-01
1.0000e-04     1.9900e-04     4.5708e-01
1.0000e-04     2.4850e-04     6.7821e-01
1.0000e-04     2.9800e-04     9.4698e-01
1.0000e-04     3.4750e-04     1.2626e+00
1.0000e-04     3.9700e-04     1.6242e+00
1.0000e-04     4.4650e-04     2.0307e+00
1.0000e-04     4.9600e-04     2.4809e+00
1.0000e-04     5.4550e-04     2.9734e+00
1.0000e-04     5.9490e-04     3.5056e+00
1.0000e-04     6.4440e-04     4.0779e+00
1.0000e-04     6.9390e-04     4.6877e+00
1.0000e-04     7.4340e-04     5.3328e+00
1.0000e-04     7.9290e-04     6.0112e+00
1.0000e-04     8.4240e-04     6.7206e+00
1.0000e-04     8.9190e-04     7.4586e+00
1.0000e-04     9.4140e-04     8.2227e+00
1.0000e-04     9.9090e-04     9.0101e+00
1.0000e-04     1.0400e-03     9.8115e+00
1.0000e-04     1.0900e-03     1.0645e+01
1.0000e-04     1.1390e-03     1.1477e+01
1.0000e-04     1.1890e-03     1.2337e+01
1.0000e-04     1.2380e-03     1.3189e+01
1.0000e-04     1.2880e-03     1.4062e+01
1.0000e-04     1.3370e-03     1.4920e+01
1.0000e-04     1.3870e-03     1.5794e+01
1.0000e-04     1.4360e-03     1.6645e+01
1.0000e-04     1.4860e-03     1.7504e+01
1.0000e-04     1.5350e-03     1.8335e+01
1.0000e-04     1.5850e-03     1.9167e+01
1.0000e-04     1.6340e-03     1.9964e+01
1.0000e-04     1.6840e-03     2.0755e+01
1.0000e-04     1.7330e-03     2.1505e+01
1.0000e-04     1.7830e-03     2.2243e+01
1.0000e-04     1.8320e-03     2.2935e+01
1.0000e-04     1.8820e-03     2.3607e+01
1.0000e-04     1.9310e-03     2.4229e+01
1.0000e-04     1.9810e-03     2.4825e+01
1.0000e-04     2.0300e-03     2.5369e+01
1.0000e-04     2.0800e-03     2.5881e+01
1.0000e-04     2.1290e-03     2.6338e+01
1.0000e-04     2.1790e-03     2.6757e+01
1.0000e-04     2.2280e-03     2.7122e+01
1.0000e-04     2.2780e-03     2.7444e+01
1.0000e-04     2.3270e-03     2.7711e+01
1.0000e-04     2.3770e-03     2.7934e+01
1.0000e-04     2.4260e-03     2.8102e+01
1.0000e-04     2.4760e-03     2.8222e+01
1.0000e-04     2.5250e-03     2.8291e+01
1.0000e-04     2.5750e-03     2.8311e+01
1.0000e-04     2.6240e-03     2.8282e+01
1.0000e-04     2.6740e-03     2.8204e+01
1.0000e-04     2.7230e-03     2.8081e+01
1.0000e-04     2.7730e-03     2.7910e+01
1.0000e-04     2.8220e-03     2.7698e+01
1.0000e-04     2.8720e-03     2.7438e+01
1.0000e-04     2.9210e-03     2.7144e+01
1.0000e-04     2.9710e-03     2.6805e+01
1.0000e-04     3.0200e-03     2.6436e+01
1.0000e-04     3.0700e-03     2.6024e+01
1.0000e-04     3.1190e-03     2.5589e+01
1.0000e-04     3.1690e-03     2.5115e+01
1.0000e-04     3.2180e-03     2.4624e+01
1.0000e-04     3.2680e-03     2.4097e+01
1.0000e-04     3.3170e-03     2.3558e+01
1.0000e-04     3.3670e-03     2.2988e+01
1.0000e-04     3.4160e-03     2.2412e+01
1.0000e-04     3.4660e-03     2.1809e+01
1.0000e-04     3.5150e-03     2.1205e+01
1.0000e-04     3.5650e-03     2.0579e+01
1.0000e-04     3.6140e-03     1.9957e+01
1.0000e-04     3.6640e-03     1.9316e+01
1.0000e-04     3.7130e-03     1.8684e+01
1.0000e-04     3.7630e-03     1.8037e+01
1.0000e-04     3.8120e-03     1.7404e+01
1.0000e-04     3.8620e-03     1.6759e+01
1.0000e-04     3.9110e-03     1.6131e+01
1.0000e-04     3.9610e-03     1.5496e+01
1.0000e-04     4.0100e-03     1.4880e+01
1.0000e-04     4.0600e-03     1.4260e+01
1.0000e-04     4.1090e-03     1.3662e+01
1.0000e-04     4.1590e-03     1.3062e+01
1.0000e-04     4.2080e-03     1.2486e+01
1.0000e-04     4.2580e-03     1.1912e+01
1.0000e-04     4.3070e-03     1.1361e+01
1.0000e-04     4.3570e-03     1.0814e+01
1.0000e-04     4.4060e-03     1.0293e+01
1.0000e-04     4.4560e-03     9.7767e+00
1.0000e-04     4.5050e-03     9.2862e+00
1.0000e-04     4.5550e-03     8.8020e+00
1.0000e-04     4.6040e-03     8.3436e+00
1.0000e-04     4.6540e-03     7.8925e+00
1.0000e-04     4.7030e-03     7.4669e+00
1.0000e-04     4.7530e-03     7.0494e+00
1.0000e-04     4.8020e-03     6.6565e+00
1.0000e-04     4.8520e-03     6.2723e+00
1.0000e-04     4.9010e-03     5.9119e+00
1.0000e-04     4.9510e-03     5.5603e+00
1.0000e-04     5.0000e-03     5.2315e+00
1.1310e-04     1.0000e-04     1.5889e-01
1.1310e-04     1.4950e-04     2.8209e-01
1.1310e-04     1.9900e-04     4.5369e-01
1.1310e-04     2.4850e-04     6.7322e-01
1.1310e-04     2.9800e-04     9.4004e-01
1.1310e-04     3.4750e-04     1.2534e+00
1.1310e-04     3.9700e-04     1.6124e+00
1.1310e-04     4.4650e-04     2.0160e+00
1.1310e-04     4.9600e-04     2.4630e+00
1.1310e-04     5.4550e-04     2.9521e+00
1.1310e-04     5.9490e-04     3.4806e+00
1.1310e-04     6.4440e-04     4.0491e+00
1.1310e-04     6.9390e-04     4.6547e+00
1.1310e-04     7.4340e-04     5.2956e+00
1.1310e-04     7.9290e-04     5.9696e+00
1.1310e-04     8.4240e-04     6.6744e+00
1.1310e-04     8.9190e-04     7.4077e+00
1.1310e-04     9.4140e-04     8.1671e+00
1.1310e-04     9.9090e-04     8.9497e+00
1.1310e-04     1.0400e-03     9.7464e+00
1.1310e-04     1.0900e-03     1.0575e+01
1.1310e-04     1.1390e-03     1.1402e+01
1.1310e-04     1.1890e-03     1.2258e+01
1.1310e-04     1.2380e-03     1.3105e+01
1.1310e-04     1.2880e-03     1.3974e+01
1.1310e-04     1.3370e-03     1.4827e+01
1.1310e-04     1.3870e-03     1.5697e+01
1.1310e-04     1.4360e-03     1.6544e+01
