 Element: Ge
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions = 26
 No. of channels = 2024
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.6012e-01
1.0000e-04     1.0400e-04     1.6832e-01
1.0000e-04     1.0820e-04     1.7729e-01
1.0000e-04     1.1260e-04     1.8706e-01
1.0000e-04     1.1710e-04     1.9745e-01
1.0000e-04     1.2180e-04     2.0874e-01
1.0000e-04     1.2680e-04     2.2123e-01
1.0000e-04     1.3190e-04     2.3449e-01
1.0000e-04     1.3720e-04     2.4882e-01
1.0000e-04     1.4270e-04     2.6428e-01
1.0000e-04     1.4850e-04     2.8123e-01
1.0000e-04     1.5440e-04     2.9917e-01
1.0000e-04     1.6070e-04     3.1908e-01
1.0000e-04     1.6710e-04     3.4012e-01
1.0000e-04     1.7390e-04     3.6336e-01
1.0000e-04     1.8090e-04     3.8825e-01
1.0000e-04     1.8820e-04     4.1523e-01
1.0000e-04     1.9580e-04     4.4444e-01
1.0000e-04     2.0370e-04     4.7602e-01
1.0000e-04     2.1190e-04     5.1008e-01
1.0000e-04     2.2040e-04     5.4679e-01
1.0000e-04     2.2930e-04     5.8675e-01
1.0000e-04     2.3850e-04     6.2968e-01
1.0000e-04     2.4810e-04     6.7624e-01
1.0000e-04     2.5810e-04     7.2664e-01
1.0000e-04     2.6860e-04     7.8165e-01
1.0000e-04     2.7940e-04     8.4045e-01
1.0000e-04     2.9060e-04     9.0380e-01
1.0000e-04     3.0240e-04     9.7315e-01
1.0000e-04     3.1450e-04     1.0470e+00
1.0000e-04     3.2720e-04     1.1276e+00
1.0000e-04     3.4040e-04     1.2145e+00
1.0000e-04     3.5410e-04     1.3082e+00
1.0000e-04     3.6840e-04     1.4097e+00
1.0000e-04     3.8330e-04     1.5196e+00
1.0000e-04     3.9870e-04     1.6374e+00
1.0000e-04     4.1480e-04     1.7653e+00
1.0000e-04     4.3150e-04     1.9028e+00
1.0000e-04     4.4890e-04     2.0515e+00
1.0000e-04     4.6700e-04     2.2119e+00
1.0000e-04     4.8580e-04     2.3846e+00
1.0000e-04     5.0540e-04     2.5712e+00
1.0000e-04     5.2570e-04     2.7714e+00
1.0000e-04     5.4690e-04     2.9879e+00
1.0000e-04     5.6900e-04     3.2216e+00
1.0000e-04     5.9190e-04     3.4721e+00
1.0000e-04     6.1580e-04     3.7426e+00
1.0000e-04     6.4060e-04     4.0327e+00
1.0000e-04     6.6640e-04     4.3444e+00
1.0000e-04     6.9330e-04     4.6801e+00
1.0000e-04     7.2120e-04     5.0392e+00
1.0000e-04     7.5030e-04     5.4254e+00
1.0000e-04     7.8050e-04     5.8383e+00
1.0000e-04     8.1200e-04     6.2814e+00
1.0000e-04     8.4470e-04     6.7543e+00
1.0000e-04     8.7880e-04     7.2607e+00
1.0000e-04     9.1420e-04     7.7998e+00
1.0000e-04     9.5100e-04     8.3737e+00
1.0000e-04     9.8940e-04     8.9859e+00
1.0000e-04     1.0290e-03     9.6304e+00
1.0000e-04     1.0710e-03     1.0327e+01
1.0000e-04     1.1140e-03     1.1051e+01
1.0000e-04     1.1590e-03     1.1820e+01
1.0000e-04     1.2050e-03     1.2615e+01
1.0000e-04     1.2540e-03     1.3468e+01
1.0000e-04     1.3050e-03     1.4360e+01
1.0000e-04     1.3570e-03     1.5270e+01
1.0000e-04     1.4120e-03     1.6229e+01
1.0000e-04     1.4690e-03     1.7213e+01
1.0000e-04     1.5280e-03     1.8217e+01
1.0000e-04     1.5900e-03     1.9249e+01
1.0000e-04     1.6540e-03     2.0283e+01
1.0000e-04     1.7200e-03     2.1309e+01
1.0000e-04     1.7900e-03     2.2343e+01
1.0000e-04     1.8620e-03     2.3342e+01
1.0000e-04     1.9370e-03     2.4303e+01
1.0000e-04     2.0150e-03     2.5207e+01
1.0000e-04     2.0960e-03     2.6035e+01
1.0000e-04     2.1810e-03     2.6773e+01
1.0000e-04     2.2690e-03     2.7390e+01
1.0000e-04     2.3600e-03     2.7864e+01
1.0000e-04     2.4550e-03     2.8178e+01
1.0000e-04     2.5540e-03     2.8309e+01
1.0000e-04     2.6570e-03     2.8236e+01
1.0000e-04     2.7640e-03     2.7944e+01
1.0000e-04     2.8750e-03     2.7421e+01
1.0000e-04     2.9910e-03     2.6658e+01
1.0000e-04     3.1120e-03     2.5653e+01
1.0000e-04     3.2370e-03     2.4426e+01
1.0000e-04     3.3680e-03     2.2977e+01
1.0000e-04     3.5040e-03     2.1342e+01
1.0000e-04     3.6450e-03     1.9560e+01
1.0000e-04     3.7920e-03     1.7662e+01
1.0000e-04     3.9450e-03     1.5699e+01
1.0000e-04     4.1040e-03     1.3723e+01
1.0000e-04     4.2690e-03     1.1787e+01
1.0000e-04     4.4410e-03     9.9300e+00
1.0000e-04     4.6200e-03     8.1974e+00
1.0000e-04     4.8060e-03     6.6252e+00
