 Element: Ge
 Maximum L =  1
 Maximum kappa =  4
 No. of transitions = 26
 No. of channels = 512
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.0257e+01
1.1310e-04     1.0000e-03     1.0181e+01
1.2800e-04     1.0000e-03     1.0096e+01
1.4480e-04     1.0000e-03     1.0002e+01
1.6380e-04     1.0000e-03     9.8960e+00
1.8520e-04     1.0000e-03     9.7786e+00
2.0950e-04     1.0000e-03     9.6474e+00
2.3700e-04     1.0000e-03     9.5015e+00
2.6810e-04     1.0000e-03     9.3399e+00
3.0330e-04     1.0000e-03     9.1612e+00
3.4310e-04     1.0000e-03     8.9642e+00
3.8820e-04     1.0000e-03     8.7474e+00
4.3910e-04     1.0000e-03     8.5106e+00
4.9670e-04     1.0000e-03     8.2522e+00
5.6190e-04     1.0000e-03     7.9716e+00
6.3560e-04     1.0000e-03     7.6686e+00
7.1900e-04     1.0000e-03     7.3431e+00
8.1340e-04     1.0000e-03     6.9953e+00
9.2010e-04     1.0000e-03     6.6267e+00
1.0410e-03     1.0000e-03     6.2382e+00
1.1770e-03     1.0000e-03     5.8349e+00
1.3320e-03     1.0000e-03     5.4144e+00
1.5070e-03     1.0000e-03     4.9847e+00
1.7040e-03     1.0000e-03     4.5513e+00
1.9280e-03     1.0000e-03     4.1149e+00
2.1810e-03     1.0000e-03     3.6840e+00
2.4670e-03     1.0000e-03     3.2639e+00
2.7910e-03     1.0000e-03     2.8593e+00
3.1570e-03     1.0000e-03     2.4769e+00
3.5710e-03     1.0000e-03     2.1208e+00
4.0400e-03     1.0000e-03     1.7946e+00
4.5700e-03     1.0000e-03     1.5018e+00
5.1700e-03     1.0000e-03     1.2437e+00
5.8480e-03     1.0000e-03     1.0211e+00
6.6150e-03     1.0000e-03     8.3305e-01
7.4830e-03     1.0000e-03     6.7757e-01
8.4650e-03     1.0000e-03     5.5216e-01
9.5760e-03     1.0000e-03     4.5362e-01
1.0830e-02     1.0000e-03     3.7857e-01
1.2250e-02     1.0000e-03     3.2312e-01
1.3860e-02     1.0000e-03     2.8377e-01
1.5680e-02     1.0000e-03     2.5741e-01
1.7740e-02     1.0000e-03     2.4101e-01
2.0070e-02     1.0000e-03     2.3196e-01
2.2700e-02     1.0000e-03     2.2798e-01
2.5680e-02     1.0000e-03     2.2709e-01
2.9050e-02     1.0000e-03     2.2766e-01
3.2860e-02     1.0000e-03     2.2828e-01
3.7170e-02     1.0000e-03     2.2784e-01
4.2050e-02     1.0000e-03     2.2545e-01
4.7570e-02     1.0000e-03     2.2049e-01
5.3810e-02     1.0000e-03     2.1264e-01
6.0870e-02     1.0000e-03     2.0181e-01
6.8850e-02     1.0000e-03     1.8819e-01
7.7890e-02     1.0000e-03     1.7213e-01
8.8110e-02     1.0000e-03     1.5431e-01
9.9670e-02     1.0000e-03     1.3543e-01
1.1270e-01     1.0000e-03     1.1634e-01
1.2750e-01     1.0000e-03     9.7681e-02
1.4430e-01     1.0000e-03     8.0145e-02
1.6320e-01     1.0000e-03     6.4387e-02
1.8460e-01     1.0000e-03     5.0639e-02
2.0890e-01     1.0000e-03     3.9002e-02
2.3630e-01     1.0000e-03     2.9521e-02
2.6730e-01     1.0000e-03     2.1992e-02
3.0230e-01     1.0000e-03     1.6165e-02
3.4200e-01     1.0000e-03     1.1742e-02
3.8690e-01     1.0000e-03     8.4558e-03
4.3760e-01     1.0000e-03     6.0601e-03
4.9510e-01     1.0000e-03     4.3239e-03
5.6000e-01     1.0000e-03     3.0832e-03
6.3350e-01     1.0000e-03     2.2001e-03
7.1660e-01     1.0000e-03     1.5746e-03
8.1070e-01     1.0000e-03     1.1290e-03
9.1700e-01     1.0000e-03     8.1337e-04
1.0370e+00     1.0000e-03     5.8761e-04
1.1730e+00     1.0000e-03     4.2532e-04
1.3270e+00     1.0000e-03     3.0808e-04
1.5020e+00     1.0000e-03     2.2289e-04
1.6990e+00     1.0000e-03     1.6117e-04
1.9220e+00     1.0000e-03     1.1620e-04
2.1740e+00     1.0000e-03     8.3594e-05
2.4590e+00     1.0000e-03     5.9782e-05
2.7820e+00     1.0000e-03     4.2537e-05
3.1470e+00     1.0000e-03     3.0155e-05
3.5600e+00     1.0000e-03     2.1275e-05
4.0270e+00     1.0000e-03     1.4948e-05
4.5550e+00     1.0000e-03     1.0469e-05
5.1530e+00     1.0000e-03     7.3311e-06
5.8290e+00     1.0000e-03     5.1183e-06
6.5940e+00     1.0000e-03     3.5872e-06
7.4590e+00     1.0000e-03     2.5104e-06
8.4370e+00     1.0000e-03     1.7572e-06
9.5450e+00     1.0000e-03     1.2308e-06
1.0800e+01     1.0000e-03     8.6402e-07
1.2210e+01     1.0000e-03     6.0968e-07
1.3820e+01     1.0000e-03     4.2622e-07
1.5630e+01     1.0000e-03     2.9796e-07
1.7680e+01     1.0000e-03     2.0921e-07
2.0000e+01     1.0000e-03     1.4462e-07
