 Element: He
 Maximum L = 30
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-04   0.9999985E+00
   0.7170000E-03   0.9924089E+00
   0.1424000E-02   0.9704446E+00
   0.2131000E-02   0.9352128E+00
   0.2838000E-02   0.8884344E+00
   0.3545000E-02   0.8322868E+00
   0.4252000E-02   0.7692170E+00
   0.4959000E-02   0.7017496E+00
   0.5666000E-02   0.6323104E+00
   0.6373000E-02   0.5630851E+00
   0.7080000E-02   0.4959198E+00
   0.7787000E-02   0.4322678E+00
   0.8494000E-02   0.3731778E+00
   0.9201000E-02   0.3193156E+00
   0.9908000E-02   0.2710090E+00
   0.1061000E-01   0.2285896E+00
   0.1132000E-01   0.1911408E+00
   0.1203000E-01   0.1588532E+00
   0.1274000E-01   0.1313009E+00
   0.1344000E-01   0.1083044E+00
   0.1415000E-01   0.8871403E-01
   0.1486000E-01   0.7239766E-01
   0.1556000E-01   0.5906572E-01
   0.1627000E-01   0.4791843E-01
   0.1698000E-01   0.3878543E-01
   0.1768000E-01   0.3142807E-01
   0.1839000E-01   0.2535113E-01
   0.1910000E-01   0.2042455E-01
   0.1981000E-01   0.1644053E-01
   0.2051000E-01   0.1326598E-01
   0.2122000E-01   0.1066763E-01
   0.2193000E-01   0.8576889E-02
   0.2263000E-01   0.6917447E-02
   0.2334000E-01   0.5563220E-02
   0.2405000E-01   0.4475857E-02
   0.2475000E-01   0.3613966E-02
   0.2546000E-01   0.2911063E-02
   0.2617000E-01   0.2346700E-02
   0.2687000E-01   0.1899138E-02
   0.2758000E-01   0.1533774E-02
   0.2829000E-01   0.1240002E-02
   0.2900000E-01   0.1003622E-02
   0.2970000E-01   0.8156682E-03
   0.3041000E-01   0.6617633E-03
   0.3112000E-01   0.5375856E-03
   0.3182000E-01   0.4385557E-03
   0.3253000E-01   0.3572089E-03
   0.3324000E-01   0.2913531E-03
   0.3394000E-01   0.2386499E-03
   0.3465000E-01   0.1951998E-03
   0.3536000E-01   0.1598907E-03
   0.3607000E-01   0.1311592E-03
   0.3677000E-01   0.1080458E-03
   0.3748000E-01   0.8888903E-04
   0.3819000E-01   0.7323673E-04
   0.3889000E-01   0.6059299E-04
   0.3960000E-01   0.5006994E-04
   0.4031000E-01   0.4143551E-04
   0.4101000E-01   0.3443122E-04
   0.4172000E-01   0.2857699E-04
   0.4243000E-01   0.2375286E-04
   0.4314000E-01   0.1977188E-04
   0.4384000E-01   0.1652411E-04
   0.4455000E-01   0.1379419E-04
   0.4526000E-01   0.1153176E-04
   0.4596000E-01   0.9678215E-05
   0.4667000E-01   0.8113649E-05
   0.4738000E-01   0.6811538E-05
   0.4808000E-01   0.5740300E-05
   0.4879000E-01   0.4832326E-05
   0.4950000E-01   0.4073526E-05
   0.5020000E-01   0.3446710E-05
   0.5091000E-01   0.2913266E-05
   0.5162000E-01   0.2465652E-05
   0.5233000E-01   0.2089557E-05
   0.5303000E-01   0.1777223E-05
   0.5374000E-01   0.1510013E-05
   0.5445000E-01   0.1284615E-05
   0.5515000E-01   0.1096706E-05
   0.5586000E-01   0.9353296E-06
   0.5657000E-01   0.7986843E-06
   0.5727000E-01   0.6843384E-06
   0.5798000E-01   0.5857724E-06
   0.5869000E-01   0.5020024E-06
   0.5940000E-01   0.4307207E-06
   0.6010000E-01   0.3707824E-06
   0.6081000E-01   0.3188680E-06
   0.6152000E-01   0.2745357E-06
   0.6222000E-01   0.2371278E-06
   0.6293000E-01   0.2046156E-06
   0.6364000E-01   0.1767560E-06
   0.6434000E-01   0.1531683E-06
   0.6505000E-01   0.1325990E-06
   0.6576000E-01   0.1149144E-06
   0.6647000E-01   0.9969339E-07
   0.6717000E-01   0.8675017E-07
   0.6788000E-01   0.7541462E-07
   0.6859000E-01   0.6562703E-07
   0.6929000E-01   0.5727802E-07
   0.7000000E-01   0.4994338E-07
