 Element: He
 Info: 10s,10p,10d,10f,10g,10h,10i,10k,10l
 Maximum L = 30
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     1.0144e-13
7.1700e-04     2.6305e-06
1.4240e-03     3.8712e-05
2.1310e-03     1.7715e-04
2.8380e-03     4.9107e-04
3.5450e-03     1.0190e-03
4.2520e-03     1.7425e-03
4.9590e-03     2.5880e-03
5.6660e-03     3.4497e-03
6.3730e-03     4.2203e-03
7.0800e-03     4.8159e-03
7.7870e-03     5.1900e-03
8.4940e-03     5.3336e-03
9.2010e-03     5.2681e-03
9.9080e-03     5.0330e-03
1.0610e-02     4.6783e-03
1.1320e-02     4.2427e-03
1.2030e-02     3.7705e-03
1.2740e-02     3.2938e-03
1.3440e-02     2.8418e-03
1.4150e-02     2.4167e-03
1.4860e-02     2.0336e-03
1.5560e-02     1.7003e-03
1.6270e-02     1.4074e-03
1.6980e-02     1.1575e-03
1.7680e-02     9.4953e-04
1.8390e-02     7.7329e-04
1.9100e-02     6.2743e-04
1.9810e-02     5.0754e-04
2.0510e-02     4.1080e-04
2.1220e-02     3.3087e-04
2.1930e-02     2.6610e-04
2.2630e-02     2.1445e-04
2.3340e-02     1.7217e-04
2.4050e-02     1.3817e-04
2.4750e-02     1.1121e-04
2.5460e-02     8.9250e-05
2.6170e-02     7.1645e-05
2.6870e-02     5.7719e-05
2.7580e-02     4.6387e-05
2.8290e-02     3.7309e-05
2.9000e-02     3.0035e-05
2.9700e-02     2.4277e-05
3.0410e-02     1.9585e-05
3.1120e-02     1.5818e-05
3.1820e-02     1.2830e-05
3.2530e-02     1.0389e-05
3.3240e-02     8.4238e-06
3.3940e-02     6.8599e-06
3.4650e-02     5.5779e-06
3.5360e-02     4.5422e-06
3.6070e-02     3.7042e-06
3.6770e-02     3.0341e-06
3.7480e-02     2.4818e-06
3.8190e-02     2.0332e-06
3.8890e-02     1.6728e-06
3.9600e-02     1.3747e-06
4.0310e-02     1.1314e-06
4.1010e-02     9.3512e-07
4.1720e-02     7.7199e-07
4.2430e-02     6.3831e-07
4.3140e-02     5.2859e-07
4.3840e-02     4.3955e-07
4.4550e-02     3.6510e-07
4.5260e-02     3.0372e-07
4.5960e-02     2.5369e-07
4.6670e-02     2.1167e-07
4.7380e-02     1.7688e-07
4.8080e-02     1.4839e-07
4.8790e-02     1.2436e-07
4.9500e-02     1.0437e-07
5.0200e-02     8.7934e-08
5.0910e-02     7.4010e-08
5.1620e-02     6.2378e-08
5.2330e-02     5.2648e-08
5.3030e-02     4.4602e-08
5.3740e-02     3.7748e-08
5.4450e-02     3.1990e-08
5.5150e-02     2.7209e-08
5.5860e-02     2.3120e-08
5.6570e-02     1.9671e-08
5.7270e-02     1.6796e-08
5.7980e-02     1.4327e-08
5.8690e-02     1.2236e-08
5.9400e-02     1.0463e-08
6.0100e-02     8.9783e-09
6.0810e-02     7.6965e-09
6.1520e-02     6.6056e-09
6.2220e-02     5.6882e-09
6.2930e-02     4.8935e-09
6.3640e-02     4.2147e-09
6.4340e-02     3.6418e-09
6.5050e-02     3.1438e-09
6.5760e-02     2.7169e-09
6.6470e-02     2.3506e-09
6.7170e-02     2.0400e-09
6.7880e-02     1.7688e-09
6.8590e-02     1.5353e-09
6.9290e-02     1.3366e-09
7.0000e-02     1.1626e-09
