 Element: He
 Maximum L = 30
 Maximum kappa = 31
 No. of transitions =    97
 No. of channels = 41554
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     2.4236e-11
1.0000e-04     7.1700e-04     6.3104e-04
1.0000e-04     1.4240e-03     9.3924e-03
1.0000e-04     2.1310e-03     4.3714e-02
1.0000e-04     2.8380e-03     1.2364e-01
1.0000e-04     3.5450e-03     2.6195e-01
1.0000e-04     4.2520e-03     4.5645e-01
1.0000e-04     4.9590e-03     6.8811e-01
1.0000e-04     5.6660e-03     9.2604e-01
1.0000e-04     6.3730e-03     1.1368e+00
1.0000e-04     7.0800e-03     1.2938e+00
1.0000e-04     7.7870e-03     1.3826e+00
1.0000e-04     8.4940e-03     1.4023e+00
1.0000e-04     9.2010e-03     1.3620e+00
1.0000e-04     9.9080e-03     1.2766e+00
1.0000e-04     1.0610e-02     1.1631e+00
1.0000e-04     1.1320e-02     1.0339e+00
1.0000e-04     1.2030e-02     9.0171e-01
1.0000e-04     1.2740e-02     7.7463e-01
1.0000e-04     1.3440e-02     6.5915e-01
1.0000e-04     1.4150e-02     5.5443e-01
1.0000e-04     1.4860e-02     4.6295e-01
1.0000e-04     1.5560e-02     3.8540e-01
1.0000e-04     1.6270e-02     3.1858e-01
1.0000e-04     1.6980e-02     2.6244e-01
1.0000e-04     1.7680e-02     2.1619e-01
1.0000e-04     1.8390e-02     1.7723e-01
1.0000e-04     1.9100e-02     1.4503e-01
1.0000e-04     1.9810e-02     1.1853e-01
1.0000e-04     2.0510e-02     9.7043e-02
1.0000e-04     2.1220e-02     7.9162e-02
1.0000e-04     2.1930e-02     6.4536e-02
1.0000e-04     2.2630e-02     5.2743e-02
1.0000e-04     2.3340e-02     4.2970e-02
1.0000e-04     2.4050e-02     3.5004e-02
1.0000e-04     2.4750e-02     2.8599e-02
1.0000e-04     2.5460e-02     2.3302e-02
1.0000e-04     2.6170e-02     1.8991e-02
1.0000e-04     2.6870e-02     1.5528e-02
1.0000e-04     2.7580e-02     1.2666e-02
1.0000e-04     2.8290e-02     1.0338e-02
1.0000e-04     2.9000e-02     8.4431e-03
1.0000e-04     2.9700e-02     6.9202e-03
1.0000e-04     3.0410e-02     5.6604e-03
1.0000e-04     3.1120e-02     4.6340e-03
1.0000e-04     3.1820e-02     3.8078e-03
1.0000e-04     3.2530e-02     3.1232e-03
1.0000e-04     3.3240e-02     2.5643e-03
1.0000e-04     3.3940e-02     2.1134e-03
1.0000e-04     3.4650e-02     1.7389e-03
1.0000e-04     3.5360e-02     1.4324e-03
1.0000e-04     3.6070e-02     1.1813e-03
1.0000e-04     3.6770e-02     9.7802e-04
1.0000e-04     3.7480e-02     8.0849e-04
1.0000e-04     3.8190e-02     6.6916e-04
1.0000e-04     3.8890e-02     5.5600e-04
1.0000e-04     3.9600e-02     4.6133e-04
1.0000e-04     4.0310e-02     3.8326e-04
1.0000e-04     4.1010e-02     3.1964e-04
1.0000e-04     4.1720e-02     2.6622e-04
1.0000e-04     4.2430e-02     2.2202e-04
1.0000e-04     4.3140e-02     1.8539e-04
1.0000e-04     4.3840e-02     1.5540e-04
1.0000e-04     4.4550e-02     1.3010e-04
1.0000e-04     4.5260e-02     1.0906e-04
1.0000e-04     4.5960e-02     9.1761e-05
1.0000e-04     4.6670e-02     7.7116e-05
1.0000e-04     4.7380e-02     6.4892e-05
1.0000e-04     4.8080e-02     5.4807e-05
1.0000e-04     4.8790e-02     4.6236e-05
1.0000e-04     4.9500e-02     3.9054e-05
1.0000e-04     5.0200e-02     3.3108e-05
1.0000e-04     5.0910e-02     2.8035e-05
1.0000e-04     5.1620e-02     2.3769e-05
1.0000e-04     5.2330e-02     2.0177e-05
1.0000e-04     5.3030e-02     1.7188e-05
1.0000e-04     5.3740e-02     1.4626e-05
1.0000e-04     5.4450e-02     1.2461e-05
1.0000e-04     5.5150e-02     1.0653e-05
1.0000e-04     5.5860e-02     9.0973e-06
1.0000e-04     5.6570e-02     7.7781e-06
1.0000e-04     5.7270e-02     6.6725e-06
1.0000e-04     5.7980e-02     5.7181e-06
1.0000e-04     5.8690e-02     4.9058e-06
1.0000e-04     5.9400e-02     4.2137e-06
1.0000e-04     6.0100e-02     3.6309e-06
1.0000e-04     6.0810e-02     3.1256e-06
1.0000e-04     6.1520e-02     2.6935e-06
1.0000e-04     6.2220e-02     2.3286e-06
1.0000e-04     6.2930e-02     2.0110e-06
1.0000e-04     6.3640e-02     1.7386e-06
1.0000e-04     6.4340e-02     1.5078e-06
1.0000e-04     6.5050e-02     1.3063e-06
1.0000e-04     6.5760e-02     1.1329e-06
1.0000e-04     6.6470e-02     9.8352e-07
1.0000e-04     6.7170e-02     8.5639e-07
1.0000e-04     6.7880e-02     7.4497e-07
1.0000e-04     6.8590e-02     6.4868e-07
1.0000e-04     6.9290e-02     5.6649e-07
1.0000e-04     7.0000e-02     4.9423e-07
1.1310e-04     1.0000e-05     2.4195e-11
1.1310e-04     7.1700e-04     6.2998e-04
1.1310e-04     1.4240e-03     9.3771e-03
1.1310e-04     2.1310e-03     4.3648e-02
1.1310e-04     2.8380e-03     1.2347e-01
1.1310e-04     3.5450e-03     2.6163e-01
1.1310e-04     4.2520e-03     4.5597e-01
1.1310e-04     4.9590e-03     6.8752e-01
1.1310e-04     5.6660e-03     9.2543e-01
1.1310e-04     6.3730e-03     1.1363e+00
1.1310e-04     7.0800e-03     1.2934e+00
1.1310e-04     7.7870e-03     1.3824e+00
1.1310e-04     8.4940e-03     1.4024e+00
1.1310e-04     9.2010e-03     1.3623e+00
1.1310e-04     9.9080e-03     1.2770e+00
1.1310e-04     1.0610e-02     1.1636e+00
1.1310e-04     1.1320e-02     1.0345e+00
1.1310e-04     1.2030e-02     9.0229e-01
1.1310e-04     1.2740e-02     7.7519e-01
1.1310e-04     1.3440e-02     6.5968e-01
1.1310e-04     1.4150e-02     5.5490e-01
1.1310e-04     1.4860e-02     4.6337e-01
1.1310e-04     1.5560e-02     3.8576e-01
1.1310e-04     1.6270e-02     3.1889e-01
1.1310e-04     1.6980e-02     2.6270e-01
1.1310e-04     1.7680e-02     2.1641e-01
1.1310e-04     1.8390e-02     1.7741e-01
1.1310e-04     1.9100e-02     1.4518e-01
1.1310e-04     1.9810e-02     1.1865e-01
1.1310e-04     2.0510e-02     9.7142e-02
1.1310e-04     2.1220e-02     7.9241e-02
1.1310e-04     2.1930e-02     6.4601e-02
1.1310e-04     2.2630e-02     5.2795e-02
1.1310e-04     2.3340e-02     4.3012e-02
1.1310e-04     2.4050e-02     3.5038e-02
1.1310e-04     2.4750e-02     2.8626e-02
1.1310e-04     2.5460e-02     2.3323e-02
1.1310e-04     2.6170e-02     1.9008e-02
1.1310e-04     2.6870e-02     1.5542e-02
1.1310e-04     2.7580e-02     1.2678e-02
1.1310e-04     2.8290e-02     1.0347e-02
1.1310e-04     2.9000e-02     8.4502e-03
1.1310e-04     2.9700e-02     6.9259e-03
1.1310e-04     3.0410e-02     5.6650e-03
1.1310e-04     3.1120e-02     4.6376e-03
1.1310e-04     3.1820e-02     3.8108e-03
1.1310e-04     3.2530e-02     3.1256e-03
1.1310e-04     3.3240e-02     2.5662e-03
1.1310e-04     3.3940e-02     2.1150e-03
