 Element: He
 Info: 10s,10p,10d,10f,10g,10h,10i,10k,10l
 Maximum L = 30
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     6.3698e-07
7.1700e-04     3.2314e-03
1.4240e-03     1.2258e-02
2.1310e-03     2.5743e-02
2.8380e-03     4.1775e-02
3.5450e-03     5.8245e-02
4.2520e-03     7.3221e-02
4.9590e-03     8.5231e-02
5.6660e-03     9.3409e-02
6.3730e-03     9.7496e-02
7.0800e-03     9.7741e-02
7.7870e-03     9.4730e-02
8.4940e-03     8.9228e-02
9.2010e-03     8.2029e-02
9.9080e-03     7.3865e-02
1.0610e-02     6.5403e-02
1.1320e-02     5.6955e-02
1.2030e-02     4.8947e-02
1.2740e-02     4.1592e-02
1.3440e-02     3.5087e-02
1.4150e-02     2.9284e-02
1.4860e-02     2.4267e-02
1.5560e-02     2.0043e-02
1.6270e-02     1.6424e-02
1.6980e-02     1.3400e-02
1.7680e-02     1.0926e-02
1.8390e-02     8.8552e-03
1.9100e-02     7.1596e-03
1.9810e-02     5.7773e-03
2.0510e-02     4.6689e-03
2.1220e-02     3.7575e-03
2.1930e-02     3.0215e-03
2.2630e-02     2.4359e-03
2.3340e-02     1.9574e-03
2.4050e-02     1.5728e-03
2.4750e-02     1.2680e-03
2.5460e-02     1.0194e-03
2.6170e-02     8.2007e-04
2.6870e-02     6.6217e-04
2.7580e-02     5.3347e-04
2.8290e-02     4.3018e-04
2.9000e-02     3.4724e-04
2.9700e-02     2.8144e-04
3.0410e-02     2.2769e-04
3.1120e-02     1.8443e-04
3.1820e-02     1.5002e-04
3.2530e-02     1.2184e-04
3.3240e-02     9.9082e-05
3.3940e-02     8.0923e-05
3.4650e-02     6.5994e-05
3.5360e-02     5.3898e-05
3.6070e-02     4.4084e-05
3.6770e-02     3.6211e-05
3.7480e-02     2.9705e-05
3.8190e-02     2.4405e-05
3.8890e-02     2.0136e-05
3.9600e-02     1.6593e-05
4.0310e-02     1.3694e-05
4.1010e-02     1.1349e-05
4.1720e-02     9.3939e-06
4.2430e-02     7.7876e-06
4.3140e-02     6.4657e-06
4.3840e-02     5.3901e-06
4.4550e-02     4.4883e-06
4.5260e-02     3.7430e-06
4.5960e-02     3.1339e-06
4.6670e-02     2.6210e-06
4.7380e-02     2.1953e-06
4.8080e-02     1.8459e-06
4.8790e-02     1.5504e-06
4.9500e-02     1.3041e-06
5.0200e-02     1.1011e-06
5.0910e-02     9.2868e-07
5.1620e-02     7.8436e-07
5.2330e-02     6.6336e-07
5.3030e-02     5.6309e-07
5.3740e-02     4.7749e-07
5.4450e-02     4.0544e-07
5.5150e-02     3.4549e-07
5.5860e-02     2.9411e-07
5.6570e-02     2.5069e-07
5.7270e-02     2.1442e-07
5.7980e-02     1.8322e-07
5.8690e-02     1.5675e-07
5.9400e-02     1.3427e-07
6.0100e-02     1.1539e-07
6.0810e-02     9.9079e-08
6.1520e-02     8.5170e-08
6.2220e-02     7.3453e-08
6.2930e-02     6.3286e-08
6.3640e-02     5.4588e-08
6.4340e-02     4.7236e-08
6.5050e-02     4.0834e-08
6.5760e-02     3.5339e-08
6.6470e-02     3.0616e-08
6.7170e-02     2.6606e-08
6.7880e-02     2.3099e-08
6.8590e-02     2.0075e-08
6.9290e-02     1.7500e-08
7.0000e-02     1.5240e-08
