 Element: He
 Maximum L = 30
 No. of velocities = 99
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   7.1700000e-04   1.4500000e-05
   1.4240000e-03   2.2160000e-04
   2.1310000e-03   1.0848000e-03
   2.8380000e-03   3.2984000e-03
   3.5450000e-03   7.6918000e-03
   4.2520000e-03   1.5116600e-02
   4.9590000e-03   2.6339800e-02
   5.6660000e-03   4.1951400e-02
   6.3730000e-03   6.2305100e-02
   7.0800000e-03   8.7488400e-02
   7.7870000e-03   1.1732640e-01
   8.4940000e-03   1.5141220e-01
   9.2010000e-03   1.8915540e-01
   9.9080000e-03   2.2983860e-01
   1.0610000e-02   2.7236880e-01
   1.1320000e-02   3.1674780e-01
   1.2030000e-02   3.6172540e-01
   1.2740000e-02   4.0659150e-01
   1.3440000e-02   4.5011180e-01
   1.4150000e-02   4.9301603e-01
   1.4860000e-02   5.3426146e-01
   1.5560000e-02   5.7299692e-01
   1.6270000e-02   6.1011283e-01
   1.6980000e-02   6.4490503e-01
   1.7680000e-02   6.7686887e-01
   1.8390000e-02   7.0691033e-01
   1.9100000e-02   7.3459555e-01
   1.9810000e-02   7.5999933e-01
   2.0510000e-02   7.8290998e-01
   2.1220000e-02   8.0409923e-01
   2.1930000e-02   8.2335389e-01
   2.2630000e-02   8.4057507e-01
   2.3340000e-02   8.5638924e-01
   2.4050000e-02   8.7067216e-01
   2.4750000e-02   8.8338143e-01
   2.5460000e-02   8.9500252e-01
   2.6170000e-02   9.0546120e-01
   2.6870000e-02   9.1474094e-01
   2.7580000e-02   9.2320691e-01
   2.8290000e-02   9.3081268e-01
   2.9000000e-02   9.3764364e-01
   2.9700000e-02   9.4369587e-01
   3.0410000e-02   9.4921224e-01
   3.1120000e-02   9.5416581e-01
   3.1820000e-02   9.5855512e-01
   3.2530000e-02   9.6255727e-01
   3.3240000e-02   9.6615321e-01
   3.3940000e-02   9.6934205e-01
   3.4650000e-02   9.7225242e-01
   3.5360000e-02   9.7487031e-01
   3.6070000e-02   9.7722622e-01
   3.6770000e-02   9.7931903e-01
   3.7480000e-02   9.8123269e-01
   3.8190000e-02   9.8295754e-01
   3.8890000e-02   9.8449229e-01
   3.9600000e-02   9.8589805e-01
   4.0310000e-02   9.8716735e-01
   4.1010000e-02   9.8829881e-01
   4.1720000e-02   9.8933709e-01
   4.2430000e-02   9.9027637e-01
   4.3140000e-02   9.9112666e-01
   4.3840000e-02   9.9188655e-01
   4.4550000e-02   9.9258569e-01
   4.5260000e-02   9.9321984e-01
   4.5960000e-02   9.9378771e-01
   4.6670000e-02   9.9431122e-01
   4.7380000e-02   9.9478703e-01
   4.8080000e-02   9.9521396e-01
   4.8790000e-02   9.9560832e-01
   4.9500000e-02   9.9596748e-01
   5.0200000e-02   9.9629038e-01
   5.0910000e-02   9.9658926e-01
   5.1620000e-02   9.9686199e-01
   5.2330000e-02   9.9711103e-01
   5.3030000e-02   9.9733553e-01
   5.3740000e-02   9.9754386e-01
   5.4450000e-02   9.9773447e-01
   5.5150000e-02   9.9790662e-01
   5.5860000e-02   9.9806669e-01
   5.6570000e-02   9.9821342e-01
   5.7270000e-02   9.9834619e-01
   5.7980000e-02   9.9846987e-01
   5.8690000e-02   9.9858346e-01
   5.9400000e-02   9.9868784e-01
   6.0100000e-02   9.9878253e-01
   6.0810000e-02   9.9887095e-01
   6.1520000e-02   9.9895235e-01
   6.2220000e-02   9.9902632e-01
   6.2930000e-02   9.9909552e-01
   6.3640000e-02   9.9915933e-01
   6.4340000e-02   9.9921742e-01
   6.5050000e-02   9.9927185e-01
   6.5760000e-02   9.9932213e-01
   6.6470000e-02   9.9936861e-01
   6.7170000e-02   9.9941102e-01
   6.7880000e-02   9.9945084e-01
   6.8590000e-02   9.9948771e-01
   6.9290000e-02   9.9952140e-01
   7.0000000e-02   9.9955309e-01
