 Element: He
 Maximum L = 30
 Maximum kappa = 31
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     7.2519e-10
5.6000e-01     7.1700e-04     3.7348e-06
5.6000e-01     1.4240e-03     1.4809e-05
5.6000e-01     2.1310e-03     3.3452e-05
5.6000e-01     2.8380e-03     6.0055e-05
5.6000e-01     3.5450e-03     9.5171e-05
5.6000e-01     4.2520e-03     1.3954e-04
5.6000e-01     4.9590e-03     1.9409e-04
5.6000e-01     5.6660e-03     2.5999e-04
5.6000e-01     6.3730e-03     3.3864e-04
5.6000e-01     7.0800e-03     4.3173e-04
5.6000e-01     7.7870e-03     5.4128e-04
5.6000e-01     8.4940e-03     6.6969e-04
5.6000e-01     9.2010e-03     8.1980e-04
5.6000e-01     9.9080e-03     9.9494e-04
5.6000e-01     1.0610e-02     1.1975e-03
5.6000e-01     1.1320e-02     1.4362e-03
5.6000e-01     1.2030e-02     1.7143e-03
5.6000e-01     1.2740e-02     2.0384e-03
5.6000e-01     1.3440e-02     2.4106e-03
5.6000e-01     1.4150e-02     2.8505e-03
5.6000e-01     1.4860e-02     3.3640e-03
5.6000e-01     1.5560e-02     3.9550e-03
5.6000e-01     1.6270e-02     4.6553e-03
5.6000e-01     1.6980e-02     5.4753e-03
5.6000e-01     1.7680e-02     6.4219e-03
5.6000e-01     1.8390e-02     7.5477e-03
5.6000e-01     1.9100e-02     8.8710e-03
5.6000e-01     1.9810e-02     1.0429e-02
5.6000e-01     2.0510e-02     1.2237e-02
5.6000e-01     2.1220e-02     1.4401e-02
5.6000e-01     2.1930e-02     1.6961e-02
5.6000e-01     2.2630e-02     1.9948e-02
5.6000e-01     2.3340e-02     2.3541e-02
5.6000e-01     2.4050e-02     2.7814e-02
5.6000e-01     2.4750e-02     3.2831e-02
5.6000e-01     2.5460e-02     3.8901e-02
5.6000e-01     2.6170e-02     4.6166e-02
5.6000e-01     2.6870e-02     5.4748e-02
5.6000e-01     2.7580e-02     6.5200e-02
5.6000e-01     2.8290e-02     7.7793e-02
5.6000e-01     2.9000e-02     9.3002e-02
5.6000e-01     2.9700e-02     1.1112e-01
5.6000e-01     3.0410e-02     1.3339e-01
5.6000e-01     3.1120e-02     1.6046e-01
5.6000e-01     3.1820e-02     1.9290e-01
5.6000e-01     3.2530e-02     2.3300e-01
5.6000e-01     3.3240e-02     2.8199e-01
5.6000e-01     3.3940e-02     3.4097e-01
5.6000e-01     3.4650e-02     4.1408e-01
5.6000e-01     3.5360e-02     5.0356e-01
5.6000e-01     3.6070e-02     6.1295e-01
5.6000e-01     3.6770e-02     7.4438e-01
5.6000e-01     3.7480e-02     9.0632e-01
5.6000e-01     3.8190e-02     1.1023e+00
5.6000e-01     3.8890e-02     1.3344e+00
5.6000e-01     3.9600e-02     1.6142e+00
5.6000e-01     4.0310e-02     1.9434e+00
5.6000e-01     4.1010e-02     2.3183e+00
5.6000e-01     4.1720e-02     2.7488e+00
5.6000e-01     4.2430e-02     3.2236e+00
5.6000e-01     4.3140e-02     3.7299e+00
5.6000e-01     4.3840e-02     4.2400e+00
5.6000e-01     4.4550e-02     4.7410e+00
5.6000e-01     4.5260e-02     5.1924e+00
5.6000e-01     4.5960e-02     5.5553e+00
5.6000e-01     4.6670e-02     5.8094e+00
5.6000e-01     4.7380e-02     5.9275e+00
5.6000e-01     4.8080e-02     5.9028e+00
5.6000e-01     4.8790e-02     5.7409e+00
5.6000e-01     4.9500e-02     5.4604e+00
5.6000e-01     5.0200e-02     5.0946e+00
5.6000e-01     5.0910e-02     4.6642e+00
5.6000e-01     5.1620e-02     4.2039e+00
5.6000e-01     5.2330e-02     3.7397e+00
5.6000e-01     5.3030e-02     3.2975e+00
5.6000e-01     5.3740e-02     2.8778e+00
5.6000e-01     5.4450e-02     2.4951e+00
5.6000e-01     5.5150e-02     2.1574e+00
5.6000e-01     5.5860e-02     1.8553e+00
5.6000e-01     5.6570e-02     1.5922e+00
5.6000e-01     5.7270e-02     1.3678e+00
5.6000e-01     5.7980e-02     1.1721e+00
5.6000e-01     5.8690e-02     1.0048e+00
5.6000e-01     5.9400e-02     8.6210e-01
5.6000e-01     6.0100e-02     7.4220e-01
5.6000e-01     6.0810e-02     6.3861e-01
5.6000e-01     6.1520e-02     5.5048e-01
5.6000e-01     6.2220e-02     4.7642e-01
5.6000e-01     6.2930e-02     4.1233e-01
5.6000e-01     6.3640e-02     3.5763e-01
5.6000e-01     6.4340e-02     3.1149e-01
5.6000e-01     6.5050e-02     2.7136e-01
5.6000e-01     6.5760e-02     2.3694e-01
5.6000e-01     6.6470e-02     2.0733e-01
5.6000e-01     6.7170e-02     1.8216e-01
5.6000e-01     6.7880e-02     1.6009e-01
5.6000e-01     6.8590e-02     1.4100e-01
5.6000e-01     6.9290e-02     1.2465e-01
5.6000e-01     7.0000e-02     1.1023e-01
6.3350e-01     1.0000e-05     4.5112e-10
6.3350e-01     7.1700e-04     2.3229e-06
6.3350e-01     1.4240e-03     9.2055e-06
6.3350e-01     2.1310e-03     2.0777e-05
6.3350e-01     2.8380e-03     3.7254e-05
6.3350e-01     3.5450e-03     5.8946e-05
6.3350e-01     4.2520e-03     8.6262e-05
6.3350e-01     4.9590e-03     1.1972e-04
6.3350e-01     5.6660e-03     1.5996e-04
6.3350e-01     6.3730e-03     2.0774e-04
6.3350e-01     7.0800e-03     2.6400e-04
6.3350e-01     7.7870e-03     3.2983e-04
6.3350e-01     8.4940e-03     4.0651e-04
6.3350e-01     9.2010e-03     4.9558e-04
6.3350e-01     9.9080e-03     5.9880e-04
6.3350e-01     1.0610e-02     7.1736e-04
6.3350e-01     1.1320e-02     8.5600e-04
6.3350e-01     1.2030e-02     1.0163e-03
6.3350e-01     1.2740e-02     1.2018e-03
6.3350e-01     1.3440e-02     1.4130e-03
6.3350e-01     1.4150e-02     1.6607e-03
6.3350e-01     1.4860e-02     1.9475e-03
6.3350e-01     1.5560e-02     2.2747e-03
6.3350e-01     1.6270e-02     2.6591e-03
6.3350e-01     1.6980e-02     3.1053e-03
6.3350e-01     1.7680e-02     3.6157e-03
6.3350e-01     1.8390e-02     4.2172e-03
6.3350e-01     1.9100e-02     4.9176e-03
6.3350e-01     1.9810e-02     5.7343e-03
6.3350e-01     2.0510e-02     6.6732e-03
6.3350e-01     2.1220e-02     7.7856e-03
6.3350e-01     2.1930e-02     9.0880e-03
6.3350e-01     2.2630e-02     1.0592e-02
6.3350e-01     2.3340e-02     1.2383e-02
6.3350e-01     2.4050e-02     1.4490e-02
6.3350e-01     2.4750e-02     1.6936e-02
6.3350e-01     2.5460e-02     1.9864e-02
6.3350e-01     2.6170e-02     2.3329e-02
6.3350e-01     2.6870e-02     2.7375e-02
6.3350e-01     2.7580e-02     3.2245e-02
6.3350e-01     2.8290e-02     3.8046e-02
6.3350e-01     2.9000e-02     4.4970e-02
6.3350e-01     2.9700e-02     5.3124e-02
6.3350e-01     3.0410e-02     6.3028e-02
6.3350e-01     3.1120e-02     7.4930e-02
6.3350e-01     3.1820e-02     8.9045e-02
6.3350e-01     3.2530e-02     1.0631e-01
6.3350e-01     3.3240e-02     1.2719e-01
6.3350e-01     3.3940e-02     1.5212e-01
6.3350e-01     3.4650e-02     1.8280e-01
6.3350e-01     3.5360e-02     2.2015e-01
6.3350e-01     3.6070e-02     2.6568e-01
6.3350e-01     3.6770e-02     3.2040e-01
6.3350e-01     3.7480e-02     3.8809e-01
6.3350e-01     3.8190e-02     4.7079e-01
6.3350e-01     3.8890e-02     5.7019e-01
6.3350e-01     3.9600e-02     6.9290e-01
6.3350e-01     4.0310e-02     8.4202e-01
6.3350e-01     4.1010e-02     1.0196e+00
6.3350e-01     4.1720e-02     1.2359e+00
6.3350e-01     4.2430e-02     1.4936e+00
6.3350e-01     4.3140e-02     1.7968e+00
6.3350e-01     4.3840e-02     2.1430e+00
6.3350e-01     4.4550e-02     2.5414e+00
6.3350e-01     4.5260e-02     2.9825e+00
6.3350e-01     4.5960e-02     3.4485e+00
6.3350e-01     4.6670e-02     3.9350e+00
6.3350e-01     4.7380e-02     4.4103e+00
6.3350e-01     4.8080e-02     4.8382e+00
6.3350e-01     4.8790e-02     5.1987e+00
