 Element: He
 Maximum L = 30
 Maximum kappa = 31
 No. of transitions =  1
 No. of channels =   122
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     7.6097e-05
1.0000e-04     7.1700e-04     3.8760e-01
1.0000e-04     1.4240e-03     1.4871e+00
1.0000e-04     2.1310e-03     3.1762e+00
1.0000e-04     2.8380e-03     5.2591e+00
1.0000e-04     3.5450e-03     7.4863e+00
1.0000e-04     4.2520e-03     9.5904e+00
1.0000e-04     4.9590e-03     1.1331e+01
1.0000e-04     5.6660e-03     1.2537e+01
1.0000e-04     6.3730e-03     1.3131e+01
1.0000e-04     7.0800e-03     1.3129e+01
1.0000e-04     7.7870e-03     1.2618e+01
1.0000e-04     8.4940e-03     1.1730e+01
1.0000e-04     9.2010e-03     1.0604e+01
1.0000e-04     9.9080e-03     9.3676e+00
1.0000e-04     1.0610e-02     8.1303e+00
1.0000e-04     1.1320e-02     6.9395e+00
1.0000e-04     1.2030e-02     5.8528e+00
1.0000e-04     1.2740e-02     4.8908e+00
1.0000e-04     1.3440e-02     4.0692e+00
1.0000e-04     1.4150e-02     3.3592e+00
1.0000e-04     1.4860e-02     2.7623e+00
1.0000e-04     1.5560e-02     2.2715e+00
1.0000e-04     1.6270e-02     1.8589e+00
1.0000e-04     1.6980e-02     1.5192e+00
1.0000e-04     1.7680e-02     1.2438e+00
1.0000e-04     1.8390e-02     1.0147e+00
1.0000e-04     1.9100e-02     8.2750e-01
1.0000e-04     1.9810e-02     6.7461e-01
1.0000e-04     2.0510e-02     5.5147e-01
1.0000e-04     2.1220e-02     4.4949e-01
1.0000e-04     2.1930e-02     3.6639e-01
1.0000e-04     2.2630e-02     2.9955e-01
1.0000e-04     2.3340e-02     2.4426e-01
1.0000e-04     2.4050e-02     1.9923e-01
1.0000e-04     2.4750e-02     1.6303e-01
1.0000e-04     2.5460e-02     1.3308e-01
1.0000e-04     2.6170e-02     1.0869e-01
1.0000e-04     2.6870e-02     8.9071e-02
1.0000e-04     2.7580e-02     7.2834e-02
1.0000e-04     2.8290e-02     5.9599e-02
1.0000e-04     2.9000e-02     4.8806e-02
1.0000e-04     2.9700e-02     4.0113e-02
1.0000e-04     3.0410e-02     3.2903e-02
1.0000e-04     3.1120e-02     2.7015e-02
1.0000e-04     3.1820e-02     2.2262e-02
1.0000e-04     3.2530e-02     1.8313e-02
1.0000e-04     3.3240e-02     1.5081e-02
1.0000e-04     3.3940e-02     1.2465e-02
1.0000e-04     3.4650e-02     1.0287e-02
1.0000e-04     3.5360e-02     8.4987e-03
1.0000e-04     3.6070e-02     7.0294e-03
1.0000e-04     3.6770e-02     5.8363e-03
1.0000e-04     3.7480e-02     4.8385e-03
1.0000e-04     3.8190e-02     4.0161e-03
1.0000e-04     3.8890e-02     3.3462e-03
