 Element: He
 Maximum L = 30
 Maximum kappa = 31
 No. of transitions = 1
 No. of channels = 122
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     7.6097e-05
1.0000e-04     1.0940e-05     9.1075e-05
1.0000e-04     1.1960e-05     1.0885e-04
1.0000e-04     1.3080e-05     1.3019e-04
1.0000e-04     1.4300e-05     1.5561e-04
1.0000e-04     1.5640e-05     1.8614e-04
1.0000e-04     1.7100e-05     2.2251e-04
1.0000e-04     1.8700e-05     2.6610e-04
1.0000e-04     2.0450e-05     3.1824e-04
1.0000e-04     2.2360e-05     3.8046e-04
1.0000e-04     2.4460e-05     4.5528e-04
1.0000e-04     2.6740e-05     5.4411e-04
1.0000e-04     2.9250e-05     6.5105e-04
1.0000e-04     3.1980e-05     7.7824e-04
1.0000e-04     3.4970e-05     9.3057e-04
1.0000e-04     3.8250e-05     1.1133e-03
1.0000e-04     4.1820e-05     1.3308e-03
1.0000e-04     4.5740e-05     1.5920e-03
1.0000e-04     5.0020e-05     1.9039e-03
1.0000e-04     5.4700e-05     2.2768e-03
1.0000e-04     5.9810e-05     2.7220e-03
1.0000e-04     6.5410e-05     3.2555e-03
1.0000e-04     7.1530e-05     3.8932e-03
1.0000e-04     7.8220e-05     4.6554e-03
1.0000e-04     8.5540e-05     5.5674e-03
1.0000e-04     9.3540e-05     6.6572e-03
1.0000e-04     1.0230e-04     7.9623e-03
1.0000e-04     1.1190e-04     9.5264e-03
1.0000e-04     1.2230e-04     1.1379e-02
1.0000e-04     1.3380e-04     1.3619e-02
1.0000e-04     1.4630e-04     1.6281e-02
1.0000e-04     1.6000e-04     1.9472e-02
1.0000e-04     1.7490e-04     2.3265e-02
1.0000e-04     1.9130e-04     2.7830e-02
1.0000e-04     2.0920e-04     3.3277e-02
1.0000e-04     2.2880e-04     3.9799e-02
1.0000e-04     2.5020e-04     4.7583e-02
1.0000e-04     2.7360e-04     5.6887e-02
1.0000e-04     2.9920e-04     6.8013e-02
1.0000e-04     3.2710e-04     8.1263e-02
1.0000e-04     3.5770e-04     9.7142e-02
1.0000e-04     3.9120e-04     1.1614e-01
1.0000e-04     4.2780e-04     1.3881e-01
1.0000e-04     4.6780e-04     1.6588e-01
1.0000e-04     5.1160e-04     1.9824e-01
1.0000e-04     5.5950e-04     2.3688e-01
1.0000e-04     6.1180e-04     2.8292e-01
1.0000e-04     6.6900e-04     3.3785e-01
1.0000e-04     7.3160e-04     4.0340e-01
1.0000e-04     8.0010e-04     4.8156e-01
1.0000e-04     8.7490e-04     5.7450e-01
1.0000e-04     9.5680e-04     6.8522e-01
1.0000e-04     1.0460e-03     8.1628e-01
1.0000e-04     1.1440e-03     9.7257e-01
1.0000e-04     1.2510e-03     1.1576e+00
1.0000e-04     1.3680e-03     1.3764e+00
1.0000e-04     1.4960e-03     1.6349e+00
1.0000e-04     1.6360e-03     1.9393e+00
1.0000e-04     1.7890e-03     2.2963e+00
1.0000e-04     1.9570e-03     2.7153e+00
1.0000e-04     2.1400e-03     3.2007e+00
1.0000e-04     2.3400e-03     3.7614e+00
1.0000e-04     2.5590e-03     4.4052e+00
1.0000e-04     2.7980e-03     5.1349e+00
1.0000e-04     3.0600e-03     5.9555e+00
1.0000e-04     3.3460e-03     6.8604e+00
1.0000e-04     3.6590e-03     7.8408e+00
1.0000e-04     4.0020e-03     8.8766e+00
1.0000e-04     4.3760e-03     9.9279e+00
1.0000e-04     4.7850e-03     1.0947e+01
1.0000e-04     5.2330e-03     1.1868e+01
1.0000e-04     5.7230e-03     1.2608e+01
1.0000e-04     6.2580e-03     1.3077e+01
1.0000e-04     6.8430e-03     1.3192e+01
1.0000e-04     7.4840e-03     1.2891e+01
1.0000e-04     8.1840e-03     1.2157e+01
1.0000e-04     8.9490e-03     1.1024e+01
1.0000e-04     9.7870e-03     9.5823e+00
1.0000e-04     1.0700e-02     7.9749e+00
1.0000e-04     1.1700e-02     6.3432e+00
1.0000e-04     1.2800e-02     4.8155e+00
1.0000e-04     1.4000e-02     3.4993e+00
1.0000e-04     1.5300e-02     2.4433e+00
1.0000e-04     1.6740e-02     1.6266e+00
1.0000e-04     1.8300e-02     1.0413e+00
1.0000e-04     2.0010e-02     6.3686e-01
1.0000e-04     2.1890e-02     3.7063e-01
1.0000e-04     2.3930e-02     2.0620e-01
1.0000e-04     2.6170e-02     1.0869e-01
1.0000e-04     2.8620e-02     5.4309e-02
1.0000e-04     3.1300e-02     2.5701e-02
1.0000e-04     3.4230e-02     1.1523e-02
1.0000e-04     3.7430e-02     4.9026e-03
1.0000e-04     4.0930e-02     1.9795e-03
1.0000e-04     4.4760e-02     7.5947e-04
1.0000e-04     4.8950e-02     2.7757e-04
1.0000e-04     5.3530e-02     9.6962e-05
1.0000e-04     5.8540e-02     3.2442e-05
1.0000e-04     6.4010e-02     1.0449e-05
1.0000e-04     7.0000e-02     3.2393e-06
1.1310e-04     1.0000e-05     7.5966e-05
1.1310e-04     1.0940e-05     9.0919e-05
1.1310e-04     1.1960e-05     1.0866e-04
1.1310e-04     1.3080e-05     1.2997e-04
1.1310e-04     1.4300e-05     1.5534e-04
1.1310e-04     1.5640e-05     1.8582e-04
1.1310e-04     1.7100e-05     2.2213e-04
1.1310e-04     1.8700e-05     2.6565e-04
1.1310e-04     2.0450e-05     3.1769e-04
1.1310e-04     2.2360e-05     3.7981e-04
1.1310e-04     2.4460e-05     4.5450e-04
1.1310e-04     2.6740e-05     5.4317e-04
1.1310e-04     2.9250e-05     6.4993e-04
1.1310e-04     3.1980e-05     7.7691e-04
1.1310e-04     3.4970e-05     9.2897e-04
1.1310e-04     3.8250e-05     1.1114e-03
1.1310e-04     4.1820e-05     1.3285e-03
1.1310e-04     4.5740e-05     1.5893e-03
1.1310e-04     5.0020e-05     1.9006e-03
1.1310e-04     5.4700e-05     2.2729e-03
1.1310e-04     5.9810e-05     2.7173e-03
1.1310e-04     6.5410e-05     3.2500e-03
1.1310e-04     7.1530e-05     3.8865e-03
1.1310e-04     7.8220e-05     4.6474e-03
1.1310e-04     8.5540e-05     5.5578e-03
1.1310e-04     9.3540e-05     6.6458e-03
1.1310e-04     1.0230e-04     7.9486e-03
1.1310e-04     1.1190e-04     9.5101e-03
1.1310e-04     1.2230e-04     1.1359e-02
1.1310e-04     1.3380e-04     1.3596e-02
1.1310e-04     1.4630e-04     1.6253e-02
1.1310e-04     1.6000e-04     1.9439e-02
1.1310e-04     1.7490e-04     2.3225e-02
1.1310e-04     1.9130e-04     2.7782e-02
1.1310e-04     2.0920e-04     3.3220e-02
1.1310e-04     2.2880e-04     3.9731e-02
1.1310e-04     2.5020e-04     4.7502e-02
1.1310e-04     2.7360e-04     5.6790e-02
1.1310e-04     2.9920e-04     6.7897e-02
1.1310e-04     3.2710e-04     8.1124e-02
1.1310e-04     3.5770e-04     9.6976e-02
1.1310e-04     3.9120e-04     1.1594e-01
1.1310e-04     4.2780e-04     1.3857e-01
1.1310e-04     4.6780e-04     1.6559e-01
1.1310e-04     5.1160e-04     1.9790e-01
1.1310e-04     5.5950e-04     2.3648e-01
1.1310e-04     6.1180e-04     2.8244e-01
1.1310e-04     6.6900e-04     3.3728e-01
1.1310e-04     7.3160e-04     4.0271e-01
1.1310e-04     8.0010e-04     4.8074e-01
1.1310e-04     8.7490e-04     5.7353e-01
1.1310e-04     9.5680e-04     6.8407e-01
1.1310e-04     1.0460e-03     8.1492e-01
1.1310e-04     1.1440e-03     9.7096e-01
1.1310e-04     1.2510e-03     1.1556e+00
1.1310e-04     1.3680e-03     1.3742e+00
1.1310e-04     1.4960e-03     1.6322e+00
1.1310e-04     1.6360e-03     1.9362e+00
1.1310e-04     1.7890e-03     2.2927e+00
1.1310e-04     1.9570e-03     2.7111e+00
1.1310e-04     2.1400e-03     3.1958e+00
1.1310e-04     2.3400e-03     3.7558e+00
1.1310e-04     2.5590e-03     4.3988e+00
1.1310e-04     2.7980e-03     5.1277e+00
1.1310e-04     3.0600e-03     5.9476e+00
1.1310e-04     3.3460e-03     6.8517e+00
