 Element: He
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions = 1
 No. of channels = 6
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     7.6097e-01
1.1310e-04     1.0000e-03     7.5966e-01
1.2800e-04     1.0000e-03     7.5819e-01
1.4480e-04     1.0000e-03     7.5652e-01
1.6380e-04     1.0000e-03     7.5465e-01
1.8520e-04     1.0000e-03     7.5254e-01
2.0950e-04     1.0000e-03     7.5016e-01
2.3700e-04     1.0000e-03     7.4747e-01
2.6810e-04     1.0000e-03     7.4445e-01
3.0330e-04     1.0000e-03     7.4105e-01
3.4310e-04     1.0000e-03     7.3722e-01
3.8820e-04     1.0000e-03     7.3292e-01
4.3910e-04     1.0000e-03     7.2810e-01
4.9670e-04     1.0000e-03     7.2269e-01
5.6190e-04     1.0000e-03     7.1663e-01
6.3560e-04     1.0000e-03     7.0986e-01
7.1900e-04     1.0000e-03     7.0229e-01
8.1340e-04     1.0000e-03     6.9385e-01
9.2010e-04     1.0000e-03     6.8445e-01
1.0410e-03     1.0000e-03     6.7400e-01
1.1770e-03     1.0000e-03     6.6248e-01
1.3320e-03     1.0000e-03     6.4964e-01
1.5070e-03     1.0000e-03     6.3552e-01
1.7040e-03     1.0000e-03     6.2008e-01
1.9280e-03     1.0000e-03     6.0309e-01
2.1810e-03     1.0000e-03     5.8459e-01
2.4670e-03     1.0000e-03     5.6453e-01
2.7910e-03     1.0000e-03     5.4283e-01
3.1570e-03     1.0000e-03     5.1956e-01
3.5710e-03     1.0000e-03     4.9472e-01
4.0400e-03     1.0000e-03     4.6835e-01
4.5700e-03     1.0000e-03     4.4064e-01
5.1700e-03     1.0000e-03     4.1170e-01
5.8480e-03     1.0000e-03     3.8182e-01
6.6150e-03     1.0000e-03     3.5122e-01
7.4830e-03     1.0000e-03     3.2022e-01
8.4650e-03     1.0000e-03     2.8919e-01
9.5760e-03     1.0000e-03     2.5851e-01
1.0830e-02     1.0000e-03     2.2865e-01
1.2250e-02     1.0000e-03     1.9990e-01
1.3860e-02     1.0000e-03     1.7261e-01
1.5680e-02     1.0000e-03     1.4719e-01
1.7740e-02     1.0000e-03     1.2386e-01
2.0070e-02     1.0000e-03     1.0284e-01
2.2700e-02     1.0000e-03     8.4245e-02
2.5680e-02     1.0000e-03     6.8031e-02
2.9050e-02     1.0000e-03     5.4171e-02
3.2860e-02     1.0000e-03     4.2534e-02
3.7170e-02     1.0000e-03     3.2931e-02
4.2050e-02     1.0000e-03     2.5140e-02
4.7570e-02     1.0000e-03     1.8934e-02
5.3810e-02     1.0000e-03     1.4075e-02
6.0870e-02     1.0000e-03     1.0329e-02
6.8850e-02     1.0000e-03     7.4887e-03
7.7890e-02     1.0000e-03     5.3628e-03
8.8110e-02     1.0000e-03     3.7974e-03
9.9670e-02     1.0000e-03     2.6598e-03
1.1270e-01     1.0000e-03     1.8461e-03
1.2750e-01     1.0000e-03     1.2666e-03
1.4430e-01     1.0000e-03     8.5966e-04
1.6320e-01     1.0000e-03     5.7951e-04
1.8460e-01     1.0000e-03     3.8709e-04
2.0890e-01     1.0000e-03     2.5600e-04
2.3630e-01     1.0000e-03     1.6817e-04
2.6730e-01     1.0000e-03     1.0963e-04
3.0230e-01     1.0000e-03     7.0981e-05
3.4200e-01     1.0000e-03     4.5580e-05
3.8690e-01     1.0000e-03     2.9060e-05
4.3760e-01     1.0000e-03     1.8421e-05
4.9510e-01     1.0000e-03     1.1591e-05
5.6000e-01     1.0000e-03     7.2519e-06
6.3350e-01     1.0000e-03     4.5112e-06
7.1660e-01     1.0000e-03     2.7895e-06
8.1070e-01     1.0000e-03     1.7156e-06
9.1700e-01     1.0000e-03     1.0501e-06
1.0370e+00     1.0000e-03     6.4057e-07
1.1730e+00     1.0000e-03     3.8845e-07
1.3270e+00     1.0000e-03     2.3465e-07
1.5020e+00     1.0000e-03     1.4063e-07
1.6990e+00     1.0000e-03     8.4283e-08
1.9220e+00     1.0000e-03     5.0407e-08
2.1740e+00     1.0000e-03     2.9979e-08
2.4590e+00     1.0000e-03     1.7820e-08
2.7820e+00     1.0000e-03     1.0539e-08
3.1470e+00     1.0000e-03     6.2203e-09
3.5600e+00     1.0000e-03     3.6758e-09
4.0270e+00     1.0000e-03     2.1579e-09
4.5550e+00     1.0000e-03     1.2694e-09
5.1530e+00     1.0000e-03     7.3983e-10
5.8290e+00     1.0000e-03     4.3218e-10
6.5940e+00     1.0000e-03     2.5267e-10
7.4590e+00     1.0000e-03     1.4754e-10
8.4370e+00     1.0000e-03     8.5783e-11
9.5450e+00     1.0000e-03     4.9485e-11
1.0800e+01     1.0000e-03     2.8689e-11
1.2210e+01     1.0000e-03     1.6691e-11
1.3820e+01     1.0000e-03     9.6769e-12
1.5630e+01     1.0000e-03     5.5154e-12
1.7680e+01     1.0000e-03     3.2240e-12
2.0000e+01     1.0000e-03     1.8523e-12
