 Element: Kr
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-04   0.9999852E+00
   0.5232000E-04   0.9995955E+00
   0.9465000E-04   0.9986767E+00
   0.1370000E-03   0.9972297E+00
   0.1793000E-03   0.9952597E+00
   0.2216000E-03   0.9927686E+00
   0.2639000E-03   0.9897603E+00
   0.3063000E-03   0.9862308E+00
   0.3486000E-03   0.9822024E+00
   0.3909000E-03   0.9776740E+00
   0.4332000E-03   0.9726527E+00
   0.4756000E-03   0.9671329E+00
   0.5179000E-03   0.9611496E+00
   0.5602000E-03   0.9546997E+00
   0.6025000E-03   0.9477934E+00
   0.6448000E-03   0.9404415E+00
   0.6872000E-03   0.9326366E+00
   0.7295000E-03   0.9244275E+00
   0.7718000E-03   0.9158091E+00
   0.8141000E-03   0.9067945E+00
   0.8565000E-03   0.8973747E+00
   0.8988000E-03   0.8876082E+00
   0.9411000E-03   0.8774881E+00
   0.9834000E-03   0.8670291E+00
   0.1026000E-02   0.8561691E+00
   0.1068000E-02   0.8451564E+00
   0.1110000E-02   0.8338560E+00
   0.1153000E-02   0.8220050E+00
   0.1195000E-02   0.8101709E+00
   0.1237000E-02   0.7980975E+00
   0.1280000E-02   0.7855058E+00
   0.1322000E-02   0.7729982E+00
   0.1364000E-02   0.7603009E+00
   0.1407000E-02   0.7471219E+00
   0.1449000E-02   0.7340910E+00
   0.1491000E-02   0.7209201E+00
   0.1534000E-02   0.7073075E+00
   0.1576000E-02   0.6939030E+00
   0.1618000E-02   0.6804074E+00
   0.1661000E-02   0.6665125E+00
   0.1703000E-02   0.6528807E+00
   0.1745000E-02   0.6392048E+00
   0.1788000E-02   0.6251736E+00
   0.1830000E-02   0.6114546E+00
   0.1872000E-02   0.5977364E+00
   0.1915000E-02   0.5837070E+00
   0.1957000E-02   0.5700330E+00
   0.1999000E-02   0.5564013E+00
   0.2042000E-02   0.5425023E+00
   0.2084000E-02   0.5289952E+00
   0.2126000E-02   0.5155682E+00
   0.2168000E-02   0.5022329E+00
   0.2211000E-02   0.4886867E+00
   0.2253000E-02   0.4755706E+00
   0.2295000E-02   0.4625785E+00
   0.2338000E-02   0.4494156E+00
   0.2380000E-02   0.4367035E+00
   0.2422000E-02   0.4241433E+00
   0.2465000E-02   0.4114499E+00
   0.2507000E-02   0.3992214E+00
   0.2549000E-02   0.3871680E+00
   0.2592000E-02   0.3750160E+00
   0.2634000E-02   0.3633368E+00
   0.2676000E-02   0.3518514E+00
   0.2719000E-02   0.3402986E+00
   0.2761000E-02   0.3292207E+00
   0.2803000E-02   0.3183507E+00
   0.2846000E-02   0.3074412E+00
   0.2888000E-02   0.2970031E+00
   0.2930000E-02   0.2867828E+00
   0.2973000E-02   0.2765475E+00
   0.3015000E-02   0.2667753E+00
   0.3057000E-02   0.2572268E+00
   0.3100000E-02   0.2476842E+00
   0.3142000E-02   0.2385921E+00
   0.3184000E-02   0.2297261E+00
   0.3227000E-02   0.2208834E+00
   0.3269000E-02   0.2124749E+00
   0.3311000E-02   0.2042918E+00
   0.3354000E-02   0.1961461E+00
   0.3396000E-02   0.1884155E+00
   0.3438000E-02   0.1809064E+00
   0.3481000E-02   0.1734460E+00
   0.3523000E-02   0.1663793E+00
   0.3565000E-02   0.1595277E+00
   0.3607000E-02   0.1528888E+00
   0.3650000E-02   0.1463093E+00
   0.3692000E-02   0.1400922E+00
   0.3734000E-02   0.1340789E+00
   0.3777000E-02   0.1281303E+00
   0.3819000E-02   0.1225193E+00
   0.3861000E-02   0.1171019E+00
   0.3904000E-02   0.1117522E+00
   0.3946000E-02   0.1067150E+00
   0.3988000E-02   0.1018600E+00
   0.4031000E-02   0.9707388E-01
   0.4073000E-02   0.9257518E-01
   0.4115000E-02   0.8824642E-01
   0.4158000E-02   0.8398634E-01
   0.4200000E-02   0.7998883E-01
