 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     9.4493e-09
5.6000e-01     5.2320e-05     2.5866e-07
5.6000e-01     9.4650e-05     8.4653e-07
5.6000e-01     1.3700e-04     1.7735e-06
5.6000e-01     1.7930e-04     3.0378e-06
5.6000e-01     2.2160e-04     4.6402e-06
5.6000e-01     2.6390e-04     6.5808e-06
5.6000e-01     3.0630e-04     8.8654e-06
5.6000e-01     3.4860e-04     1.1483e-05
5.6000e-01     3.9090e-04     1.4439e-05
5.6000e-01     4.3320e-04     1.7733e-05
5.6000e-01     4.7560e-04     2.1374e-05
5.6000e-01     5.1790e-04     2.5345e-05
5.6000e-01     5.6020e-04     2.9655e-05
5.6000e-01     6.0250e-04     3.4302e-05
5.6000e-01     6.4480e-04     3.9288e-05
5.6000e-01     6.8720e-04     4.4625e-05
5.6000e-01     7.2950e-04     5.0288e-05
5.6000e-01     7.7180e-04     5.6289e-05
5.6000e-01     8.1410e-04     6.2629e-05
5.6000e-01     8.5650e-04     6.9322e-05
5.6000e-01     8.9880e-04     7.6339e-05
5.6000e-01     9.4110e-04     8.3694e-05
5.6000e-01     9.8340e-04     9.1387e-05
5.6000e-01     1.0260e-03     9.9477e-05
5.6000e-01     1.0680e-03     1.0779e-04
5.6000e-01     1.1100e-03     1.1643e-04
5.6000e-01     1.1530e-03     1.2563e-04
5.6000e-01     1.1950e-03     1.3495e-04
5.6000e-01     1.2370e-03     1.4460e-04
5.6000e-01     1.2800e-03     1.5483e-04
5.6000e-01     1.3220e-03     1.6516e-04
5.6000e-01     1.3640e-03     1.7582e-04
5.6000e-01     1.4070e-03     1.8709e-04
5.6000e-01     1.4490e-03     1.9842e-04
5.6000e-01     1.4910e-03     2.1009e-04
5.6000e-01     1.5340e-03     2.2239e-04
5.6000e-01     1.5760e-03     2.3473e-04
5.6000e-01     1.6180e-03     2.4741e-04
5.6000e-01     1.6610e-03     2.6074e-04
5.6000e-01     1.7030e-03     2.7410e-04
5.6000e-01     1.7450e-03     2.8779e-04
5.6000e-01     1.7880e-03     3.0215e-04
5.6000e-01     1.8300e-03     3.1651e-04
5.6000e-01     1.8720e-03     3.3121e-04
5.6000e-01     1.9150e-03     3.4660e-04
5.6000e-01     1.9570e-03     3.6198e-04
5.6000e-01     1.9990e-03     3.7769e-04
5.6000e-01     2.0420e-03     3.9411e-04
5.6000e-01     2.0840e-03     4.1050e-04
5.6000e-01     2.1260e-03     4.2721e-04
5.6000e-01     2.1680e-03     4.4426e-04
5.6000e-01     2.2110e-03     4.6207e-04
5.6000e-01     2.2530e-03     4.7979e-04
5.6000e-01     2.2950e-03     4.9785e-04
5.6000e-01     2.3380e-03     5.1669e-04
5.6000e-01     2.3800e-03     5.3543e-04
5.6000e-01     2.4220e-03     5.5450e-04
5.6000e-01     2.4650e-03     5.7437e-04
5.6000e-01     2.5070e-03     5.9412e-04
5.6000e-01     2.5490e-03     6.1420e-04
5.6000e-01     2.5920e-03     6.3510e-04
5.6000e-01     2.6340e-03     6.5586e-04
5.6000e-01     2.6760e-03     6.7695e-04
5.6000e-01     2.7190e-03     6.9889e-04
5.6000e-01     2.7610e-03     7.2066e-04
5.6000e-01     2.8030e-03     7.4276e-04
5.6000e-01     2.8460e-03     7.6574e-04
5.6000e-01     2.8880e-03     7.8852e-04
5.6000e-01     2.9300e-03     8.1163e-04
5.6000e-01     2.9730e-03     8.3564e-04
5.6000e-01     3.0150e-03     8.5943e-04
5.6000e-01     3.0570e-03     8.8355e-04
5.6000e-01     3.1000e-03     9.0860e-04
5.6000e-01     3.1420e-03     9.3340e-04
5.6000e-01     3.1840e-03     9.5854e-04
5.6000e-01     3.2270e-03     9.8462e-04
5.6000e-01     3.2690e-03     1.0104e-03
5.6000e-01     3.3110e-03     1.0366e-03
5.6000e-01     3.3540e-03     1.0637e-03
5.6000e-01     3.3960e-03     1.0905e-03
5.6000e-01     3.4380e-03     1.1177e-03
5.6000e-01     3.4810e-03     1.1458e-03
5.6000e-01     3.5230e-03     1.1737e-03
5.6000e-01     3.5650e-03     1.2018e-03
5.6000e-01     3.6070e-03     1.2303e-03
5.6000e-01     3.6500e-03     1.2599e-03
5.6000e-01     3.6920e-03     1.2891e-03
5.6000e-01     3.7340e-03     1.3186e-03
5.6000e-01     3.7770e-03     1.3492e-03
5.6000e-01     3.8190e-03     1.3794e-03
5.6000e-01     3.8610e-03     1.4099e-03
5.6000e-01     3.9040e-03     1.4415e-03
5.6000e-01     3.9460e-03     1.4727e-03
5.6000e-01     3.9880e-03     1.5042e-03
5.6000e-01     4.0310e-03     1.5369e-03
5.6000e-01     4.0730e-03     1.5691e-03
5.6000e-01     4.1150e-03     1.6017e-03
5.6000e-01     4.1580e-03     1.6354e-03
5.6000e-01     4.2000e-03     1.6686e-03
6.3350e-01     1.0000e-05     8.4587e-09
6.3350e-01     5.2320e-05     2.3155e-07
6.3350e-01     9.4650e-05     7.5778e-07
6.3350e-01     1.3700e-04     1.5876e-06
6.3350e-01     1.7930e-04     2.7194e-06
6.3350e-01     2.2160e-04     4.1538e-06
6.3350e-01     2.6390e-04     5.8910e-06
6.3350e-01     3.0630e-04     7.9360e-06
6.3350e-01     3.4860e-04     1.0279e-05
6.3350e-01     3.9090e-04     1.2925e-05
6.3350e-01     4.3320e-04     1.5874e-05
6.3350e-01     4.7560e-04     1.9134e-05
6.3350e-01     5.1790e-04     2.2689e-05
6.3350e-01     5.6020e-04     2.6546e-05
6.3350e-01     6.0250e-04     3.0707e-05
6.3350e-01     6.4480e-04     3.5170e-05
6.3350e-01     6.8720e-04     3.9947e-05
6.3350e-01     7.2950e-04     4.5017e-05
6.3350e-01     7.7180e-04     5.0389e-05
6.3350e-01     8.1410e-04     5.6064e-05
6.3350e-01     8.5650e-04     6.2056e-05
6.3350e-01     8.9880e-04     6.8338e-05
6.3350e-01     9.4110e-04     7.4922e-05
6.3350e-01     9.8340e-04     8.1809e-05
6.3350e-01     1.0260e-03     8.9051e-05
6.3350e-01     1.0680e-03     9.6492e-05
6.3350e-01     1.1100e-03     1.0423e-04
6.3350e-01     1.1530e-03     1.1246e-04
6.3350e-01     1.1950e-03     1.2081e-04
6.3350e-01     1.2370e-03     1.2945e-04
6.3350e-01     1.2800e-03     1.3861e-04
6.3350e-01     1.3220e-03     1.4785e-04
6.3350e-01     1.3640e-03     1.5740e-04
6.3350e-01     1.4070e-03     1.6748e-04
6.3350e-01     1.4490e-03     1.7763e-04
6.3350e-01     1.4910e-03     1.8808e-04
6.3350e-01     1.5340e-03     1.9909e-04
6.3350e-01     1.5760e-03     2.1014e-04
6.3350e-01     1.6180e-03     2.2149e-04
6.3350e-01     1.6610e-03     2.3343e-04
6.3350e-01     1.7030e-03     2.4538e-04
6.3350e-01     1.7450e-03     2.5764e-04
6.3350e-01     1.7880e-03     2.7050e-04
6.3350e-01     1.8300e-03     2.8336e-04
6.3350e-01     1.8720e-03     2.9652e-04
6.3350e-01     1.9150e-03     3.1030e-04
6.3350e-01     1.9570e-03     3.2407e-04
6.3350e-01     1.9990e-03     3.3813e-04
6.3350e-01     2.0420e-03     3.5284e-04
6.3350e-01     2.0840e-03     3.6751e-04
6.3350e-01     2.1260e-03     3.8248e-04
6.3350e-01     2.1680e-03     3.9774e-04
6.3350e-01     2.2110e-03     4.1368e-04
6.3350e-01     2.2530e-03     4.2956e-04
6.3350e-01     2.2950e-03     4.4573e-04
6.3350e-01     2.3380e-03     4.6260e-04
6.3350e-01     2.3800e-03     4.7937e-04
6.3350e-01     2.4220e-03     4.9645e-04
6.3350e-01     2.4650e-03     5.1425e-04
6.3350e-01     2.5070e-03     5.3193e-04
6.3350e-01     2.5490e-03     5.4991e-04
6.3350e-01     2.5920e-03     5.6863e-04
6.3350e-01     2.6340e-03     5.8722e-04
6.3350e-01     2.6760e-03     6.0611e-04
6.3350e-01     2.7190e-03     6.2576e-04
6.3350e-01     2.7610e-03     6.4525e-04
6.3350e-01     2.8030e-03     6.6504e-04
6.3350e-01     2.8460e-03     6.8562e-04
6.3350e-01     2.8880e-03     7.0602e-04
6.3350e-01     2.9300e-03     7.2672e-04
6.3350e-01     2.9730e-03     7.4822e-04
6.3350e-01     3.0150e-03     7.6953e-04
6.3350e-01     3.0570e-03     7.9114e-04
6.3350e-01     3.1000e-03     8.1357e-04
6.3350e-01     3.1420e-03     8.3578e-04
6.3350e-01     3.1840e-03     8.5830e-04
6.3350e-01     3.2270e-03     8.8166e-04
6.3350e-01     3.2690e-03     9.0478e-04
6.3350e-01     3.3110e-03     9.2820e-04
6.3350e-01     3.3540e-03     9.5249e-04
6.3350e-01     3.3960e-03     9.7651e-04
6.3350e-01     3.4380e-03     1.0008e-03
6.3350e-01     3.4810e-03     1.0261e-03
6.3350e-01     3.5230e-03     1.0510e-03
6.3350e-01     3.5650e-03     1.0762e-03
6.3350e-01     3.6070e-03     1.1018e-03
6.3350e-01     3.6500e-03     1.1282e-03
6.3350e-01     3.6920e-03     1.1544e-03
6.3350e-01     3.7340e-03     1.1808e-03
6.3350e-01     3.7770e-03     1.2082e-03
6.3350e-01     3.8190e-03     1.2353e-03
6.3350e-01     3.8610e-03     1.2626e-03
6.3350e-01     3.9040e-03     1.2909e-03
6.3350e-01     3.9460e-03     1.3189e-03
6.3350e-01     3.9880e-03     1.3472e-03
6.3350e-01     4.0310e-03     1.3764e-03
6.3350e-01     4.0730e-03     1.4053e-03
6.3350e-01     4.1150e-03     1.4345e-03
6.3350e-01     4.1580e-03     1.4646e-03
6.3350e-01     4.2000e-03     1.4944e-03
7.1660e-01     1.0000e-05     7.4801e-09
7.1660e-01     5.2320e-05     2.0476e-07
7.1660e-01     9.4650e-05     6.7011e-07
7.1660e-01     1.3700e-04     1.4039e-06
7.1660e-01     1.7930e-04     2.4047e-06
7.1660e-01     2.2160e-04     3.6732e-06
7.1660e-01     2.6390e-04     5.2094e-06
7.1660e-01     3.0630e-04     7.0179e-06
7.1660e-01     3.4860e-04     9.0901e-06
7.1660e-01     3.9090e-04     1.1430e-05
7.1660e-01     4.3320e-04     1.4038e-05
7.1660e-01     4.7560e-04     1.6920e-05
7.1660e-01     5.1790e-04     2.0064e-05
7.1660e-01     5.6020e-04     2.3475e-05
