 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     4.3622e-09
5.6000e-01     5.2320e-05     1.1941e-07
5.6000e-01     9.4650e-05     3.9080e-07
5.6000e-01     1.3700e-04     8.1875e-07
5.6000e-01     1.7930e-04     1.4024e-06
5.6000e-01     2.2160e-04     2.1422e-06
5.6000e-01     2.6390e-04     3.0380e-06
5.6000e-01     3.0630e-04     4.0927e-06
5.6000e-01     3.4860e-04     5.3011e-06
5.6000e-01     3.9090e-04     6.6657e-06
5.6000e-01     4.3320e-04     8.1863e-06
5.6000e-01     4.7560e-04     9.8673e-06
5.6000e-01     5.1790e-04     1.1701e-05
5.6000e-01     5.6020e-04     1.3690e-05
5.6000e-01     6.0250e-04     1.5835e-05
5.6000e-01     6.4480e-04     1.8137e-05
5.6000e-01     6.8720e-04     2.0601e-05
5.6000e-01     7.2950e-04     2.3215e-05
5.6000e-01     7.7180e-04     2.5985e-05
5.6000e-01     8.1410e-04     2.8912e-05
5.6000e-01     8.5650e-04     3.2002e-05
5.6000e-01     8.9880e-04     3.5241e-05
5.6000e-01     9.4110e-04     3.8636e-05
5.6000e-01     9.8340e-04     4.2187e-05
5.6000e-01     1.0260e-03     4.5922e-05
5.6000e-01     1.0680e-03     4.9758e-05
5.6000e-01     1.1100e-03     5.3749e-05
5.6000e-01     1.1530e-03     5.7994e-05
5.6000e-01     1.1950e-03     6.2296e-05
5.6000e-01     1.2370e-03     6.6752e-05
5.6000e-01     1.2800e-03     7.1474e-05
5.6000e-01     1.3220e-03     7.6242e-05
5.6000e-01     1.3640e-03     8.1163e-05
5.6000e-01     1.4070e-03     8.6362e-05
5.6000e-01     1.4490e-03     9.1595e-05
5.6000e-01     1.4910e-03     9.6982e-05
5.6000e-01     1.5340e-03     1.0266e-04
5.6000e-01     1.5760e-03     1.0836e-04
5.6000e-01     1.6180e-03     1.1421e-04
5.6000e-01     1.6610e-03     1.2036e-04
5.6000e-01     1.7030e-03     1.2652e-04
5.6000e-01     1.7450e-03     1.3284e-04
5.6000e-01     1.7880e-03     1.3947e-04
5.6000e-01     1.8300e-03     1.4610e-04
5.6000e-01     1.8720e-03     1.5288e-04
5.6000e-01     1.9150e-03     1.5999e-04
5.6000e-01     1.9570e-03     1.6708e-04
5.6000e-01     1.9990e-03     1.7433e-04
5.6000e-01     2.0420e-03     1.8192e-04
5.6000e-01     2.0840e-03     1.8948e-04
5.6000e-01     2.1260e-03     1.9719e-04
5.6000e-01     2.1680e-03     2.0506e-04
5.6000e-01     2.2110e-03     2.1328e-04
5.6000e-01     2.2530e-03     2.2146e-04
5.6000e-01     2.2950e-03     2.2979e-04
5.6000e-01     2.3380e-03     2.3849e-04
5.6000e-01     2.3800e-03     2.4713e-04
5.6000e-01     2.4220e-03     2.5593e-04
5.6000e-01     2.4650e-03     2.6510e-04
5.6000e-01     2.5070e-03     2.7421e-04
5.6000e-01     2.5490e-03     2.8348e-04
5.6000e-01     2.5920e-03     2.9313e-04
5.6000e-01     2.6340e-03     3.0271e-04
5.6000e-01     2.6760e-03     3.1244e-04
5.6000e-01     2.7190e-03     3.2256e-04
5.6000e-01     2.7610e-03     3.3261e-04
5.6000e-01     2.8030e-03     3.4280e-04
5.6000e-01     2.8460e-03     3.5340e-04
5.6000e-01     2.8880e-03     3.6391e-04
5.6000e-01     2.9300e-03     3.7458e-04
5.6000e-01     2.9730e-03     3.8566e-04
5.6000e-01     3.0150e-03     3.9663e-04
5.6000e-01     3.0570e-03     4.0776e-04
5.6000e-01     3.1000e-03     4.1932e-04
5.6000e-01     3.1420e-03     4.3076e-04
5.6000e-01     3.1840e-03     4.4236e-04
5.6000e-01     3.2270e-03     4.5439e-04
5.6000e-01     3.2690e-03     4.6630e-04
5.6000e-01     3.3110e-03     4.7836e-04
5.6000e-01     3.3540e-03     4.9087e-04
5.6000e-01     3.3960e-03     5.0324e-04
5.6000e-01     3.4380e-03     5.1577e-04
5.6000e-01     3.4810e-03     5.2876e-04
5.6000e-01     3.5230e-03     5.4160e-04
5.6000e-01     3.5650e-03     5.5459e-04
5.6000e-01     3.6070e-03     5.6774e-04
5.6000e-01     3.6500e-03     5.8137e-04
5.6000e-01     3.6920e-03     5.9483e-04
5.6000e-01     3.7340e-03     6.0844e-04
5.6000e-01     3.7770e-03     6.2254e-04
5.6000e-01     3.8190e-03     6.3647e-04
5.6000e-01     3.8610e-03     6.5055e-04
5.6000e-01     3.9040e-03     6.6513e-04
5.6000e-01     3.9460e-03     6.7952e-04
5.6000e-01     3.9880e-03     6.9407e-04
5.6000e-01     4.0310e-03     7.0913e-04
5.6000e-01     4.0730e-03     7.2399e-04
5.6000e-01     4.1150e-03     7.3900e-04
5.6000e-01     4.1580e-03     7.5454e-04
5.6000e-01     4.2000e-03     7.6986e-04
6.3350e-01     1.0000e-05     4.0634e-09
6.3350e-01     5.2320e-05     1.1123e-07
6.3350e-01     9.4650e-05     3.6402e-07
6.3350e-01     1.3700e-04     7.6265e-07
6.3350e-01     1.7930e-04     1.3063e-06
6.3350e-01     2.2160e-04     1.9954e-06
6.3350e-01     2.6390e-04     2.8299e-06
6.3350e-01     3.0630e-04     3.8122e-06
6.3350e-01     3.4860e-04     4.9379e-06
6.3350e-01     3.9090e-04     6.2090e-06
6.3350e-01     4.3320e-04     7.6254e-06
6.3350e-01     4.7560e-04     9.1912e-06
6.3350e-01     5.1790e-04     1.0899e-05
6.3350e-01     5.6020e-04     1.2752e-05
6.3350e-01     6.0250e-04     1.4750e-05
6.3350e-01     6.4480e-04     1.6894e-05
6.3350e-01     6.8720e-04     1.9189e-05
6.3350e-01     7.2950e-04     2.1624e-05
6.3350e-01     7.7180e-04     2.4205e-05
6.3350e-01     8.1410e-04     2.6931e-05
6.3350e-01     8.5650e-04     2.9809e-05
6.3350e-01     8.9880e-04     3.2826e-05
6.3350e-01     9.4110e-04     3.5988e-05
6.3350e-01     9.8340e-04     3.9296e-05
6.3350e-01     1.0260e-03     4.2775e-05
6.3350e-01     1.0680e-03     4.6348e-05
6.3350e-01     1.1100e-03     5.0066e-05
6.3350e-01     1.1530e-03     5.4020e-05
6.3350e-01     1.1950e-03     5.8027e-05
6.3350e-01     1.2370e-03     6.2178e-05
6.3350e-01     1.2800e-03     6.6576e-05
6.3350e-01     1.3220e-03     7.1016e-05
6.3350e-01     1.3640e-03     7.5601e-05
6.3350e-01     1.4070e-03     8.0443e-05
6.3350e-01     1.4490e-03     8.5317e-05
6.3350e-01     1.4910e-03     9.0335e-05
6.3350e-01     1.5340e-03     9.5620e-05
6.3350e-01     1.5760e-03     1.0093e-04
6.3350e-01     1.6180e-03     1.0638e-04
6.3350e-01     1.6610e-03     1.1211e-04
6.3350e-01     1.7030e-03     1.1785e-04
6.3350e-01     1.7450e-03     1.2374e-04
6.3350e-01     1.7880e-03     1.2991e-04
6.3350e-01     1.8300e-03     1.3608e-04
6.3350e-01     1.8720e-03     1.4240e-04
6.3350e-01     1.9150e-03     1.4902e-04
6.3350e-01     1.9570e-03     1.5563e-04
6.3350e-01     1.9990e-03     1.6238e-04
6.3350e-01     2.0420e-03     1.6944e-04
6.3350e-01     2.0840e-03     1.7648e-04
6.3350e-01     2.1260e-03     1.8367e-04
6.3350e-01     2.1680e-03     1.9100e-04
6.3350e-01     2.2110e-03     1.9865e-04
6.3350e-01     2.2530e-03     2.0627e-04
6.3350e-01     2.2950e-03     2.1403e-04
6.3350e-01     2.3380e-03     2.2213e-04
6.3350e-01     2.3800e-03     2.3018e-04
6.3350e-01     2.4220e-03     2.3838e-04
6.3350e-01     2.4650e-03     2.4692e-04
6.3350e-01     2.5070e-03     2.5541e-04
6.3350e-01     2.5490e-03     2.6404e-04
6.3350e-01     2.5920e-03     2.7302e-04
6.3350e-01     2.6340e-03     2.8194e-04
6.3350e-01     2.6760e-03     2.9100e-04
6.3350e-01     2.7190e-03     3.0043e-04
6.3350e-01     2.7610e-03     3.0979e-04
6.3350e-01     2.8030e-03     3.1929e-04
6.3350e-01     2.8460e-03     3.2916e-04
6.3350e-01     2.8880e-03     3.3895e-04
6.3350e-01     2.9300e-03     3.4888e-04
6.3350e-01     2.9730e-03     3.5919e-04
6.3350e-01     3.0150e-03     3.6942e-04
6.3350e-01     3.0570e-03     3.7978e-04
6.3350e-01     3.1000e-03     3.9054e-04
6.3350e-01     3.1420e-03     4.0120e-04
6.3350e-01     3.1840e-03     4.1200e-04
6.3350e-01     3.2270e-03     4.2320e-04
6.3350e-01     3.2690e-03     4.3429e-04
6.3350e-01     3.3110e-03     4.4552e-04
6.3350e-01     3.3540e-03     4.5717e-04
6.3350e-01     3.3960e-03     4.6870e-04
6.3350e-01     3.4380e-03     4.8036e-04
6.3350e-01     3.4810e-03     4.9246e-04
6.3350e-01     3.5230e-03     5.0441e-04
6.3350e-01     3.5650e-03     5.1651e-04
6.3350e-01     3.6070e-03     5.2876e-04
6.3350e-01     3.6500e-03     5.4144e-04
6.3350e-01     3.6920e-03     5.5398e-04
6.3350e-01     3.7340e-03     5.6666e-04
6.3350e-01     3.7770e-03     5.7978e-04
6.3350e-01     3.8190e-03     5.9275e-04
6.3350e-01     3.8610e-03     6.0587e-04
6.3350e-01     3.9040e-03     6.1944e-04
6.3350e-01     3.9460e-03     6.3284e-04
6.3350e-01     3.9880e-03     6.4639e-04
6.3350e-01     4.0310e-03     6.6041e-04
6.3350e-01     4.0730e-03     6.7424e-04
6.3350e-01     4.1150e-03     6.8822e-04
6.3350e-01     4.1580e-03     7.0269e-04
6.3350e-01     4.2000e-03     7.1696e-04
7.1660e-01     1.0000e-05     3.7526e-09
7.1660e-01     5.2320e-05     1.0272e-07
7.1660e-01     9.4650e-05     3.3618e-07
7.1660e-01     1.3700e-04     7.0432e-07
7.1660e-01     1.7930e-04     1.2064e-06
7.1660e-01     2.2160e-04     1.8428e-06
7.1660e-01     2.6390e-04     2.6134e-06
7.1660e-01     3.0630e-04     3.5207e-06
7.1660e-01     3.4860e-04     4.5602e-06
7.1660e-01     3.9090e-04     5.7340e-06
7.1660e-01     4.3320e-04     7.0422e-06
7.1660e-01     4.7560e-04     8.4881e-06
7.1660e-01     5.1790e-04     1.0065e-05
7.1660e-01     5.6020e-04     1.1776e-05
7.1660e-01     6.0250e-04     1.3622e-05
7.1660e-01     6.4480e-04     1.5602e-05
7.1660e-01     6.8720e-04     1.7721e-05
7.1660e-01     7.2950e-04     1.9970e-05
7.1660e-01     7.7180e-04     2.2353e-05
7.1660e-01     8.1410e-04     2.4871e-05
7.1660e-01     8.5650e-04     2.7529e-05
7.1660e-01     8.9880e-04     3.0315e-05
7.1660e-01     9.4110e-04     3.3235e-05
7.1660e-01     9.8340e-04     3.6290e-05
7.1660e-01     1.0260e-03     3.9503e-05
7.1660e-01     1.0680e-03     4.2803e-05
7.1660e-01     1.1100e-03     4.6236e-05
7.1660e-01     1.1530e-03     4.9887e-05
7.1660e-01     1.1950e-03     5.3588e-05
7.1660e-01     1.2370e-03     5.7421e-05
7.1660e-01     1.2800e-03     6.1482e-05
7.1660e-01     1.3220e-03     6.5583e-05
7.1660e-01     1.3640e-03     6.9817e-05
7.1660e-01     1.4070e-03     7.4288e-05
7.1660e-01     1.4490e-03     7.8789e-05
7.1660e-01     1.4910e-03     8.3423e-05
7.1660e-01     1.5340e-03     8.8304e-05
7.1660e-01     1.5760e-03     9.3206e-05
7.1660e-01     1.6180e-03     9.8240e-05
7.1660e-01     1.6610e-03     1.0353e-04
7.1660e-01     1.7030e-03     1.0883e-04
7.1660e-01     1.7450e-03     1.1427e-04
7.1660e-01     1.7880e-03     1.1997e-04
7.1660e-01     1.8300e-03     1.2567e-04
7.1660e-01     1.8720e-03     1.3151e-04
7.1660e-01     1.9150e-03     1.3762e-04
7.1660e-01     1.9570e-03     1.4372e-04
7.1660e-01     1.9990e-03     1.4995e-04
7.1660e-01     2.0420e-03     1.5647e-04
7.1660e-01     2.0840e-03     1.6298e-04
7.1660e-01     2.1260e-03     1.6961e-04
7.1660e-01     2.1680e-03     1.7638e-04
