 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     8.8528e-08
5.6000e-01     5.2320e-05     2.4234e-06
5.6000e-01     9.4650e-05     7.9311e-06
5.6000e-01     1.3700e-04     1.6617e-05
5.6000e-01     1.7930e-04     2.8462e-05
5.6000e-01     2.2160e-04     4.3478e-05
5.6000e-01     2.6390e-04     6.1663e-05
5.6000e-01     3.0630e-04     8.3073e-05
5.6000e-01     3.4860e-04     1.0761e-04
5.6000e-01     3.9090e-04     1.3532e-04
5.6000e-01     4.3320e-04     1.6620e-04
5.6000e-01     4.7560e-04     2.0034e-04
5.6000e-01     5.1790e-04     2.3758e-04
5.6000e-01     5.6020e-04     2.7800e-04
5.6000e-01     6.0250e-04     3.2160e-04
5.6000e-01     6.4480e-04     3.6838e-04
5.6000e-01     6.8720e-04     4.1847e-04
5.6000e-01     7.2950e-04     4.7163e-04
5.6000e-01     7.7180e-04     5.2798e-04
5.6000e-01     8.1410e-04     5.8751e-04
5.6000e-01     8.5650e-04     6.5040e-04
5.6000e-01     8.9880e-04     7.1633e-04
5.6000e-01     9.4110e-04     7.8547e-04
5.6000e-01     9.8340e-04     8.5781e-04
5.6000e-01     1.0260e-03     9.3390e-04
5.6000e-01     1.0680e-03     1.0121e-03
5.6000e-01     1.1100e-03     1.0935e-03
5.6000e-01     1.1530e-03     1.1801e-03
5.6000e-01     1.1950e-03     1.2678e-03
5.6000e-01     1.2370e-03     1.3588e-03
5.6000e-01     1.2800e-03     1.4552e-03
5.6000e-01     1.3220e-03     1.5527e-03
5.6000e-01     1.3640e-03     1.6532e-03
5.6000e-01     1.4070e-03     1.7595e-03
5.6000e-01     1.4490e-03     1.8666e-03
5.6000e-01     1.4910e-03     1.9769e-03
5.6000e-01     1.5340e-03     2.0931e-03
5.6000e-01     1.5760e-03     2.2099e-03
5.6000e-01     1.6180e-03     2.3298e-03
5.6000e-01     1.6610e-03     2.4560e-03
5.6000e-01     1.7030e-03     2.5825e-03
5.6000e-01     1.7450e-03     2.7123e-03
5.6000e-01     1.7880e-03     2.8485e-03
5.6000e-01     1.8300e-03     2.9848e-03
5.6000e-01     1.8720e-03     3.1243e-03
5.6000e-01     1.9150e-03     3.2706e-03
5.6000e-01     1.9570e-03     3.4167e-03
5.6000e-01     1.9990e-03     3.5661e-03
5.6000e-01     2.0420e-03     3.7225e-03
5.6000e-01     2.0840e-03     3.8785e-03
5.6000e-01     2.1260e-03     4.0379e-03
5.6000e-01     2.1680e-03     4.2005e-03
5.6000e-01     2.2110e-03     4.3704e-03
5.6000e-01     2.2530e-03     4.5397e-03
5.6000e-01     2.2950e-03     4.7124e-03
5.6000e-01     2.3380e-03     4.8926e-03
5.6000e-01     2.3800e-03     5.0719e-03
5.6000e-01     2.4220e-03     5.2546e-03
5.6000e-01     2.4650e-03     5.4452e-03
5.6000e-01     2.5070e-03     5.6346e-03
5.6000e-01     2.5490e-03     5.8275e-03
5.6000e-01     2.5920e-03     6.0284e-03
5.6000e-01     2.6340e-03     6.2281e-03
5.6000e-01     2.6760e-03     6.4312e-03
5.6000e-01     2.7190e-03     6.6426e-03
5.6000e-01     2.7610e-03     6.8525e-03
5.6000e-01     2.8030e-03     7.0659e-03
5.6000e-01     2.8460e-03     7.2878e-03
5.6000e-01     2.8880e-03     7.5081e-03
5.6000e-01     2.9300e-03     7.7318e-03
5.6000e-01     2.9730e-03     7.9645e-03
5.6000e-01     3.0150e-03     8.1952e-03
5.6000e-01     3.0570e-03     8.4294e-03
5.6000e-01     3.1000e-03     8.6727e-03
5.6000e-01     3.1420e-03     8.9139e-03
5.6000e-01     3.1840e-03     9.1587e-03
5.6000e-01     3.2270e-03     9.4129e-03
5.6000e-01     3.2690e-03     9.6647e-03
5.6000e-01     3.3110e-03     9.9201e-03
5.6000e-01     3.3540e-03     1.0185e-02
5.6000e-01     3.3960e-03     1.0448e-02
5.6000e-01     3.4380e-03     1.0714e-02
5.6000e-01     3.4810e-03     1.0990e-02
5.6000e-01     3.5230e-03     1.1263e-02
5.6000e-01     3.5650e-03     1.1540e-02
5.6000e-01     3.6070e-03     1.1821e-02
5.6000e-01     3.6500e-03     1.2112e-02
5.6000e-01     3.6920e-03     1.2400e-02
5.6000e-01     3.7340e-03     1.2691e-02
5.6000e-01     3.7770e-03     1.2993e-02
5.6000e-01     3.8190e-03     1.3292e-02
5.6000e-01     3.8610e-03     1.3595e-02
5.6000e-01     3.9040e-03     1.3909e-02
5.6000e-01     3.9460e-03     1.4219e-02
5.6000e-01     3.9880e-03     1.4532e-02
5.6000e-01     4.0310e-03     1.4858e-02
5.6000e-01     4.0730e-03     1.5179e-02
5.6000e-01     4.1150e-03     1.5504e-02
5.6000e-01     4.1580e-03     1.5841e-02
5.6000e-01     4.2000e-03     1.6174e-02
6.3350e-01     1.0000e-05     5.8853e-08
6.3350e-01     5.2320e-05     1.6110e-06
6.3350e-01     9.4650e-05     5.2725e-06
6.3350e-01     1.3700e-04     1.1047e-05
6.3350e-01     1.7930e-04     1.8922e-05
6.3350e-01     2.2160e-04     2.8904e-05
6.3350e-01     2.6390e-04     4.0993e-05
6.3350e-01     3.0630e-04     5.5227e-05
