 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     1.3097e-07
5.6000e-01     5.2320e-05     3.5851e-06
5.6000e-01     9.4650e-05     1.1733e-05
5.6000e-01     1.3700e-04     2.4582e-05
5.6000e-01     1.7930e-04     4.2107e-05
5.6000e-01     2.2160e-04     6.4321e-05
5.6000e-01     2.6390e-04     9.1224e-05
5.6000e-01     3.0630e-04     1.2290e-04
5.6000e-01     3.4860e-04     1.5920e-04
5.6000e-01     3.9090e-04     2.0019e-04
5.6000e-01     4.3320e-04     2.4587e-04
5.6000e-01     4.7560e-04     2.9638e-04
5.6000e-01     5.1790e-04     3.5148e-04
5.6000e-01     5.6020e-04     4.1128e-04
5.6000e-01     6.0250e-04     4.7578e-04
5.6000e-01     6.4480e-04     5.4499e-04
5.6000e-01     6.8720e-04     6.1909e-04
5.6000e-01     7.2950e-04     6.9774e-04
5.6000e-01     7.7180e-04     7.8110e-04
5.6000e-01     8.1410e-04     8.6919e-04
5.6000e-01     8.5650e-04     9.6222e-04
5.6000e-01     8.9880e-04     1.0598e-03
5.6000e-01     9.4110e-04     1.1621e-03
5.6000e-01     9.8340e-04     1.2691e-03
5.6000e-01     1.0260e-03     1.3817e-03
5.6000e-01     1.0680e-03     1.4974e-03
5.6000e-01     1.1100e-03     1.6177e-03
5.6000e-01     1.1530e-03     1.7459e-03
5.6000e-01     1.1950e-03     1.8757e-03
5.6000e-01     1.2370e-03     2.0103e-03
5.6000e-01     1.2800e-03     2.1530e-03
5.6000e-01     1.3220e-03     2.2971e-03
5.6000e-01     1.3640e-03     2.4460e-03
5.6000e-01     1.4070e-03     2.6032e-03
5.6000e-01     1.4490e-03     2.7617e-03
5.6000e-01     1.4910e-03     2.9248e-03
5.6000e-01     1.5340e-03     3.0968e-03
5.6000e-01     1.5760e-03     3.2695e-03
5.6000e-01     1.6180e-03     3.4471e-03
5.6000e-01     1.6610e-03     3.6338e-03
5.6000e-01     1.7030e-03     3.8210e-03
5.6000e-01     1.7450e-03     4.0129e-03
5.6000e-01     1.7880e-03     4.2145e-03
5.6000e-01     1.8300e-03     4.4161e-03
5.6000e-01     1.8720e-03     4.6226e-03
5.6000e-01     1.9150e-03     4.8390e-03
5.6000e-01     1.9570e-03     5.0553e-03
5.6000e-01     1.9990e-03     5.2764e-03
5.6000e-01     2.0420e-03     5.5078e-03
5.6000e-01     2.0840e-03     5.7387e-03
5.6000e-01     2.1260e-03     5.9745e-03
5.6000e-01     2.1680e-03     6.2152e-03
5.6000e-01     2.2110e-03     6.4667e-03
5.6000e-01     2.2530e-03     6.7172e-03
5.6000e-01     2.2950e-03     6.9727e-03
5.6000e-01     2.3380e-03     7.2394e-03
5.6000e-01     2.3800e-03     7.5048e-03
5.6000e-01     2.4220e-03     7.7752e-03
5.6000e-01     2.4650e-03     8.0572e-03
5.6000e-01     2.5070e-03     8.3376e-03
5.6000e-01     2.5490e-03     8.6230e-03
5.6000e-01     2.5920e-03     8.9204e-03
5.6000e-01     2.6340e-03     9.2160e-03
5.6000e-01     2.6760e-03     9.5165e-03
5.6000e-01     2.7190e-03     9.8294e-03
5.6000e-01     2.7610e-03     1.0140e-02
5.6000e-01     2.8030e-03     1.0456e-02
5.6000e-01     2.8460e-03     1.0784e-02
5.6000e-01     2.8880e-03     1.1111e-02
5.6000e-01     2.9300e-03     1.1442e-02
5.6000e-01     2.9730e-03     1.1786e-02
5.6000e-01     3.0150e-03     1.2128e-02
5.6000e-01     3.0570e-03     1.2474e-02
5.6000e-01     3.1000e-03     1.2834e-02
5.6000e-01     3.1420e-03     1.3192e-02
5.6000e-01     3.1840e-03     1.3554e-02
5.6000e-01     3.2270e-03     1.3930e-02
5.6000e-01     3.2690e-03     1.4303e-02
5.6000e-01     3.3110e-03     1.4681e-02
5.6000e-01     3.3540e-03     1.5074e-02
5.6000e-01     3.3960e-03     1.5462e-02
5.6000e-01     3.4380e-03     1.5856e-02
5.6000e-01     3.4810e-03     1.6265e-02
5.6000e-01     3.5230e-03     1.6670e-02
5.6000e-01     3.5650e-03     1.7080e-02
5.6000e-01     3.6070e-03     1.7495e-02
5.6000e-01     3.6500e-03     1.7926e-02
5.6000e-01     3.6920e-03     1.8352e-02
5.6000e-01     3.7340e-03     1.8784e-02
5.6000e-01     3.7770e-03     1.9231e-02
5.6000e-01     3.8190e-03     1.9674e-02
5.6000e-01     3.8610e-03     2.0122e-02
5.6000e-01     3.9040e-03     2.0587e-02
