 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     5.9180e-08
5.6000e-01     5.2320e-05     1.6200e-06
5.6000e-01     9.4650e-05     5.3017e-06
5.6000e-01     1.3700e-04     1.1108e-05
5.6000e-01     1.7930e-04     1.9025e-05
5.6000e-01     2.2160e-04     2.9061e-05
5.6000e-01     2.6390e-04     4.1215e-05
5.6000e-01     3.0630e-04     5.5523e-05
5.6000e-01     3.4860e-04     7.1917e-05
5.6000e-01     3.9090e-04     9.0429e-05
5.6000e-01     4.3320e-04     1.1106e-04
5.6000e-01     4.7560e-04     1.3386e-04
5.6000e-01     5.1790e-04     1.5873e-04
5.6000e-01     5.6020e-04     1.8572e-04
5.6000e-01     6.0250e-04     2.1483e-04
5.6000e-01     6.4480e-04     2.4605e-04
5.6000e-01     6.8720e-04     2.7948e-04
5.6000e-01     7.2950e-04     3.1494e-04
5.6000e-01     7.7180e-04     3.5252e-04
5.6000e-01     8.1410e-04     3.9222e-04
5.6000e-01     8.5650e-04     4.3414e-04
5.6000e-01     8.9880e-04     4.7808e-04
5.6000e-01     9.4110e-04     5.2414e-04
5.6000e-01     9.8340e-04     5.7232e-04
5.6000e-01     1.0260e-03     6.2298e-04
5.6000e-01     1.0680e-03     6.7503e-04
5.6000e-01     1.1100e-03     7.2917e-04
5.6000e-01     1.1530e-03     7.8676e-04
5.6000e-01     1.1950e-03     8.4512e-04
5.6000e-01     1.2370e-03     9.0557e-04
5.6000e-01     1.2800e-03     9.6962e-04
5.6000e-01     1.3220e-03     1.0343e-03
5.6000e-01     1.3640e-03     1.1011e-03
5.6000e-01     1.4070e-03     1.1716e-03
5.6000e-01     1.4490e-03     1.2426e-03
5.6000e-01     1.4910e-03     1.3157e-03
5.6000e-01     1.5340e-03     1.3926e-03
5.6000e-01     1.5760e-03     1.4699e-03
5.6000e-01     1.6180e-03     1.5493e-03
5.6000e-01     1.6610e-03     1.6328e-03
5.6000e-01     1.7030e-03     1.7164e-03
5.6000e-01     1.7450e-03     1.8021e-03
5.6000e-01     1.7880e-03     1.8920e-03
5.6000e-01     1.8300e-03     1.9820e-03
5.6000e-01     1.8720e-03     2.0740e-03
5.6000e-01     1.9150e-03     2.1704e-03
5.6000e-01     1.9570e-03     2.2666e-03
5.6000e-01     1.9990e-03     2.3649e-03
5.6000e-01     2.0420e-03     2.4678e-03
5.6000e-01     2.0840e-03     2.5704e-03
5.6000e-01     2.1260e-03     2.6750e-03
5.6000e-01     2.1680e-03     2.7818e-03
5.6000e-01     2.2110e-03     2.8932e-03
5.6000e-01     2.2530e-03     3.0042e-03
5.6000e-01     2.2950e-03     3.1172e-03
5.6000e-01     2.3380e-03     3.2352e-03
5.6000e-01     2.3800e-03     3.3524e-03
5.6000e-01     2.4220e-03     3.4718e-03
5.6000e-01     2.4650e-03     3.5962e-03
5.6000e-01     2.5070e-03     3.7198e-03
5.6000e-01     2.5490e-03     3.8455e-03
5.6000e-01     2.5920e-03     3.9764e-03
5.6000e-01     2.6340e-03     4.1063e-03
5.6000e-01     2.6760e-03     4.2383e-03
5.6000e-01     2.7190e-03     4.3756e-03
5.6000e-01     2.7610e-03     4.5119e-03
5.6000e-01     2.8030e-03     4.6502e-03
5.6000e-01     2.8460e-03     4.7940e-03
5.6000e-01     2.8880e-03     4.9366e-03
5.6000e-01     2.9300e-03     5.0812e-03
5.6000e-01     2.9730e-03     5.2315e-03
5.6000e-01     3.0150e-03     5.3804e-03
5.6000e-01     3.0570e-03     5.5313e-03
5.6000e-01     3.1000e-03     5.6881e-03
