 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     3.7677e-07
5.6000e-01     5.2320e-05     1.0314e-05
5.6000e-01     9.4650e-05     3.3754e-05
5.6000e-01     1.3700e-04     7.0717e-05
5.6000e-01     1.7930e-04     1.2113e-04
5.6000e-01     2.2160e-04     1.8503e-04
5.6000e-01     2.6390e-04     2.6242e-04
5.6000e-01     3.0630e-04     3.5352e-04
5.6000e-01     3.4860e-04     4.5792e-04
5.6000e-01     3.9090e-04     5.7582e-04
5.6000e-01     4.3320e-04     7.0722e-04
5.6000e-01     4.7560e-04     8.5247e-04
5.6000e-01     5.1790e-04     1.0109e-03
5.6000e-01     5.6020e-04     1.1829e-03
5.6000e-01     6.0250e-04     1.3683e-03
5.6000e-01     6.4480e-04     1.5673e-03
5.6000e-01     6.8720e-04     1.7803e-03
5.6000e-01     7.2950e-04     2.0064e-03
5.6000e-01     7.7180e-04     2.2460e-03
5.6000e-01     8.1410e-04     2.4991e-03
5.6000e-01     8.5650e-04     2.7665e-03
5.6000e-01     8.9880e-04     3.0468e-03
5.6000e-01     9.4110e-04     3.3406e-03
5.6000e-01     9.8340e-04     3.6481e-03
5.6000e-01     1.0260e-03     3.9714e-03
5.6000e-01     1.0680e-03     4.3037e-03
5.6000e-01     1.1100e-03     4.6494e-03
5.6000e-01     1.1530e-03     5.0172e-03
5.6000e-01     1.1950e-03     5.3900e-03
5.6000e-01     1.2370e-03     5.7763e-03
5.6000e-01     1.2800e-03     6.1857e-03
5.6000e-01     1.3220e-03     6.5992e-03
5.6000e-01     1.3640e-03     7.0262e-03
5.6000e-01     1.4070e-03     7.4773e-03
5.6000e-01     1.4490e-03     7.9315e-03
5.6000e-01     1.4910e-03     8.3993e-03
5.6000e-01     1.5340e-03     8.8922e-03
5.6000e-01     1.5760e-03     9.3874e-03
5.6000e-01     1.6180e-03     9.8960e-03
5.6000e-01     1.6610e-03     1.0431e-02
5.6000e-01     1.7030e-03     1.0967e-02
5.6000e-01     1.7450e-03     1.1517e-02
5.6000e-01     1.7880e-03     1.2094e-02
5.6000e-01     1.8300e-03     1.2671e-02
5.6000e-01     1.8720e-03     1.3262e-02
5.6000e-01     1.9150e-03     1.3881e-02
5.6000e-01     1.9570e-03     1.4499e-02
5.6000e-01     1.9990e-03     1.5132e-02
5.6000e-01     2.0420e-03     1.5793e-02
5.6000e-01     2.0840e-03     1.6453e-02
5.6000e-01     2.1260e-03     1.7127e-02
5.6000e-01     2.1680e-03     1.7814e-02
5.6000e-01     2.2110e-03     1.8532e-02
5.6000e-01     2.2530e-03     1.9247e-02
5.6000e-01     2.2950e-03     1.9976e-02
5.6000e-01     2.3380e-03     2.0737e-02
5.6000e-01     2.3800e-03     2.1494e-02
5.6000e-01     2.4220e-03     2.2265e-02
5.6000e-01     2.4650e-03     2.3069e-02
5.6000e-01     2.5070e-03     2.3868e-02
5.6000e-01     2.5490e-03     2.4681e-02
5.6000e-01     2.5920e-03     2.5528e-02
5.6000e-01     2.6340e-03     2.6369e-02
5.6000e-01     2.6760e-03     2.7224e-02
5.6000e-01     2.7190e-03     2.8114e-02
5.6000e-01     2.7610e-03     2.8998e-02
5.6000e-01     2.8030e-03     2.9896e-02
5.6000e-01     2.8460e-03     3.0829e-02
5.6000e-01     2.8880e-03     3.1756e-02
5.6000e-01     2.9300e-03     3.2696e-02
5.6000e-01     2.9730e-03     3.3673e-02
5.6000e-01     3.0150e-03     3.4642e-02
5.6000e-01     3.0570e-03     3.5626e-02
5.6000e-01     3.1000e-03     3.6647e-02
5.6000e-01     3.1420e-03     3.7659e-02
5.6000e-01     3.1840e-03     3.8686e-02
5.6000e-01     3.2270e-03     3.9751e-02
5.6000e-01     3.2690e-03     4.0807e-02
5.6000e-01     3.3110e-03     4.1876e-02
5.6000e-01     3.3540e-03     4.2987e-02
5.6000e-01     3.3960e-03     4.4086e-02
5.6000e-01     3.4380e-03     4.5199e-02
5.6000e-01     3.4810e-03     4.6354e-02
5.6000e-01     3.5230e-03     4.7497e-02
5.6000e-01     3.5650e-03     4.8654e-02
5.6000e-01     3.6070e-03     4.9826e-02
5.6000e-01     3.6500e-03     5.1041e-02
5.6000e-01     3.6920e-03     5.2243e-02
5.6000e-01     3.7340e-03     5.3459e-02
5.6000e-01     3.7770e-03     5.4719e-02
5.6000e-01     3.8190e-03     5.5965e-02
5.6000e-01     3.8610e-03     5.7226e-02
5.6000e-01     3.9040e-03     5.8532e-02
5.6000e-01     3.9460e-03     5.9823e-02
5.6000e-01     3.9880e-03     6.1129e-02
5.6000e-01     4.0310e-03     6.2481e-02
5.6000e-01     4.0730e-03     6.3817e-02
5.6000e-01     4.1150e-03     6.5168e-02
