 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     3.7209e-10
1.0000e-04     1.0630e-05     4.2045e-10
1.0000e-04     1.1300e-05     4.7513e-10
1.0000e-04     1.2010e-05     5.3671e-10
1.0000e-04     1.2760e-05     6.0583e-10
1.0000e-04     1.3570e-05     6.8519e-10
1.0000e-04     1.4420e-05     7.7371e-10
1.0000e-04     1.5330e-05     8.7444e-10
1.0000e-04     1.6290e-05     9.8738e-10
1.0000e-04     1.7320e-05     1.1162e-09
1.0000e-04     1.8410e-05     1.2611e-09
1.0000e-04     1.9560e-05     1.4236e-09
1.0000e-04     2.0800e-05     1.6098e-09
1.0000e-04     2.2100e-05     1.8173e-09
1.0000e-04     2.3490e-05     2.0530e-09
1.0000e-04     2.4970e-05     2.3199e-09
1.0000e-04     2.6540e-05     2.6207e-09
1.0000e-04     2.8210e-05     2.9609e-09
1.0000e-04     2.9990e-05     3.3463e-09
1.0000e-04     3.1880e-05     3.7813e-09
1.0000e-04     3.3880e-05     4.2705e-09
1.0000e-04     3.6010e-05     4.8243e-09
1.0000e-04     3.8280e-05     5.4515e-09
1.0000e-04     4.0690e-05     6.1594e-09
1.0000e-04     4.3250e-05     6.9586e-09
1.0000e-04     4.5970e-05     7.8612e-09
1.0000e-04     4.8860e-05     8.8803e-09
1.0000e-04     5.1930e-05     1.0031e-08
1.0000e-04     5.5200e-05     1.1333e-08
1.0000e-04     5.8670e-05     1.2802e-08
1.0000e-04     6.2360e-05     1.4463e-08
1.0000e-04     6.6290e-05     1.6342e-08
1.0000e-04     7.0460e-05     1.8461e-08
1.0000e-04     7.4890e-05     2.0854e-08
1.0000e-04     7.9600e-05     2.3557e-08
1.0000e-04     8.4610e-05     2.6613e-08
1.0000e-04     8.9930e-05     3.0061e-08
1.0000e-04     9.5590e-05     3.3959e-08
1.0000e-04     1.0160e-04     3.8357e-08
1.0000e-04     1.0800e-04     4.3334e-08
1.0000e-04     1.1480e-04     4.8953e-08
