 Element: Kr
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    14
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     3.7210e-06
1.1310e-04     1.0000e-03     3.7156e-06
1.2800e-04     1.0000e-03     3.7095e-06
1.4480e-04     1.0000e-03     3.7027e-06
1.6380e-04     1.0000e-03     3.6950e-06
1.8520e-04     1.0000e-03     3.6864e-06
2.0950e-04     1.0000e-03     3.6768e-06
2.3700e-04     1.0000e-03     3.6660e-06
2.6810e-04     1.0000e-03     3.6539e-06
3.0330e-04     1.0000e-03     3.6404e-06
3.4310e-04     1.0000e-03     3.6254e-06
3.8820e-04     1.0000e-03     3.6087e-06
4.3910e-04     1.0000e-03     3.5902e-06
4.9670e-04     1.0000e-03     3.5697e-06
5.6190e-04     1.0000e-03     3.5471e-06
6.3560e-04     1.0000e-03     3.5222e-06
7.1900e-04     1.0000e-03     3.4948e-06
8.1340e-04     1.0000e-03     3.4649e-06
9.2010e-04     1.0000e-03     3.4323e-06
1.0410e-03     1.0000e-03     3.3969e-06
1.1770e-03     1.0000e-03     3.3589e-06
1.3320e-03     1.0000e-03     3.3178e-06
1.5070e-03     1.0000e-03     3.2740e-06
1.7040e-03     1.0000e-03     3.2276e-06
1.9280e-03     1.0000e-03     3.1785e-06
2.1810e-03     1.0000e-03     3.1271e-06
2.4670e-03     1.0000e-03     3.0737e-06
2.7910e-03     1.0000e-03     3.0186e-06
3.1570e-03     1.0000e-03     2.9622e-06
3.5710e-03     1.0000e-03     2.9049e-06
4.0400e-03     1.0000e-03     2.8473e-06
4.5700e-03     1.0000e-03     2.7900e-06
5.1700e-03     1.0000e-03     2.7335e-06
5.8480e-03     1.0000e-03     2.6783e-06
6.6150e-03     1.0000e-03     2.6251e-06
7.4830e-03     1.0000e-03     2.5742e-06
8.4650e-03     1.0000e-03     2.5262e-06
9.5760e-03     1.0000e-03     2.4815e-06
1.0830e-02     1.0000e-03     2.4405e-06
1.2250e-02     1.0000e-03     2.4032e-06
1.3860e-02     1.0000e-03     2.3699e-06
1.5680e-02     1.0000e-03     2.3408e-06
1.7740e-02     1.0000e-03     2.3158e-06
2.0070e-02     1.0000e-03     2.2949e-06
2.2700e-02     1.0000e-03     2.2781e-06
2.5680e-02     1.0000e-03     2.2650e-06
2.9050e-02     1.0000e-03     2.2555e-06
3.2860e-02     1.0000e-03     2.2494e-06
3.7170e-02     1.0000e-03     2.2462e-06
4.2050e-02     1.0000e-03     2.2458e-06
4.7570e-02     1.0000e-03     2.2477e-06
5.3810e-02     1.0000e-03     2.2514e-06
6.0870e-02     1.0000e-03     2.2567e-06
6.8850e-02     1.0000e-03     2.2632e-06
7.7890e-02     1.0000e-03     2.2704e-06
8.8110e-02     1.0000e-03     2.2779e-06
9.9670e-02     1.0000e-03     2.2855e-06
1.1270e-01     1.0000e-03     2.2927e-06
1.2750e-01     1.0000e-03     2.2992e-06
1.4430e-01     1.0000e-03     2.3047e-06
1.6320e-01     1.0000e-03     2.3090e-06
1.8460e-01     1.0000e-03     2.3110e-06
2.0890e-01     1.0000e-03     2.3114e-06
2.3630e-01     1.0000e-03     2.3097e-06
2.6730e-01     1.0000e-03     2.3050e-06
3.0230e-01     1.0000e-03     2.2973e-06
3.4200e-01     1.0000e-03     2.2876e-06
3.8690e-01     1.0000e-03     2.2732e-06
4.3760e-01     1.0000e-03     2.2555e-06
4.9510e-01     1.0000e-03     2.2346e-06
5.6000e-01     1.0000e-03     2.2086e-06
6.3350e-01     1.0000e-03     2.1791e-06
7.1660e-01     1.0000e-03     2.1441e-06
8.1070e-01     1.0000e-03     2.1025e-06
9.1700e-01     1.0000e-03     2.0582e-06
1.0370e+00     1.0000e-03     2.0066e-06
1.1730e+00     1.0000e-03     1.9498e-06
1.3270e+00     1.0000e-03     1.8860e-06
1.5020e+00     1.0000e-03     1.8183e-06
1.6990e+00     1.0000e-03     1.7428e-06
1.9220e+00     1.0000e-03     1.6608e-06
2.1740e+00     1.0000e-03     1.5749e-06
2.4590e+00     1.0000e-03     1.4794e-06
2.7820e+00     1.0000e-03     1.3824e-06
3.1470e+00     1.0000e-03     1.2834e-06
3.5600e+00     1.0000e-03     1.1784e-06
4.0270e+00     1.0000e-03     1.0745e-06
4.5550e+00     1.0000e-03     9.6750e-07
5.1530e+00     1.0000e-03     8.6243e-07
5.8290e+00     1.0000e-03     7.6395e-07
6.5940e+00     1.0000e-03     6.6150e-07
7.4590e+00     1.0000e-03     5.7105e-07
8.4370e+00     1.0000e-03     4.8426e-07
9.5450e+00     1.0000e-03     4.0282e-07
1.0800e+01     1.0000e-03     3.3232e-07
1.2210e+01     1.0000e-03     2.7085e-07
1.3820e+01     1.0000e-03     2.1586e-07
1.5630e+01     1.0000e-03     1.6866e-07
1.7680e+01     1.0000e-03     1.3067e-07
2.0000e+01     1.0000e-03     9.8585e-08
