 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     2.4619e-08
1.0000e-04     1.0630e-05     2.7819e-08
1.0000e-04     1.1300e-05     3.1436e-08
1.0000e-04     1.2010e-05     3.5510e-08
1.0000e-04     1.2760e-05     4.0084e-08
1.0000e-04     1.3570e-05     4.5334e-08
1.0000e-04     1.4420e-05     5.1191e-08
1.0000e-04     1.5330e-05     5.7856e-08
1.0000e-04     1.6290e-05     6.5328e-08
1.0000e-04     1.7320e-05     7.3850e-08
1.0000e-04     1.8410e-05     8.3438e-08
1.0000e-04     1.9560e-05     9.4187e-08
1.0000e-04     2.0800e-05     1.0651e-07
1.0000e-04     2.2100e-05     1.2024e-07
1.0000e-04     2.3490e-05     1.3583e-07
1.0000e-04     2.4970e-05     1.5349e-07
1.0000e-04     2.6540e-05     1.7339e-07
1.0000e-04     2.8210e-05     1.9590e-07
1.0000e-04     2.9990e-05     2.2140e-07
1.0000e-04     3.1880e-05     2.5018e-07
1.0000e-04     3.3880e-05     2.8255e-07
1.0000e-04     3.6010e-05     3.1919e-07
1.0000e-04     3.8280e-05     3.6069e-07
1.0000e-04     4.0690e-05     4.0753e-07
1.0000e-04     4.3250e-05     4.6041e-07
1.0000e-04     4.5970e-05     5.2012e-07
1.0000e-04     4.8860e-05     5.8755e-07
1.0000e-04     5.1930e-05     6.6368e-07
1.0000e-04     5.5200e-05     7.4986e-07
1.0000e-04     5.8670e-05     8.4706e-07
1.0000e-04     6.2360e-05     9.5690e-07
1.0000e-04     6.6290e-05     1.0812e-06
1.0000e-04     7.0460e-05     1.2215e-06
1.0000e-04     7.4890e-05     1.3798e-06
1.0000e-04     7.9600e-05     1.5586e-06
1.0000e-04     8.4610e-05     1.7608e-06
1.0000e-04     8.9930e-05     1.9890e-06
1.0000e-04     9.5590e-05     2.2469e-06
1.0000e-04     1.0160e-04     2.5379e-06
1.0000e-04     1.0800e-04     2.8673e-06
1.0000e-04     1.1480e-04     3.2391e-06
1.0000e-04     1.2200e-04     3.6573e-06
1.0000e-04     1.2970e-04     4.1325e-06
1.0000e-04     1.3780e-04     4.6635e-06
1.0000e-04     1.4650e-04     5.2692e-06
1.0000e-04     1.5570e-04     5.9497e-06
1.0000e-04     1.6550e-04     6.7195e-06
1.0000e-04     1.7590e-04     7.5870e-06
1.0000e-04     1.8700e-04     8.5703e-06
1.0000e-04     1.9880e-04     9.6804e-06
1.0000e-04     2.1130e-04     1.0929e-05
1.0000e-04     2.2460e-04     1.2339e-05
1.0000e-04     2.3870e-04     1.3925e-05
1.0000e-04     2.5370e-04     1.5715e-05
1.0000e-04     2.6970e-04     1.7740e-05
1.0000e-04     2.8670e-04     2.0023e-05
1.0000e-04     3.0470e-04     2.2585e-05
1.0000e-04     3.2390e-04     2.5481e-05
1.0000e-04     3.4420e-04     2.8725e-05
1.0000e-04     3.6590e-04     3.2396e-05
1.0000e-04     3.8890e-04     3.6515e-05
1.0000e-04     4.1340e-04     4.1157e-05
1.0000e-04     4.3940e-04     4.6363e-05
1.0000e-04     4.6700e-04     5.2202e-05
1.0000e-04     4.9640e-04     5.8766e-05
1.0000e-04     5.2760e-04     6.6113e-05
1.0000e-04     5.6080e-04     7.4348e-05
1.0000e-04     5.9610e-04     8.3560e-05
