 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     5.7769e-08
1.0000e-04     1.0630e-05     6.5278e-08
1.0000e-04     1.1300e-05     7.3765e-08
1.0000e-04     1.2010e-05     8.3326e-08
1.0000e-04     1.2760e-05     9.4058e-08
1.0000e-04     1.3570e-05     1.0638e-07
1.0000e-04     1.4420e-05     1.2012e-07
1.0000e-04     1.5330e-05     1.3576e-07
1.0000e-04     1.6290e-05     1.5330e-07
1.0000e-04     1.7320e-05     1.7329e-07
1.0000e-04     1.8410e-05     1.9579e-07
1.0000e-04     1.9560e-05     2.2101e-07
1.0000e-04     2.0800e-05     2.4992e-07
1.0000e-04     2.2100e-05     2.8214e-07
1.0000e-04     2.3490e-05     3.1874e-07
1.0000e-04     2.4970e-05     3.6017e-07
1.0000e-04     2.6540e-05     4.0688e-07
1.0000e-04     2.8210e-05     4.5969e-07
1.0000e-04     2.9990e-05     5.1952e-07
1.0000e-04     3.1880e-05     5.8706e-07
1.0000e-04     3.3880e-05     6.6302e-07
1.0000e-04     3.6010e-05     7.4899e-07
1.0000e-04     3.8280e-05     8.4638e-07
1.0000e-04     4.0690e-05     9.5628e-07
1.0000e-04     4.3250e-05     1.0804e-06
1.0000e-04     4.5970e-05     1.2205e-06
1.0000e-04     4.8860e-05     1.3787e-06
1.0000e-04     5.1930e-05     1.5573e-06
1.0000e-04     5.5200e-05     1.7596e-06
1.0000e-04     5.8670e-05     1.9876e-06
1.0000e-04     6.2360e-05     2.2454e-06
1.0000e-04     6.6290e-05     2.5372e-06
1.0000e-04     7.0460e-05     2.8662e-06
1.0000e-04     7.4890e-05     3.2377e-06
1.0000e-04     7.9600e-05     3.6574e-06
1.0000e-04     8.4610e-05     4.1318e-06
1.0000e-04     8.9930e-05     4.6671e-06
1.0000e-04     9.5590e-05     5.2724e-06
1.0000e-04     1.0160e-04     5.9553e-06
1.0000e-04     1.0800e-04     6.7280e-06
1.0000e-04     1.1480e-04     7.6004e-06
1.0000e-04     1.2200e-04     8.5817e-06
1.0000e-04     1.2970e-04     9.6967e-06
1.0000e-04     1.3780e-04     1.0943e-05
1.0000e-04     1.4650e-04     1.2364e-05
1.0000e-04     1.5570e-04     1.3960e-05
1.0000e-04     1.6550e-04     1.5766e-05
1.0000e-04     1.7590e-04     1.7802e-05
1.0000e-04     1.8700e-04     2.0109e-05
1.0000e-04     1.9880e-04     2.2713e-05
1.0000e-04     2.1130e-04     2.5642e-05
1.0000e-04     2.2460e-04     2.8949e-05
1.0000e-04     2.3870e-04     3.2670e-05
1.0000e-04     2.5370e-04     3.6869e-05
1.0000e-04     2.6970e-04     4.1621e-05
1.0000e-04     2.8670e-04     4.6974e-05
1.0000e-04     3.0470e-04     5.2984e-05
1.0000e-04     3.2390e-04     5.9776e-05
1.0000e-04     3.4420e-04     6.7384e-05
1.0000e-04     3.6590e-04     7.5994e-05
1.0000e-04     3.8890e-04     8.5652e-05
1.0000e-04     4.1340e-04     9.6533e-05
1.0000e-04     4.3940e-04     1.0874e-04
1.0000e-04     4.6700e-04     1.2243e-04
1.0000e-04     4.9640e-04     1.3781e-04
1.0000e-04     5.2760e-04     1.5503e-04
1.0000e-04     5.6080e-04     1.7432e-04
1.0000e-04     5.9610e-04     1.9590e-04
1.0000e-04     6.3360e-04     2.1998e-04
1.0000e-04     6.7350e-04     2.4686e-04
1.0000e-04     7.1590e-04     2.7677e-04
1.0000e-04     7.6090e-04     3.0994e-04
1.0000e-04     8.0880e-04     3.4674e-04
1.0000e-04     8.5960e-04     3.8732e-04
1.0000e-04     9.1370e-04     4.3212e-04
