 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     8.5731e-07
1.0000e-04     5.2320e-05     2.3460e-05
1.0000e-04     9.4650e-05     7.6715e-05
1.0000e-04     1.3700e-04     1.6052e-04
1.0000e-04     1.7930e-04     2.7447e-04
1.0000e-04     2.2160e-04     4.1834e-04
1.0000e-04     2.6390e-04     5.9173e-04
1.0000e-04     3.0630e-04     7.9466e-04
1.0000e-04     3.4860e-04     1.0256e-03
1.0000e-04     3.9090e-04     1.2844e-03
1.0000e-04     4.3320e-04     1.5704e-03
1.0000e-04     4.7560e-04     1.8835e-03
1.0000e-04     5.1790e-04     2.2213e-03
1.0000e-04     5.6020e-04     2.5838e-03
1.0000e-04     6.0250e-04     2.9698e-03
1.0000e-04     6.4480e-04     3.3784e-03
1.0000e-04     6.8720e-04     3.8095e-03
1.0000e-04     7.2950e-04     4.2599e-03
1.0000e-04     7.7180e-04     4.7293e-03
1.0000e-04     8.1410e-04     5.2166e-03
1.0000e-04     8.5650e-04     5.7217e-03
1.0000e-04     8.9880e-04     6.2408e-03
1.0000e-04     9.4110e-04     6.7737e-03
1.0000e-04     9.8340e-04     7.3192e-03
1.0000e-04     1.0260e-03     7.8796e-03
1.0000e-04     1.0680e-03     8.4417e-03
1.0000e-04     1.1100e-03     9.0118e-03
1.0000e-04     1.1530e-03     9.6024e-03
1.0000e-04     1.1950e-03     1.0184e-02
1.0000e-04     1.2370e-03     1.0770e-02
1.0000e-04     1.2800e-03     1.1372e-02
1.0000e-04     1.3220e-03     1.1961e-02
1.0000e-04     1.3640e-03     1.2549e-02
1.0000e-04     1.4070e-03     1.3149e-02
1.0000e-04     1.4490e-03     1.3732e-02
1.0000e-04     1.4910e-03     1.4310e-02
1.0000e-04     1.5340e-03     1.4896e-02
1.0000e-04     1.5760e-03     1.5460e-02
1.0000e-04     1.6180e-03     1.6015e-02
1.0000e-04     1.6610e-03     1.6574e-02
1.0000e-04     1.7030e-03     1.7108e-02
1.0000e-04     1.7450e-03     1.7629e-02
1.0000e-04     1.7880e-03     1.8149e-02
1.0000e-04     1.8300e-03     1.8643e-02
1.0000e-04     1.8720e-03     1.9121e-02
1.0000e-04     1.9150e-03     1.9593e-02
1.0000e-04     1.9570e-03     2.0036e-02
1.0000e-04     1.9990e-03     2.0461e-02
1.0000e-04     2.0420e-03     2.0877e-02
1.0000e-04     2.0840e-03     2.1263e-02
1.0000e-04     2.1260e-03     2.1628e-02
1.0000e-04     2.1680e-03     2.1973e-02
1.0000e-04     2.2110e-03     2.2303e-02
1.0000e-04     2.2530e-03     2.2603e-02
1.0000e-04     2.2950e-03     2.2880e-02
1.0000e-04     2.3380e-03     2.3141e-02
1.0000e-04     2.3800e-03     2.3372e-02
1.0000e-04     2.4220e-03     2.3579e-02
1.0000e-04     2.4650e-03     2.3767e-02
1.0000e-04     2.5070e-03     2.3926e-02
1.0000e-04     2.5490e-03     2.4062e-02
1.0000e-04     2.5920e-03     2.4177e-02
1.0000e-04     2.6340e-03     2.4264e-02
1.0000e-04     2.6760e-03     2.4329e-02
1.0000e-04     2.7190e-03     2.4370e-02
1.0000e-04     2.7610e-03     2.4387e-02
1.0000e-04     2.8030e-03     2.4382e-02
1.0000e-04     2.8460e-03     2.4352e-02
1.0000e-04     2.8880e-03     2.4301e-02
1.0000e-04     2.9300e-03     2.4229e-02
1.0000e-04     2.9730e-03     2.4132e-02
1.0000e-04     3.0150e-03     2.4017e-02
1.0000e-04     3.0570e-03     2.3882e-02
1.0000e-04     3.1000e-03     2.3723e-02
1.0000e-04     3.1420e-03     2.3549e-02
1.0000e-04     3.1840e-03     2.3356e-02
1.0000e-04     3.2270e-03     2.3140e-02
1.0000e-04     3.2690e-03     2.2913e-02
1.0000e-04     3.3110e-03     2.2669e-02
1.0000e-04     3.3540e-03     2.2403e-02
1.0000e-04     3.3960e-03     2.2128e-02
1.0000e-04     3.4380e-03     2.1840e-02
1.0000e-04     3.4810e-03     2.1531e-02
1.0000e-04     3.5230e-03     2.1217e-02
1.0000e-04     3.5650e-03     2.0891e-02
1.0000e-04     3.6070e-03     2.0555e-02
1.0000e-04     3.6500e-03     2.0200e-02
1.0000e-04     3.6920e-03     1.9845e-02
1.0000e-04     3.7340e-03     1.9481e-02
1.0000e-04     3.7770e-03     1.9100e-02
1.0000e-04     3.8190e-03     1.8722e-02
