 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     8.5731e-07
1.0000e-04     1.0630e-05     9.6873e-07
1.0000e-04     1.1300e-05     1.0947e-06
1.0000e-04     1.2010e-05     1.2366e-06
1.0000e-04     1.2760e-05     1.3958e-06
1.0000e-04     1.3570e-05     1.5787e-06
1.0000e-04     1.4420e-05     1.7826e-06
1.0000e-04     1.5330e-05     2.0147e-06
1.0000e-04     1.6290e-05     2.2749e-06
1.0000e-04     1.7320e-05     2.5717e-06
1.0000e-04     1.8410e-05     2.9056e-06
1.0000e-04     1.9560e-05     3.2799e-06
1.0000e-04     2.0800e-05     3.7089e-06
1.0000e-04     2.2100e-05     4.1870e-06
1.0000e-04     2.3490e-05     4.7302e-06
1.0000e-04     2.4970e-05     5.3450e-06
1.0000e-04     2.6540e-05     6.0382e-06
1.0000e-04     2.8210e-05     6.8219e-06
1.0000e-04     2.9990e-05     7.7098e-06
1.0000e-04     3.1880e-05     8.7121e-06
1.0000e-04     3.3880e-05     9.8393e-06
1.0000e-04     3.6010e-05     1.1115e-05
1.0000e-04     3.8280e-05     1.2560e-05
1.0000e-04     4.0690e-05     1.4191e-05
1.0000e-04     4.3250e-05     1.6033e-05
1.0000e-04     4.5970e-05     1.8112e-05
1.0000e-04     4.8860e-05     2.0460e-05
1.0000e-04     5.1930e-05     2.3111e-05
1.0000e-04     5.5200e-05     2.6113e-05
1.0000e-04     5.8670e-05     2.9497e-05
1.0000e-04     6.2360e-05     3.3322e-05
1.0000e-04     6.6290e-05     3.7652e-05
1.0000e-04     7.0460e-05     4.2535e-05
1.0000e-04     7.4890e-05     4.8048e-05
1.0000e-04     7.9600e-05     5.4277e-05
1.0000e-04     8.4610e-05     6.1318e-05
1.0000e-04     8.9930e-05     6.9263e-05
1.0000e-04     9.5590e-05     7.8245e-05
1.0000e-04     1.0160e-04     8.8380e-05
1.0000e-04     1.0800e-04     9.9847e-05
1.0000e-04     1.1480e-04     1.1279e-04
1.0000e-04     1.2200e-04     1.2736e-04
1.0000e-04     1.2970e-04     1.4391e-04
1.0000e-04     1.3780e-04     1.6240e-04
1.0000e-04     1.4650e-04     1.8349e-04
1.0000e-04     1.5570e-04     2.0719e-04
1.0000e-04     1.6550e-04     2.3399e-04
1.0000e-04     1.7590e-04     2.6421e-04
1.0000e-04     1.8700e-04     2.9845e-04
1.0000e-04     1.9880e-04     3.3710e-04
1.0000e-04     2.1130e-04     3.8058e-04
