 Element: Kr
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    24
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     8.5732e-03
1.1310e-04     1.0000e-03     8.5634e-03
1.2800e-04     1.0000e-03     8.5523e-03
1.4480e-04     1.0000e-03     8.5399e-03
1.6380e-04     1.0000e-03     8.5259e-03
1.8520e-04     1.0000e-03     8.5104e-03
2.0950e-04     1.0000e-03     8.4929e-03
2.3700e-04     1.0000e-03     8.4733e-03
2.6810e-04     1.0000e-03     8.4515e-03
3.0330e-04     1.0000e-03     8.4271e-03
3.4310e-04     1.0000e-03     8.4000e-03
3.8820e-04     1.0000e-03     8.3698e-03
4.3910e-04     1.0000e-03     8.3365e-03
4.9670e-04     1.0000e-03     8.2997e-03
5.6190e-04     1.0000e-03     8.2591e-03
6.3560e-04     1.0000e-03     8.2146e-03
7.1900e-04     1.0000e-03     8.1660e-03
8.1340e-04     1.0000e-03     8.1130e-03
9.2010e-04     1.0000e-03     8.0557e-03
1.0410e-03     1.0000e-03     7.9939e-03
1.1770e-03     1.0000e-03     7.9283e-03
1.3320e-03     1.0000e-03     7.8581e-03
1.5070e-03     1.0000e-03     7.7845e-03
1.7040e-03     1.0000e-03     7.7084e-03
1.9280e-03     1.0000e-03     7.6300e-03
2.1810e-03     1.0000e-03     7.5510e-03
2.4670e-03     1.0000e-03     7.4732e-03
2.7910e-03     1.0000e-03     7.3986e-03
3.1570e-03     1.0000e-03     7.3301e-03
3.5710e-03     1.0000e-03     7.2715e-03
4.0400e-03     1.0000e-03     7.2271e-03
4.5700e-03     1.0000e-03     7.2030e-03
5.1700e-03     1.0000e-03     7.2063e-03
5.8480e-03     1.0000e-03     7.2464e-03
6.6150e-03     1.0000e-03     7.3347e-03
7.4830e-03     1.0000e-03     7.4858e-03
8.4650e-03     1.0000e-03     7.7174e-03
9.5760e-03     1.0000e-03     8.0514e-03
1.0830e-02     1.0000e-03     8.5124e-03
1.2250e-02     1.0000e-03     9.1316e-03
1.3860e-02     1.0000e-03     9.9429e-03
1.5680e-02     1.0000e-03     1.0978e-02
1.7740e-02     1.0000e-03     1.2267e-02
2.0070e-02     1.0000e-03     1.3831e-02
2.2700e-02     1.0000e-03     1.5668e-02
2.5680e-02     1.0000e-03     1.7765e-02
2.9050e-02     1.0000e-03     2.0062e-02
3.2860e-02     1.0000e-03     2.2469e-02
3.7170e-02     1.0000e-03     2.4864e-02
4.2050e-02     1.0000e-03     2.7103e-02
4.7570e-02     1.0000e-03     2.9027e-02
5.3810e-02     1.0000e-03     3.0485e-02
6.0870e-02     1.0000e-03     3.1357e-02
6.8850e-02     1.0000e-03     3.1557e-02
7.7890e-02     1.0000e-03     3.1048e-02
8.8110e-02     1.0000e-03     2.9840e-02
9.9670e-02     1.0000e-03     2.7999e-02
1.1270e-01     1.0000e-03     2.5644e-02
1.2750e-01     1.0000e-03     2.2899e-02
1.4430e-01     1.0000e-03     1.9924e-02
1.6320e-01     1.0000e-03     1.6909e-02
1.8460e-01     1.0000e-03     1.3991e-02
2.0890e-01     1.0000e-03     1.1278e-02
2.3630e-01     1.0000e-03     8.8750e-03
2.6730e-01     1.0000e-03     6.8178e-03
3.0230e-01     1.0000e-03     5.1184e-03
3.4200e-01     1.0000e-03     3.7550e-03
3.8690e-01     1.0000e-03     2.6953e-03
4.3760e-01     1.0000e-03     1.8967e-03
4.9510e-01     1.0000e-03     1.3077e-03
5.6000e-01     1.0000e-03     8.8528e-04
6.3350e-01     1.0000e-03     5.8853e-04
7.1660e-01     1.0000e-03     3.8455e-04
8.1070e-01     1.0000e-03     2.4697e-04
9.1700e-01     1.0000e-03     1.5642e-04
1.0370e+00     1.0000e-03     9.7689e-05
1.1730e+00     1.0000e-03     6.0216e-05
1.3270e+00     1.0000e-03     3.6602e-05
1.5020e+00     1.0000e-03     2.1928e-05
1.6990e+00     1.0000e-03     1.3054e-05
1.9220e+00     1.0000e-03     7.6802e-06
2.1740e+00     1.0000e-03     4.4868e-06
2.4590e+00     1.0000e-03     2.6054e-06
2.7820e+00     1.0000e-03     1.4978e-06
3.1470e+00     1.0000e-03     8.5367e-07
3.5600e+00     1.0000e-03     4.8458e-07
4.0270e+00     1.0000e-03     2.7236e-07
4.5550e+00     1.0000e-03     1.5233e-07
5.1530e+00     1.0000e-03     8.4488e-08
5.8290e+00     1.0000e-03     4.6226e-08
6.5940e+00     1.0000e-03     2.5254e-08
7.4590e+00     1.0000e-03     1.3631e-08
8.4370e+00     1.0000e-03     7.2546e-09
9.5450e+00     1.0000e-03     3.8444e-09
1.0800e+01     1.0000e-03     2.0085e-09
1.2210e+01     1.0000e-03     1.0516e-09
1.3820e+01     1.0000e-03     5.3787e-10
1.5630e+01     1.0000e-03     2.7750e-10
1.7680e+01     1.0000e-03     1.4033e-10
2.0000e+01     1.0000e-03     6.9516e-11
