 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =   138
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.3284e-06
1.0000e-04     5.2320e-05     3.6349e-05
1.0000e-04     9.4650e-05     1.1886e-04
1.0000e-04     1.3700e-04     2.4868e-04
1.0000e-04     1.7930e-04     4.2517e-04
1.0000e-04     2.2160e-04     6.4793e-04
1.0000e-04     2.6390e-04     9.1632e-04
1.0000e-04     3.0630e-04     1.2303e-03
1.0000e-04     3.4860e-04     1.5876e-03
1.0000e-04     3.9090e-04     1.9877e-03
1.0000e-04     4.3320e-04     2.4295e-03
1.0000e-04     4.7560e-04     2.9129e-03
1.0000e-04     5.1790e-04     3.4343e-03
1.0000e-04     5.6020e-04     3.9931e-03
1.0000e-04     6.0250e-04     4.5879e-03
1.0000e-04     6.4480e-04     5.2170e-03
1.0000e-04     6.8720e-04     5.8800e-03
1.0000e-04     7.2950e-04     6.5722e-03
1.0000e-04     7.7180e-04     7.2929e-03
1.0000e-04     8.1410e-04     8.0402e-03
1.0000e-04     8.5650e-04     8.8139e-03
1.0000e-04     8.9880e-04     9.6083e-03
1.0000e-04     9.4110e-04     1.0423e-02
1.0000e-04     9.8340e-04     1.1255e-02
1.0000e-04     1.0260e-03     1.2110e-02
1.0000e-04     1.0680e-03     1.2966e-02
1.0000e-04     1.1100e-03     1.3832e-02
1.0000e-04     1.1530e-03     1.4729e-02
1.0000e-04     1.1950e-03     1.5611e-02
1.0000e-04     1.2370e-03     1.6498e-02
1.0000e-04     1.2800e-03     1.7408e-02
1.0000e-04     1.3220e-03     1.8296e-02
1.0000e-04     1.3640e-03     1.9183e-02
1.0000e-04     1.4070e-03     2.0085e-02
1.0000e-04     1.4490e-03     2.0960e-02
1.0000e-04     1.4910e-03     2.1826e-02
1.0000e-04     1.5340e-03     2.2702e-02
1.0000e-04     1.5760e-03     2.3544e-02
1.0000e-04     1.6180e-03     2.4372e-02
1.0000e-04     1.6610e-03     2.5202e-02
1.0000e-04     1.7030e-03     2.5995e-02
1.0000e-04     1.7450e-03     2.6768e-02
1.0000e-04     1.7880e-03     2.7537e-02
1.0000e-04     1.8300e-03     2.8264e-02
1.0000e-04     1.8720e-03     2.8967e-02
1.0000e-04     1.9150e-03     2.9660e-02
1.0000e-04     1.9570e-03     3.0310e-02
1.0000e-04     1.9990e-03     3.0931e-02
1.0000e-04     2.0420e-03     3.1536e-02
1.0000e-04     2.0840e-03     3.2096e-02
1.0000e-04     2.1260e-03     3.2625e-02
1.0000e-04     2.1680e-03     3.3122e-02
1.0000e-04     2.2110e-03     3.3597e-02
1.0000e-04     2.2530e-03     3.4027e-02
1.0000e-04     2.2950e-03     3.4423e-02
1.0000e-04     2.3380e-03     3.4792e-02
1.0000e-04     2.3800e-03     3.5118e-02
1.0000e-04     2.4220e-03     3.5408e-02
1.0000e-04     2.4650e-03     3.5670e-02
1.0000e-04     2.5070e-03     3.5889e-02
1.0000e-04     2.5490e-03     3.6073e-02
1.0000e-04     2.5920e-03     3.6226e-02
1.0000e-04     2.6340e-03     3.6339e-02
1.0000e-04     2.6760e-03     3.6418e-02
1.0000e-04     2.7190e-03     3.6463e-02
1.0000e-04     2.7610e-03     3.6472e-02
1.0000e-04     2.8030e-03     3.6449e-02
1.0000e-04     2.8460e-03     3.6391e-02
1.0000e-04     2.8880e-03     3.6301e-02
1.0000e-04     2.9300e-03     3.6180e-02
1.0000e-04     2.9730e-03     3.6024e-02
1.0000e-04     3.0150e-03     3.5842e-02
1.0000e-04     3.0570e-03     3.5630e-02
1.0000e-04     3.1000e-03     3.5384e-02
1.0000e-04     3.1420e-03     3.5116e-02
1.0000e-04     3.1840e-03     3.4822e-02
1.0000e-04     3.2270e-03     3.4494e-02
1.0000e-04     3.2690e-03     3.4150e-02
1.0000e-04     3.3110e-03     3.3782e-02
1.0000e-04     3.3540e-03     3.3383e-02
1.0000e-04     3.3960e-03     3.2971e-02
1.0000e-04     3.4380e-03     3.2540e-02
1.0000e-04     3.4810e-03     3.2079e-02
1.0000e-04     3.5230e-03     3.1611e-02
1.0000e-04     3.5650e-03     3.1127e-02
1.0000e-04     3.6070e-03     3.0627e-02
1.0000e-04     3.6500e-03     3.0101e-02
1.0000e-04     3.6920e-03     2.9574e-02
1.0000e-04     3.7340e-03     2.9035e-02
1.0000e-04     3.7770e-03     2.8472e-02
1.0000e-04     3.8190e-03     2.7913e-02
1.0000e-04     3.8610e-03     2.7346e-02
1.0000e-04     3.9040e-03     2.6757e-02
1.0000e-04     3.9460e-03     2.6176e-02
1.0000e-04     3.9880e-03     2.5589e-02
1.0000e-04     4.0310e-03     2.4984e-02
1.0000e-04     4.0730e-03     2.4391e-02
1.0000e-04     4.1150e-03     2.3795e-02
1.0000e-04     4.1580e-03     2.3184e-02
1.0000e-04     4.2000e-03     2.2586e-02
1.1310e-04     1.0000e-05     1.3268e-06
1.1310e-04     5.2320e-05     3.6307e-05
1.1310e-04     9.4650e-05     1.1872e-04
1.1310e-04     1.3700e-04     2.4839e-04
1.1310e-04     1.7930e-04     4.2467e-04
1.1310e-04     2.2160e-04     6.4717e-04
1.1310e-04     2.6390e-04     9.1523e-04
1.1310e-04     3.0630e-04     1.2289e-03
1.1310e-04     3.4860e-04     1.5857e-03
1.1310e-04     3.9090e-04     1.9853e-03
1.1310e-04     4.3320e-04     2.4265e-03
1.1310e-04     4.7560e-04     2.9094e-03
1.1310e-04     5.1790e-04     3.4300e-03
1.1310e-04     5.6020e-04     3.9882e-03
1.1310e-04     6.0250e-04     4.5822e-03
1.1310e-04     6.4480e-04     5.2104e-03
1.1310e-04     6.8720e-04     5.8726e-03
1.1310e-04     7.2950e-04     6.5637e-03
1.1310e-04     7.7180e-04     7.2834e-03
1.1310e-04     8.1410e-04     8.0296e-03
1.1310e-04     8.5650e-04     8.8022e-03
1.1310e-04     8.9880e-04     9.5953e-03
1.1310e-04     9.4110e-04     1.0409e-02
1.1310e-04     9.8340e-04     1.1240e-02
1.1310e-04     1.0260e-03     1.2093e-02
1.1310e-04     1.0680e-03     1.2947e-02
1.1310e-04     1.1100e-03     1.3812e-02
1.1310e-04     1.1530e-03     1.4707e-02
1.1310e-04     1.1950e-03     1.5588e-02
1.1310e-04     1.2370e-03     1.6473e-02
1.1310e-04     1.2800e-03     1.7381e-02
1.1310e-04     1.3220e-03     1.8268e-02
1.1310e-04     1.3640e-03     1.9153e-02
