 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =   138
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.3284e-06
1.0000e-04     1.0630e-05     1.5010e-06
1.0000e-04     1.1300e-05     1.6962e-06
1.0000e-04     1.2010e-05     1.9160e-06
1.0000e-04     1.2760e-05     2.1628e-06
1.0000e-04     1.3570e-05     2.4461e-06
1.0000e-04     1.4420e-05     2.7621e-06
1.0000e-04     1.5330e-05     3.1217e-06
1.0000e-04     1.6290e-05     3.5249e-06
1.0000e-04     1.7320e-05     3.9847e-06
1.0000e-04     1.8410e-05     4.5020e-06
1.0000e-04     1.9560e-05     5.0820e-06
1.0000e-04     2.0800e-05     5.7467e-06
1.0000e-04     2.2100e-05     6.4875e-06
1.0000e-04     2.3490e-05     7.3291e-06
1.0000e-04     2.4970e-05     8.2817e-06
1.0000e-04     2.6540e-05     9.3558e-06
1.0000e-04     2.8210e-05     1.0570e-05
1.0000e-04     2.9990e-05     1.1946e-05
1.0000e-04     3.1880e-05     1.3499e-05
1.0000e-04     3.3880e-05     1.5245e-05
1.0000e-04     3.6010e-05     1.7222e-05
1.0000e-04     3.8280e-05     1.9461e-05
1.0000e-04     4.0690e-05     2.1989e-05
1.0000e-04     4.3250e-05     2.4842e-05
1.0000e-04     4.5970e-05     2.8064e-05
1.0000e-04     4.8860e-05     3.1702e-05
1.0000e-04     5.1930e-05     3.5809e-05
1.0000e-04     5.5200e-05     4.0459e-05
1.0000e-04     5.8670e-05     4.5703e-05
1.0000e-04     6.2360e-05     5.1630e-05
1.0000e-04     6.6290e-05     5.8338e-05
1.0000e-04     7.0460e-05     6.5903e-05
1.0000e-04     7.4890e-05     7.4444e-05
1.0000e-04     7.9600e-05     8.4095e-05
1.0000e-04     8.4610e-05     9.5003e-05
1.0000e-04     8.9930e-05     1.0731e-04
1.0000e-04     9.5590e-05     1.2123e-04
1.0000e-04     1.0160e-04     1.3693e-04
1.0000e-04     1.0800e-04     1.5469e-04
1.0000e-04     1.1480e-04     1.7475e-04
1.0000e-04     1.2200e-04     1.9731e-04
1.0000e-04     1.2970e-04     2.2294e-04
1.0000e-04     1.3780e-04     2.5159e-04
1.0000e-04     1.4650e-04     2.8426e-04
1.0000e-04     1.5570e-04     3.2096e-04
1.0000e-04     1.6550e-04     3.6248e-04
1.0000e-04     1.7590e-04     4.0927e-04
1.0000e-04     1.8700e-04     4.6229e-04
1.0000e-04     1.9880e-04     5.2215e-04
1.0000e-04     2.1130e-04     5.8946e-04
1.0000e-04     2.2460e-04     6.6547e-04
1.0000e-04     2.3870e-04     7.5098e-04
1.0000e-04     2.5370e-04     8.4747e-04
1.0000e-04     2.6970e-04     9.5663e-04
1.0000e-04     2.8670e-04     1.0796e-03
1.0000e-04     3.0470e-04     1.2177e-03
1.0000e-04     3.2390e-04     1.3737e-03
1.0000e-04     3.4420e-04     1.5484e-03
1.0000e-04     3.6590e-04     1.7461e-03
1.0000e-04     3.8890e-04     1.9678e-03
1.0000e-04     4.1340e-04     2.2176e-03
1.0000e-04     4.3940e-04     2.4977e-03
1.0000e-04     4.6700e-04     2.8116e-03
1.0000e-04     4.9640e-04     3.1645e-03
1.0000e-04     5.2760e-04     3.5592e-03
1.0000e-04     5.6080e-04     4.0013e-03
1.0000e-04     5.9610e-04     4.4957e-03
1.0000e-04     6.3360e-04     5.0472e-03
1.0000e-04     6.7350e-04     5.6624e-03
1.0000e-04     7.1590e-04     6.3464e-03
1.0000e-04     7.6090e-04     7.1045e-03
1.0000e-04     8.0880e-04     7.9452e-03
1.0000e-04     8.5960e-04     8.8714e-03
1.0000e-04     9.1370e-04     9.8930e-03
1.0000e-04     9.7120e-04     1.1014e-02
1.0000e-04     1.0320e-03     1.2231e-02
1.0000e-04     1.0970e-03     1.3563e-02
1.0000e-04     1.1660e-03     1.5001e-02
1.0000e-04     1.2400e-03     1.6561e-02
1.0000e-04     1.3180e-03     1.8212e-02
1.0000e-04     1.4010e-03     1.9960e-02
1.0000e-04     1.4890e-03     2.1785e-02
1.0000e-04     1.5820e-03     2.3663e-02
1.0000e-04     1.6820e-03     2.5601e-02
1.0000e-04     1.7880e-03     2.7537e-02
1.0000e-04     1.9000e-03     2.9422e-02
1.0000e-04     2.0200e-03     3.1230e-02
1.0000e-04     2.1470e-03     3.2878e-02
1.0000e-04     2.2820e-03     3.4304e-02
1.0000e-04     2.4250e-03     3.5428e-02
1.0000e-04     2.5780e-03     3.6180e-02
1.0000e-04     2.7400e-03     3.6472e-02
1.0000e-04     2.9120e-03     3.6236e-02
1.0000e-04     3.0960e-03     3.5408e-02
1.0000e-04     3.2900e-03     3.3969e-02
1.0000e-04     3.4970e-03     3.1903e-02
1.0000e-04     3.7180e-03     2.9242e-02
1.0000e-04     3.9510e-03     2.6106e-02
1.0000e-04     4.2000e-03     2.2586e-02
1.1310e-04     1.0000e-05     1.3268e-06
1.1310e-04     1.0630e-05     1.4992e-06
1.1310e-04     1.1300e-05     1.6942e-06
1.1310e-04     1.2010e-05     1.9138e-06
1.1310e-04     1.2760e-05     2.1603e-06
1.1310e-04     1.3570e-05     2.4432e-06
1.1310e-04     1.4420e-05     2.7589e-06
1.1310e-04     1.5330e-05     3.1181e-06
1.1310e-04     1.6290e-05     3.5208e-06
1.1310e-04     1.7320e-05     3.9801e-06
1.1310e-04     1.8410e-05     4.4968e-06
1.1310e-04     1.9560e-05     5.0761e-06
1.1310e-04     2.0800e-05     5.7400e-06
1.1310e-04     2.2100e-05     6.4799e-06
1.1310e-04     2.3490e-05     7.3206e-06
1.1310e-04     2.4970e-05     8.2721e-06
1.1310e-04     2.6540e-05     9.3449e-06
1.1310e-04     2.8210e-05     1.0558e-05
1.1310e-04     2.9990e-05     1.1932e-05
1.1310e-04     3.1880e-05     1.3483e-05
1.1310e-04     3.3880e-05     1.5228e-05
1.1310e-04     3.6010e-05     1.7202e-05
1.1310e-04     3.8280e-05     1.9439e-05
1.1310e-04     4.0690e-05     2.1963e-05
1.1310e-04     4.3250e-05     2.4813e-05
1.1310e-04     4.5970e-05     2.8031e-05
1.1310e-04     4.8860e-05     3.1665e-05
1.1310e-04     5.1930e-05     3.5768e-05
1.1310e-04     5.5200e-05     4.0412e-05
1.1310e-04     5.8670e-05     4.5650e-05
1.1310e-04     6.2360e-05     5.1570e-05
