 Element: Kr
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    30
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.3284e-02
1.1310e-04     1.0000e-03     1.3268e-02
1.2800e-04     1.0000e-03     1.3251e-02
1.4480e-04     1.0000e-03     1.3231e-02
1.6380e-04     1.0000e-03     1.3209e-02
1.8520e-04     1.0000e-03     1.3185e-02
2.0950e-04     1.0000e-03     1.3157e-02
2.3700e-04     1.0000e-03     1.3126e-02
2.6810e-04     1.0000e-03     1.3092e-02
3.0330e-04     1.0000e-03     1.3053e-02
3.4310e-04     1.0000e-03     1.3011e-02
3.8820e-04     1.0000e-03     1.2963e-02
4.3910e-04     1.0000e-03     1.2911e-02
4.9670e-04     1.0000e-03     1.2853e-02
5.6190e-04     1.0000e-03     1.2789e-02
6.3560e-04     1.0000e-03     1.2718e-02
7.1900e-04     1.0000e-03     1.2642e-02
8.1340e-04     1.0000e-03     1.2558e-02
9.2010e-04     1.0000e-03     1.2468e-02
1.0410e-03     1.0000e-03     1.2370e-02
1.1770e-03     1.0000e-03     1.2267e-02
1.3320e-03     1.0000e-03     1.2156e-02
1.5070e-03     1.0000e-03     1.2041e-02
1.7040e-03     1.0000e-03     1.1921e-02
1.9280e-03     1.0000e-03     1.1798e-02
2.1810e-03     1.0000e-03     1.1675e-02
2.4670e-03     1.0000e-03     1.1555e-02
2.7910e-03     1.0000e-03     1.1441e-02
3.1570e-03     1.0000e-03     1.1338e-02
3.5710e-03     1.0000e-03     1.1253e-02
4.0400e-03     1.0000e-03     1.1193e-02
4.5700e-03     1.0000e-03     1.1169e-02
5.1700e-03     1.0000e-03     1.1192e-02
5.8480e-03     1.0000e-03     1.1280e-02
6.6150e-03     1.0000e-03     1.1451e-02
7.4830e-03     1.0000e-03     1.1730e-02
8.4650e-03     1.0000e-03     1.2146e-02
9.5760e-03     1.0000e-03     1.2734e-02
1.0830e-02     1.0000e-03     1.3533e-02
1.2250e-02     1.0000e-03     1.4591e-02
1.3860e-02     1.0000e-03     1.5957e-02
1.5680e-02     1.0000e-03     1.7672e-02
1.7740e-02     1.0000e-03     1.9775e-02
2.0070e-02     1.0000e-03     2.2279e-02
2.2700e-02     1.0000e-03     2.5167e-02
2.5680e-02     1.0000e-03     2.8399e-02
2.9050e-02     1.0000e-03     3.1870e-02
3.2860e-02     1.0000e-03     3.5438e-02
3.7170e-02     1.0000e-03     3.8923e-02
4.2050e-02     1.0000e-03     4.2122e-02
4.7570e-02     1.0000e-03     4.4819e-02
5.3810e-02     1.0000e-03     4.6812e-02
6.0870e-02     1.0000e-03     4.7940e-02
6.8850e-02     1.0000e-03     4.8085e-02
7.7890e-02     1.0000e-03     4.7196e-02
8.8110e-02     1.0000e-03     4.5282e-02
9.9670e-02     1.0000e-03     4.2437e-02
1.1270e-01     1.0000e-03     3.8829e-02
1.2750e-01     1.0000e-03     3.4641e-02
1.4430e-01     1.0000e-03     3.0110e-02
1.6320e-01     1.0000e-03     2.5525e-02
1.8460e-01     1.0000e-03     2.1091e-02
2.0890e-01     1.0000e-03     1.6974e-02
2.3630e-01     1.0000e-03     1.3332e-02
2.6730e-01     1.0000e-03     1.0221e-02
3.0230e-01     1.0000e-03     7.6573e-03
3.4200e-01     1.0000e-03     5.6050e-03
3.8690e-01     1.0000e-03     4.0142e-03
4.3760e-01     1.0000e-03     2.8184e-03
4.9510e-01     1.0000e-03     1.9388e-03
5.6000e-01     1.0000e-03     1.3097e-03
6.3350e-01     1.0000e-03     8.6886e-04
7.1660e-01     1.0000e-03     5.6661e-04
8.1070e-01     1.0000e-03     3.6323e-04
9.1700e-01     1.0000e-03     2.2967e-04
1.0370e+00     1.0000e-03     1.4322e-04
1.1730e+00     1.0000e-03     8.8160e-05
1.3270e+00     1.0000e-03     5.3521e-05
1.5020e+00     1.0000e-03     3.2030e-05
1.6990e+00     1.0000e-03     1.9047e-05
1.9220e+00     1.0000e-03     1.1195e-05
2.1740e+00     1.0000e-03     6.5340e-06
2.4590e+00     1.0000e-03     3.7903e-06
2.7820e+00     1.0000e-03     2.1766e-06
3.1470e+00     1.0000e-03     1.2390e-06
3.5600e+00     1.0000e-03     7.0241e-07
4.0270e+00     1.0000e-03     3.9420e-07
4.5550e+00     1.0000e-03     2.2012e-07
5.1530e+00     1.0000e-03     1.2187e-07
5.8290e+00     1.0000e-03     6.6552e-08
6.5940e+00     1.0000e-03     3.6291e-08
7.4590e+00     1.0000e-03     1.9546e-08
8.4370e+00     1.0000e-03     1.0381e-08
9.5450e+00     1.0000e-03     5.4897e-09
1.0800e+01     1.0000e-03     2.8616e-09
1.2210e+01     1.0000e-03     1.4947e-09
1.3820e+01     1.0000e-03     7.6276e-10
1.5630e+01     1.0000e-03     3.9272e-10
1.7680e+01     1.0000e-03     1.9811e-10
2.0000e+01     1.0000e-03     9.7887e-11
