 Element: Kr
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    14
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.8683e-03
1.1310e-04     1.0000e-03     1.8680e-03
1.2800e-04     1.0000e-03     1.8677e-03
1.4480e-04     1.0000e-03     1.8673e-03
1.6380e-04     1.0000e-03     1.8669e-03
1.8520e-04     1.0000e-03     1.8663e-03
2.0950e-04     1.0000e-03     1.8657e-03
2.3700e-04     1.0000e-03     1.8650e-03
2.6810e-04     1.0000e-03     1.8641e-03
3.0330e-04     1.0000e-03     1.8631e-03
3.4310e-04     1.0000e-03     1.8619e-03
3.8820e-04     1.0000e-03     1.8604e-03
4.3910e-04     1.0000e-03     1.8587e-03
4.9670e-04     1.0000e-03     1.8567e-03
5.6190e-04     1.0000e-03     1.8542e-03
6.3560e-04     1.0000e-03     1.8513e-03
7.1900e-04     1.0000e-03     1.8479e-03
8.1340e-04     1.0000e-03     1.8439e-03
9.2010e-04     1.0000e-03     1.8391e-03
1.0410e-03     1.0000e-03     1.8336e-03
1.1770e-03     1.0000e-03     1.8271e-03
1.3320e-03     1.0000e-03     1.8196e-03
1.5070e-03     1.0000e-03     1.8110e-03
1.7040e-03     1.0000e-03     1.8013e-03
1.9280e-03     1.0000e-03     1.7903e-03
2.1810e-03     1.0000e-03     1.7780e-03
2.4670e-03     1.0000e-03     1.7645e-03
2.7910e-03     1.0000e-03     1.7498e-03
3.1570e-03     1.0000e-03     1.7339e-03
3.5710e-03     1.0000e-03     1.7171e-03
4.0400e-03     1.0000e-03     1.6995e-03
4.5700e-03     1.0000e-03     1.6813e-03
5.1700e-03     1.0000e-03     1.6628e-03
5.8480e-03     1.0000e-03     1.6442e-03
6.6150e-03     1.0000e-03     1.6260e-03
7.4830e-03     1.0000e-03     1.6082e-03
8.4650e-03     1.0000e-03     1.5913e-03
9.5760e-03     1.0000e-03     1.5754e-03
1.0830e-02     1.0000e-03     1.5608e-03
1.2250e-02     1.0000e-03     1.5478e-03
1.3860e-02     1.0000e-03     1.5363e-03
1.5680e-02     1.0000e-03     1.5266e-03
1.7740e-02     1.0000e-03     1.5186e-03
2.0070e-02     1.0000e-03     1.5125e-03
2.2700e-02     1.0000e-03     1.5080e-03
2.5680e-02     1.0000e-03     1.5051e-03
2.9050e-02     1.0000e-03     1.5035e-03
3.2860e-02     1.0000e-03     1.5028e-03
3.7170e-02     1.0000e-03     1.5025e-03
4.2050e-02     1.0000e-03     1.5020e-03
4.7570e-02     1.0000e-03     1.5006e-03
5.3810e-02     1.0000e-03     1.4972e-03
6.0870e-02     1.0000e-03     1.4908e-03
6.8850e-02     1.0000e-03     1.4801e-03
7.7890e-02     1.0000e-03     1.4638e-03
8.8110e-02     1.0000e-03     1.4407e-03
9.9670e-02     1.0000e-03     1.4092e-03
1.1270e-01     1.0000e-03     1.3686e-03
1.2750e-01     1.0000e-03     1.3175e-03
1.4430e-01     1.0000e-03     1.2557e-03
1.6320e-01     1.0000e-03     1.1840e-03
1.8460e-01     1.0000e-03     1.1025e-03
2.0890e-01     1.0000e-03     1.0127e-03
2.3630e-01     1.0000e-03     9.1694e-04
2.6730e-01     1.0000e-03     8.1744e-04
3.0230e-01     1.0000e-03     7.1701e-04
3.4200e-01     1.0000e-03     6.1834e-04
3.8690e-01     1.0000e-03     5.2381e-04
4.3760e-01     1.0000e-03     4.3614e-04
4.9510e-01     1.0000e-03     3.5659e-04
5.6000e-01     1.0000e-03     2.8647e-04
6.3350e-01     1.0000e-03     2.2606e-04
7.1660e-01     1.0000e-03     1.7527e-04
8.1070e-01     1.0000e-03     1.3345e-04
9.1700e-01     1.0000e-03     1.0010e-04
1.0370e+00     1.0000e-03     7.3873e-05
1.1730e+00     1.0000e-03     5.3687e-05
1.3270e+00     1.0000e-03     3.8416e-05
1.5020e+00     1.0000e-03     2.7092e-05
1.6990e+00     1.0000e-03     1.8882e-05
1.9220e+00     1.0000e-03     1.2975e-05
2.1740e+00     1.0000e-03     8.8317e-06
2.4590e+00     1.0000e-03     5.9337e-06
2.7820e+00     1.0000e-03     3.9475e-06
3.1470e+00     1.0000e-03     2.5972e-06
3.5600e+00     1.0000e-03     1.6966e-06
4.0270e+00     1.0000e-03     1.0971e-06
4.5550e+00     1.0000e-03     7.0191e-07
5.1530e+00     1.0000e-03     4.4363e-07
5.8290e+00     1.0000e-03     2.7929e-07
6.5940e+00     1.0000e-03     1.7419e-07
7.4590e+00     1.0000e-03     1.0706e-07
8.4370e+00     1.0000e-03     6.5918e-08
9.5450e+00     1.0000e-03     4.0029e-08
1.0800e+01     1.0000e-03     2.4066e-08
1.2210e+01     1.0000e-03     1.4294e-08
1.3820e+01     1.0000e-03     8.4657e-09
1.5630e+01     1.0000e-03     4.9538e-09
1.7680e+01     1.0000e-03     2.8883e-09
2.0000e+01     1.0000e-03     1.6944e-09
