 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     2.0732e-07
1.0000e-04     5.2320e-05     5.6736e-06
1.0000e-04     9.4650e-05     1.8555e-05
1.0000e-04     1.3700e-04     3.8834e-05
1.0000e-04     1.7930e-04     6.6420e-05
1.0000e-04     2.2160e-04     1.0127e-04
1.0000e-04     2.6390e-04     1.4330e-04
1.0000e-04     3.0630e-04     1.9255e-04
1.0000e-04     3.4860e-04     2.4866e-04
1.0000e-04     3.9090e-04     3.1161e-04
1.0000e-04     4.3320e-04     3.8126e-04
1.0000e-04     4.7560e-04     4.5763e-04
1.0000e-04     5.1790e-04     5.4019e-04
1.0000e-04     5.6020e-04     6.2893e-04
1.0000e-04     6.0250e-04     7.2364e-04
1.0000e-04     6.4480e-04     8.2409e-04
1.0000e-04     6.8720e-04     9.3033e-04
1.0000e-04     7.2950e-04     1.0416e-03
1.0000e-04     7.7180e-04     1.1579e-03
1.0000e-04     8.1410e-04     1.2790e-03
1.0000e-04     8.5650e-04     1.4048e-03
1.0000e-04     8.9880e-04     1.5346e-03
1.0000e-04     9.4110e-04     1.6683e-03
1.0000e-04     9.8340e-04     1.8057e-03
1.0000e-04     1.0260e-03     1.9473e-03
1.0000e-04     1.0680e-03     2.0899e-03
1.0000e-04     1.1100e-03     2.2352e-03
1.0000e-04     1.1530e-03     2.3863e-03
1.0000e-04     1.1950e-03     2.5360e-03
1.0000e-04     1.2370e-03     2.6873e-03
1.0000e-04     1.2800e-03     2.8436e-03
1.0000e-04     1.3220e-03     2.9974e-03
1.0000e-04     1.3640e-03     3.1518e-03
1.0000e-04     1.4070e-03     3.3103e-03
1.0000e-04     1.4490e-03     3.4651e-03
1.0000e-04     1.4910e-03     3.6196e-03
1.0000e-04     1.5340e-03     3.7772e-03
1.0000e-04     1.5760e-03     3.9302e-03
1.0000e-04     1.6180e-03     4.0819e-03
1.0000e-04     1.6610e-03     4.2356e-03
1.0000e-04     1.7030e-03     4.3839e-03
1.0000e-04     1.7450e-03     4.5300e-03
1.0000e-04     1.7880e-03     4.6770e-03
1.0000e-04     1.8300e-03     4.8178e-03
1.0000e-04     1.8720e-03     4.9556e-03
1.0000e-04     1.9150e-03     5.0933e-03
1.0000e-04     1.9570e-03     5.2242e-03
1.0000e-04     1.9990e-03     5.3513e-03
1.0000e-04     2.0420e-03     5.4772e-03
1.0000e-04     2.0840e-03     5.5959e-03
1.0000e-04     2.1260e-03     5.7102e-03
1.0000e-04     2.1680e-03     5.8197e-03
1.0000e-04     2.2110e-03     5.9269e-03
1.0000e-04     2.2530e-03     6.0264e-03
1.0000e-04     2.2950e-03     6.1208e-03
1.0000e-04     2.3380e-03     6.2118e-03
1.0000e-04     2.3800e-03     6.2952e-03
1.0000e-04     2.4220e-03     6.3729e-03
1.0000e-04     2.4650e-03     6.4466e-03
1.0000e-04     2.5070e-03     6.5126e-03
1.0000e-04     2.5490e-03     6.5728e-03
1.0000e-04     2.5920e-03     6.6282e-03
1.0000e-04     2.6340e-03     6.6762e-03
1.0000e-04     2.6760e-03     6.7182e-03
1.0000e-04     2.7190e-03     6.7549e-03
1.0000e-04     2.7610e-03     6.7845e-03
1.0000e-04     2.8030e-03     6.8081e-03
1.0000e-04     2.8460e-03     6.8259e-03
1.0000e-04     2.8880e-03     6.8373e-03
1.0000e-04     2.9300e-03     6.8426e-03
1.0000e-04     2.9730e-03     6.8419e-03
1.0000e-04     3.0150e-03     6.8353e-03
1.0000e-04     3.0570e-03     6.8228e-03
1.0000e-04     3.1000e-03     6.8042e-03
1.0000e-04     3.1420e-03     6.7804e-03
1.0000e-04     3.1840e-03     6.7511e-03
1.0000e-04     3.2270e-03     6.7156e-03
1.0000e-04     3.2690e-03     6.6757e-03
1.0000e-04     3.3110e-03     6.6307e-03
1.0000e-04     3.3540e-03     6.5795e-03
1.0000e-04     3.3960e-03     6.5247e-03
1.0000e-04     3.4380e-03     6.4653e-03
1.0000e-04     3.4810e-03     6.4000e-03
1.0000e-04     3.5230e-03     6.3319e-03
1.0000e-04     3.5650e-03     6.2597e-03
1.0000e-04     3.6070e-03     6.1837e-03
1.0000e-04     3.6500e-03     6.1022e-03
1.0000e-04     3.6920e-03     6.0190e-03
1.0000e-04     3.7340e-03     5.9326e-03
1.0000e-04     3.7770e-03     5.8410e-03
1.0000e-04     3.8190e-03     5.7486e-03
1.0000e-04     3.8610e-03     5.6536e-03
1.0000e-04     3.9040e-03     5.5539e-03
1.0000e-04     3.9460e-03     5.4542e-03
1.0000e-04     3.9880e-03     5.3525e-03
1.0000e-04     4.0310e-03     5.2466e-03
1.0000e-04     4.0730e-03     5.1415e-03
1.0000e-04     4.1150e-03     5.0350e-03
1.0000e-04     4.1580e-03     4.9247e-03
1.0000e-04     4.2000e-03     4.8159e-03
1.1310e-04     1.0000e-05     2.0706e-07
1.1310e-04     5.2320e-05     5.6663e-06
1.1310e-04     9.4650e-05     1.8532e-05
1.1310e-04     1.3700e-04     3.8784e-05
1.1310e-04     1.7930e-04     6.6335e-05
1.1310e-04     2.2160e-04     1.0114e-04
1.1310e-04     2.6390e-04     1.4312e-04
1.1310e-04     3.0630e-04     1.9230e-04
1.1310e-04     3.4860e-04     2.4833e-04
1.1310e-04     3.9090e-04     3.1120e-04
1.1310e-04     4.3320e-04     3.8075e-04
1.1310e-04     4.7560e-04     4.5702e-04
1.1310e-04     5.1790e-04     5.3947e-04
1.1310e-04     5.6020e-04     6.2808e-04
1.1310e-04     6.0250e-04     7.2264e-04
1.1310e-04     6.4480e-04     8.2295e-04
1.1310e-04     6.8720e-04     9.2903e-04
1.1310e-04     7.2950e-04     1.0401e-03
1.1310e-04     7.7180e-04     1.1563e-03
1.1310e-04     8.1410e-04     1.2771e-03
1.1310e-04     8.5650e-04     1.4028e-03
1.1310e-04     8.9880e-04     1.5324e-03
1.1310e-04     9.4110e-04     1.6658e-03
1.1310e-04     9.8340e-04     1.8029e-03
1.1310e-04     1.0260e-03     1.9443e-03
1.1310e-04     1.0680e-03     2.0867e-03
1.1310e-04     1.1100e-03     2.2317e-03
1.1310e-04     1.1530e-03     2.3825e-03
1.1310e-04     1.1950e-03     2.5319e-03
1.1310e-04     1.2370e-03     2.6829e-03
1.1310e-04     1.2800e-03     2.8390e-03
1.1310e-04     1.3220e-03     2.9924e-03
1.1310e-04     1.3640e-03     3.1465e-03
1.1310e-04     1.4070e-03     3.3046e-03
1.1310e-04     1.4490e-03     3.4591e-03
1.1310e-04     1.4910e-03     3.6133e-03
1.1310e-04     1.5340e-03     3.7706e-03
1.1310e-04     1.5760e-03     3.9232e-03
1.1310e-04     1.6180e-03     4.0746e-03
1.1310e-04     1.6610e-03     4.2279e-03
1.1310e-04     1.7030e-03     4.3758e-03
1.1310e-04     1.7450e-03     4.5216e-03
1.1310e-04     1.7880e-03     4.6682e-03
1.1310e-04     1.8300e-03     4.8087e-03
1.1310e-04     1.8720e-03     4.9461e-03
1.1310e-04     1.9150e-03     5.0835e-03
1.1310e-04     1.9570e-03     5.2140e-03
1.1310e-04     1.9990e-03     5.3408e-03
1.1310e-04     2.0420e-03     5.4664e-03
1.1310e-04     2.0840e-03     5.5848e-03
1.1310e-04     2.1260e-03     5.6987e-03
1.1310e-04     2.1680e-03     5.8080e-03
1.1310e-04     2.2110e-03     5.9148e-03
