 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     5.6220e-04
1.0000e-04     5.2320e-05     1.5383e-02
1.0000e-04     9.4650e-05     5.0297e-02
1.0000e-04     1.3700e-04     1.0522e-01
1.0000e-04     1.7930e-04     1.7985e-01
1.0000e-04     2.2160e-04     2.7401e-01
1.0000e-04     2.6390e-04     3.8738e-01
1.0000e-04     3.0630e-04     5.1993e-01
1.0000e-04     3.4860e-04     6.7059e-01
1.0000e-04     3.9090e-04     8.3917e-01
1.0000e-04     4.3320e-04     1.0251e+00
1.0000e-04     4.7560e-04     1.2283e+00
1.0000e-04     5.1790e-04     1.4472e+00
1.0000e-04     5.6020e-04     1.6814e+00
1.0000e-04     6.0250e-04     1.9303e+00
1.0000e-04     6.4480e-04     2.1930e+00
1.0000e-04     6.8720e-04     2.4694e+00
1.0000e-04     7.2950e-04     2.7573e+00
1.0000e-04     7.7180e-04     3.0564e+00
1.0000e-04     8.1410e-04     3.3658e+00
1.0000e-04     8.5650e-04     3.6853e+00
1.0000e-04     8.9880e-04     4.0123e+00
1.0000e-04     9.4110e-04     4.3467e+00
1.0000e-04     9.8340e-04     4.6873e+00
1.0000e-04     1.0260e-03     5.0356e+00
1.0000e-04     1.0680e-03     5.3832e+00
1.0000e-04     1.1100e-03     5.7339e+00
1.0000e-04     1.1530e-03     6.0951e+00
1.0000e-04     1.1950e-03     6.4490e+00
1.0000e-04     1.2370e-03     6.8029e+00
1.0000e-04     1.2800e-03     7.1642e+00
1.0000e-04     1.3220e-03     7.5150e+00
1.0000e-04     1.3640e-03     7.8629e+00
1.0000e-04     1.4070e-03     8.2150e+00
1.0000e-04     1.4490e-03     8.5540e+00
1.0000e-04     1.4910e-03     8.8873e+00
1.0000e-04     1.5340e-03     9.2216e+00
1.0000e-04     1.5760e-03     9.5405e+00
1.0000e-04     1.6180e-03     9.8512e+00
1.0000e-04     1.6610e-03     1.0160e+01
1.0000e-04     1.7030e-03     1.0451e+01
1.0000e-04     1.7450e-03     1.0733e+01
1.0000e-04     1.7880e-03     1.1009e+01
1.0000e-04     1.8300e-03     1.1267e+01
1.0000e-04     1.8720e-03     1.1513e+01
1.0000e-04     1.9150e-03     1.1751e+01
1.0000e-04     1.9570e-03     1.1970e+01
1.0000e-04     1.9990e-03     1.2176e+01
1.0000e-04     2.0420e-03     1.2372e+01
1.0000e-04     2.0840e-03     1.2549e+01
1.0000e-04     2.1260e-03     1.2711e+01
1.0000e-04     2.1680e-03     1.2859e+01
1.0000e-04     2.2110e-03     1.2995e+01
1.0000e-04     2.2530e-03     1.3112e+01
1.0000e-04     2.2950e-03     1.3214e+01
1.0000e-04     2.3380e-03     1.3303e+01
1.0000e-04     2.3800e-03     1.3374e+01
1.0000e-04     2.4220e-03     1.3430e+01
1.0000e-04     2.4650e-03     1.3472e+01
1.0000e-04     2.5070e-03     1.3498e+01
1.0000e-04     2.5490e-03     1.3509e+01
1.0000e-04     2.5920e-03     1.3506e+01
1.0000e-04     2.6340e-03     1.3488e+01
1.0000e-04     2.6760e-03     1.3456e+01
1.0000e-04     2.7190e-03     1.3410e+01
1.0000e-04     2.7610e-03     1.3351e+01
1.0000e-04     2.8030e-03     1.3279e+01
1.0000e-04     2.8460e-03     1.3193e+01
1.0000e-04     2.8880e-03     1.3097e+01
1.0000e-04     2.9300e-03     1.2989e+01
1.0000e-04     2.9730e-03     1.2867e+01
1.0000e-04     3.0150e-03     1.2737e+01
1.0000e-04     3.0570e-03     1.2597e+01
1.0000e-04     3.1000e-03     1.2444e+01
1.0000e-04     3.1420e-03     1.2285e+01
1.0000e-04     3.1840e-03     1.2118e+01
1.0000e-04     3.2270e-03     1.1938e+01
1.0000e-04     3.2690e-03     1.1755e+01
1.0000e-04     3.3110e-03     1.1565e+01
1.0000e-04     3.3540e-03     1.1364e+01
1.0000e-04     3.3960e-03     1.1162e+01
1.0000e-04     3.4380e-03     1.0955e+01
1.0000e-04     3.4810e-03     1.0737e+01
1.0000e-04     3.5230e-03     1.0520e+01
1.0000e-04     3.5650e-03     1.0300e+01
1.0000e-04     3.6070e-03     1.0076e+01
1.0000e-04     3.6500e-03     9.8443e+00
1.0000e-04     3.6920e-03     9.6156e+00
1.0000e-04     3.7340e-03     9.3851e+00
1.0000e-04     3.7770e-03     9.1477e+00
1.0000e-04     3.8190e-03     8.9149e+00
1.0000e-04     3.8610e-03     8.6817e+00
1.0000e-04     3.9040e-03     8.4429e+00
1.0000e-04     3.9460e-03     8.2100e+00
1.0000e-04     3.9880e-03     7.9778e+00
1.0000e-04     4.0310e-03     7.7413e+00
1.0000e-04     4.0730e-03     7.5116e+00
1.0000e-04     4.1150e-03     7.2837e+00
1.0000e-04     4.1580e-03     7.0525e+00
1.0000e-04     4.2000e-03     6.8291e+00
1.1310e-04     1.0000e-05     5.5998e-04
1.1310e-04     5.2320e-05     1.5322e-02
1.1310e-04     9.4650e-05     5.0098e-02
1.1310e-04     1.3700e-04     1.0480e-01
1.1310e-04     1.7930e-04     1.7914e-01
1.1310e-04     2.2160e-04     2.7293e-01
1.1310e-04     2.6390e-04     3.8585e-01
1.1310e-04     3.0630e-04     5.1787e-01
1.1310e-04     3.4860e-04     6.6794e-01
1.1310e-04     3.9090e-04     8.3586e-01
1.1310e-04     4.3320e-04     1.0211e+00
1.1310e-04     4.7560e-04     1.2235e+00
1.1310e-04     5.1790e-04     1.4415e+00
1.1310e-04     5.6020e-04     1.6748e+00
1.1310e-04     6.0250e-04     1.9228e+00
1.1310e-04     6.4480e-04     2.1845e+00
1.1310e-04     6.8720e-04     2.4598e+00
1.1310e-04     7.2950e-04     2.7466e+00
1.1310e-04     7.7180e-04     3.0446e+00
1.1310e-04     8.1410e-04     3.3528e+00
1.1310e-04     8.5650e-04     3.6711e+00
1.1310e-04     8.9880e-04     3.9969e+00
1.1310e-04     9.4110e-04     4.3300e+00
1.1310e-04     9.8340e-04     4.6694e+00
1.1310e-04     1.0260e-03     5.0164e+00
1.1310e-04     1.0680e-03     5.3628e+00
1.1310e-04     1.1100e-03     5.7122e+00
1.1310e-04     1.1530e-03     6.0721e+00
1.1310e-04     1.1950e-03     6.4247e+00
1.1310e-04     1.2370e-03     6.7774e+00
1.1310e-04     1.2800e-03     7.1374e+00
1.1310e-04     1.3220e-03     7.4871e+00
1.1310e-04     1.3640e-03     7.8338e+00
1.1310e-04     1.4070e-03     8.1848e+00
1.1310e-04     1.4490e-03     8.5226e+00
1.1310e-04     1.4910e-03     8.8548e+00
1.1310e-04     1.5340e-03     9.1880e+00
1.1310e-04     1.5760e-03     9.5060e+00
1.1310e-04     1.6180e-03     9.8157e+00
1.1310e-04     1.6610e-03     1.0123e+01
1.1310e-04     1.7030e-03     1.0414e+01
1.1310e-04     1.7450e-03     1.0694e+01
1.1310e-04     1.7880e-03     1.0970e+01
1.1310e-04     1.8300e-03     1.1227e+01
1.1310e-04     1.8720e-03     1.1472e+01
1.1310e-04     1.9150e-03     1.1710e+01
1.1310e-04     1.9570e-03     1.1929e+01
1.1310e-04     1.9990e-03     1.2134e+01
1.1310e-04     2.0420e-03     1.2330e+01
1.1310e-04     2.0840e-03     1.2507e+01
1.1310e-04     2.1260e-03     1.2669e+01
1.1310e-04     2.1680e-03     1.2816e+01
1.1310e-04     2.2110e-03     1.2951e+01
1.1310e-04     2.2530e-03     1.3069e+01
1.1310e-04     2.2950e-03     1.3171e+01
1.1310e-04     2.3380e-03     1.3259e+01
1.1310e-04     2.3800e-03     1.3331e+01
1.1310e-04     2.4220e-03     1.3387e+01
1.1310e-04     2.4650e-03     1.3429e+01
1.1310e-04     2.5070e-03     1.3455e+01
1.1310e-04     2.5490e-03     1.3467e+01
1.1310e-04     2.5920e-03     1.3464e+01
1.1310e-04     2.6340e-03     1.3446e+01
1.1310e-04     2.6760e-03     1.3415e+01
1.1310e-04     2.7190e-03     1.3369e+01
1.1310e-04     2.7610e-03     1.3311e+01
1.1310e-04     2.8030e-03     1.3240e+01
1.1310e-04     2.8460e-03     1.3154e+01
1.1310e-04     2.8880e-03     1.3058e+01
1.1310e-04     2.9300e-03     1.2951e+01
1.1310e-04     2.9730e-03     1.2830e+01
1.1310e-04     3.0150e-03     1.2701e+01
1.1310e-04     3.0570e-03     1.2562e+01
1.1310e-04     3.1000e-03     1.2409e+01
1.1310e-04     3.1420e-03     1.2251e+01
1.1310e-04     3.1840e-03     1.2084e+01
1.1310e-04     3.2270e-03     1.1906e+01
1.1310e-04     3.2690e-03     1.1723e+01
1.1310e-04     3.3110e-03     1.1534e+01
1.1310e-04     3.3540e-03     1.1334e+01
1.1310e-04     3.3960e-03     1.1133e+01
1.1310e-04     3.4380e-03     1.0926e+01
1.1310e-04     3.4810e-03     1.0709e+01
1.1310e-04     3.5230e-03     1.0493e+01
1.1310e-04     3.5650e-03     1.0274e+01
1.1310e-04     3.6070e-03     1.0051e+01
1.1310e-04     3.6500e-03     9.8198e+00
1.1310e-04     3.6920e-03     9.5919e+00
1.1310e-04     3.7340e-03     9.3622e+00
1.1310e-04     3.7770e-03     9.1256e+00
1.1310e-04     3.8190e-03     8.8936e+00
1.1310e-04     3.8610e-03     8.6612e+00
