 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.1167e-03
1.0000e-04     5.2320e-05     3.0558e-02
1.0000e-04     9.4650e-05     9.9914e-02
1.0000e-04     1.3700e-04     2.0902e-01
1.0000e-04     1.7930e-04     3.5732e-01
1.0000e-04     2.2160e-04     5.4444e-01
1.0000e-04     2.6390e-04     7.6979e-01
1.0000e-04     3.0630e-04     1.0333e+00
1.0000e-04     3.4860e-04     1.3330e+00
1.0000e-04     3.9090e-04     1.6684e+00
1.0000e-04     4.3320e-04     2.0384e+00
1.0000e-04     4.7560e-04     2.4431e+00
1.0000e-04     5.1790e-04     2.8790e+00
1.0000e-04     5.6020e-04     3.3459e+00
1.0000e-04     6.0250e-04     3.8423e+00
1.0000e-04     6.4480e-04     4.3665e+00
1.0000e-04     6.8720e-04     4.9184e+00
1.0000e-04     7.2950e-04     5.4937e+00
1.0000e-04     7.7180e-04     6.0918e+00
1.0000e-04     8.1410e-04     6.7110e+00
1.0000e-04     8.5650e-04     7.3508e+00
1.0000e-04     8.9880e-04     8.0065e+00
1.0000e-04     9.4110e-04     8.6773e+00
1.0000e-04     9.8340e-04     9.3615e+00
1.0000e-04     1.0260e-03     1.0062e+01
1.0000e-04     1.0680e-03     1.0762e+01
1.0000e-04     1.1100e-03     1.1468e+01
1.0000e-04     1.1530e-03     1.2197e+01
1.0000e-04     1.1950e-03     1.2912e+01
1.0000e-04     1.2370e-03     1.3628e+01
1.0000e-04     1.2800e-03     1.4360e+01
1.0000e-04     1.3220e-03     1.5072e+01
1.0000e-04     1.3640e-03     1.5779e+01
1.0000e-04     1.4070e-03     1.6496e+01
1.0000e-04     1.4490e-03     1.7187e+01
1.0000e-04     1.4910e-03     1.7868e+01
1.0000e-04     1.5340e-03     1.8553e+01
1.0000e-04     1.5760e-03     1.9207e+01
1.0000e-04     1.6180e-03     1.9846e+01
1.0000e-04     1.6610e-03     2.0482e+01
1.0000e-04     1.7030e-03     2.1085e+01
1.0000e-04     1.7450e-03     2.1667e+01
1.0000e-04     1.7880e-03     2.2241e+01
1.0000e-04     1.8300e-03     2.2779e+01
1.0000e-04     1.8720e-03     2.3294e+01
1.0000e-04     1.9150e-03     2.3794e+01
1.0000e-04     1.9570e-03     2.4257e+01
1.0000e-04     1.9990e-03     2.4693e+01
1.0000e-04     2.0420e-03     2.5111e+01
1.0000e-04     2.0840e-03     2.5491e+01
1.0000e-04     2.1260e-03     2.5841e+01
1.0000e-04     2.1680e-03     2.6163e+01
1.0000e-04     2.2110e-03     2.6461e+01
1.0000e-04     2.2530e-03     2.6722e+01
1.0000e-04     2.2950e-03     2.6952e+01
1.0000e-04     2.3380e-03     2.7157e+01
1.0000e-04     2.3800e-03     2.7325e+01
1.0000e-04     2.4220e-03     2.7464e+01
1.0000e-04     2.4650e-03     2.7574e+01
1.0000e-04     2.5070e-03     2.7651e+01
1.0000e-04     2.5490e-03     2.7699e+01
1.0000e-04     2.5920e-03     2.7717e+01
1.0000e-04     2.6340e-03     2.7705e+01
1.0000e-04     2.6760e-03     2.7665e+01
1.0000e-04     2.7190e-03     2.7594e+01
1.0000e-04     2.7610e-03     2.7498e+01
1.0000e-04     2.8030e-03     2.7376e+01
1.0000e-04     2.8460e-03     2.7223e+01
1.0000e-04     2.8880e-03     2.7049e+01
1.0000e-04     2.9300e-03     2.6851e+01
1.0000e-04     2.9730e-03     2.6624e+01
1.0000e-04     3.0150e-03     2.6379e+01
1.0000e-04     3.0570e-03     2.6114e+01
1.0000e-04     3.1000e-03     2.5820e+01
1.0000e-04     3.1420e-03     2.5515e+01
1.0000e-04     3.1840e-03     2.5190e+01
1.0000e-04     3.2270e-03     2.4840e+01
1.0000e-04     3.2690e-03     2.4482e+01
1.0000e-04     3.3110e-03     2.4109e+01
1.0000e-04     3.3540e-03     2.3713e+01
1.0000e-04     3.3960e-03     2.3312e+01
1.0000e-04     3.4380e-03     2.2900e+01
1.0000e-04     3.4810e-03     2.2466e+01
1.0000e-04     3.5230e-03     2.2033e+01
1.0000e-04     3.5650e-03     2.1591e+01
1.0000e-04     3.6070e-03     2.1142e+01
1.0000e-04     3.6500e-03     2.0675e+01
1.0000e-04     3.6920e-03     2.0213e+01
1.0000e-04     3.7340e-03     1.9747e+01
1.0000e-04     3.7770e-03     1.9265e+01
1.0000e-04     3.8190e-03     1.8792e+01
1.0000e-04     3.8610e-03     1.8317e+01
1.0000e-04     3.9040e-03     1.7830e+01
1.0000e-04     3.9460e-03     1.7354e+01
1.0000e-04     3.9880e-03     1.6878e+01
1.0000e-04     4.0310e-03     1.6393e+01
1.0000e-04     4.0730e-03     1.5921e+01
1.0000e-04     4.1150e-03     1.5452e+01
1.0000e-04     4.1580e-03     1.4975e+01
1.0000e-04     4.2000e-03     1.4513e+01
1.1310e-04     1.0000e-05     1.1110e-03
1.1310e-04     5.2320e-05     3.0401e-02
1.1310e-04     9.4650e-05     9.9400e-02
1.1310e-04     1.3700e-04     2.0795e-01
1.1310e-04     1.7930e-04     3.5549e-01
1.1310e-04     2.2160e-04     5.4165e-01
1.1310e-04     2.6390e-04     7.6584e-01
1.1310e-04     3.0630e-04     1.0280e+00
1.1310e-04     3.4860e-04     1.3261e+00
1.1310e-04     3.9090e-04     1.6598e+00
1.1310e-04     4.3320e-04     2.0280e+00
1.1310e-04     4.7560e-04     2.4306e+00
1.1310e-04     5.1790e-04     2.8644e+00
1.1310e-04     5.6020e-04     3.3289e+00
1.1310e-04     6.0250e-04     3.8227e+00
1.1310e-04     6.4480e-04     4.3444e+00
1.1310e-04     6.8720e-04     4.8936e+00
1.1310e-04     7.2950e-04     5.4660e+00
1.1310e-04     7.7180e-04     6.0611e+00
1.1310e-04     8.1410e-04     6.6772e+00
1.1310e-04     8.5650e-04     7.3140e+00
1.1310e-04     8.9880e-04     7.9664e+00
1.1310e-04     9.4110e-04     8.6340e+00
1.1310e-04     9.8340e-04     9.3149e+00
1.1310e-04     1.0260e-03     1.0012e+01
1.1310e-04     1.0680e-03     1.0708e+01
1.1310e-04     1.1100e-03     1.1412e+01
1.1310e-04     1.1530e-03     1.2137e+01
1.1310e-04     1.1950e-03     1.2849e+01
1.1310e-04     1.2370e-03     1.3562e+01
1.1310e-04     1.2800e-03     1.4290e+01
1.1310e-04     1.3220e-03     1.4999e+01
1.1310e-04     1.3640e-03     1.5703e+01
1.1310e-04     1.4070e-03     1.6416e+01
1.1310e-04     1.4490e-03     1.7105e+01
1.1310e-04     1.4910e-03     1.7783e+01
1.1310e-04     1.5340e-03     1.8464e+01
1.1310e-04     1.5760e-03     1.9116e+01
1.1310e-04     1.6180e-03     1.9752e+01
1.1310e-04     1.6610e-03     2.0386e+01
1.1310e-04     1.7030e-03     2.0986e+01
1.1310e-04     1.7450e-03     2.1566e+01
1.1310e-04     1.7880e-03     2.2138e+01
1.1310e-04     1.8300e-03     2.2674e+01
1.1310e-04     1.8720e-03     2.3187e+01
1.1310e-04     1.9150e-03     2.3686e+01
1.1310e-04     1.9570e-03     2.4147e+01
1.1310e-04     1.9990e-03     2.4582e+01
1.1310e-04     2.0420e-03     2.4998e+01
1.1310e-04     2.0840e-03     2.5377e+01
